namePVS,nameSRC,codec,rate,mos,vmaf,vmaf_bagging,vmaf_stddev,vmaf_ci_p95_lo,vmaf_ci_p95_hi
SpeedBag_MPEG2at2M,SpeedBag,MPEG2,2000000,1.577,42.689,42.329,1.839,39.072,45.303
NightLights_H265at1M,NightLights,H265,1000000,4.352,91.814,90.941,3.318,83.242,95.942
Hood_H265at256K,Hood,H265,256000,2.577,47.473,47.085,1.571,44.827,50.082
Horses_H264at1M,Horses,H264,1000000,3.634,76.881,75.948,2.135,72.948,79.477
SpeedBag_H264at1M,SpeedBag,H264,1000000,3.507,76.683,76.046,2.366,71.592,79.878
ScarletOakEasy_H264at2M,ScarletOakEasy,H264,2000000,4.028,74.711,73.910,1.819,71.343,76.978
snowfall_MPEG2at7M,snowfall,MPEG2,7000000,1.592,23.675,24.823,4.538,18.673,32.582
AspenWalk_MPEG2at4M,AspenWalk,MPEG2,4000000,3.092,29.207,27.987,7.227,22.837,41.868
TheFootMusicVideo03_MPEG2at4M,TheFootMusicVideo03,MPEG2,4000000,1.620,38.979,38.565,1.867,35.289,41.803
rainbow2b_H265at1M,rainbow2b,H265,1000000,4.225,65.228,64.509,2.048,61.313,68.471
MesaWalk_MPEG2at4M,MesaWalk,MPEG2,4000000,3.042,65.695,64.849,2.008,61.966,68.372
TouchdownDay_MPEG2at4M,TouchdownDay,MPEG2,4000000,2.775,67.645,66.845,1.808,64.201,69.929
snowfall_H265at256K,snowfall,H265,256000,1.254,14.647,15.448,9.291,3.396,31.690
RadioIntroPart_H264at2M,RadioIntroPart,H264,2000000,4.535,45.456,44.821,4.243,41.141,53.658
mallflower_H264at512K,mallflower,H264,512000,3.085,59.825,59.149,2.371,55.754,63.664
FlamencoVideo03_H264at2M,FlamencoVideo03,H264,2000000,4.648,87.968,87.405,2.231,82.938,90.833
rainbow2b_H264at1M,rainbow2b,H264,1000000,2.704,38.858,38.377,2.738,34.566,44.136
NightLights_H264at1M,NightLights,H264,1000000,3.662,84.187,83.372,2.543,78.050,87.210
ScoreNarrow_MPEG2at7M,ScoreNarrow,MPEG2,7000000,3.803,83.638,82.840,2.469,78.370,86.832
HalftimeWide_H264at2M,HalftimeWide,H264,2000000,4.127,77.023,76.250,1.966,73.428,79.570
FlamencoVideo03_MPEG2at4M,FlamencoVideo03,MPEG2,4000000,2.465,67.952,67.609,1.814,64.673,70.714
FlamencoVideo08_H264at2M,FlamencoVideo08,H264,2000000,4.254,87.060,86.431,2.110,82.400,89.830
ScoreNarrow_H265at1M,ScoreNarrow,H265,1000000,3.831,83.723,82.918,2.400,78.530,86.775
Boxing08_MPEG2at4M,Boxing08,MPEG2,4000000,1.873,55.106,55.447,1.525,53.024,58.133
MntMorning_MPEG2at4M,MntMorning,MPEG2,4000000,3.310,83.647,82.770,2.652,77.573,86.971
mallfountains_H264at512K,mallfountains,H264,512000,2.620,52.748,52.295,2.758,48.486,57.441
SkateFar_MPEG2at7M,SkateFar,MPEG2,7000000,4.155,68.196,67.931,2.762,63.541,72.843
TheFootMusicVideo04_MPEG2at2M,TheFootMusicVideo04,MPEG2,2000000,1.746,48.252,47.710,1.935,44.349,51.079
TheFootMusicVideo01_H264at512K,TheFootMusicVideo01,H264,512000,1.648,25.352,25.352,3.295,20.067,31.280
snowfall_MPEG2at2M,snowfall,MPEG2,2000000,1.549,23.659,24.807,4.542,18.655,32.575
FlamencoVideo10_H264at512K,FlamencoVideo10,H264,512000,2.028,45.904,45.947,1.651,43.079,48.862
Railwayties_H264at512K,Railwayties,H264,512000,1.296,5.072,3.863,9.433,0.001,21.582
NightLights_H265at512K,NightLights,H265,512000,3.958,87.737,86.898,2.881,80.514,91.191
