Video Name,MOS,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17
CSGO_30fps_30sec_v2_1280x720_1200_x264,3.24,3,3,3,3,3,4,3,3,4,3,3,4,2,2,2,5,5
CSGO_30fps_30sec_v2_1280x720_2000_x264,4,3,3,5,4,4,5,4,3,4,3,4,5,4,4,3,5,5
CSGO_30fps_30sec_v2_1280x720_4000_x264,4.59,4,5,5,5,5,5,5,4,4,4,4,5,4,5,4,5,5
CSGO_30fps_30sec_v2_1280x720_500_x264,2.12,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_1280x720_600_x264,2.29,3,3,2,2,3,3,3,1,2,2,2,2,2,2,2,2,3
CSGO_30fps_30sec_v2_1920x1080_1200_x264,2.76,3,3,2,2,2,3,3,2,3,3,3,3,2,4,2,3,4
CSGO_30fps_30sec_v2_1920x1080_2000_x264,3.24,3,3,3,3,3,4,3,3,3,3,4,4,3,1,3,4,5
CSGO_30fps_30sec_v2_1920x1080_4000_x264,4.59,4,5,5,4,5,5,5,4,4,4,5,4,5,5,5,4,5
CSGO_30fps_30sec_v2_1920x1080_600_x264,1.29,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1
CSGO_30fps_30sec_v2_1920x1080_750_x264,1.88,2,2,1,1,2,2,2,1,2,3,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_640x480_1200_x264,3.53,3,3,5,3,4,5,5,3,3,3,4,4,3,3,2,3,4
CSGO_30fps_30sec_v2_640x480_2000_x264,3.59,3,3,4,3,4,5,4,3,3,3,5,4,2,4,3,5,3
CSGO_30fps_30sec_v2_640x480_300_x264,1.94,3,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2
CSGO_30fps_30sec_v2_640x480_4000_x264,3.76,3,4,4,3,4,4,4,3,4,4,4,4,3,4,3,5,4
CSGO_30fps_30sec_v2_640x480_600_x264,2.65,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,4,2
FIFA17_30fps_30sec_v2_1280x720_1200_x264,3.65,3,4,3,3,5,5,5,3,4,3,3,3,4,3,4,4,3
FIFA17_30fps_30sec_v2_1280x720_2000_x264,4.06,4,4,4,4,4,4,5,3,5,3,4,5,5,3,4,4,4
FIFA17_30fps_30sec_v2_1280x720_4000_x264,4.35,4,5,5,4,5,5,5,3,5,3,4,5,5,5,3,4,4
FIFA17_30fps_30sec_v2_1280x720_500_x264,2,3,3,2,2,2,2,1,1,3,1,3,2,1,1,2,3,2
FIFA17_30fps_30sec_v2_1280x720_600_x264,2.59,2,3,2,2,3,3,3,3,3,2,3,2,3,2,3,2,3
FIFA17_30fps_30sec_v2_1920x1080_1200_x264,2.94,3,3,3,3,4,3,3,3,3,2,3,4,3,2,2,3,3
FIFA17_30fps_30sec_v2_1920x1080_2000_x264,4.12,4,4,4,4,5,5,5,3,4,3,4,4,5,3,4,4,5
FIFA17_30fps_30sec_v2_1920x1080_4000_x264,4.18,4,4,5,4,4,5,5,3,5,3,3,5,4,4,4,4,5
FIFA17_30fps_30sec_v2_1920x1080_600_x264,1.65,2,2,1,1,2,2,2,1,2,1,2,1,2,1,2,2,2
FIFA17_30fps_30sec_v2_1920x1080_750_x264,2.06,2,3,2,2,3,3,2,2,2,2,2,2,1,1,1,2,3
FIFA17_30fps_30sec_v2_640x480_1200_x264,3.18,3,3,3,3,3,4,4,3,3,2,3,4,3,5,2,3,3
FIFA17_30fps_30sec_v2_640x480_2000_x264,3.12,3,3,4,3,4,3,4,2,4,3,3,4,3,3,3,3,1
FIFA17_30fps_30sec_v2_640x480_300_x264,1.59,2,2,2,1,2,1,2,1,2,1,2,1,1,1,2,2,2
FIFA17_30fps_30sec_v2_640x480_4000_x264,3.71,4,3,4,4,5,4,4,3,4,3,4,4,4,3,3,4,3
FIFA17_30fps_30sec_v2_640x480_600_x264,2.59,3,3,3,2,3,3,3,2,3,2,2,4,2,2,2,2,3
H1Z1_30fps_30sec_v2_1280x720_1200_x264,2.88,3,3,3,2,2,3,3,3,4,3,3,3,2,3,3,3,3
