Dataset,Original file name,Distorted file name,Width original,Height original,Width,Height,Bitrate,Video Codec,FPS,Duration,Model Version,MOS,CI,ComputedMos,vmaf_vmaf_v0.6.1.json_mean,vmaf_vmaf_v0.6.1.json_harmonic_mean,vmaf_vmaf_v0.6.1.json_geometric_mean,vmaf_vmaf_v0.6.1.json_total_variation,vmaf_vmaf_v0.6.1.json_norm_lp_1,vmaf_vmaf_v0.6.1.json_norm_lp_2,vmaf_vmaf_v0.6.1.json_norm_lp_3,vmaf_vmaf_v0.6.1neg.json_mean,vmaf_vmaf_v0.6.1neg.json_harmonic_mean,vmaf_vmaf_v0.6.1neg.json_geometric_mean,vmaf_vmaf_v0.6.1neg.json_total_variation,vmaf_vmaf_v0.6.1neg.json_norm_lp_1,vmaf_vmaf_v0.6.1neg.json_norm_lp_2,vmaf_vmaf_v0.6.1neg.json_norm_lp_3,vmaf_vmaf_float_v0.6.1.json_mean,vmaf_vmaf_float_v0.6.1.json_harmonic_mean,vmaf_vmaf_float_v0.6.1.json_geometric_mean,vmaf_vmaf_float_v0.6.1.json_total_variation,vmaf_vmaf_float_v0.6.1.json_norm_lp_1,vmaf_vmaf_float_v0.6.1.json_norm_lp_2,vmaf_vmaf_float_v0.6.1.json_norm_lp_3,vmaf_vmaf_float_v0.6.1neg.json_mean,vmaf_vmaf_float_v0.6.1neg.json_harmonic_mean,vmaf_vmaf_float_v0.6.1neg.json_geometric_mean,vmaf_vmaf_float_v0.6.1neg.json_total_variation,vmaf_vmaf_float_v0.6.1neg.json_norm_lp_1,vmaf_vmaf_float_v0.6.1neg.json_norm_lp_2,vmaf_vmaf_float_v0.6.1neg.json_norm_lp_3,vmaf_vmaf_float_b_v0.6.3.json_mean,vmaf_vmaf_float_b_v0.6.3.json_harmonic_mean,vmaf_vmaf_float_b_v0.6.3.json_geometric_mean,vmaf_vmaf_float_b_v0.6.3.json_total_variation,vmaf_vmaf_float_b_v0.6.3.json_norm_lp_1,vmaf_vmaf_float_b_v0.6.3.json_norm_lp_2,vmaf_vmaf_float_b_v0.6.3.json_norm_lp_3,vmaf_vmaf_b_v0.6.3.json_mean,vmaf_vmaf_b_v0.6.3.json_harmonic_mean,vmaf_vmaf_b_v0.6.3.json_geometric_mean,vmaf_vmaf_b_v0.6.3.json_total_variation,vmaf_vmaf_b_v0.6.3.json_norm_lp_1,vmaf_vmaf_b_v0.6.3.json_norm_lp_2,vmaf_vmaf_b_v0.6.3.json_norm_lp_3,vmaf_vmaf_float_4k_v0.6.1.json_mean,vmaf_vmaf_float_4k_v0.6.1.json_harmonic_mean,vmaf_vmaf_float_4k_v0.6.1.json_geometric_mean,vmaf_vmaf_float_4k_v0.6.1.json_total_variation,vmaf_vmaf_float_4k_v0.6.1.json_norm_lp_1,vmaf_vmaf_float_4k_v0.6.1.json_norm_lp_2,vmaf_vmaf_float_4k_v0.6.1.json_norm_lp_3,vmaf_vmaf_4k_v0.6.1.json_mean,vmaf_vmaf_4k_v0.6.1.json_harmonic_mean,vmaf_vmaf_4k_v0.6.1.json_geometric_mean,vmaf_vmaf_4k_v0.6.1.json_total_variation,vmaf_vmaf_4k_v0.6.1.json_norm_lp_1,vmaf_vmaf_4k_v0.6.1.json_norm_lp_2,vmaf_vmaf_4k_v0.6.1.json_norm_lp_3,vmaf_vmaf_4k_v0.6.1neg.json_mean,vmaf_vmaf_4k_v0.6.1neg.json_harmonic_mean,vmaf_vmaf_4k_v0.6.1neg.json_geometric_mean,vmaf_vmaf_4k_v0.6.1neg.json_total_variation,vmaf_vmaf_4k_v0.6.1neg.json_norm_lp_1,vmaf_vmaf_4k_v0.6.1neg.json_norm_lp_2,vmaf_vmaf_4k_v0.6.1neg.json_norm_lp_3,cambi_mean,cambi_harmonic_mean,cambi_geometric_mean,cambi_total_variation,cambi_norm_lp_1,cambi_norm_lp_2,cambi_norm_lp_3,float_ssim_mean,float_ssim_harmonic_mean,float_ssim_geometric_mean,float_ssim_total_variation,float_ssim_norm_lp_1,float_ssim_norm_lp_2,float_ssim_norm_lp_3,psnr_y_mean,psnr_y_harmonic_mean,psnr_y_geometric_mean,psnr_y_total_variation,psnr_y_norm_lp_1,psnr_y_norm_lp_2,psnr_y_norm_lp_3,psnr_cb_mean,psnr_cb_harmonic_mean,psnr_cb_geometric_mean,psnr_cb_total_variation,psnr_cb_norm_lp_1,psnr_cb_norm_lp_2,psnr_cb_norm_lp_3,psnr_cr_mean,psnr_cr_harmonic_mean,psnr_cr_geometric_mean,psnr_cr_total_variation,psnr_cr_norm_lp_1,psnr_cr_norm_lp_2,psnr_cr_norm_lp_3,float_ms_ssim_mean,float_ms_ssim_harmonic_mean,float_ms_ssim_geometric_mean,float_ms_ssim_total_variation,float_ms_ssim_norm_lp_1,float_ms_ssim_norm_lp_2,float_ms_ssim_norm_lp_3,ciede2000_mean,ciede2000_harmonic_mean,ciede2000_geometric_mean,ciede2000_total_variation,ciede2000_norm_lp_1,ciede2000_norm_lp_2,ciede2000_norm_lp_3,psnr_hvs_y_mean,psnr_hvs_y_harmonic_mean,psnr_hvs_y_geometric_mean,psnr_hvs_y_total_variation,psnr_hvs_y_norm_lp_1,psnr_hvs_y_norm_lp_2,psnr_hvs_y_norm_lp_3,psnr_hvs_cb_mean,psnr_hvs_cb_harmonic_mean,psnr_hvs_cb_geometric_mean,psnr_hvs_cb_total_variation,psnr_hvs_cb_norm_lp_1,psnr_hvs_cb_norm_lp_2,psnr_hvs_cb_norm_lp_3,vmaf_bagging_mean,vmaf_bagging_harmonic_mean,vmaf_bagging_geometric_mean,vmaf_bagging_total_variation,vmaf_bagging_norm_lp_1,vmaf_bagging_norm_lp_2,vmaf_bagging_norm_lp_3,vmaf_stddev_mean,vmaf_stddev_harmonic_mean,vmaf_stddev_geometric_mean,vmaf_stddev_total_variation,vmaf_stddev_norm_lp_1,vmaf_stddev_norm_lp_2,vmaf_stddev_norm_lp_3,vmaf_ci_p95_lo_mean,vmaf_ci_p95_lo_harmonic_mean,vmaf_ci_p95_lo_geometric_mean,vmaf_ci_p95_lo_total_variation,vmaf_ci_p95_lo_norm_lp_1,vmaf_ci_p95_lo_norm_lp_2,vmaf_ci_p95_lo_norm_lp_3,vmaf_ci_p95_hi_mean,vmaf_ci_p95_hi_harmonic_mean,vmaf_ci_p95_hi_geometric_mean,vmaf_ci_p95_hi_total_variation,vmaf_ci_p95_hi_norm_lp_1,vmaf_ci_p95_hi_norm_lp_2,vmaf_ci_p95_hi_norm_lp_3
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_v0.6.1.json,3.76,,3.764705882352941,71.84042363,71.36982654717733,71.60197934277507,2.9906380700778645,71.84042363,72.07883170195161,72.3175280252822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.127071835555556,0.8677453428820923,0.7073176345250958,0.1689892958843159,2.127071835555556,3.223909846039872,3.963163274279375,0.9829116966666668,0.9828480676681424,0.9828473666499186,0.0021138042269187,0.9829116966666668,0.9829754643009432,0.9830386717604506,31.12329565222222,31.014119705834943,31.06750866498228,0.1572282258064515,31.12329565222222,31.177759362983,31.230833547707768,42.60166453888889,42.4637768138727,42.53188598374622,0.1633243815350388,42.60166453888889,42.66968774188423,42.73591572976202,43.83887137666667,43.72468226148256,43.78059141117125,0.1628121657397109,43.83887137666667,43.896840518238086,43.95445298275589,0.9691453411111112,0.968989990421326,0.9689869946565258,0.0026060033370411,0.9691453411111112,0.9693017698519286,0.9694562879077906,37.40817087444445,37.13638815831649,37.269076695828296,0.2348439866518354,37.40817087444445,37.54583050874816,37.681668810145005,30.562919474444445,30.410271287948635,30.48521531747717,0.3162560033370413,30.562919474444445,30.63799671418937,30.710367714568036,40.31730372333333,40.088072033229146,40.2011455882378,0.2616347686318133,40.31730372333333,40.43037636766262,40.54018650911984,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_v0.6.1neg.json,3.76,,3.764705882352941,,,,,,,,69.99581918444444,69.52129541328736,69.75512986392826,2.93066188320356,69.99581918444444,70.2368453091806,70.47856909805128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_float_v0.6.1.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,71.84053189111113,71.37004866251614,71.60214245444897,2.99037287541713,71.84053189111113,72.07889122297533,72.31754520622641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_float_v0.6.1neg.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,70.01272488555556,69.53735920592824,69.77160074272687,2.9316769677419354,70.01272488555556,70.25420278222813,70.49639423344208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_float_b_v0.6.3.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.80562181444444,69.340530688867,69.57022154291013,2.8876368631813127,69.80562181444444,70.04032003462785,70.27470720002403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.89984233444444,69.43422567229747,69.66321203918869,2.944850196885428,69.89984233444444,70.13783687542546,70.37764412984171,2.6122548200000004,2.521202553244012,2.5459692867912387,0.2043592046718576,2.6122548200000004,2.710332942734284,2.8676772350005053,65.86026077333334,65.40277259375208,65.6282847662982,2.7447456440489435,65.86026077333334,66.09183922757757,66.32322041681843,74.44912884666667,73.96096270575391,74.19879458876412,3.119762611790879,74.44912884666667,74.70633365007626,74.97122305854354
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_b_v0.6.3.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.80536236333333,69.34014517914483,69.56990171060623,2.8879418064516136,69.80536236333333,70.04011358117992,70.27454625672857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.89990813555555,69.43419223564744,69.6632300709834,2.945087191323693,69.89990813555555,70.13794486124083,70.37778829416823,2.612171837777778,2.5211613086462865,2.5459165531368333,0.2043177719688543,2.612171837777778,2.7102078169604296,2.8675033810357844,65.85982121222223,65.40231011074755,65.62783435660144,2.7450627519466075,65.85982121222223,66.09140852185355,66.32279615728463,74.44855556333334,73.96023433028024,74.19814413078,3.1202361913236936,74.44855556333334,74.70583464747558,74.97079551071892
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_float_4k_v0.6.1.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.80660285444445,80.49960084164437,80.64792279770036,2.302132816462737,80.80660285444445,80.97256380264812,81.1463268857459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_4k_v0.6.1.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.80544705555555,80.49839466727542,80.64674118278302,2.3024813670745274,80.80544705555555,80.97143445987535,81.14522467507052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_640x480_4000_x264.mp4,640,480,1920,1080,4000,x264,30,30,vmaf_4k_v0.6.1neg.json,3.76,,3.764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.44840748000001,79.13046374887558,79.28358533543619,2.2789426473859846,79.44840748000001,79.62189621206161,79.80479981909848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUGVD,CSGO_30fps_30sec_v2.yuv,CSGO_30fps_30sec_v2_1280x720_2000_x264.mp4,1280,720,1920,1080,2000,x264,30,30,vmaf_v0.6.1.json,4.0,,4.0,68.86781871333334,66.81007847617113,67.87463183152714,3.648235436040044,68.86781871333334,69.7621401355489,70.56750597240145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3676169088888885,1.2456570226107495,1.3273969781480488,0.1857789988876529,3.3676169088888885,5.037585109518892,6.19244726838289,0.9558486322222222,0.9552426291663604,0.955223065747518,0.0073433692992213,0.9558486322222222,0.9564550226175956,0.9570428060406676,32.44662426222222,32.13314834266671,32.28744148240536,0.3738525061179087,32.44662426222222,32.59977549823908,32.7464412114034,42.37686266222222,42.20656679429046,42.29046007509222,0.1708565906562847,42.37686266222222,42.461495007344354,42.54425436727558,43.45257502,43.32043203410733,43.38514608704288,0.1705148142380422,43.45257502,43.51955447335071,43.5860041536429,0.9471028222222222,0.9463563359221768,0.9463282477811684,0.0069978654060066,0.9471028222222222,0.9478528828602756,0.9485790193994452,36.82658027666666,36.44415398739758,36.63123143890117,0.3607580000000004,36.82658027666666,37.0185416261042,37.20631516172465,31.444548814444445,30.816638486505354,31.125337486721783,0.7689576329254729,31.444548814444445,31.749973688786373,32.03981547356301,39.21212405777777,38.971090086529614,39.08926370391658,0.224086600667408,39.21212405777777,39.333027340050975,39.45169166423607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
