Frame, eSSIM, SSIM
0,0.405062,0.510938
1,0.541075,0.734961
2,0.815753,0.907248
3,0.5611,0.717092
4,0.446003,0.550306
5,0.560208,0.746854
6,0.816223,0.906985
7,0.570156,0.723496
8,0.460167,0.564805
9,0.571234,0.753401
10,0.816817,0.907141
11,0.57748,0.728741
12,0.470043,0.574276
13,0.578698,0.757796
14,0.817517,0.907185
15,0.578637,0.729508
16,0.4717,0.577299
17,0.581304,0.760534
18,0.816997,0.907151
19,0.579835,0.730607
20,0.473326,0.579251
21,0.548881,0.737802
22,0.816566,0.907156
23,0.570456,0.722335
24,0.385973,0.490248
25,0.523653,0.72165
26,0.812303,0.90648
27,0.558257,0.715114
28,0.432475,0.53557
29,0.545799,0.735753
30,0.813345,0.906571
31,0.567502,0.721332
32,0.450217,0.553207
33,0.560236,0.744704
34,0.814266,0.906353
35,0.575316,0.726727
36,0.461738,0.564152
37,0.570532,0.751178
38,0.814217,0.906522
39,0.576722,0.727273
40,0.467388,0.570687
41,0.576365,0.755673
42,0.815204,0.906541
43,0.579066,0.72951
44,0.471468,0.57531
45,0.544336,0.733085
46,0.814127,0.906735
47,0.569089,0.721138
48,0.376649,0.480683
49,0.519645,0.718049
50,0.80986,0.905622
51,0.557243,0.713875
52,0.430062,0.533009
53,0.543342,0.733672
54,0.810953,0.905646
55,0.566225,0.72031
56,0.448709,0.551806
57,0.55902,0.743804
58,0.812511,0.905924
59,0.57444,0.726431
60,0.460241,0.563256
61,0.569331,0.74987
62,0.813291,0.905959
63,0.576056,0.727459
64,0.468371,0.57138
65,0.576843,0.755102
66,0.812474,0.905605
67,0.578633,0.728912
68,0.469804,0.57369
69,0.540622,0.730156
70,0.811649,0.905786
71,0.568647,0.720352
72,0.370831,0.474817
73,0.517936,0.716067
74,0.807869,0.905137
75,0.555587,0.712735
76,0.428657,0.531072
77,0.54288,0.733174
78,0.810284,0.905674
79,0.56525,0.719729
80,0.447163,0.549805
81,0.557654,0.742552
82,0.810967,0.905452
83,0.57277,0.725002
84,0.457505,0.560184
85,0.565161,0.747379
86,0.811722,0.905638
87,0.574592,0.725885
88,0.462512,0.565815
89,0.573764,0.753177
90,0.812351,0.905602
91,0.576747,0.727929
92,0.467715,0.571474
93,0.539868,0.728882
94,0.811899,0.905879
95,0.567572,0.720029
96,0.368737,0.472546
97,0.51699,0.715306
98,0.807411,0.905203
99,0.555265,0.712707
100,0.428248,0.530556
101,0.543408,0.732857
102,0.810049,0.905193
103,0.564113,0.719128
104,0.447814,0.550171
105,0.558348,0.742181
106,0.810521,0.905329
107,0.572732,0.725094
108,0.458464,0.5607
109,0.568323,0.748878
110,0.811007,0.905249
111,0.574413,0.726218
112,0.466551,0.569115
113,0.577392,0.754929
114,0.811803,0.905491
115,0.578206,0.728967
116,0.471571,0.574385
117,0.542054,0.730147
118,0.812436,0.905728
119,0.568214,0.720202
120,0.368055,0.471965
121,0.516934,0.715172
122,0.80731,0.905007
123,0.554401,0.712036
124,0.427982,0.530277
125,0.542308,0.73265
126,0.810067,0.905345
127,0.564795,0.719286
128,0.446522,0.549168
129,0.556576,0.741721
