Frame, eSSIM, SSIM
0,0.433318,0.549182
1,0.627092,0.77351
2,0.783857,0.880388
3,0.612066,0.746193
4,0.54933,0.65114
5,0.667414,0.797128
6,0.791627,0.885896
7,0.627956,0.757683
8,0.574275,0.674405
9,0.677948,0.804093
10,0.792613,0.886235
11,0.641676,0.767927
12,0.586814,0.686055
13,0.68956,0.811489
14,0.79476,0.88757
15,0.648058,0.772429
16,0.592876,0.692933
17,0.690983,0.81196
18,0.795571,0.887294
19,0.65656,0.778681
20,0.604153,0.703645
21,0.66924,0.798109
22,0.798765,0.889323
23,0.636269,0.762626
24,0.40194,0.5182
25,0.624875,0.771554
26,0.784315,0.880484
27,0.602809,0.739637
28,0.540819,0.643297
29,0.662873,0.793391
30,0.792834,0.886293
31,0.626153,0.756977
32,0.567708,0.668078
33,0.668793,0.797436
34,0.794857,0.886708
35,0.638089,0.766004
36,0.58471,0.684468
37,0.682712,0.80645
38,0.796251,0.888339
39,0.648774,0.77322
40,0.59343,0.693002
41,0.687752,0.809344
42,0.796517,0.887909
43,0.647709,0.77264
44,0.594508,0.694779
45,0.662272,0.792451
46,0.793816,0.887195
47,0.626475,0.757344
48,0.400328,0.514386
49,0.621217,0.766982
50,0.780787,0.878578
51,0.599945,0.737473
52,0.536912,0.639759
53,0.663583,0.792815
54,0.788769,0.883638
55,0.618509,0.75125
56,0.563776,0.662951
57,0.665195,0.793806
58,0.791173,0.884148
59,0.639425,0.765231
60,0.582093,0.6802
61,0.680724,0.80372
62,0.791517,0.8855
63,0.641472,0.766837
64,0.587157,0.686458
65,0.685254,0.806646
66,0.791141,0.884577
67,0.647516,0.770515
68,0.594536,0.691725
69,0.668235,0.794459
70,0.791992,0.885388
71,0.630005,0.755946
72,0.399138,0.512958
73,0.627108,0.76962
74,0.779837,0.876922
75,0.603854,0.738364
76,0.539975,0.639347
77,0.661372,0.789974
78,0.788389,0.882481
79,0.624359,0.75252
80,0.562456,0.662499
81,0.676083,0.799088
82,0.788872,0.882128
83,0.632879,0.759154
84,0.579908,0.676919
85,0.683631,0.80446
86,0.792591,0.884261
87,0.642771,0.765913
88,0.583139,0.682356
89,0.688622,0.80693
90,0.791655,0.88319
91,0.645175,0.76883
92,0.593179,0.691379
93,0.663587,0.791582
94,0.790247,0.883543
95,0.617733,0.748642
96,0.40013,0.51299
97,0.625743,0.768812
98,0.779172,0.875727
99,0.594326,0.730163
100,0.533107,0.633089
101,0.658313,0.787333
102,0.789151,0.881709
103,0.623853,0.751482
104,0.556121,0.656864
105,0.669594,0.795038
106,0.78925,0.880756
107,0.632286,0.758205
108,0.578521,0.675628
109,0.675015,0.798733
110,0.793455,0.884046
111,0.643975,0.766533
112,0.582223,0.680886
113,0.681379,0.803428
114,0.79371,0.883424
115,0.639678,0.763791
116,0.583953,0.682513
117,0.665539,0.792163
118,0.798564,0.885687
119,0.623195,0.74987
120,0.395994,0.507238
121,0.62153,0.765942
122,0.784967,0.876452
123,0.594514,0.730181
124,0.53207,0.630373
125,0.653303,0.78425
126,0.795428,0.882916
127,0.625365,0.751813
128,0.556597,0.655469
129,0.669037,0.794173
130,0.79602,0.882207
131,0.629252,0.755599
132,0.574746,0.671872
133,0.673976,0.797276
134,0.799536,0.884637
135,0.644177,0.765226
136,0.58021,0.678369
137,0.681266,0.802543
138,0.798824,0.884062
139,0.64051,0.763641
140,0.587332,0.68467
141,0.659746,0.7878
142,0.798073,0.885168
143,0.622514,0.750135
144,0.390592,0.498941
145,0.617486,0.761333
146,0.781353,0.874555
147,0.591089,0.726346
148,0.525704,0.62373
149,0.653102,0.782612
150,0.789769,0.880116
151,0.615531,0.744217
152,0.552483,0.650137
153,0.660364,0.788746
154,0.791365,0.880339
155,0.624424,0.750553
156,0.56831,0.664759
157,0.676412,0.799025
158,0.79319,0.881628
159,0.632368,0.756248
160,0.570058,0.669485
161,0.675444,0.798956
162,0.793919,0.881343
163,0.638468,0.759868
164,0.570577,0.670903
165,0.664905,0.79058
166,0.796084,0.882972
167,0.619324,0.744879
168,0.386718,0.495022
169,0.61802,0.761498
170,0.784453,0.874512
171,0.596524,0.728694
172,0.527469,0.623671
173,0.652875,0.782216
174,0.793052,0.88038
175,0.625701,0.750211
176,0.551377,0.64837
177,0.661655,0.788519
178,0.793907,0.880156
179,0.625618,0.750841
180,0.570068,0.66524
181,0.671855,0.795043
182,0.795483,0.881832
183,0.636136,0.75816
184,0.57334,0.670956
185,0.67292,0.796538
186,0.795707,0.881662
187,0.638716,0.760878
188,0.575492,0.675009
189,0.663985,0.789497
190,0.796412,0.88236
191,0.623276,0.747714
192,0.388997,0.495388
193,0.619869,0.761703
194,0.782731,0.87288
195,0.598437,0.728569
196,0.53037,0.624234
197,0.655005,0.78242
198,0.791117,0.87846
199,0.620693,0.745574
200,0.551354,0.647042
201,0.660715,0.786659
202,0.791909,0.878515
203,0.630544,0.753374
204,0.572134,0.66619
205,0.67319,0.79425
206,0.792645,0.879881
207,0.636863,0.757539
208,0.57489,0.671632
209,0.679745,0.799607
210,0.793011,0.879615
211,0.637367,0.758524
212,0.572253,0.670157
213,0.654864,0.782605
214,0.794144,0.881614
215,0.622999,0.745924
216,0.377689,0.481054
217,0.608571,0.754353
218,0.782275,0.872344
219,0.590558,0.722912
220,0.524296,0.619394
221,0.648053,0.777745
222,0.790178,0.878363
223,0.620842,0.745364
224,0.553256,0.647421
225,0.657435,0.785033
226,0.791675,0.878548
227,0.628144,0.75123
228,0.566079,0.659493
229,0.673172,0.795277
230,0.793124,0.880817
231,0.64041,0.759529
232,0.570831,0.666157
233,0.67204,0.795417
234,0.792912,0.879695
235,0.638738,0.759268
236,0.569166,0.667893
237,0.652521,0.78142
238,0.79679,0.883546
239,0.622537,0.746205
240,0.382395,0.488169
241,0.614996,0.759533
242,0.782872,0.872781
243,0.591975,0.724235
244,0.521744,0.617166
245,0.653363,0.781811
246,0.789897,0.878064
247,0.618445,0.744585
248,0.549953,0.644714
