Frame, eSSIM, SSIM
0,0.477534,0.57911
1,0.596997,0.752931
2,0.827847,0.894147
3,0.572061,0.725343
4,0.481304,0.583461
5,0.594103,0.751929
6,0.826213,0.893407
7,0.559462,0.716509
8,0.472312,0.576025
9,0.593257,0.751251
10,0.828362,0.894181
11,0.553687,0.714255
12,0.466577,0.57018
13,0.579829,0.74375
14,0.824766,0.891723
15,0.549421,0.711139
16,0.456071,0.560432
17,0.579416,0.743122
18,0.830174,0.894075
19,0.558509,0.717643
20,0.465232,0.570857
21,0.58076,0.744016
22,0.832671,0.896
23,0.5809,0.732909
24,0.470282,0.573949
25,0.584056,0.746838
26,0.833976,0.896402
27,0.580887,0.73322
28,0.489699,0.592469
29,0.590747,0.750863
30,0.835459,0.898411
31,0.582491,0.735605
32,0.497334,0.598547
33,0.597453,0.754185
34,0.839297,0.900452
35,0.594184,0.7429
36,0.500994,0.603478
37,0.607835,0.760427
38,0.83995,0.901307
39,0.602784,0.747232
40,0.511784,0.612006
41,0.610229,0.762418
42,0.84145,0.901406
43,0.602651,0.747017
44,0.513083,0.610543
45,0.617803,0.766405
46,0.840521,0.901623
47,0.611275,0.754119
48,0.522946,0.620603
49,0.618196,0.766815
50,0.844294,0.903995
51,0.618176,0.759046
52,0.533997,0.632126
53,0.635367,0.776314
54,0.843948,0.904128
55,0.618204,0.758886
56,0.539212,0.635885
57,0.630557,0.774226
58,0.846593,0.904617
59,0.618347,0.758699
60,0.538096,0.633849
61,0.639715,0.779819
62,0.843294,0.903885
63,0.625245,0.764259
64,0.546213,0.640841
65,0.641184,0.780028
66,0.846735,0.904994
67,0.635738,0.770145
68,0.551582,0.646959
69,0.645151,0.782605
70,0.845672,0.905029
71,0.63457,0.769122
72,0.555252,0.650687
73,0.647326,0.784584
74,0.847463,0.905398
75,0.639851,0.772317
76,0.559036,0.652759
77,0.651391,0.78687
78,0.846596,0.90544
79,0.64199,0.775048
80,0.557949,0.652732
81,0.650921,0.787291
82,0.847503,0.906298
83,0.643204,0.776041
84,0.562883,0.658759
85,0.650271,0.785887
86,0.847569,0.906361
87,0.64275,0.774893
88,0.566043,0.660988
89,0.656689,0.789664
90,0.849207,0.906411
91,0.649732,0.77828
92,0.571264,0.66391
93,0.65638,0.790703
94,0.849709,0.906674
95,0.647923,0.779005
96,0.566288,0.658291
97,0.66004,0.79276
98,0.852167,0.90816
99,0.64987,0.779633
100,0.571606,0.666749
101,0.65766,0.789963
102,0.850814,0.907467
103,0.649485,0.778486
104,0.572499,0.667164
