Frame, eSSIM, SSIM
0,0.879213,0.93309
1,0.912025,0.949297
2,0.928484,0.956666
3,0.881203,0.938504
4,0.867143,0.929932
5,0.906419,0.948237
6,0.928079,0.956269
7,0.874739,0.937631
8,0.863016,0.927724
9,0.902418,0.947517
10,0.928129,0.956371
11,0.871273,0.936024
12,0.851618,0.92444
13,0.89317,0.945486
14,0.924409,0.954703
15,0.860587,0.934707
16,0.868353,0.929654
17,0.913476,0.950134
18,0.927412,0.956465
19,0.8883,0.941337
20,0.883721,0.937511
21,0.92058,0.953196
22,0.934194,0.959102
23,0.895181,0.945871
24,0.898339,0.942584
25,0.930331,0.957035
26,0.936658,0.960484
27,0.91141,0.949475
28,0.90728,0.946565
29,0.931702,0.958785
30,0.936796,0.961494
31,0.916783,0.951082
32,0.919434,0.950497
33,0.936044,0.96088
34,0.938735,0.962559
35,0.918798,0.951859
36,0.918232,0.950462
37,0.93761,0.962043
38,0.941662,0.963494
39,0.92311,0.953437
40,0.91872,0.952023
41,0.938269,0.962161
42,0.940303,0.963354
43,0.928371,0.95516
44,0.920896,0.952567
45,0.938641,0.962961
46,0.940732,0.964013
47,0.929754,0.955813
48,0.92366,0.952872
49,0.93997,0.96326
50,0.941245,0.964287
51,0.923042,0.953848
52,0.927848,0.954906
53,0.941562,0.96388
54,0.94409,0.964691
55,0.927078,0.955729
56,0.931585,0.955876
57,0.94322,0.964356
58,0.943517,0.964923
59,0.929203,0.956569
60,0.933912,0.956896
61,0.942961,0.964623
62,0.943857,0.965236
63,0.93289,0.957218
64,0.9363,0.957694
65,0.944346,0.965139
66,0.945552,0.965769
67,0.934421,0.957692
68,0.936198,0.958231
69,0.94571,0.965495
70,0.946564,0.965972
71,0.933796,0.958219
72,0.938286,0.959021
73,0.946657,0.965987
74,0.946742,0.966236
75,0.934812,0.958496
76,0.938791,0.959244
77,0.946231,0.965833
78,0.946469,0.965897
79,0.936729,0.959466
80,0.936132,0.958483
81,0.947501,0.966176
82,0.946267,0.966044
83,0.93867,0.959763
84,0.937797,0.959247
85,0.947846,0.966583
86,0.947228,0.966289
87,0.939221,0.959995
88,0.938915,0.959508
89,0.948084,0.96665
90,0.948193,0.966862
91,0.937456,0.959631
92,0.93925,0.959999
93,0.948372,0.96654
94,0.94787,0.966415
95,0.944434,0.96176
96,0.938452,0.959936
97,0.948361,0.966846
98,0.947858,0.966664
99,0.938643,0.960604
100,0.946005,0.962443
101,0.949074,0.967448
102,0.949651,0.966984
103,0.942057,0.961287
104,0.946149,0.96276
105,0.948944,0.967702
106,0.94749,0.967118
107,0.94057,0.961128
108,0.946474,0.963083
109,0.950972,0.968033
110,0.952259,0.968007
111,0.943267,0.962063
112,0.948105,0.963756
113,0.952273,0.968296
114,0.951905,0.968105
115,0.943716,0.962019
116,0.948299,0.963825
117,0.951844,0.968253
118,0.952556,0.967787
119,0.941467,0.961385
120,0.947303,0.96342
121,0.952932,0.968513
122,0.952217,0.968104
123,0.944136,0.962155
124,0.948152,0.963784
125,0.951952,0.968548
126,0.952753,0.968225
127,0.942812,0.962061
128,0.946668,0.963338
129,0.952739,0.968695
130,0.951838,0.968256
131,0.945644,0.962614
132,0.948188,0.963934
133,0.95215,0.968689
134,0.951893,0.967743
135,0.944842,0.962642
136,0.948511,0.964298
137,0.953983,0.969063
138,0.952496,0.968145
139,0.944337,0.962787
140,0.950467,0.964825
141,0.953845,0.968968
142,0.952245,0.967824
143,0.945964,0.962788
144,0.949435,0.964581
145,0.953079,0.968792
146,0.950857,0.967599
147,0.944665,0.962526
148,0.94905,0.964602
149,0.951753,0.968479
150,0.952425,0.967821
151,0.94454,0.962973
152,0.945788,0.963212
153,0.9542,0.969283
154,0.952228,0.968489
155,0.945612,0.963192
156,0.944551,0.964062
157,0.954748,0.970004
158,0.953955,0.968717
159,0.943832,0.963263
160,0.947039,0.964246
161,0.955411,0.970107
162,0.95225,0.968679
163,0.944617,0.963298
164,0.946166,0.964469
165,0.955059,0.970122
166,0.954366,0.969269
167,0.947202,0.964053
168,0.946987,0.964188
169,0.956619,0.970397
170,0.954276,0.96957
171,0.946541,0.96409
172,0.946969,0.964317
173,0.955706,0.970261
174,0.954561,0.969738
175,0.948623,0.964443
176,0.947053,0.964334
177,0.954524,0.969906
178,0.952298,0.969371
179,0.948926,0.964365
180,0.94853,0.964286
181,0.952299,0.969782
182,0.952871,0.969304
183,0.948711,0.964621
184,0.947528,0.964175
185,0.95352,0.969834
186,0.953069,0.969283
187,0.947729,0.964459
188,0.947236,0.964207
189,0.954956,0.970084
190,0.954355,0.969451
191,0.948784,0.964346
192,0.949252,0.964394
193,0.955756,0.970157
194,0.954798,0.969911
195,0.948239,0.964246
196,0.947943,0.964533
197,0.956251,0.970622
198,0.956117,0.970192
199,0.946559,0.96472
200,0.948912,0.964999
201,0.956381,0.970884
202,0.955284,0.970438
203,0.947951,0.964473
204,0.94858,0.965017
205,0.955165,0.97025
206,0.955656,0.969843
207,0.953421,0.966511
208,0.949206,0.965286
209,0.956607,0.970447
210,0.954494,0.969468
211,0.952233,0.966038
212,0.950245,0.965418
213,0.956009,0.970644
214,0.954693,0.969567
215,0.951938,0.965901
216,0.947755,0.964452
217,0.955113,0.970142
218,0.954451,0.969362
219,0.946695,0.964035
220,0.951207,0.965882
221,0.954161,0.970156
222,0.954282,0.969333
223,0.947319,0.964418
224,0.951946,0.966059
225,0.954798,0.970283
226,0.954282,0.969688
227,0.947421,0.964469
228,0.952216,0.966095
229,0.955678,0.970493
230,0.954886,0.969631
231,0.948983,0.964614
232,0.952078,0.966139
233,0.955995,0.970659
234,0.955465,0.969631
235,0.948809,0.96477
236,0.952529,0.966392
237,0.955638,0.970462
238,0.954367,0.969482
239,0.948017,0.964282
240,0.95243,0.966388
241,0.954667,0.970408
242,0.953012,0.969295
243,0.948662,0.964673
244,0.952474,0.966463
245,0.952374,0.970098
246,0.952222,0.968991
247,0.945818,0.964473
248,0.947426,0.964711
249,0.955528,0.970548
250,0.953828,0.969842
251,0.946588,0.964241
252,0.94725,0.965054
253,0.954443,0.970235
254,0.95421,0.969791
255,0.952058,0.965961
256,0.945992,0.964228
257,0.954081,0.970217
258,0.953478,0.969597
259,0.946246,0.963681
260,0.950612,0.965532
261,0.953523,0.970244
262,0.954461,0.969334
263,0.944768,0.963994
264,0.946812,0.963559
265,0.955323,0.970395
266,0.953404,0.969792
267,0.945843,0.9631
268,0.947356,0.96409
269,0.954169,0.97009
270,0.955438,0.96987
271,0.948908,0.964226
272,0.946167,0.963544
273,0.955246,0.970345
274,0.954277,0.969768
275,0.946071,0.963127
276,0.948943,0.964778
277,0.954472,0.970519
278,0.955773,0.969561
279,0.947649,0.96365
280,0.944858,0.963517
281,0.95563,0.970641
282,0.95419,0.969871
283,0.946096,0.963022
284,0.947423,0.96423
285,0.954653,0.970334
286,0.953911,0.969112
287,0.949169,0.964301
288,0.945709,0.96359
289,0.954563,0.970334
290,0.954691,0.969335
291,0.944636,0.96284
292,0.949378,0.964676
293,0.954311,0.970555
294,0.95292,0.968942
295,0.945875,0.963195
296,0.945243,0.963475
297,0.955764,0.970698
298,0.954204,0.969768
299,0.944229,0.96234
300,0.945977,0.963591
301,0.954455,0.970325
302,0.95548,0.969481
303,0.949089,0.963702
304,0.943406,0.963018
305,0.955651,0.970279
306,0.954578,0.96964
307,0.943824,0.962301
308,0.949149,0.96422
309,0.954095,0.970504
310,0.955865,0.969558
311,0.94537,0.962261
312,0.947694,0.963886
313,0.95446,0.970361
314,0.954447,0.969683
315,0.943127,0.961606
316,0.947946,0.963595
317,0.953398,0.970275
318,0.953674,0.969047
319,0.944268,0.961545
320,0.941498,0.961204
321,0.955047,0.970464
322,0.954723,0.969582
323,0.941932,0.960447
324,0.941215,0.961384
325,0.953593,0.970256
326,0.955592,0.969646
327,0.94706,0.962303
328,0.943165,0.961255
329,0.953505,0.970152
330,0.953503,0.969151
331,0.943758,0.96072
332,0.946027,0.962498
333,0.958264,0.97356
334,0.96698,0.976639
335,0.941817,0.963972
336,0.946834,0.962884
337,0.959502,0.972949
338,0.959812,0.973538
339,0.948297,0.963803
340,0.940949,0.961797
341,0.957961,0.972782
342,0.959807,0.973278
343,0.942707,0.962355
344,0.946413,0.962708
345,0.957213,0.972433
346,0.957384,0.97271
347,0.945442,0.962949
348,0.942483,0.961475
349,0.955652,0.972116
350,0.959349,0.972956
351,0.941534,0.962491
352,0.945465,0.962354
353,0.956504,0.971976
354,0.957086,0.972561
355,0.950079,0.964514
356,0.94634,0.962685
357,0.955951,0.972068
358,0.960232,0.973073
359,0.948679,0.964463
360,0.945992,0.962558
361,0.957104,0.972119
362,0.956513,0.972534
363,0.947676,0.963232
364,0.947959,0.963374
365,0.955427,0.972187
366,0.958261,0.972714
367,0.945191,0.962762
368,0.946555,0.962785
369,0.956786,0.972215
370,0.95702,0.972574
371,0.944288,0.96227
372,0.943679,0.961928
373,0.955611,0.972029
374,0.958366,0.972298
375,0.939857,0.961546
376,0.940027,0.96055
377,0.955527,0.971735
378,0.957524,0.972507
379,0.944004,0.969567
380,0.937459,0.954339
381,0.949368,0.967804
382,0.978791,0.983743
383,0.945062,0.969566
384,0.94459,0.956505
385,0.958252,0.969936
386,0.980466,0.984306
387,0.959769,0.973068
388,0.949721,0.958254
389,0.959219,0.970314
390,0.981061,0.984532
391,0.95837,0.972558
392,0.943943,0.956456
393,0.952863,0.968576
394,0.979615,0.98357
395,0.951524,0.97112
396,0.939768,0.95654
397,0.949825,0.967905
398,0.977376,0.98309
399,0.943378,0.969419
400,0.938325,0.9552
401,0.95794,0.969812
402,0.980379,0.984275
403,0.959984,0.973578
404,0.949865,0.959014
405,0.959206,0.970261
406,0.981003,0.984393
407,0.959567,0.973335
408,0.945237,0.957624
409,0.956326,0.969449
410,0.979354,0.983684
411,0.948119,0.970977
412,0.942595,0.957557
413,0.965829,0.977073
414,0.960162,0.979058
415,0.951683,0.968718
416,0.945654,0.960679
417,0.947316,0.96896
418,0.952648,0.975899
419,0.95036,0.967664
420,0.940567,0.959265
421,0.941296,0.967025
422,0.95106,0.975126
423,0.947924,0.96712
424,0.940913,0.959184
425,0.941102,0.966956
426,0.948601,0.974477
427,0.948286,0.967333
428,0.935768,0.958533
429,0.940329,0.966832
430,0.947739,0.974257
431,0.948445,0.967054
432,0.940062,0.958863
433,0.94058,0.966675
434,0.947155,0.973982
435,0.947315,0.966657
436,0.946265,0.960408
437,0.940429,0.966443
438,0.94655,0.973684
439,0.9465,0.966411
440,0.941121,0.958731
441,0.944668,0.967441
442,0.944938,0.973648
443,0.947603,0.966438
444,0.941687,0.9592
445,0.9406,0.966272
446,0.946998,0.97372
447,0.949464,0.966824
448,0.939816,0.958034
449,0.940351,0.966446
450,0.946784,0.973414
451,0.946741,0.966189
452,0.947439,0.960831
453,0.938886,0.966023
454,0.945087,0.973116
455,0.948238,0.966394
456,0.940106,0.958551
457,0.943907,0.967965
458,0.946207,0.973675
459,0.945262,0.965935
460,0.944486,0.960152
461,0.939531,0.966182
462,0.943531,0.973306
463,0.949631,0.967026
464,0.940745,0.958859
465,0.940009,0.966917
466,0.945373,0.973245
467,0.945208,0.96608
468,0.948275,0.961435
469,0.940671,0.966341
470,0.941918,0.973069
471,0.947822,0.966767
472,0.941522,0.95897
473,0.94449,0.968276
474,0.946498,0.973944
475,0.945465,0.966341
476,0.945496,0.960381
477,0.941828,0.966693
478,0.943357,0.973213
479,0.949778,0.967418
480,0.94384,0.959707
481,0.940657,0.967299
482,0.94398,0.973345
483,0.945934,0.966391
484,0.949502,0.96196
485,0.944242,0.967723
486,0.943066,0.973114
487,0.947914,0.966669
488,0.948248,0.961133
489,0.941824,0.96737
490,0.942445,0.972866
491,0.945681,0.966326
492,0.945463,0.960375
493,0.947529,0.971016
494,0.979589,0.98706
495,0.963698,0.98049
496,0.949795,0.967724
497,0.957026,0.973698
498,0.97518,0.984368
499,0.961709,0.977679
500,0.950305,0.966113
501,0.954598,0.971349
502,0.973325,0.982951
503,0.96135,0.97658
504,0.949288,0.964451
505,0.956661,0.972207
506,0.973315,0.983179
507,0.960014,0.975167
508,0.951945,0.965287
509,0.957088,0.972504
510,0.973423,0.983019
511,0.959825,0.974225
512,0.950287,0.963303
513,0.958725,0.972853
514,0.973845,0.983172
515,0.959525,0.973514
516,0.950289,0.962781
517,0.957917,0.972301
518,0.972369,0.982717
519,0.959946,0.973419
520,0.950198,0.9623
521,0.95782,0.972472
522,0.972231,0.982491
523,0.959509,0.973058
524,0.951611,0.963582
525,0.958174,0.972691
526,0.97247,0.982601
527,0.960437,0.973591
528,0.950913,0.963241
529,0.959763,0.973205
530,0.974208,0.983328
531,0.960222,0.97394
532,0.951616,0.964088
533,0.958404,0.97267
534,0.973682,0.983055
535,0.961563,0.975359
536,0.950976,0.963971
537,0.958099,0.972252
538,0.973103,0.98284
539,0.96014,0.975167
540,0.9527,0.965562
541,0.957361,0.971846
542,0.97288,0.982745
543,0.960845,0.976165
544,0.952417,0.966054
545,0.957045,0.971786
546,0.971498,0.982532
547,0.960232,0.97648
548,0.949394,0.966069
549,0.957373,0.973339
550,0.971315,0.982732
551,0.960688,0.976882
552,0.948808,0.967449
553,0.957338,0.976154
554,0.973274,0.984169
555,0.96146,0.976616
556,0.950306,0.970073
557,0.959749,0.980264
558,0.974693,0.985739
559,0.961987,0.976546
560,0.952647,0.972134
561,0.961153,0.982267
562,0.975774,0.986231
563,0.963345,0.977595
564,0.954855,0.974661
565,0.961943,0.983661
566,0.974409,0.986562
567,0.963407,0.97919
568,0.9552,0.976305
569,0.957396,0.979457
570,0.974602,0.986318
571,0.965773,0.983739
572,0.952769,0.97472
573,0.95277,0.972686
574,0.973576,0.985352
575,0.965695,0.985568
576,0.950704,0.971642
577,0.951073,0.969488
578,0.971222,0.984763
579,0.966521,0.986291
580,0.949135,0.971652
581,0.95364,0.973242
582,0.9745,0.986421
583,0.967916,0.986087
584,0.953932,0.97634
585,0.9593,0.980863
586,0.975156,0.987565
587,0.966261,0.982432
588,0.957698,0.979532
589,0.962403,0.985786
590,0.975565,0.987487
591,0.965862,0.980598
592,0.957452,0.978214
593,0.963729,0.98627
594,0.974141,0.987387
595,0.964706,0.97937
596,0.955751,0.97744
597,0.963632,0.985525
598,0.976232,0.987362
599,0.963548,0.979718
600,0.953861,0.976468
601,0.960999,0.982398
602,0.974443,0.986563
603,0.962667,0.981189
604,0.948821,0.972266
605,0.956142,0.975048
606,0.974447,0.985685
607,0.962781,0.982473
608,0.947018,0.967809
609,0.95303,0.970355
610,0.973374,0.984124
611,0.961587,0.981331
612,0.94675,0.966544
613,0.950737,0.969182
614,0.972011,0.983701
615,0.963235,0.982485
616,0.947855,0.969895
617,0.953479,0.974822
618,0.972599,0.984783
619,0.96388,0.982058
620,0.953114,0.975628
621,0.959595,0.983112
622,0.97343,0.986712
623,0.964497,0.980291
624,0.956698,0.977598
625,0.964622,0.986903
626,0.976672,0.988209
627,0.966201,0.979548
628,0.960787,0.979586
629,0.965739,0.987963
630,0.975428,0.987992
631,0.96897,0.981058
632,0.963837,0.982557
633,0.966564,0.989518
634,0.977629,0.98973
635,0.971583,0.983923
636,0.961633,0.983049
637,0.959927,0.984846
638,0.976068,0.989181
639,0.976272,0.989267
