Frame, eSSIM, SSIM
0,0.879649,0.928821
1,0.906553,0.945358
2,0.915422,0.949595
3,0.898189,0.941081
4,0.898608,0.940308
5,0.917398,0.950057
6,0.915349,0.949952
7,0.857938,0.940283
8,0.895075,0.942468
9,0.916706,0.950958
10,0.916109,0.950164
11,0.891389,0.942087
12,0.888092,0.942025
13,0.91628,0.950872
14,0.908375,0.948339
15,0.831723,0.935102
16,0.877302,0.941168
17,0.915346,0.950756
18,0.913729,0.949329
19,0.864304,0.938065
20,0.860923,0.939368
21,0.895121,0.942329
22,0.900316,0.946041
23,0.827765,0.929293
24,0.785095,0.88659
25,0.8375,0.91516
26,0.871793,0.931109
27,0.833432,0.916176
28,0.825195,0.905596
29,0.864853,0.925901
30,0.876334,0.933669
31,0.809464,0.913545
32,0.827367,0.909498
33,0.872737,0.929515
34,0.875275,0.933577
35,0.837989,0.918072
36,0.836581,0.914198
37,0.876388,0.932668
38,0.881753,0.93533
39,0.839679,0.919395
40,0.839006,0.91626
41,0.883785,0.934662
42,0.884035,0.936012
43,0.843308,0.920353
44,0.841538,0.918055
45,0.866577,0.926994
46,0.886257,0.93829
47,0.848238,0.922383
48,0.744382,0.870896
49,0.809232,0.905938
50,0.855914,0.928969
51,0.829275,0.914909
52,0.821437,0.901719
53,0.850664,0.921335
54,0.869272,0.932925
55,0.850147,0.921766
56,0.841553,0.911922
57,0.866252,0.927373
58,0.875412,0.934499
59,0.8565,0.924828
60,0.852685,0.917698
61,0.875051,0.93135
62,0.882366,0.936843
63,0.862495,0.926764
64,0.858875,0.921593
65,0.882675,0.934634
66,0.888547,0.938851
67,0.867654,0.929103
68,0.863914,0.92505
69,0.86662,0.927095
70,0.887874,0.939807
71,0.862514,0.927937
72,0.753566,0.876682
73,0.819622,0.909591
74,0.85827,0.929972
75,0.837794,0.917976
76,0.82973,0.905475
77,0.852024,0.92154
78,0.866687,0.932268
79,0.854049,0.924138
80,0.848569,0.915268
81,0.863424,0.926868
82,0.874676,0.934313
83,0.863049,0.926954
84,0.856566,0.919832
85,0.873447,0.931233
86,0.883167,0.936742
87,0.868345,0.929009
88,0.867482,0.924498
89,0.884235,0.934996
90,0.889599,0.938756
91,0.877092,0.93195
92,0.876108,0.928904
93,0.865449,0.926918
94,0.889418,0.93887
95,0.865227,0.9285
96,0.731522,0.866558
97,0.794566,0.902221
98,0.844888,0.92724
99,0.81927,0.913388
100,0.806566,0.895961
101,0.840318,0.917121
102,0.859168,0.930264
103,0.831761,0.917624
104,0.829601,0.907447
105,0.856601,0.923501
106,0.866983,0.931905
107,0.840806,0.91955
108,0.839471,0.91275
109,0.865182,0.92748
110,0.873468,0.934119
111,0.845373,0.92194
112,0.843214,0.915452
113,0.866231,0.929318
114,0.86821,0.93317
115,0.844037,0.921084
116,0.843928,0.916653
117,0.854414,0.921421
118,0.875359,0.935522
119,0.833813,0.9184
120,0.728596,0.864505
121,0.800238,0.902932
122,0.852041,0.928096
123,0.826421,0.914372
124,0.810247,0.896402
125,0.842747,0.918122
126,0.867956,0.932707
127,0.843528,0.91933
128,0.831275,0.907604
129,0.862128,0.925636
130,0.877562,0.93496
131,0.8528,0.924167
132,0.843855,0.915307
133,0.8728,0.930069
134,0.880558,0.93578
135,0.85558,0.925259
136,0.854447,0.919917
137,0.881745,0.933722
138,0.885262,0.93725
139,0.862136,0.927323
140,0.860546,0.923931
141,0.86847,0.926669
142,0.886334,0.93876
143,0.850517,0.926406
144,0.754942,0.877539
145,0.823947,0.91044
146,0.862011,0.930844
147,0.847119,0.921442
148,0.829439,0.905951
149,0.855549,0.922193
150,0.876498,0.934897
151,0.859061,0.925841
152,0.850486,0.916104
153,0.870653,0.929003
154,0.881089,0.936392
155,0.866761,0.929063
156,0.861347,0.922269
157,0.880437,0.933465
158,0.885075,0.937553
159,0.868588,0.930106
160,0.868098,0.92593
161,0.882797,0.935491
162,0.886586,0.938517
163,0.872565,0.93145
164,0.870481,0.928166
165,0.869405,0.928077
166,0.888035,0.939361
167,0.859164,0.927711
168,0.744772,0.873307
169,0.814208,0.908273
170,0.860067,0.930396
171,0.835254,0.918317
172,0.819902,0.902199
173,0.851487,0.921133
174,0.870046,0.933123
175,0.849325,0.922907
176,0.839721,0.911255
177,0.863743,0.926221
178,0.874651,0.93467
179,0.855264,0.924448
180,0.848166,0.916087
181,0.870537,0.929586
182,0.877929,0.935737
183,0.857442,0.926252
184,0.856777,0.919921
185,0.878522,0.932822
186,0.883847,0.937237
187,0.866173,0.928495
188,0.862084,0.923757
189,0.860731,0.925447
190,0.881883,0.937575
191,0.854136,0.924619
192,0.730059,0.864274
193,0.80144,0.904186
194,0.857584,0.929707
195,0.829098,0.914534
196,0.815283,0.89884
197,0.84856,0.920466
198,0.867042,0.932485
199,0.843959,0.920118
200,0.834327,0.908748
201,0.860246,0.925359
202,0.8705,0.933453
203,0.848809,0.922158
204,0.839691,0.913229
205,0.868922,0.928976
206,0.877549,0.93498
207,0.85035,0.923044
208,0.847835,0.917302
209,0.876609,0.932083
210,0.880396,0.935715
211,0.855044,0.924076
212,0.854478,0.920932
213,0.865653,0.926429
214,0.883624,0.937683
215,0.849332,0.923075
216,0.750228,0.873514
217,0.827241,0.911812
218,0.868454,0.93186
219,0.841483,0.918281
220,0.832408,0.905851
221,0.860678,0.924572
222,0.877503,0.934413
223,0.857777,0.924347
224,0.85251,0.916291
225,0.873885,0.930085
226,0.884027,0.936801
227,0.869648,0.928425
228,0.863975,0.922445
229,0.883397,0.934516
230,0.890166,0.938853
231,0.874514,0.930914
232,0.872219,0.927263
233,0.890788,0.937919
234,0.894799,0.940823
235,0.879871,0.933127
236,0.87966,0.931057
237,0.873449,0.930465
238,0.89188,0.941089
239,0.872311,0.931003
240,0.749963,0.875936
241,0.820397,0.910212
242,0.867423,0.931843
243,0.843038,0.920154
244,0.831614,0.906896
245,0.859165,0.924046
246,0.880289,0.935726
247,0.861303,0.926973
248,0.853106,0.917632
249,0.872341,0.929954
250,0.882796,0.937428
251,0.868741,0.929914
252,0.862571,0.922864
253,0.877409,0.932578
