Frame, eSSIM, SSIM
0,0.801673,0.906873
1,0.864319,0.95238
2,0.883262,0.968886
3,0.793214,0.921776
4,0.850699,0.937495
5,0.84875,0.947088
6,0.868611,0.959043
7,0.870709,0.954481
8,0.825486,0.924684
9,0.886852,0.96178
10,0.924767,0.975697
11,0.835145,0.930172
12,0.866663,0.945663
13,0.873146,0.954934
14,0.88964,0.962959
15,0.897089,0.958259
16,0.833543,0.917879
17,0.898012,0.95783
18,0.931031,0.972586
19,0.860418,0.943011
20,0.879616,0.951354
21,0.874351,0.953067
22,0.907114,0.961142
23,0.901079,0.961574
24,0.869189,0.941417
25,0.908631,0.964275
26,0.935374,0.976813
27,0.876151,0.946493
28,0.884999,0.9556
29,0.875901,0.956624
30,0.919818,0.968503
31,0.909675,0.969679
32,0.856166,0.930415
33,0.905218,0.963214
34,0.954918,0.981027
35,0.911452,0.961868
36,0.909085,0.962173
37,0.89481,0.958908
38,0.943369,0.973213
39,0.92875,0.973217
40,0.893324,0.948166
41,0.927418,0.970422
42,0.962557,0.983696
43,0.91273,0.953658
44,0.91281,0.962024
45,0.911397,0.966642
46,0.950717,0.97618
47,0.92865,0.971173
48,0.875172,0.934255
49,0.923223,0.96768
50,0.958204,0.980934
51,0.913393,0.958103
52,0.91563,0.961995
53,0.891134,0.959897
54,0.928169,0.969268
55,0.9316,0.969552
56,0.887013,0.946493
57,0.910232,0.965699
58,0.938175,0.977084
59,0.895739,0.949638
60,0.900476,0.959688
61,0.887595,0.960304
62,0.921617,0.968743
63,0.931181,0.969968
64,0.867556,0.937553
65,0.91038,0.964883
66,0.936832,0.974105
67,0.906369,0.956999
68,0.912731,0.964312
69,0.886326,0.958059
70,0.917286,0.962242
71,0.927547,0.966911
72,0.885781,0.949161
73,0.909004,0.963945
74,0.93045,0.971437
75,0.895451,0.94954
76,0.909675,0.962783
77,0.892071,0.958677
78,0.913882,0.962269
79,0.927032,0.968855
80,0.879336,0.941466
81,0.912335,0.961904
82,0.936321,0.971463
83,0.914639,0.9583
84,0.920603,0.965427
85,0.899328,0.959511
86,0.914982,0.959842
87,0.931413,0.969007
88,0.895827,0.954299
89,0.913892,0.964953
90,0.93552,0.973697
91,0.894097,0.953893
92,0.915849,0.966591
93,0.903245,0.963245
94,0.922577,0.964925
95,0.939816,0.972868
96,0.886901,0.949896
97,0.921237,0.966484
98,0.94036,0.97425
99,0.902327,0.959571
100,0.921212,0.96842
101,0.898091,0.962767
102,0.915597,0.962493
103,0.926522,0.970031
104,0.886808,0.955038
105,0.919021,0.967263
106,0.935644,0.974107
107,0.899354,0.955992
108,0.913373,0.967253
109,0.894342,0.963845
110,0.910048,0.96409
111,0.917426,0.969491
112,0.873469,0.949773
113,0.905268,0.965621
114,0.926441,0.972042
115,0.892454,0.95987
116,0.901893,0.96609
117,0.885727,0.961155
118,0.898671,0.960079
119,0.909253,0.967594
120,0.874795,0.955453
121,0.898028,0.964744
122,0.900669,0.969644
123,0.881104,0.954761
124,0.900857,0.966878
125,0.879695,0.961662
126,0.897532,0.959506
127,0.921118,0.969055
128,0.875662,0.953811
129,0.896995,0.962999
130,0.90266,0.966037
131,0.895412,0.956643
132,0.91616,0.968483
133,0.886142,0.96076
134,0.889031,0.953984
135,0.90856,0.964198
136,0.882176,0.955217
137,0.897297,0.962036
138,0.905336,0.964093
139,0.88159,0.949512
140,0.903584,0.964806
141,0.889886,0.960254
142,0.893761,0.954302
143,0.910645,0.963766
144,0.879678,0.950921
145,0.900092,0.960402
146,0.907297,0.963849
147,0.885367,0.950128
148,0.895253,0.956522
149,0.888265,0.956124
150,0.901893,0.956736
151,0.894709,0.95649
152,0.867149,0.94065
153,0.895815,0.955986
154,0.908741,0.964792
155,0.868335,0.941424
156,0.86601,0.942055
157,0.877982,0.947931
158,0.901236,0.955164
159,0.869342,0.946787
160,0.839667,0.921797
161,0.880134,0.944764
162,0.897473,0.958622
163,0.847879,0.932325
164,0.84235,0.927081
165,0.855723,0.936375
166,0.898169,0.950157
167,0.850682,0.936331
168,0.813264,0.906944
169,0.861158,0.933919
170,0.902375,0.954361
171,0.833613,0.92311
172,0.817768,0.911703
173,0.839372,0.924765
174,0.889283,0.943448
175,0.835526,0.926855
176,0.790122,0.888589
177,0.830449,0.917254
178,0.891302,0.946685
179,0.805906,0.909376
180,0.780559,0.888881
181,0.810608,0.908386
182,0.87459,0.934051
183,0.818224,0.917374
184,0.767923,0.874404
185,0.809954,0.905207
186,0.886081,0.940916
187,0.803072,0.903306
188,0.770907,0.879055
189,0.801104,0.901469
190,0.873255,0.933238
191,0.814852,0.911913
192,0.758699,0.866222
193,0.799009,0.899502
194,0.87639,0.937582
195,0.801475,0.902218
196,0.753621,0.86899
197,0.784868,0.895651
198,0.870662,0.930118
199,0.799734,0.904634
200,0.741646,0.857026
201,0.782765,0.892182
202,0.871085,0.93213
203,0.785447,0.893507
204,0.738875,0.858347
205,0.770897,0.887825
206,0.862157,0.927661
207,0.789972,0.898001
208,0.728438,0.850231
209,0.771727,0.887915
210,0.867876,0.929701
211,0.781271,0.891066
212,0.727687,0.851588
213,0.767636,0.885403
214,0.859998,0.925053
215,0.789424,0.895907
216,0.73429,0.852691
217,0.784168,0.890512
218,0.866659,0.928162
219,0.787902,0.894629
220,0.765909,0.871491
221,0.815641,0.90396
222,0.871669,0.929678
223,0.798408,0.899257
224,0.7707,0.87327
225,0.815499,0.904858
226,0.874517,0.931803
227,0.802575,0.900772
228,0.771595,0.872814
229,0.82297,0.90663
230,0.875634,0.932236
231,0.811116,0.904466
232,0.782156,0.87835
233,0.824764,0.907828
234,0.875234,0.932418
235,0.830714,0.911637
236,0.798063,0.885771
237,0.828847,0.909879
238,0.880439,0.934709
239,0.831848,0.911632
240,0.805794,0.889832
241,0.836576,0.913166
242,0.884095,0.936288
243,0.838205,0.9144
244,0.80756,0.890049
245,0.844078,0.917034
246,0.888398,0.937966
247,0.840624,0.916076
248,0.815353,0.895295
249,0.846138,0.918411
250,0.888493,0.938135
251,0.848668,0.92022
252,0.82611,0.902648
253,0.854867,0.922715
254,0.890415,0.939258
255,0.849099,0.920029
256,0.832339,0.905623
257,0.85738,0.923595
258,0.890977,0.939629
259,0.855787,0.922959
260,0.833396,0.906066
261,0.858111,0.924299
