Frame, eSSIM, SSIM
0,0.748377,0.901227
1,0.815123,0.9519
2,0.867552,0.968921
3,0.821815,0.934384
4,0.819094,0.935009
5,0.854783,0.953844
6,0.855963,0.961074
7,0.841293,0.947448
8,0.795921,0.922791
9,0.859699,0.957181
10,0.864006,0.964589
11,0.813824,0.92539
12,0.813815,0.931571
13,0.84491,0.947685
14,0.837074,0.949135
15,0.834965,0.939742
16,0.794789,0.908362
17,0.840368,0.943672
18,0.839845,0.94899
19,0.81813,0.925297
20,0.810164,0.931759
21,0.838871,0.941555
22,0.815056,0.936272
23,0.822193,0.935046
24,0.759881,0.914036
25,0.810127,0.941393
26,0.832764,0.949644
27,0.79833,0.921483
28,0.829243,0.937467
29,0.835786,0.942139
30,0.830536,0.944047
31,0.841973,0.948067
32,0.815167,0.918332
33,0.851286,0.947664
34,0.874904,0.964835
35,0.858373,0.949864
36,0.85124,0.944627
37,0.861835,0.948391
38,0.872234,0.961193
39,0.881272,0.961432
40,0.843348,0.93702
41,0.876946,0.958337
42,0.895955,0.975412
43,0.873076,0.947127
44,0.826322,0.941655
45,0.858061,0.953959
46,0.886639,0.967237
47,0.861968,0.95636
48,0.761828,0.906104
49,0.826207,0.947857
50,0.875359,0.969672
51,0.849978,0.94703
52,0.824232,0.93352
53,0.849082,0.946138
54,0.869004,0.959837
55,0.867304,0.954318
56,0.803476,0.921015
57,0.851493,0.946611
58,0.888409,0.966856
59,0.867613,0.941897
60,0.827249,0.930885
61,0.846863,0.944675
62,0.897307,0.961274
63,0.895566,0.958144
64,0.816401,0.918612
65,0.86302,0.946177
66,0.891809,0.962592
67,0.873404,0.946405
68,0.81813,0.931946
69,0.840899,0.939597
70,0.875154,0.952074
71,0.871924,0.951204
72,0.74019,0.899301
73,0.80504,0.934235
74,0.865974,0.958585
75,0.84617,0.935066
76,0.821204,0.924379
77,0.849225,0.939669
78,0.867587,0.951886
79,0.859157,0.948491
80,0.814923,0.915497
81,0.8609,0.941737
82,0.873241,0.955657
83,0.860965,0.939665
84,0.832454,0.930018
85,0.853361,0.93999
86,0.864803,0.945534
87,0.873363,0.947702
88,0.81862,0.924258
89,0.85242,0.9398
90,0.872155,0.952321
91,0.848727,0.932949
92,0.81153,0.927713
93,0.83906,0.936587
94,0.864983,0.944259
95,0.852202,0.945512
96,0.734613,0.897852
97,0.812098,0.933011
98,0.850675,0.952808
99,0.85378,0.939728
100,0.813855,0.927047
101,0.834064,0.936797
102,0.848993,0.943905
103,0.857132,0.944739
104,0.797642,0.921625
105,0.834084,0.939356
106,0.855977,0.950628
107,0.847909,0.934182
108,0.813545,0.93074
109,0.832219,0.939509
110,0.837595,0.938134
111,0.864595,0.946241
112,0.795634,0.922605
113,0.822235,0.935867
114,0.846282,0.940679
115,0.831138,0.933331
116,0.797971,0.931245
117,0.812758,0.931466
118,0.821681,0.928521
119,0.848548,0.942548
120,0.727889,0.907012
121,0.788661,0.933118
122,0.853848,0.950438
123,0.834457,0.934675
124,0.804369,0.927035
125,0.831551,0.939657
126,0.846269,0.940196
127,0.864791,0.947012
128,0.803549,0.922625
129,0.834399,0.936742
130,0.861908,0.944869
131,0.850819,0.935122
132,0.805962,0.927329
133,0.836541,0.93582
134,0.842962,0.931506
135,0.857932,0.940118
136,0.792348,0.919527
137,0.832277,0.932627
138,0.860628,0.941188
139,0.837597,0.925958
140,0.801832,0.9238
141,0.832638,0.929975
142,0.839303,0.927943
143,0.855327,0.941495
144,0.714108,0.887246
145,0.803542,0.924913
146,0.827815,0.940464
147,0.815371,0.923569
148,0.799659,0.907541
149,0.837312,0.928809
150,0.827192,0.932099
151,0.827852,0.927912
152,0.781627,0.896004
153,0.836068,0.92692
154,0.837959,0.938557
155,0.805046,0.911781
156,0.775914,0.890241
157,0.828785,0.919211
158,0.818331,0.926504
159,0.802938,0.912601
160,0.760773,0.874807
161,0.823575,0.913989
162,0.828147,0.930579
163,0.786581,0.902686
164,0.76281,0.881459
165,0.818124,0.912906
166,0.814065,0.923059
167,0.788288,0.90846
168,0.724064,0.870125
169,0.802456,0.910936
170,0.819324,0.929818
171,0.777621,0.89768
172,0.762951,0.87425
173,0.802138,0.902607
174,0.792246,0.913672
175,0.775673,0.894816
176,0.737523,0.857686
177,0.789823,0.894544
178,0.793439,0.912528
179,0.762662,0.884219
180,0.736248,0.854589
181,0.773384,0.884909
182,0.776868,0.899997
183,0.767289,0.885033
184,0.714516,0.839318
185,0.760643,0.877909
186,0.783683,0.904537
187,0.758232,0.875919
188,0.705498,0.838
189,0.758891,0.879044
190,0.786442,0.907149
191,0.762253,0.886949
192,0.663589,0.827348
193,0.75842,0.887726
194,0.798,0.918754
195,0.754883,0.881707
196,0.718207,0.843167
