Frame, eSSIM, SSIM
0,0.848485,0.924566
1,0.847266,0.933087
2,0.89848,0.951521
3,0.878203,0.938532
4,0.856149,0.926179
5,0.877861,0.941407
6,0.906487,0.955093
7,0.876671,0.939851
8,0.871019,0.930964
9,0.854842,0.938252
10,0.911416,0.956431
11,0.883325,0.942187
12,0.872703,0.933273
13,0.880928,0.945873
14,0.923817,0.962909
15,0.912547,0.9514
16,0.883067,0.939187
17,0.89633,0.949448
18,0.915226,0.960903
19,0.906851,0.953667
20,0.893569,0.942232
21,0.900512,0.951364
22,0.917411,0.962266
23,0.915253,0.954358
24,0.906568,0.945608
25,0.903728,0.950714
26,0.915874,0.960733
27,0.910269,0.960135
28,0.919742,0.953179
29,0.942128,0.96224
30,0.940394,0.969699
31,0.917842,0.96124
32,0.918607,0.949711
33,0.924314,0.956428
34,0.934938,0.965257
35,0.925454,0.960836
36,0.90913,0.947892
37,0.923053,0.955071
38,0.930342,0.962838
39,0.931663,0.960181
40,0.915526,0.94886
41,0.922299,0.954701
42,0.93283,0.965082
43,0.93072,0.960105
44,0.908884,0.945307
45,0.916349,0.949961
46,0.92582,0.962529
47,0.921272,0.960492
48,0.908558,0.944556
49,0.913739,0.948905
50,0.929372,0.96406
51,0.925375,0.960471
52,0.903251,0.942954
53,0.914146,0.948377
54,0.929495,0.962797
55,0.929787,0.960811
56,0.917509,0.945815
57,0.923019,0.949973
58,0.932427,0.963472
59,0.937594,0.962714
60,0.931036,0.950692
61,0.927173,0.952217
62,0.931243,0.963739
63,0.93916,0.9635
64,0.932757,0.952404
65,0.929449,0.953246
66,0.93444,0.964011
67,0.914974,0.947715
68,0.917753,0.953313
69,0.889375,0.944037
70,0.883541,0.935558
71,0.908838,0.945211
72,0.921561,0.952854
73,0.888842,0.94309
74,0.882471,0.935533
75,0.908749,0.944652
76,0.917224,0.951606
77,0.887406,0.943919
78,0.882932,0.93562
79,0.909932,0.945319
80,0.917806,0.953262
81,0.889228,0.945169
82,0.883356,0.936622
83,0.911438,0.946042
84,0.918761,0.954432
85,0.892417,0.947509
86,0.888247,0.939054
87,0.915073,0.947851
88,0.928837,0.958356
89,0.895026,0.948478
90,0.888284,0.939405
91,0.918446,0.949724
92,0.926806,0.957453
93,0.893485,0.948657
94,0.89044,0.939783
95,0.919174,0.94986
96,0.929481,0.958833
97,0.894786,0.948928
98,0.890364,0.940156
99,0.921005,0.950189
100,0.927402,0.958571
101,0.897175,0.950361
102,0.895252,0.941978
103,0.920318,0.950698
104,0.932946,0.960395
105,0.899677,0.950305
106,0.891023,0.941227
107,0.921355,0.951056
108,0.930881,0.959609
109,0.900829,0.951631
110,0.895812,0.942624
111,0.921868,0.951869
112,0.934621,0.961552
113,0.901772,0.952491
114,0.895519,0.94316
115,0.925206,0.952604
116,0.9351,0.961582
117,0.901686,0.953055
118,0.898923,0.943807
119,0.923463,0.952806
120,0.937216,0.962664
121,0.903023,0.95295
122,0.898181,0.944317
123,0.925216,0.953202
124,0.932966,0.961275
125,0.903384,0.954038
126,0.899928,0.944769
127,0.923541,0.952901
128,0.937916,0.963066
129,0.90501,0.953762
130,0.900134,0.944524
131,0.928807,0.954533
132,0.938234,0.963233
133,0.905571,0.955035
134,0.902856,0.946278
135,0.925564,0.953752
136,0.940816,0.964354
137,0.906617,0.954929
138,0.898828,0.944771
139,0.927686,0.954303
140,0.936622,0.962707
141,0.906564,0.955305
142,0.902893,0.946385
143,0.927833,0.95501
144,0.938543,0.964001
145,0.909825,0.955897
146,0.904332,0.946933
147,0.931839,0.956122
148,0.938896,0.963643
149,0.908611,0.956223
150,0.90348,0.946893
151,0.928444,0.955058
152,0.942858,0.96499
153,0.909604,0.955949
154,0.907363,0.947662
155,0.932584,0.956571
156,0.942461,0.964971
157,0.913287,0.957624
158,0.910637,0.94861
159,0.929972,0.955769
160,0.941932,0.965136
161,0.912559,0.956609
162,0.90543,0.947043
163,0.932362,0.956492
164,0.941145,0.964832
165,0.912452,0.957338
166,0.908818,0.948942
167,0.932829,0.957256
168,0.946265,0.966926
169,0.913503,0.95757
170,0.907355,0.948473
171,0.933592,0.956938
172,0.942562,0.965127
173,0.911902,0.956903
174,0.907778,0.947807
175,0.930948,0.956256
176,0.943736,0.965823
177,0.911365,0.956888
178,0.906657,0.947705
179,0.93351,0.956963
180,0.940967,0.96461
181,0.913694,0.957824
182,0.963123,0.976851
183,0.959246,0.972557
184,0.952706,0.968108
185,0.954643,0.971522
186,0.960358,0.975367
187,0.958333,0.971809
188,0.945002,0.966106
189,0.95209,0.971056
190,0.960027,0.975367
191,0.956612,0.97113
192,0.951967,0.96758
193,0.950934,0.971382
194,0.95996,0.975099
195,0.954901,0.970604
196,0.952698,0.967866
197,0.950617,0.970296
198,0.956006,0.97395
199,0.952763,0.970187
200,0.947596,0.966053
201,0.953568,0.971186
202,0.954168,0.973164
203,0.949552,0.969461
204,0.943529,0.96577
205,0.94791,0.969127
206,0.949867,0.97228
207,0.951758,0.969986
208,0.945641,0.965836
209,0.944634,0.968762
210,0.950048,0.972171
211,0.947912,0.968762
212,0.946392,0.965825
213,0.946771,0.968355
