Frame, eSSIM, SSIM
0,0.880162,0.949009
1,0.924468,0.965131
2,0.936082,0.973349
3,0.875573,0.950812
4,0.908808,0.958695
5,0.935428,0.968252
6,0.936235,0.972549
7,0.93381,0.968519
8,0.923026,0.956425
9,0.941558,0.968789
10,0.949647,0.975214
11,0.921354,0.963957
12,0.933886,0.962956
13,0.94402,0.96827
14,0.934614,0.972784
15,0.937351,0.968893
16,0.932072,0.960771
17,0.944809,0.969364
18,0.958166,0.977619
19,0.937653,0.966753
20,0.937214,0.963586
21,0.947253,0.969471
22,0.950283,0.974526
23,0.944523,0.970884
24,0.929472,0.960063
25,0.944852,0.968399
26,0.955304,0.975596
27,0.934825,0.967321
28,0.931046,0.961929
29,0.934408,0.965937
30,0.936905,0.970115
31,0.924567,0.96487
32,0.919412,0.957436
33,0.940537,0.967813
34,0.948989,0.974062
35,0.92669,0.96556
36,0.9375,0.964744
37,0.94522,0.967578
38,0.953585,0.974149
39,0.942753,0.969663
40,0.921659,0.955833
41,0.948202,0.968064
42,0.959987,0.97553
43,0.923227,0.961416
44,0.924419,0.95718
45,0.929346,0.963883
46,0.950708,0.972161
47,0.937597,0.966342
48,0.923592,0.955543
49,0.950704,0.968185
50,0.961682,0.976354
51,0.925674,0.963763
52,0.936044,0.960023
53,0.947299,0.967589
54,0.954183,0.974636
55,0.945977,0.967415
56,0.923702,0.955659
57,0.951274,0.968947
58,0.954735,0.976114
59,0.93327,0.964869
60,0.935583,0.958128
61,0.948237,0.968019
62,0.960166,0.976011
63,0.940936,0.966223
64,0.925637,0.95588
65,0.946842,0.9682
66,0.963883,0.977252
67,0.934187,0.966243
68,0.939881,0.959884
69,0.952126,0.969329
70,0.96875,0.978364
71,0.956178,0.969705
72,0.94112,0.958736
73,0.957566,0.969888
74,0.968688,0.978076
75,0.948883,0.965079
76,0.939535,0.956011
77,0.953195,0.96808
78,0.962153,0.975461
79,0.911819,0.956071
80,0.924915,0.950865
81,0.951621,0.966546
82,0.961422,0.97511
83,0.942544,0.962499
84,0.943879,0.955907
85,0.949264,0.965508
86,0.965359,0.97592
87,0.953692,0.966256
88,0.942048,0.954285
89,0.952435,0.966236
90,0.962935,0.975928
91,0.949573,0.965281
92,0.943452,0.954751
93,0.952584,0.965245
94,0.963232,0.974885
95,0.954751,0.966803
96,0.942127,0.956103
97,0.948482,0.965632
98,0.966905,0.976003
99,0.953235,0.967159
100,0.945614,0.957633
101,0.947973,0.964914
102,0.959495,0.975225
103,0.94403,0.964754
104,0.94753,0.957387
105,0.948272,0.965483
106,0.969189,0.977029
107,0.956329,0.967652
108,0.942509,0.952871
109,0.94999,0.963948
110,0.968733,0.977623
111,0.955074,0.966819
112,0.946831,0.955048
113,0.955912,0.966414
114,0.972584,0.978419
115,0.958385,0.96936
116,0.949187,0.95832
117,0.951018,0.967165
118,0.96961,0.977771
119,0.961537,0.971392
120,0.946887,0.958487
121,0.953326,0.967492
122,0.965474,0.978882
123,0.959133,0.971193
124,0.947571,0.959422
125,0.945437,0.964889
126,0.961296,0.974465
127,0.952203,0.965871
128,0.93799,0.950338
129,0.942117,0.960731
130,0.955567,0.972723
131,0.947231,0.962306
132,0.93623,0.948207
133,0.943594,0.960738
134,0.965229,0.975381
135,0.954088,0.968223
136,0.942126,0.954992
137,0.952252,0.964954
138,0.969802,0.977896
139,0.953681,0.96513
140,0.946081,0.954774
141,0.953807,0.966043
142,0.968351,0.976535
143,0.955116,0.966718
144,0.945242,0.957113
145,0.955375,0.966621
146,0.969312,0.977291
147,0.956079,0.968238
148,0.946463,0.955945
149,0.95297,0.965225
150,0.968554,0.976155
151,0.950118,0.964568
152,0.943691,0.953812
153,0.947643,0.962875
154,0.961269,0.974455
155,0.949405,0.963958
156,0.943264,0.95338
157,0.951572,0.963793
158,0.968363,0.976833
159,0.960327,0.970919
160,0.951019,0.959784
161,0.954385,0.966818
162,0.968598,0.977477
163,0.955671,0.966832
164,0.942344,0.9538
165,0.953866,0.96539
166,0.958009,0.974385
167,0.946911,0.963558
168,0.929338,0.953899
169,0.945157,0.963981
170,0.959821,0.975974
171,0.949112,0.967324
172,0.937942,0.952733
173,0.942913,0.962124
174,0.965157,0.974851
175,0.951658,0.965232
176,0.93643,0.949626
177,0.946008,0.961347
178,0.965291,0.975806
179,0.949555,0.963766
180,0.931942,0.946459
181,0.947955,0.962871
182,0.966929,0.976485
183,0.947622,0.962717
184,0.938857,0.949358
185,0.951413,0.963733
186,0.966386,0.976532
187,0.949957,0.963707
188,0.937919,0.949411
189,0.948256,0.963178
190,0.965845,0.976158
191,0.950184,0.964097
192,0.941575,0.951443
193,0.942644,0.960768
194,0.966488,0.975355
195,0.952355,0.966048
196,0.939992,0.953617
197,0.945254,0.961918
198,0.965931,0.975444
199,0.950565,0.965975
200,0.944459,0.954306
201,0.947774,0.963559
202,0.968643,0.976648
203,0.952364,0.966795
204,0.942469,0.955451
205,0.948312,0.9648
206,0.967629,0.976077
207,0.956578,0.96782
208,0.944278,0.956308
209,0.955015,0.965784
210,0.97127,0.97748
211,0.9537,0.965463
212,0.945512,0.955021
213,0.950114,0.966083
214,0.967624,0.976281
215,0.950439,0.963634
216,0.937038,0.952488
217,0.953011,0.964631
218,0.965543,0.974904
219,0.953741,0.965706
220,0.938177,0.953198
221,0.950456,0.965335
222,0.96187,0.975674
223,0.948248,0.966748
224,0.944346,0.956005
225,0.953825,0.966754
