Frame, eSSIM, SSIM
0,0.821692,0.92295
1,0.885365,0.948852
2,0.898708,0.960413
3,0.809906,0.925271
4,0.857269,0.936957
5,0.900415,0.954826
6,0.902478,0.962167
7,0.880278,0.950634
8,0.856716,0.933677
9,0.908127,0.957089
10,0.92246,0.966539
11,0.861287,0.944381
12,0.878867,0.942631
13,0.90988,0.957273
14,0.907576,0.964982
15,0.879517,0.951224
16,0.867719,0.939528
17,0.908597,0.959399
18,0.934059,0.971207
19,0.870627,0.949759
20,0.876471,0.943877
21,0.909144,0.959343
22,0.928268,0.968015
23,0.87862,0.954094
24,0.856966,0.938499
25,0.910678,0.957653
26,0.929493,0.968117
27,0.88027,0.950303
28,0.861843,0.93857
29,0.888546,0.953624
30,0.913944,0.963458
31,0.862248,0.947014
32,0.849023,0.934331
33,0.90214,0.956536
34,0.930465,0.968645
35,0.870881,0.950635
36,0.880311,0.948445
37,0.91102,0.958264
38,0.935935,0.967997
39,0.88778,0.95614
40,0.857841,0.935894
41,0.918311,0.959184
42,0.938545,0.96902
43,0.852067,0.94262
44,0.856084,0.9372
45,0.881338,0.950951
46,0.925803,0.964654
47,0.879828,0.95078
48,0.853828,0.934294
49,0.899649,0.957211
50,0.940101,0.969733
51,0.877924,0.951332
52,0.873776,0.943199
53,0.895559,0.956679
54,0.936224,0.969669
55,0.888112,0.955587
56,0.858911,0.93689
57,0.903805,0.95991
58,0.937812,0.971261
59,0.879599,0.952689
60,0.872273,0.942394
61,0.914855,0.960578
62,0.924237,0.971169
63,0.886166,0.9561
64,0.8825,0.942337
65,0.919402,0.961713
66,0.956361,0.974505
67,0.904993,0.958215
68,0.902244,0.950134
69,0.933238,0.964388
70,0.961692,0.976263
71,0.932283,0.96384
72,0.914498,0.950308
73,0.935053,0.964921
74,0.958134,0.97492
75,0.923508,0.957116
76,0.898815,0.941943
77,0.927885,0.961116
78,0.949026,0.971694
79,0.849589,0.941112
80,0.873445,0.935065
81,0.916394,0.959241
82,0.952851,0.972352
83,0.911536,0.953662
84,0.914991,0.945594
85,0.932941,0.96
86,0.955183,0.973139
87,0.934229,0.96092
88,0.902513,0.944801
89,0.936223,0.961121
90,0.955748,0.973092
91,0.92286,0.959081
92,0.922031,0.946814
93,0.935123,0.96011
94,0.953124,0.971973
95,0.934511,0.960621
96,0.91965,0.94694
97,0.935046,0.959842
98,0.954724,0.972318
99,0.930465,0.959942
100,0.909346,0.946805
101,0.930943,0.958421
102,0.948308,0.970845
103,0.878229,0.951939
104,0.917595,0.946769
105,0.933277,0.960261
106,0.961246,0.974589
107,0.938747,0.962164
108,0.918125,0.943908
109,0.928492,0.959028
110,0.960782,0.975666
111,0.938666,0.961363
112,0.928389,0.948256
113,0.93909,0.962546
114,0.965895,0.976353
115,0.943304,0.963677
116,0.930678,0.951506
117,0.937913,0.962282
118,0.959816,0.974996
119,0.94837,0.966471
120,0.920765,0.949244
121,0.937179,0.961948
122,0.950315,0.974856
123,0.929081,0.963783
124,0.917632,0.948966
125,0.925143,0.95858
126,0.95406,0.971767
127,0.925863,0.958048
128,0.899893,0.937751
129,0.91785,0.953591
130,0.940213,0.968824
131,0.919785,0.953351
132,0.89204,0.934783
133,0.918682,0.95411
134,0.959914,0.973328
135,0.937829,0.962824
136,0.919723,0.946877
137,0.932508,0.959805
138,0.96362,0.97592
139,0.939116,0.959784
140,0.923931,0.945921
141,0.933736,0.960606
142,0.959147,0.973978
143,0.934228,0.960922
144,0.911507,0.948218
145,0.934262,0.960524
146,0.961018,0.973944
147,0.930229,0.962769
148,0.918935,0.946716
149,0.92909,0.959495
150,0.960828,0.974179
151,0.922597,0.956563
152,0.915486,0.942317
153,0.922333,0.956115
154,0.949196,0.971382
155,0.918717,0.955106
156,0.910859,0.942358
157,0.932072,0.958221
158,0.961172,0.974393
159,0.938648,0.964988
160,0.924755,0.951063
161,0.933995,0.961362
162,0.953151,0.9742
163,0.932673,0.959581
164,0.909367,0.94287
165,0.922346,0.957156
166,0.944366,0.970695
167,0.901302,0.952505
168,0.8867,0.939712
169,0.916452,0.955644
170,0.947187,0.972175
171,0.927576,0.961051
172,0.899565,0.939426
173,0.912757,0.954646
174,0.956987,0.972549
175,0.92055,0.957387
176,0.889065,0.937255
177,0.925869,0.954945
178,0.955213,0.973534
179,0.921571,0.954677
180,0.898915,0.932872
181,0.929425,0.956722
182,0.960916,0.97492
183,0.914966,0.953567
184,0.905748,0.935784
185,0.932413,0.958123
186,0.959263,0.974267
187,0.915608,0.954067
188,0.901516,0.934932
189,0.927223,0.956725
190,0.955689,0.973895
191,0.922953,0.955942
192,0.909132,0.937713
193,0.918208,0.95359
194,0.959347,0.973295
195,0.931597,0.959244
196,0.903014,0.939627
197,0.917378,0.953493
198,0.960375,0.973849
199,0.928791,0.959834
200,0.916845,0.944115
201,0.926172,0.957092
202,0.960082,0.974308
203,0.936165,0.960906
204,0.922453,0.945327
205,0.929263,0.958308
206,0.961444,0.973696
207,0.939379,0.96167
208,0.916825,0.946867
209,0.928936,0.960127
210,0.961853,0.974634
211,0.929115,0.959348
212,0.915533,0.946667
213,0.927728,0.960427
214,0.957052,0.973178
215,0.936039,0.958139
216,0.908302,0.942962
217,0.924171,0.958395
218,0.955056,0.972
219,0.93419,0.959149
220,0.903974,0.940762
221,0.918456,0.957494
222,0.944659,0.971809
223,0.92284,0.959332
224,0.91288,0.945926
225,0.931767,0.960721
226,0.958955,0.974224
227,0.905198,0.959786
228,0.910076,0.94646
229,0.927485,0.96161
230,0.95436,0.973562
231,0.923088,0.958567
232,0.919604,0.946532
233,0.936286,0.961029
234,0.955937,0.973098
235,0.931779,0.958126
236,0.915565,0.946476
237,0.928763,0.960365
238,0.951375,0.971566
239,0.924322,0.959769
240,0.922673,0.950411
241,0.933864,0.960748
242,0.952364,0.970759
243,0.928964,0.960208
244,0.924503,0.947635
245,0.927427,0.958855
246,0.950621,0.971022
247,0.924149,0.956081
248,0.915692,0.944791
249,0.924266,0.958339
250,0.951772,0.970645
251,0.917916,0.955175
252,0.900734,0.943474
253,0.937393,0.959606
254,0.950733,0.970049
255,0.913513,0.956373
256,0.918535,0.944432
257,0.931928,0.959042
258,0.956091,0.973096
259,0.936357,0.961075
260,0.919308,0.948043
261,0.937201,0.960689
262,0.956376,0.973845
263,0.92736,0.961872
264,0.912426,0.945928
265,0.934414,0.959557
266,0.959135,0.974883
267,0.943975,0.964362
268,0.927014,0.948716
269,0.93405,0.959196
270,0.961834,0.974851
271,0.942064,0.964008
272,0.927173,0.947641
273,0.931763,0.958435
274,0.960259,0.974025
275,0.939034,0.963909
276,0.923208,0.948098
277,0.929654,0.958205
278,0.961171,0.974771
279,0.931064,0.961922
280,0.914048,0.945576
281,0.912212,0.953894
282,0.950187,0.972192
283,0.900393,0.95451
284,0.83913,0.926233
285,0.87782,0.946013
286,0.942366,0.969629
287,0.878478,0.951016
288,0.839236,0.923133
289,0.897408,0.949405
290,0.950089,0.971283
291,0.89793,0.952386
292,0.880997,0.929998
293,0.891384,0.946332
294,0.947619,0.971486
295,0.912809,0.954508
296,0.87766,0.930343
297,0.87315,0.943762
298,0.942486,0.971944
299,0.915664,0.954683
300,0.87116,0.9251
301,0.871725,0.940396
302,0.946289,0.971648
303,0.902686,0.951488
304,0.856659,0.918902
305,0.863179,0.938288
306,0.950342,0.973251
307,0.901556,0.953403
308,0.850856,0.917544
309,0.849918,0.934565
310,0.94931,0.97237
311,0.907313,0.953229
312,0.83623,0.912851
313,0.853638,0.935234
314,0.948709,0.972761
315,0.89278,0.951889
316,0.842384,0.915304
317,0.847218,0.932285
318,0.945858,0.970985
319,0.871676,0.945143
320,0.811723,0.900954
321,0.838613,0.930975
322,0.951104,0.972454
323,0.885415,0.94949
324,0.828167,0.910315
325,0.828917,0.925828
326,0.94727,0.971743
327,0.897582,0.953496
328,0.811794,0.904252
329,0.834644,0.928961
330,0.950675,0.973118
331,0.894212,0.952764
332,0.837096,0.915553
333,0.829832,0.926031
334,0.942199,0.97106
335,0.893212,0.952306
336,0.799183,0.898716
337,0.817347,0.921042
338,0.944341,0.971372
339,0.870575,0.948957
340,0.806642,0.898856
341,0.814715,0.919821
342,0.945565,0.971444
343,0.87195,0.942534
344,0.777343,0.87781
345,0.798283,0.912261
346,0.938917,0.968813
347,0.850634,0.936562
348,0.78038,0.884028
349,0.80465,0.916282
350,0.938061,0.970891
351,0.873436,0.946935
352,0.783628,0.888492
353,0.798223,0.913845
354,0.936428,0.970904
355,0.875733,0.949139
356,0.773187,0.886943
357,0.798425,0.912771
358,0.93168,0.968925
359,0.867745,0.948395
360,0.784316,0.894243
361,0.7889,0.909467
362,0.936212,0.969661
363,0.869549,0.947132
364,0.771742,0.880403
365,0.797597,0.91144
366,0.931413,0.967405
367,0.840136,0.932707
368,0.741064,0.862255
369,0.788096,0.906535
370,0.928963,0.967645
371,0.860395,0.944517
372,0.777631,0.888947
373,0.789452,0.909639
374,0.930758,0.970373
375,0.866708,0.949108
376,0.769194,0.880702
377,0.791582,0.909384
378,0.927848,0.968336
379,0.858601,0.941838
380,0.765903,0.878803
381,0.783609,0.905005
382,0.924464,0.96686
383,0.860941,0.944959
384,0.757441,0.878633
385,0.785576,0.906902
386,0.923621,0.967034
387,0.852264,0.938746
388,0.762051,0.877004
389,0.787471,0.907627
390,0.918227,0.965878
391,0.840549,0.934352
392,0.741883,0.862644
393,0.769122,0.897485
394,0.913244,0.96356
395,0.854293,0.940246
396,0.752008,0.872683
397,0.770806,0.899441
398,0.916146,0.967427
399,0.860539,0.946143
400,0.751758,0.872566
401,0.771913,0.898692
402,0.915645,0.965531
403,0.847266,0.941515
404,0.754368,0.875686
405,0.760245,0.892162
406,0.913192,0.965532
407,0.854591,0.94484
408,0.75273,0.87218
409,0.770247,0.897163
410,0.917124,0.965884
411,0.860614,0.946188
412,0.757314,0.873962
413,0.773598,0.896556
414,0.916519,0.96546
415,0.853253,0.943066
416,0.743369,0.863912
417,0.766172,0.891203
418,0.911995,0.964675
419,0.853136,0.941441
420,0.737036,0.859977
421,0.755019,0.88604
422,0.911248,0.963132
423,0.842407,0.93668
424,0.754045,0.869511
425,0.769952,0.893112
426,0.91083,0.963499
427,0.84996,0.940464
428,0.762937,0.877468
429,0.778892,0.897926
430,0.912322,0.964564
431,0.859684,0.945813
432,0.761931,0.87758
433,0.783444,0.902644
434,0.911777,0.964256
435,0.85475,0.944381
436,0.771563,0.884556
437,0.78975,0.904963
438,0.913901,0.965853
439,0.85985,0.946563
440,0.773921,0.885167
441,0.791223,0.906919
442,0.911699,0.965258
443,0.856281,0.945437
444,0.778824,0.888607
445,0.800376,0.909758
446,0.912841,0.965567
447,0.860009,0.945866
448,0.782912,0.890007
449,0.811153,0.913971
450,0.911119,0.96523
451,0.867023,0.946722
452,0.802443,0.897359
453,0.815722,0.914889
454,0.910002,0.964387
455,0.861888,0.94595
456,0.798351,0.895575
457,0.814542,0.914585
458,0.908995,0.963985
459,0.86775,0.94655
460,0.802549,0.89652
461,0.818204,0.915631
462,0.908878,0.963553
463,0.871355,0.945969
464,0.7995,0.895702
465,0.814813,0.914244
466,0.905318,0.962625
467,0.862856,0.944208
468,0.800558,0.895294
469,0.814884,0.913714
470,0.903892,0.962546
471,0.862561,0.945463
472,0.79933,0.895867
473,0.814962,0.913904
474,0.906044,0.962782
475,0.866015,0.945766
476,0.802424,0.896477
477,0.816916,0.914154
478,0.906337,0.963449
479,0.870653,0.946986
480,0.811406,0.900514
481,0.821116,0.916302
482,0.906553,0.963625
483,0.876273,0.948109
484,0.81365,0.900854
485,0.829115,0.918536
486,0.906731,0.963813
487,0.876747,0.947873
488,0.812955,0.900598
489,0.828546,0.918726
490,0.906517,0.963024
491,0.878392,0.948284
492,0.816736,0.901506
493,0.834368,0.919946
494,0.907883,0.962785
495,0.872772,0.946104
496,0.807288,0.897573
497,0.821007,0.914025
498,0.904705,0.961212
499,0.865416,0.944037
500,0.803182,0.894216
501,0.81684,0.911776
502,0.904645,0.960509
503,0.865367,0.943129
504,0.80289,0.894371
505,0.817963,0.911523
506,0.905367,0.959809
507,0.864818,0.942182
508,0.802579,0.892334
509,0.820172,0.912203
510,0.902406,0.959323
511,0.86554,0.940106
512,0.79837,0.89023
513,0.816483,0.910007
514,0.898267,0.957037
515,0.860086,0.938415
516,0.799572,0.889493
517,0.817325,0.909291
518,0.898987,0.95649
519,0.855442,0.936599
520,0.787749,0.88434
521,0.808409,0.904877
522,0.89594,0.954678
523,0.856536,0.93699
524,0.787976,0.882747
525,0.804882,0.903543
526,0.894563,0.953301
527,0.852135,0.933687
528,0.791286,0.885642
529,0.800149,0.90273
530,0.893738,0.954102
531,0.844829,0.932256
532,0.779461,0.88027
533,0.804931,0.904145
534,0.892138,0.953653
535,0.848597,0.932639
536,0.78082,0.878062
537,0.799007,0.900312
538,0.891148,0.953943
539,0.848137,0.934291
540,0.782166,0.879253
541,0.800706,0.901185
542,0.88922,0.953921
543,0.845812,0.932442
544,0.785683,0.881073
545,0.802733,0.902747
546,0.89041,0.954585
547,0.84867,0.933087
548,0.787079,0.880795
549,0.805371,0.903191
550,0.889136,0.954208
551,0.851009,0.934402
552,0.795963,0.885771
553,0.808788,0.905052
554,0.88812,0.953601
555,0.85533,0.935554
556,0.798159,0.887039
557,0.813196,0.906797
558,0.889806,0.954207
559,0.857873,0.935279
560,0.803439,0.89003
561,0.81386,0.90635
562,0.891919,0.954596
563,0.856414,0.934087
564,0.798007,0.884484
565,0.816318,0.907148
566,0.888488,0.952947
567,0.859162,0.933637
568,0.80089,0.885252
569,0.814377,0.90634
570,0.887922,0.952506
571,0.858582,0.933262
572,0.808747,0.89123
573,0.824841,0.91056
574,0.888195,0.95291
575,0.85654,0.933323
576,0.811397,0.892221
577,0.832959,0.914398
578,0.889901,0.952688
579,0.858369,0.933549
580,0.819886,0.895495
581,0.840632,0.917523
582,0.888762,0.951751
583,0.855144,0.9319
584,0.818078,0.896534
585,0.834748,0.915309
586,0.887951,0.951274
587,0.859295,0.932515
588,0.82252,0.897816
589,0.838293,0.916317
590,0.887729,0.950839
591,0.86099,0.933026
592,0.822044,0.897718
593,0.844315,0.918472
594,0.892657,0.952119
595,0.870604,0.936094
596,0.838513,0.904743
597,0.847643,0.919856
598,0.892465,0.952103
599,0.872316,0.936384
600,0.835833,0.903401
601,0.848217,0.91951
602,0.88919,0.950434
603,0.875664,0.937612
604,0.84042,0.906255
605,0.852613,0.921286
606,0.892748,0.951316
607,0.878127,0.936713
608,0.845045,0.907613
609,0.852199,0.921888
610,0.894215,0.951579
611,0.877855,0.937557
612,0.850485,0.909729
613,0.861702,0.925562
614,0.896231,0.952121
615,0.883956,0.938778
616,0.85462,0.911816
617,0.864015,0.926991
618,0.897196,0.952351
619,0.885236,0.939571
620,0.857564,0.9151
621,0.867186,0.928353
622,0.899172,0.953072
623,0.886954,0.939726
624,0.856182,0.914866
625,0.866102,0.929299
626,0.900505,0.953707
627,0.886028,0.940339
