Frame, eSSIM, SSIM
0,0.560588,0.747537
1,0.625675,0.79771
2,0.671144,0.839428
3,0.673371,0.831889
4,0.662549,0.809061
5,0.66596,0.822297
6,0.673559,0.842193
7,0.688139,0.841861
8,0.688955,0.826162
9,0.673025,0.827765
10,0.674704,0.842381
11,0.696679,0.847174
12,0.698552,0.834332
13,0.67711,0.830357
14,0.676573,0.843628
15,0.701087,0.850815
16,0.704797,0.838527
17,0.678743,0.832647
18,0.677885,0.844245
19,0.706169,0.852957
20,0.688137,0.834512
21,0.647418,0.810341
22,0.672784,0.841632
23,0.695432,0.844424
24,0.477123,0.68786
25,0.613959,0.789497
26,0.669682,0.839603
27,0.670725,0.830461
28,0.648795,0.79986
29,0.658028,0.81684
30,0.67134,0.841289
31,0.685669,0.840184
32,0.683466,0.822546
33,0.668215,0.824428
34,0.67133,0.840417
35,0.698311,0.847627
36,0.696571,0.832504
37,0.67389,0.827459
38,0.674165,0.841549
39,0.700364,0.850152
40,0.702925,0.836986
41,0.675104,0.829321
42,0.674679,0.841651
43,0.702215,0.850742
44,0.692649,0.834882
45,0.647395,0.809246
46,0.671613,0.839033
47,0.686625,0.84005
48,0.474444,0.686192
49,0.612139,0.787992
50,0.668775,0.837907
51,0.669733,0.828926
52,0.646193,0.79849
53,0.656691,0.815209
54,0.670993,0.839814
55,0.685206,0.839014
56,0.68204,0.821514
57,0.666833,0.823106
58,0.671862,0.839514
59,0.697192,0.846997
60,0.695548,0.832361
61,0.672864,0.826778
62,0.67382,0.841168
63,0.700345,0.849968
64,0.702066,0.837275
65,0.675713,0.829915
66,0.675027,0.841642
67,0.702635,0.851385
68,0.698281,0.837687
69,0.647411,0.809656
70,0.670844,0.839177
71,0.695879,0.844043
72,0.4763,0.687279
73,0.613549,0.788656
74,0.667497,0.837303
75,0.668357,0.828544
76,0.650148,0.800285
77,0.656531,0.81588
78,0.669702,0.839286
79,0.683457,0.838014
80,0.68376,0.822437
81,0.668955,0.824459
82,0.671645,0.84011
83,0.696965,0.846621
84,0.697747,0.833251
85,0.675196,0.828457
86,0.676012,0.841916
87,0.703351,0.850978
88,0.704553,0.838055
89,0.679063,0.831333
90,0.678063,0.842531
91,0.704848,0.85227
92,0.698968,0.837844
93,0.647927,0.809252
94,0.672974,0.839737
95,0.695736,0.844164
96,0.464254,0.67656
97,0.609989,0.785497
98,0.670124,0.837807
99,0.669612,0.829089
100,0.643366,0.795758
101,0.65384,0.813594
102,0.670765,0.839555
103,0.683899,0.83801
104,0.675741,0.81761
105,0.659157,0.818607
106,0.670221,0.83935
107,0.694054,0.844758
108,0.662229,0.817882
109,0.679788,0.853905
110,0.878627,0.961318
111,0.844474,0.93885
112,0.807563,0.90654
113,0.820355,0.929017
114,0.88103,0.96197
115,0.854087,0.942032
116,0.818102,0.912424
117,0.813592,0.928613
118,0.867249,0.958695
119,0.852352,0.939935
120,0.802962,0.905661
121,0.783039,0.919507
122,0.867593,0.957108
123,0.841133,0.936387
124,0.776964,0.898827
125,0.774706,0.919167
126,0.867074,0.956791
127,0.837505,0.935247
128,0.793514,0.904917
129,0.79603,0.925449
130,0.874904,0.95942
131,0.85432,0.940524
132,0.804668,0.906443
133,0.743167,0.908708
134,0.868356,0.959814
135,0.825353,0.932105
136,0.77647,0.894484
137,0.788171,0.920749
138,0.874722,0.959391
139,0.826586,0.933096
140,0.787095,0.901801
141,0.797081,0.926218
142,0.87458,0.959796
143,0.842315,0.938344
144,0.806833,0.910556
145,0.809941,0.931267
146,0.868863,0.959891
147,0.848944,0.940424
148,0.816925,0.91511
149,0.810728,0.931685
150,0.865309,0.959748
151,0.842735,0.940309
152,0.809828,0.913393
153,0.795088,0.928151
154,0.863822,0.959616
155,0.826218,0.935867
156,0.772471,0.900231
157,0.736994,0.909098
158,0.869004,0.963363
159,0.81032,0.929974
160,0.759375,0.894033
161,0.777217,0.920623
162,0.855351,0.958153
163,0.801814,0.927927
164,0.787114,0.90326
165,0.78177,0.925385
166,0.877663,0.961925
167,0.808926,0.929204
168,0.761038,0.894645
169,0.772888,0.923149
170,0.860525,0.959037
171,0.814354,0.93201
172,0.77328,0.900388
173,0.765376,0.922314
174,0.873922,0.960944
175,0.833471,0.937248
176,0.779181,0.903477
177,0.766806,0.921277
178,0.866916,0.958018
179,0.821797,0.933159
180,0.758698,0.895264
181,0.722866,0.906884
182,0.86471,0.960247
183,0.814194,0.93132
184,0.765231,0.89624
185,0.773628,0.922094
186,0.873423,0.961926
187,0.809247,0.930299
188,0.755363,0.894351
189,0.775747,0.923665
190,0.863297,0.959708
191,0.810556,0.932
192,0.776932,0.904262
193,0.776749,0.926191
194,0.869528,0.960165
195,0.805059,0.931495
196,0.762963,0.900108
197,0.773221,0.925527
198,0.868842,0.961129
199,0.818446,0.937515
200,0.789244,0.910208
201,0.780914,0.927667
202,0.88427,0.964516
203,0.844252,0.943086
204,0.784957,0.907691
205,0.766635,0.922175
206,0.885704,0.96641
207,0.83843,0.940967
208,0.783637,0.906514
209,0.784513,0.927531
210,0.894907,0.965471
211,0.842623,0.941673
212,0.796229,0.910265
213,0.790891,0.930932
214,0.899872,0.967578
215,0.8592,0.946908
216,0.807943,0.914852
217,0.790561,0.930515
218,0.892595,0.966059
219,0.859855,0.946636
220,0.795975,0.912028
221,0.788299,0.929054
222,0.889221,0.96477
223,0.849351,0.945952
224,0.797755,0.916034
225,0.794531,0.932548
226,0.883622,0.964186
227,0.84721,0.946479
228,0.805967,0.916395
229,0.780822,0.928476
230,0.885674,0.967317
231,0.857718,0.948005
232,0.822959,0.920133
233,0.819648,0.937414
234,0.903094,0.967494
235,0.873879,0.94929
236,0.795455,0.918314
237,0.569707,0.800154
238,0.727225,0.862317
239,0.661185,0.808143
240,0.625381,0.758893
241,0.675596,0.81418
242,0.72834,0.861945
243,0.687373,0.82477
244,0.660664,0.787732
245,0.700606,0.82888
246,0.728588,0.861707
247,0.698746,0.832488
248,0.683451,0.805185
249,0.711684,0.836122
250,0.729478,0.862432
251,0.704381,0.836306
252,0.692081,0.812458
253,0.715021,0.839462
254,0.729761,0.862
255,0.706829,0.837885
256,0.69598,0.816236
257,0.715121,0.840991
258,0.729112,0.861956
259,0.683334,0.820289
260,0.65635,0.780682
261,0.554578,0.749292
262,0.724989,0.860415
263,0.659385,0.806586
264,0.623008,0.757362
265,0.676535,0.814267
266,0.729155,0.862162
267,0.683834,0.823583
268,0.659301,0.787183
269,0.701633,0.829546
270,0.726541,0.86098
271,0.696048,0.831339
272,0.680538,0.803691
273,0.708446,0.834591
274,0.728024,0.861787
275,0.699909,0.835265
276,0.688712,0.810847
277,0.715971,0.839453
278,0.727595,0.861671
279,0.702592,0.837007
280,0.693175,0.815568
281,0.717215,0.841034
282,0.72916,0.862014
283,0.677846,0.817969
284,0.655344,0.780802
285,0.555155,0.750126
286,0.725812,0.861053
287,0.658493,0.806265
288,0.622684,0.756631
289,0.678512,0.814943
290,0.728133,0.861405
291,0.685166,0.823642
292,0.658131,0.786878
293,0.701321,0.830279
294,0.728501,0.861782
295,0.697963,0.832869
296,0.681951,0.805467
297,0.707734,0.835482
298,0.728465,0.861848
299,0.703657,0.836601
300,0.689452,0.811875
301,0.715372,0.839767
302,0.729119,0.8618
303,0.705835,0.837456
304,0.698044,0.817295
305,0.718477,0.841757
306,0.730081,0.86204
307,0.68003,0.817563
308,0.657761,0.780732
309,0.555645,0.750438
310,0.726938,0.861509
311,0.658774,0.806577
312,0.623589,0.756944
313,0.678298,0.81457
314,0.729873,0.861883
315,0.683333,0.822226
316,0.657035,0.784809
317,0.701695,0.82982
318,0.730533,0.862478
319,0.696983,0.831466
320,0.680628,0.803603
321,0.710376,0.836426
322,0.731128,0.862992
323,0.7027,0.83533
324,0.688811,0.810769
325,0.713799,0.839317
326,0.730342,0.862459
327,0.70357,0.836491
328,0.692509,0.814228
329,0.719262,0.841863
330,0.731213,0.863012
331,0.681631,0.817769
332,0.657887,0.780132
333,0.556221,0.750863
334,0.72675,0.861603
335,0.657716,0.804369
336,0.622651,0.756136
337,0.679489,0.815612
338,0.729407,0.861985
339,0.684628,0.822387
340,0.657455,0.784773
341,0.701749,0.829391
342,0.729744,0.862371
343,0.694364,0.829558
344,0.680418,0.802935
345,0.710077,0.835921
346,0.7302,0.862877
347,0.700711,0.834356
348,0.688749,0.81072
349,0.713669,0.839549
350,0.72866,0.861899
351,0.702156,0.835906
352,0.693503,0.814477
353,0.717228,0.841121
354,0.728469,0.861709
355,0.677,0.815665
356,0.652384,0.777182
357,0.554877,0.749257
358,0.72386,0.860139
359,0.654685,0.802519
360,0.623304,0.756132
361,0.681964,0.816426
362,0.727609,0.86107
363,0.681935,0.82133
364,0.657846,0.785349
365,0.701992,0.829239
366,0.726663,0.860273
367,0.692277,0.828719
368,0.677631,0.801379
369,0.710566,0.835088
370,0.727965,0.86063
371,0.696719,0.831843
372,0.686154,0.809281
373,0.714326,0.838541
374,0.726911,0.859915
375,0.698373,0.833067
376,0.691913,0.813817
377,0.717336,0.840832
378,0.726928,0.859824
379,0.678669,0.816625
380,0.657587,0.780391
381,0.556267,0.749794
382,0.722392,0.858993
383,0.655787,0.802628
384,0.625194,0.756658
385,0.681437,0.815322
386,0.725638,0.859484
387,0.681445,0.820317
388,0.660727,0.786652
389,0.70419,0.830322
390,0.725344,0.859062
391,0.691814,0.828077
392,0.682141,0.803954
393,0.709842,0.835159
394,0.725887,0.859743
395,0.696992,0.831697
396,0.68947,0.811083
397,0.71657,0.839922
398,0.729281,0.862182
399,0.704461,0.837526
400,0.698209,0.817845
401,0.720655,0.844183
402,0.733813,0.864999
403,0.687959,0.822678
404,0.665299,0.785393
405,0.566034,0.759185
406,0.736037,0.869183
407,0.662272,0.810069
408,0.627737,0.759206
409,0.688567,0.822748
410,0.741046,0.871887
411,0.690114,0.828235
412,0.664603,0.789313
413,0.71551,0.839019
414,0.748467,0.87599
415,0.705827,0.838404
416,0.688007,0.806461
417,0.725461,0.845846
418,0.753566,0.879238
419,0.712623,0.842813
420,0.694948,0.811401
421,0.72859,0.847755
422,0.759232,0.881966
423,0.718731,0.845832
424,0.70077,0.813562
425,0.729768,0.849188
426,0.765547,0.885633
427,0.705919,0.835753
428,0.674195,0.789091
429,0.593377,0.784066
430,0.772774,0.892276
431,0.676348,0.823151
432,0.632568,0.76322
433,0.70369,0.837215
434,0.780769,0.896061
435,0.706865,0.84099
436,0.67142,0.793003
437,0.730238,0.851945
438,0.785531,0.898663
439,0.72189,0.850297
440,0.693636,0.808749
441,0.741517,0.858822
442,0.792761,0.902131
443,0.731766,0.855551
444,0.701634,0.814896
445,0.743036,0.86083
446,0.799681,0.904904
447,0.739029,0.860084
448,0.705883,0.816954
449,0.743604,0.861475
450,0.805445,0.907681
451,0.728611,0.852264
452,0.689073,0.79937
453,0.624296,0.810489
454,0.814864,0.915181
455,0.695975,0.839738
456,0.645203,0.77408
457,0.719545,0.852871
458,0.821327,0.918179
459,0.728414,0.857348
460,0.683904,0.802436
461,0.74725,0.867144
462,0.82758,0.920478
463,0.74719,0.867209
464,0.707216,0.818698
465,0.757189,0.872928
466,0.834916,0.923641
467,0.757428,0.872875
468,0.716065,0.824659
469,0.761275,0.875553
470,0.840558,0.925735
471,0.762981,0.875305
472,0.720084,0.825885
473,0.757894,0.874779
474,0.847103,0.927965
475,0.753484,0.869075
476,0.704203,0.812209
477,0.657069,0.835096
478,0.852716,0.932029
479,0.712962,0.854273
480,0.65758,0.78585
481,0.736025,0.868631
482,0.859423,0.935034
483,0.746671,0.871037
484,0.698674,0.814653
485,0.76211,0.881331
486,0.864212,0.937522
487,0.766187,0.881094
488,0.721281,0.829482
489,0.771661,0.886672
490,0.867919,0.939678
491,0.778287,0.886034
492,0.733854,0.835856
493,0.776384,0.888993
494,0.871925,0.941264
495,0.785691,0.889054
496,0.739433,0.838719
497,0.772059,0.888102
498,0.875962,0.942986
499,0.779801,0.886546
500,0.726604,0.830599
501,0.708445,0.864586
502,0.873164,0.944579
503,0.733937,0.870819
504,0.692293,0.813041
505,0.773341,0.890318
506,0.877304,0.946233
507,0.767655,0.885741
508,0.733178,0.839098
509,0.795277,0.900964
510,0.876792,0.947826
511,0.787901,0.894247
512,0.753498,0.851323
513,0.800642,0.904442
514,0.879427,0.949011
515,0.799502,0.899008
516,0.765513,0.857331
517,0.804018,0.906043
518,0.880294,0.949614
519,0.809843,0.902516
520,0.770284,0.860138
521,0.799936,0.905105
522,0.879368,0.94961
523,0.811616,0.905178
524,0.773523,0.864243
525,0.761757,0.891221
526,0.867179,0.949148
527,0.784453,0.896682
528,0.755815,0.855606
529,0.812166,0.910746
530,0.870559,0.950239
531,0.813935,0.908231
532,0.790591,0.876191
533,0.824492,0.918202
534,0.872785,0.951594
535,0.830811,0.914738
536,0.807924,0.885798
537,0.830599,0.921334
538,0.874849,0.951851
539,0.840345,0.918627
540,0.814461,0.890193
541,0.830304,0.921615
542,0.880412,0.95177
543,0.841873,0.919508
544,0.812924,0.891182
545,0.827082,0.920397
546,0.879892,0.950886
547,0.840591,0.921341
548,0.810344,0.896569
549,0.785769,0.908661
550,0.850125,0.945343
551,0.816486,0.91574
552,0.791267,0.889778
553,0.828156,0.921839
554,0.864755,0.946098
555,0.837511,0.920795
556,0.815025,0.899915
557,0.840298,0.927155
558,0.87008,0.947039
559,0.84613,0.925059
560,0.830836,0.909086
561,0.853797,0.932615
562,0.874699,0.947751
563,0.853171,0.928678
564,0.843948,0.915623
565,0.859406,0.935638
566,0.873983,0.94755
567,0.859012,0.930377
568,0.846058,0.918313
569,0.852965,0.936013
570,0.872849,0.947339
571,0.843668,0.925847
572,0.821665,0.906989
573,0.792417,0.909305
574,0.842589,0.941796
575,0.825259,0.917869
576,0.804983,0.895128
577,0.830618,0.922631
578,0.861332,0.944757
579,0.843892,0.924462
580,0.82342,0.906147
581,0.840056,0.92912
582,0.863085,0.946077
583,0.852762,0.927765
584,0.834038,0.912069
585,0.84562,0.932237
586,0.865405,0.946567
587,0.856956,0.929887
588,0.839531,0.91667
589,0.848281,0.934288
590,0.865874,0.946808
591,0.861145,0.931714
592,0.845586,0.920106
593,0.84714,0.936412
594,0.86679,0.947349
595,0.851463,0.927961
596,0.821316,0.907189
597,0.78938,0.908986
598,0.849724,0.944201
599,0.824195,0.918308
600,0.802428,0.893662
601,0.831814,0.9235
602,0.861129,0.945548
603,0.843367,0.923882
604,0.826696,0.906261
605,0.847099,0.930309
606,0.871057,0.947323
607,0.856748,0.929202
608,0.841403,0.914806
609,0.861273,0.935455
610,0.879757,0.948766
611,0.864306,0.932814
612,0.852534,0.920821
613,0.866658,0.938815
614,0.879569,0.949166
615,0.866096,0.934489
616,0.855553,0.924913
617,0.866343,0.940691
618,0.879785,0.9497
619,0.85223,0.930018
620,0.832041,0.912531
621,0.792154,0.909998
622,0.845288,0.944049
623,0.82965,0.921095
624,0.806347,0.898125
625,0.835234,0.924592
626,0.866109,0.946505
627,0.852579,0.928866
628,0.834443,0.91073
629,0.847239,0.930502
630,0.871006,0.948111
631,0.865651,0.932956
632,0.845868,0.916799
633,0.854686,0.934217
634,0.877433,0.9493
635,0.872486,0.935949
636,0.851325,0.921374
637,0.858101,0.937241
638,0.881707,0.950568
639,0.875277,0.936869
