Frame, eSSIM, SSIM
0,0.869252,0.931771
1,0.85261,0.935531
2,0.909652,0.951195
3,0.841028,0.929127
4,0.820166,0.91447
5,0.834675,0.930325
6,0.906519,0.950558
7,0.8249,0.921355
8,0.797339,0.906035
9,0.823074,0.926639
10,0.894631,0.947932
11,0.82561,0.924302
12,0.804802,0.909138
13,0.817289,0.924706
14,0.905235,0.95261
15,0.823281,0.92633
16,0.765104,0.89014
17,0.82034,0.922846
18,0.894984,0.948045
19,0.867342,0.934599
20,0.819049,0.910772
21,0.84688,0.932285
22,0.901136,0.952345
23,0.884056,0.939932
24,0.833722,0.918859
25,0.864136,0.939275
26,0.909947,0.954477
27,0.892048,0.943118
28,0.838272,0.924387
29,0.858053,0.941287
30,0.917098,0.957216
31,0.890453,0.942729
32,0.842815,0.92628
33,0.87351,0.945952
34,0.919929,0.958248
35,0.887884,0.943878
36,0.85761,0.932535
37,0.898409,0.951479
38,0.91917,0.958803
39,0.889412,0.943597
40,0.853296,0.931131
41,0.887816,0.949763
42,0.914154,0.956655
43,0.878219,0.939796
44,0.846716,0.92898
45,0.893217,0.948547
46,0.908622,0.955228
47,0.872855,0.939545
48,0.863206,0.930794
49,0.896532,0.94937
50,0.918863,0.958958
51,0.890344,0.947234
52,0.882938,0.939364
53,0.910186,0.955173
54,0.929916,0.963876
55,0.904946,0.951149
56,0.890813,0.941998
57,0.914044,0.957449
58,0.931454,0.964435
59,0.90683,0.951931
60,0.888232,0.943785
61,0.915597,0.958819
62,0.931889,0.963458
63,0.900469,0.949469
64,0.866568,0.936359
65,0.906244,0.955582
66,0.916133,0.959195
67,0.895313,0.947109
68,0.875135,0.939562
69,0.906288,0.956438
70,0.923337,0.960988
71,0.895512,0.94817
72,0.876374,0.942423
73,0.904001,0.957353
74,0.923213,0.962221
75,0.89862,0.951012
76,0.881935,0.943613
77,0.910591,0.959258
78,0.926192,0.963968
79,0.904433,0.951719
80,0.887383,0.944094
81,0.906301,0.9574
82,0.923551,0.962378
83,0.907062,0.951003
84,0.887142,0.943872
85,0.913148,0.957906
86,0.925103,0.961951
87,0.902542,0.950312
88,0.886583,0.943178
89,0.912965,0.957194
90,0.922524,0.960531
91,0.907631,0.949587
92,0.905119,0.947046
93,0.903841,0.955734
94,0.921045,0.960111
95,0.895292,0.946274
96,0.895888,0.944251
97,0.890519,0.952903
98,0.920152,0.960241
99,0.895806,0.946382
100,0.898289,0.944064
101,0.900396,0.954601
102,0.922716,0.961014
103,0.91258,0.950652
104,0.883263,0.942329
105,0.901963,0.956441
106,0.925404,0.961533
107,0.912025,0.950988
108,0.88914,0.944584
109,0.913,0.958471
110,0.940843,0.966242
111,0.89524,0.951795
112,0.877747,0.940728
113,0.922748,0.961211
114,0.939396,0.965514
115,0.898095,0.949314
116,0.883975,0.940953
117,0.91628,0.957761
118,0.923946,0.959577
119,0.894644,0.945768
120,0.883215,0.941028
121,0.911633,0.956094
122,0.921556,0.958825
123,0.891067,0.945416
124,0.889131,0.941412
125,0.914906,0.9554
126,0.924866,0.960713
127,0.88974,0.946179
128,0.869393,0.934591
129,0.903516,0.95136
130,0.916118,0.95719
131,0.879656,0.941686
132,0.87661,0.937268
133,0.907092,0.952883
134,0.920535,0.95883
135,0.898885,0.947327
136,0.884129,0.939085
137,0.913002,0.954256
138,0.929374,0.96242
139,0.885872,0.947345
140,0.880523,0.937918
141,0.915176,0.955158
142,0.927823,0.961857
143,0.901177,0.94743
144,0.88243,0.936985
145,0.905652,0.953387
146,0.919597,0.959002
147,0.901251,0.946172
148,0.881524,0.936404
149,0.90313,0.950619
150,0.9172,0.958192
151,0.898361,0.94541
152,0.881534,0.935607
153,0.908414,0.952023
154,0.919757,0.958508
155,0.902948,0.946597
156,0.884443,0.936455
157,0.90521,0.9513
158,0.918925,0.957664
159,0.897921,0.945047
160,0.879664,0.935232
161,0.904686,0.950867
162,0.918854,0.956703
163,0.891525,0.944094
164,0.875497,0.935478
165,0.89988,0.949998
166,0.914594,0.955104
