Frame, eSSIM, SSIM
0,0.786177,0.891465
1,0.805417,0.90746
2,0.843708,0.924174
3,0.816251,0.911901
4,0.758646,0.882496
5,0.782327,0.898992
6,0.811542,0.914142
7,0.790818,0.902065
8,0.715242,0.865479
9,0.764294,0.892259
10,0.795918,0.909088
11,0.780758,0.900592
12,0.718722,0.867198
13,0.759912,0.890597
14,0.799392,0.912701
15,0.771747,0.898551
16,0.720158,0.865523
17,0.759425,0.888309
18,0.796668,0.910305
19,0.788569,0.902572
20,0.733727,0.870816
21,0.754671,0.887284
22,0.793235,0.912421
23,0.789829,0.902191
24,0.645101,0.826537
25,0.727758,0.880236
26,0.793285,0.914831
27,0.770412,0.895853
28,0.704757,0.855662
29,0.762114,0.894111
30,0.802968,0.91673
31,0.77414,0.896573
32,0.715247,0.866033
33,0.778647,0.901946
34,0.806309,0.917441
35,0.781073,0.900038
36,0.735004,0.87726
37,0.782799,0.907819
38,0.801512,0.916329
39,0.770204,0.894514
40,0.72609,0.87441
41,0.781758,0.908186
42,0.797038,0.914395
43,0.748219,0.885151
44,0.702241,0.864098
45,0.772076,0.904076
46,0.796591,0.915977
47,0.748313,0.884783
48,0.647625,0.835223
49,0.742308,0.895142
50,0.794697,0.918806
51,0.770836,0.893794
52,0.737415,0.875708
53,0.784244,0.9111
54,0.812083,0.926385
55,0.786539,0.903287
56,0.754925,0.885462
57,0.785869,0.913211
58,0.805382,0.92472
59,0.790526,0.905653
60,0.738806,0.885589
61,0.780355,0.913831
62,0.810506,0.92516
63,0.787799,0.905521
64,0.728043,0.87931
65,0.789106,0.913717
66,0.816369,0.924007
67,0.786794,0.904351
68,0.747381,0.888176
69,0.800943,0.91756
70,0.829679,0.929577
71,0.805807,0.914745
72,0.733087,0.882325
73,0.787174,0.91657
74,0.817602,0.929247
75,0.799496,0.913175
76,0.77778,0.901357
77,0.805188,0.92383
78,0.825322,0.9315
79,0.810586,0.916625
80,0.77911,0.902121
81,0.807501,0.922455
82,0.826832,0.929508
83,0.809563,0.914644
84,0.7732,0.900423
85,0.817716,0.923192
86,0.82376,0.926906
87,0.806292,0.913865
88,0.780562,0.902738
89,0.808627,0.921069
90,0.821331,0.925105
91,0.805355,0.911294
92,0.773443,0.900478
93,0.797642,0.915181
94,0.815765,0.922991
95,0.804512,0.909966
96,0.694732,0.857891
97,0.749494,0.896919
98,0.800411,0.918554
99,0.786886,0.90193
100,0.747409,0.881618
101,0.784857,0.909328
102,0.815158,0.922867
103,0.80442,0.909532
104,0.763917,0.8926
105,0.806176,0.917012
106,0.819396,0.923919
107,0.80495,0.911674
108,0.767051,0.897374
109,0.816202,0.921683
110,0.836406,0.930851
111,0.803377,0.914613
112,0.761257,0.896789
113,0.82116,0.924466
114,0.835508,0.929146
115,0.799118,0.910336
116,0.762048,0.894294
117,0.793933,0.911687
118,0.821538,0.922394
119,0.77879,0.896842
120,0.639621,0.828696
121,0.740295,0.890123
122,0.789216,0.912788
123,0.759094,0.888797
124,0.720116,0.864639
125,0.771025,0.89975
126,0.790192,0.912652
127,0.762284,0.892724
128,0.725161,0.870494
129,0.762533,0.895441
130,0.783002,0.909181
131,0.751263,0.888938
132,0.730113,0.876411
133,0.769739,0.901453
134,0.785811,0.910853
135,0.767342,0.895372
136,0.738464,0.879861
137,0.781986,0.906685
138,0.797692,0.916473
139,0.766712,0.89724
140,0.73726,0.88084
141,0.766896,0.900669
142,0.792365,0.915396
143,0.772247,0.894355
144,0.640754,0.827957
145,0.725839,0.880312
146,0.777792,0.90661
147,0.76155,0.889361
148,0.70914,0.856805
149,0.749016,0.885546
150,0.791427,0.912491
151,0.770563,0.893022
152,0.722492,0.863454
153,0.766226,0.893465
154,0.790424,0.911058
155,0.768834,0.89443
156,0.72709,0.868793
157,0.765724,0.893217
158,0.786738,0.907499
159,0.773474,0.89438
160,0.729749,0.871807
161,0.769092,0.894309
162,0.791525,0.907241
163,0.771099,0.893713
164,0.699183,0.863917
165,0.744859,0.880751
166,0.786044,0.903289
167,0.7465,0.882304
168,0.581858,0.790869
169,0.710902,0.863342
170,0.771809,0.897339
171,0.74359,0.876651
172,0.690705,0.839961
173,0.75168,0.879398
174,0.787046,0.902789
175,0.763424,0.885376
176,0.717941,0.857816
177,0.769184,0.887132
178,0.794483,0.90557
179,0.771984,0.891284
180,0.706308,0.854932
181,0.747817,0.877956
182,0.789353,0.90023
