Frame, eSSIM, SSIM
0,0.721845,0.849933
1,0.77386,0.894049
2,0.892979,0.939258
3,0.776031,0.883978
4,0.670386,0.79992
5,0.701969,0.841695
6,0.847724,0.920426
7,0.738069,0.869694
8,0.660026,0.792185
9,0.69067,0.83793
10,0.840444,0.918946
11,0.732542,0.86861
12,0.641654,0.787738
13,0.696718,0.839817
14,0.842771,0.918638
15,0.725606,0.8643
16,0.612808,0.765592
17,0.680689,0.831978
18,0.844658,0.919191
19,0.731845,0.86529
20,0.638992,0.779988
21,0.68228,0.832854
22,0.844144,0.919505
23,0.752991,0.873758
24,0.662652,0.794852
25,0.699875,0.843013
26,0.851318,0.922648
27,0.759414,0.87651
28,0.679703,0.803077
29,0.713811,0.849152
30,0.855262,0.923935
31,0.771001,0.882461
32,0.687657,0.809681
33,0.729295,0.854662
34,0.856014,0.924463
35,0.775985,0.883769
36,0.700473,0.817589
37,0.735662,0.858304
38,0.855879,0.924798
39,0.784607,0.887569
40,0.71523,0.825842
41,0.751284,0.864876
42,0.857627,0.925946
43,0.792344,0.891173
44,0.719572,0.830436
45,0.756267,0.867737
46,0.857487,0.925672
47,0.798908,0.894995
48,0.730969,0.83627
49,0.762981,0.871629
50,0.865295,0.929077
51,0.802106,0.896144
52,0.732536,0.839069
53,0.764522,0.873331
54,0.86271,0.928839
55,0.80609,0.897745
56,0.737353,0.844037
57,0.768416,0.876262
58,0.86573,0.929886
59,0.803196,0.898369
60,0.753959,0.849447
61,0.768018,0.877019
62,0.866114,0.929857
63,0.809336,0.90002
64,0.745896,0.84872
65,0.783683,0.881002
66,0.866053,0.929563
67,0.811701,0.900536
68,0.74453,0.848884
69,0.774111,0.879126
70,0.864151,0.929016
71,0.823147,0.902831
72,0.759277,0.854554
73,0.78665,0.883997
74,0.86668,0.93045
75,0.814954,0.902867
76,0.774876,0.860388
77,0.786588,0.884076
78,0.867218,0.93087
79,0.819237,0.903897
80,0.765125,0.858121
81,0.796284,0.887169
82,0.86738,0.930612
83,0.824129,0.905471
84,0.76087,0.858135
85,0.786677,0.884117
86,0.864485,0.929743
87,0.831299,0.906262
88,0.768396,0.859775
89,0.793336,0.886656
90,0.864265,0.930221
91,0.818648,0.904477
92,0.784853,0.866741
93,0.796032,0.88886
94,0.863903,0.930272
95,0.82675,0.907158
96,0.788101,0.86893
97,0.807236,0.891936
98,0.868369,0.93137
99,0.829379,0.908358
100,0.794393,0.872161
101,0.800923,0.891047
102,0.866045,0.930124
103,0.829607,0.907454
104,0.783993,0.868628
105,0.810251,0.894018
106,0.866341,0.930129
107,0.829443,0.907663
108,0.785606,0.869416
109,0.806993,0.89281
110,0.866156,0.93087
111,0.83528,0.909335
112,0.786502,0.869687
113,0.809967,0.894382
114,0.867624,0.930973
115,0.827192,0.906568
116,0.791121,0.871155
117,0.808366,0.893293
118,0.866622,0.930263
119,0.827355,0.906787
120,0.78474,0.869611
121,0.81207,0.895049
122,0.865196,0.929783
123,0.830736,0.907243
124,0.790492,0.872786
125,0.810724,0.894838
126,0.865281,0.930185
127,0.839485,0.909613
128,0.795379,0.873516
129,0.812718,0.896432
130,0.865027,0.93083
131,0.830252,0.908154
132,0.800919,0.876405
133,0.813716,0.896739
134,0.867997,0.932279
135,0.832722,0.909644
136,0.790162,0.872567
137,0.816789,0.898856
138,0.871777,0.933737
139,0.83216,0.909594
140,0.795006,0.876014
141,0.819262,0.899144
142,0.871961,0.933633
143,0.841598,0.911409
144,0.794663,0.875623
145,0.818951,0.900771
146,0.875324,0.934784
147,0.836435,0.910525
148,0.804688,0.879301
149,0.815036,0.900223
150,0.874991,0.934452
151,0.830452,0.909566
152,0.794397,0.875874
153,0.824989,0.90265
154,0.875068,0.934836
155,0.831903,0.909702
156,0.801614,0.878579
157,0.82478,0.902042
158,0.874848,0.934404
159,0.841905,0.911183
160,0.800931,0.877465
161,0.826788,0.903629
162,0.876244,0.935508
163,0.840495,0.91174
164,0.802511,0.879141
165,0.825176,0.903897
166,0.876379,0.935493
167,0.833381,0.910587
168,0.810574,0.882412
169,0.828199,0.905069
170,0.876917,0.935836
171,0.839417,0.911813
172,0.807275,0.881072
173,0.831569,0.905176
174,0.875392,0.934685
175,0.840731,0.911931
176,0.807762,0.880851
177,0.827071,0.903975
178,0.874007,0.934289
179,0.837863,0.911045
180,0.800271,0.879056
181,0.829593,0.904159
182,0.873933,0.93316
183,0.841763,0.911322
184,0.800692,0.879313
185,0.828085,0.903065
186,0.872916,0.932931
187,0.842883,0.91171
188,0.806194,0.881232
189,0.831759,0.905065
190,0.875554,0.934161
191,0.843543,0.911984
192,0.802913,0.880803
193,0.825516,0.903844
194,0.875888,0.934899
195,0.849809,0.914034
196,0.806271,0.882226
197,0.83064,0.905496
198,0.876015,0.934923
199,0.849573,0.914119
200,0.80966,0.884176
201,0.831021,0.906296
202,0.877173,0.93583
203,0.850343,0.914782
204,0.814564,0.886061
205,0.83689,0.908739
206,0.878027,0.936529
207,0.853683,0.916138
208,0.818208,0.887179
209,0.836392,0.908664
210,0.879547,0.937618
211,0.849481,0.915936
212,0.821184,0.889141
213,0.837017,0.909589
214,0.879468,0.937583
215,0.851798,0.916575
216,0.824265,0.889484
217,0.835217,0.908811
218,0.878921,0.93718
219,0.851693,0.917339
220,0.820081,0.8897
221,0.839464,0.910426
222,0.878119,0.936571
223,0.855488,0.918924
224,0.821485,0.890852
225,0.842429,0.910958
226,0.881201,0.937766
227,0.85097,0.917457
228,0.816124,0.888801
229,0.8375,0.908794
230,0.880572,0.937182
231,0.857782,0.919374
232,0.81784,0.889036
233,0.837106,0.909144
234,0.87948,0.937525
235,0.851201,0.918717
236,0.830412,0.894319
237,0.83936,0.909998
238,0.878725,0.937171
239,0.849747,0.918597
240,0.819379,0.890259
241,0.841341,0.910652
242,0.880446,0.937283
243,0.853812,0.918733
244,0.822498,0.891481
245,0.841761,0.909886
246,0.880329,0.937034
247,0.859555,0.920098
248,0.818373,0.892072
249,0.83983,0.910181
250,0.878851,0.937011
251,0.855463,0.919402
252,0.831746,0.894993
253,0.837713,0.909778
254,0.877415,0.937057
255,0.855164,0.919705
256,0.823396,0.891179
257,0.844574,0.910708
258,0.879873,0.936458
259,0.854877,0.918525
260,0.821776,0.89061
261,0.842888,0.910158
262,0.878456,0.935951
263,0.849148,0.917705
264,0.821253,0.891228
265,0.841638,0.910107
266,0.88143,0.937533
267,0.857597,0.919518
268,0.824571,0.892382
269,0.841474,0.911246
270,0.880547,0.937464
271,0.851804,0.918826
272,0.831606,0.894818
273,0.842871,0.910901
274,0.881276,0.93753
275,0.857119,0.919186
276,0.8298,0.894181
277,0.838796,0.909537
278,0.880867,0.936592
279,0.856414,0.919557
280,0.820919,0.892012
281,0.846333,0.91219
282,0.880125,0.936823
283,0.856081,0.91971
284,0.827857,0.894209
285,0.839436,0.910284
286,0.881214,0.937126
287,0.862673,0.920917
288,0.826404,0.892704
289,0.840962,0.910538
290,0.880697,0.937178
291,0.851514,0.918786
292,0.830611,0.894572
293,0.843405,0.91058
294,0.882338,0.936718
295,0.854799,0.919376
296,0.836613,0.896037
297,0.843225,0.911307
298,0.881062,0.937054
299,0.857435,0.919875
300,0.831456,0.894987
301,0.851321,0.913673
302,0.880944,0.936995
303,0.856989,0.919695
304,0.831189,0.895117
305,0.845336,0.911784
306,0.878663,0.936261
307,0.862471,0.920355
308,0.830201,0.894385
309,0.841928,0.911362
310,0.879671,0.936108
311,0.858367,0.919461
312,0.836444,0.896715
313,0.842286,0.910743
314,0.878452,0.935482
315,0.861455,0.920602
316,0.83031,0.89407
317,0.847846,0.911917
318,0.879751,0.935697
319,0.858924,0.920253
320,0.833806,0.895336
321,0.846436,0.911054
322,0.878033,0.935194
323,0.852302,0.919611
324,0.83337,0.894903
325,0.84624,0.910672
326,0.878562,0.935822
327,0.865091,0.921423
328,0.832712,0.895344
329,0.845379,0.911316
330,0.879291,0.936726
331,0.862076,0.921269
332,0.840744,0.89753
333,0.879717,0.929472
334,0.907396,0.951056
335,0.891268,0.938697
336,0.862024,0.918661
337,0.868848,0.927381
338,0.904264,0.949638
339,0.893084,0.938241
340,0.853563,0.912843
341,0.866835,0.928301
