Frame, eSSIM, SSIM
0,0.930078,0.95398
1,0.944355,0.964521
2,0.946559,0.964338
3,0.885315,0.934521
4,0.851401,0.91489
5,0.85948,0.92178
6,0.884487,0.938653
7,0.888475,0.935283
8,0.856861,0.914543
9,0.85691,0.920491
10,0.878988,0.93731
11,0.891182,0.936477
12,0.860478,0.918412
13,0.863607,0.923187
14,0.882776,0.938551
15,0.890455,0.936773
16,0.858998,0.918008
17,0.860829,0.921776
18,0.887581,0.940502
19,0.893024,0.937213
20,0.860961,0.916352
21,0.857595,0.920057
22,0.885501,0.938869
23,0.892839,0.937441
24,0.883478,0.929184
25,0.880093,0.931615
26,0.898192,0.945716
27,0.897261,0.939919
28,0.873756,0.92166
29,0.879474,0.929859
30,0.899862,0.944706
31,0.909264,0.946157
32,0.89095,0.932642
33,0.885622,0.932653
34,0.89979,0.945321
35,0.908536,0.945891
36,0.896483,0.935404
37,0.892413,0.935777
38,0.90025,0.945369
39,0.911207,0.947328
40,0.897204,0.935126
41,0.892756,0.936005
42,0.901864,0.946074
43,0.913225,0.948462
44,0.898411,0.936276
45,0.892812,0.935961
46,0.902924,0.946065
47,0.91355,0.94818
48,0.896812,0.937562
49,0.894288,0.938427
50,0.906522,0.948866
51,0.906666,0.946099
52,0.890705,0.93183
53,0.88778,0.933991
54,0.900041,0.945895
55,0.910916,0.947649
56,0.89758,0.935662
57,0.892062,0.935978
58,0.901679,0.946712
59,0.913387,0.94853
60,0.899927,0.937167
61,0.893943,0.936807
62,0.902873,0.947095
63,0.914053,0.949324
64,0.899924,0.937272
65,0.893761,0.937113
66,0.903267,0.947076
67,0.91485,0.949544
68,0.902159,0.93881
69,0.897194,0.938671
70,0.904116,0.947465
71,0.917772,0.950833
72,0.899843,0.938924
73,0.89874,0.940733
74,0.908031,0.949754
75,0.907796,0.946128
76,0.891785,0.932055
77,0.888457,0.934043
78,0.90153,0.946332
79,0.908117,0.945889
80,0.896794,0.935029
81,0.890632,0.935047
82,0.901452,0.946163
83,0.912573,0.948224
84,0.898875,0.936518
85,0.894019,0.936855
86,0.903175,0.946588
87,0.913835,0.948788
88,0.900949,0.937955
89,0.89435,0.937367
90,0.904006,0.947027
91,0.916711,0.950161
92,0.90283,0.939145
93,0.8966,0.938797
94,0.906283,0.947906
95,0.914953,0.949106
96,0.898408,0.938008
97,0.894402,0.939326
98,0.9092,0.9496
99,0.908361,0.946051
100,0.892469,0.932515
101,0.889445,0.934511
102,0.901161,0.945586
103,0.907283,0.945172
104,0.896815,0.935228
105,0.890931,0.935153
106,0.901377,0.945565
107,0.910558,0.946988
108,0.901092,0.937413
109,0.896362,0.937598
110,0.903785,0.946359
111,0.91306,0.948304
112,0.902786,0.938601
113,0.896978,0.938015
114,0.904489,0.946508
115,0.913473,0.948385
116,0.902905,0.939105
117,0.899042,0.938861
118,0.904501,0.946143
119,0.914437,0.948921
120,0.898997,0.938562
121,0.8973,0.939778
122,0.907395,0.948407
123,0.904755,0.944588
124,0.892643,0.932809
125,0.889908,0.934902
126,0.90103,0.944787
127,0.90663,0.945155
128,0.898026,0.935992
129,0.891067,0.935241
130,0.900373,0.945013
131,0.910093,0.946907
132,0.900164,0.937316
133,0.895185,0.937354
134,0.903563,0.946147
135,0.911125,0.947653
136,0.902134,0.938286
137,0.89517,0.937251
138,0.902931,0.946277
139,0.912065,0.948311
140,0.902537,0.939083
141,0.898875,0.938943
142,0.903917,0.946696
143,0.912389,0.948754
144,0.89712,0.93788
145,0.899465,0.940542
146,0.907256,0.949062
147,0.906069,0.946151
148,0.890017,0.93199
149,0.89095,0.93562
150,0.903411,0.946833
151,0.907102,0.94607
152,0.893784,0.934265
153,0.890233,0.935262
154,0.90332,0.9467
155,0.910054,0.947459
156,0.897346,0.935758
157,0.894681,0.937205
158,0.904771,0.947176
159,0.911502,0.947833
160,0.897712,0.935932
161,0.896819,0.938075
162,0.905278,0.947698
163,0.914065,0.949481
164,0.902092,0.938297
165,0.899532,0.939848
166,0.90656,0.948093
167,0.914171,0.949014
168,0.89715,0.937255
169,0.900136,0.941169
170,0.909625,0.950394
171,0.905323,0.945626
172,0.891334,0.93192
173,0.890287,0.935183
174,0.901489,0.946184
175,0.90656,0.94543
176,0.893942,0.933696
177,0.888177,0.934077
178,0.898272,0.94479
179,0.910662,0.94733
180,0.894542,0.934502
181,0.890495,0.935039
182,0.900351,0.945093
183,0.911385,0.947666
184,0.891842,0.934025
185,0.885844,0.93368
186,0.897887,0.944387
187,0.913008,0.948566
188,0.896997,0.936029
189,0.89051,0.935916
190,0.90128,0.945368
191,0.91302,0.948112
192,0.895373,0.93624
193,0.893214,0.93829
194,0.905796,0.948318
195,0.908309,0.947046
196,0.889766,0.931261
197,0.888927,0.934627
198,0.902983,0.946952
199,0.908897,0.946375
200,0.895091,0.934634
201,0.891038,0.93573
202,0.902752,0.94708
203,0.912865,0.948782
204,0.900275,0.937326
205,0.897496,0.939045
206,0.906672,0.94905
207,0.914965,0.950095
208,0.902139,0.938684
209,0.897294,0.939071
210,0.908149,0.949724
211,0.916605,0.950889
212,0.903175,0.939366
213,0.901042,0.940939
214,0.908913,0.949955
215,0.916144,0.950535
216,0.897095,0.937978
217,0.89795,0.940927
218,0.910368,0.951349
219,0.909217,0.948129
220,0.891962,0.933194
221,0.891201,0.936224
222,0.904141,0.948147
223,0.909079,0.947384
224,0.894718,0.934831
225,0.892314,0.936068
226,0.904327,0.947771
227,0.912677,0.949194
228,0.896845,0.93582
229,0.894412,0.937581
230,0.907044,0.948938
231,0.914055,0.949722
232,0.898389,0.937109
