Frame, eSSIM, SSIM
0,0.824983,0.92169
1,0.793255,0.927989
2,0.831212,0.940212
3,0.837667,0.92726
4,0.712642,0.864243
5,0.772313,0.907713
6,0.857238,0.943384
7,0.753069,0.892505
8,0.749187,0.876975
9,0.724356,0.887169
10,0.836566,0.930989
11,0.836286,0.916743
12,0.610939,0.790294
13,0.76229,0.895383
14,0.881781,0.944527
15,0.643871,0.830063
16,0.728839,0.862796
17,0.681971,0.885559
18,0.781702,0.913704
19,0.625534,0.826875
20,0.681131,0.843289
21,0.685909,0.886356
22,0.788427,0.919176
23,0.643205,0.840666
24,0.707918,0.852825
25,0.652267,0.882983
26,0.772404,0.917402
27,0.778844,0.897974
28,0.568659,0.795479
29,0.650471,0.87326
30,0.815721,0.933284
31,0.789054,0.904261
32,0.595433,0.813678
33,0.678764,0.883393
34,0.835699,0.938649
35,0.797117,0.910291
36,0.669592,0.849817
37,0.719045,0.89948
38,0.856502,0.947093
39,0.807749,0.917814
40,0.674938,0.858576
41,0.74307,0.907644
42,0.88011,0.953426
43,0.809873,0.920643
44,0.721395,0.873355
45,0.794324,0.919275
46,0.908978,0.959052
47,0.785828,0.917046
48,0.725529,0.877251
49,0.791394,0.919633
50,0.909692,0.960024
51,0.811857,0.922997
52,0.739136,0.881368
53,0.800565,0.922024
54,0.90732,0.959844
55,0.818033,0.924989
56,0.752716,0.886293
57,0.825,0.927432
58,0.916221,0.960795
59,0.801593,0.921827
60,0.744038,0.882753
61,0.827987,0.926917
62,0.910869,0.957325
63,0.740483,0.902582
64,0.713086,0.866661
65,0.801226,0.918059
66,0.886798,0.951495
67,0.74246,0.8974
68,0.721498,0.866848
69,0.814024,0.919968
70,0.862472,0.94918
71,0.739208,0.89345
72,0.723535,0.867927
73,0.824469,0.923705
74,0.876995,0.951318
75,0.739225,0.894204
76,0.731848,0.869673
77,0.828218,0.924289
78,0.890984,0.954002
79,0.740327,0.894865
80,0.72141,0.866861
81,0.825421,0.923669
82,0.883321,0.952814
83,0.750407,0.899574
84,0.74238,0.875239
85,0.826565,0.92474
86,0.864649,0.951269
87,0.758803,0.902543
88,0.744822,0.875256
89,0.825222,0.925053
90,0.881465,0.953768
91,0.789107,0.912762
92,0.771957,0.884551
93,0.81737,0.924853
94,0.871309,0.954927
95,0.759516,0.904608
96,0.77146,0.884236
97,0.817134,0.92614
98,0.876097,0.954348
99,0.749852,0.90062
100,0.753065,0.876843
101,0.820925,0.924146
102,0.889733,0.954136
103,0.766618,0.902716
104,0.696912,0.854808
105,0.786362,0.916445
106,0.87593,0.950347
107,0.763808,0.900428
108,0.703013,0.861188
109,0.781539,0.913951
110,0.868126,0.95068
111,0.792331,0.911861
112,0.7018,0.860594
113,0.793259,0.917894
114,0.882555,0.953716
115,0.77503,0.906275
116,0.694165,0.854894
117,0.788092,0.918144
118,0.8625,0.95103
119,0.74286,0.892717
120,0.700116,0.856081
121,0.797823,0.920166
122,0.868177,0.951897
123,0.733842,0.888813
124,0.699828,0.855586
125,0.803445,0.920788
126,0.884099,0.954181
127,0.749147,0.896251
128,0.705402,0.859603
129,0.798945,0.921116
130,0.869785,0.954247
131,0.760749,0.899288
132,0.702558,0.860623
133,0.78398,0.919687
134,0.886336,0.956982
135,0.787716,0.910301
136,0.721801,0.870071
137,0.805281,0.924972
138,0.89448,0.957422
139,0.75439,0.899276
140,0.697944,0.858271
141,0.781878,0.917561
142,0.861787,0.945193
143,0.765651,0.898609
144,0.69476,0.856415
145,0.777505,0.911817
146,0.87343,0.946334
147,0.728163,0.884315
148,0.706434,0.854613
149,0.747878,0.906775
150,0.84226,0.936994
151,0.681175,0.862183
152,0.689101,0.849213
153,0.73806,0.907065
154,0.859984,0.941453
155,0.722992,0.882861
156,0.730704,0.870192
157,0.753438,0.912157
158,0.86604,0.944933
159,0.747689,0.899668
160,0.746152,0.879164
161,0.757151,0.915962
162,0.883192,0.952056
163,0.767293,0.903453
164,0.682747,0.853262
165,0.748985,0.911266
166,0.872468,0.949885
167,0.736969,0.888116
168,0.67104,0.844411
169,0.754863,0.911515
170,0.875835,0.951611
171,0.749105,0.895593
172,0.685552,0.854061
173,0.765992,0.916969
174,0.878782,0.95385
175,0.768842,0.901786
176,0.654989,0.846861
177,0.759925,0.914152
178,0.872912,0.949757
179,0.764944,0.901127
180,0.67698,0.85031
181,0.736097,0.90806
182,0.86655,0.946991
183,0.750509,0.894452
184,0.663813,0.840087
185,0.770743,0.91092
186,0.85798,0.942434
187,0.736688,0.884571
188,0.655432,0.839976
189,0.778152,0.909702
190,0.866296,0.945367
191,0.708887,0.878923
192,0.676772,0.846288
193,0.769408,0.906621
194,0.882746,0.94931
195,0.72023,0.885313
196,0.685959,0.851171
197,0.757819,0.90314
198,0.873673,0.946253
199,0.734658,0.889121
200,0.698716,0.845497
201,0.719572,0.888999
202,0.853265,0.938475
203,0.68965,0.862921
204,0.666956,0.82601
205,0.714184,0.885361
206,0.849455,0.941148
207,0.715987,0.874305
208,0.639296,0.812357
209,0.737213,0.893577
210,0.868194,0.947111
211,0.715867,0.876614
212,0.686834,0.835923
213,0.719727,0.892398
214,0.867174,0.949405
215,0.758152,0.894515
216,0.663464,0.828872
217,0.78102,0.90887
218,0.892605,0.957022
219,0.757647,0.898648
220,0.730461,0.857369
221,0.714124,0.894573
222,0.888104,0.957757
223,0.788594,0.906868
224,0.650442,0.826836
225,0.716995,0.896148
226,0.88914,0.959348
