Frame, eSSIM, SSIM
0,0.935589,0.950242
1,0.939433,0.960426
2,0.943465,0.964341
3,0.939345,0.954158
4,0.937997,0.950245
5,0.937274,0.959467
6,0.939193,0.962963
7,0.937177,0.953794
8,0.925991,0.947652
9,0.926266,0.956601
10,0.93158,0.961047
11,0.938792,0.953589
12,0.91539,0.946316
13,0.915664,0.9552
14,0.921267,0.959852
15,0.926256,0.951338
16,0.92623,0.94791
17,0.926298,0.955633
18,0.927914,0.959259
19,0.924278,0.950554
20,0.92406,0.947067
21,0.914307,0.947913
22,0.91066,0.951497
23,0.904935,0.943601
24,0.850141,0.914686
25,0.90724,0.945739
26,0.909864,0.951068
27,0.866352,0.928629
28,0.865405,0.923577
29,0.907701,0.946973
30,0.906805,0.951007
31,0.881375,0.932282
32,0.86977,0.926864
33,0.904849,0.946892
34,0.907547,0.951252
35,0.87385,0.932738
36,0.877387,0.930393
37,0.913828,0.948855
38,0.911176,0.951787
39,0.876284,0.93407
40,0.878629,0.931093
41,0.910207,0.948247
42,0.917791,0.953325
43,0.879667,0.935381
44,0.881065,0.93246
45,0.910137,0.948881
46,0.912074,0.953382
47,0.8692,0.932738
48,0.835467,0.911228
49,0.896513,0.942921
50,0.895948,0.948482
51,0.854433,0.923853
52,0.857497,0.921112
53,0.901231,0.944954
54,0.901769,0.949537
55,0.862229,0.929172
56,0.865209,0.925498
57,0.905202,0.946583
58,0.902458,0.950037
59,0.873455,0.932189
60,0.875832,0.928901
61,0.901733,0.946755
62,0.910721,0.951339
63,0.870731,0.932674
64,0.870446,0.928594
65,0.889177,0.945702
66,0.898356,0.950257
67,0.870925,0.933005
68,0.852994,0.925309
69,0.880115,0.943765
70,0.89243,0.949488
71,0.886061,0.934302
72,0.826103,0.906303
73,0.89061,0.940414
74,0.89451,0.947906
75,0.848947,0.923399
76,0.850999,0.916551
77,0.897202,0.942084
78,0.898675,0.948094
79,0.845055,0.92271
80,0.843425,0.916759
81,0.888954,0.940703
82,0.900822,0.948428
83,0.848617,0.924237
84,0.843317,0.917424
85,0.874449,0.939423
86,0.887289,0.947084
87,0.847154,0.924067
88,0.833545,0.91315
89,0.874232,0.938407
90,0.886039,0.946393
91,0.867198,0.927295
92,0.842764,0.916935
93,0.891726,0.943762
94,0.907245,0.95229
95,0.891291,0.937525
96,0.883075,0.926639
97,0.919561,0.950098
98,0.921075,0.955058
99,0.895219,0.937536
100,0.885639,0.930739
101,0.910117,0.947943
102,0.919849,0.95409
103,0.893484,0.938437
104,0.88515,0.932181
105,0.899853,0.94695
106,0.908506,0.95305
107,0.89693,0.939797
108,0.876602,0.930893
109,0.890991,0.945378
110,0.899035,0.951173
111,0.905315,0.94036
112,0.877542,0.930824
113,0.893078,0.945708
114,0.898481,0.950841
115,0.892886,0.937962
116,0.892924,0.933732
117,0.908112,0.947767
118,0.913563,0.953894
119,0.887151,0.935866
120,0.852923,0.91215
121,0.905771,0.943139
122,0.917584,0.95139
123,0.872587,0.928646
124,0.873251,0.922153
125,0.908668,0.945182
126,0.913151,0.9514
127,0.875765,0.931097
128,0.869995,0.923349
129,0.904247,0.944884
130,0.90624,0.949986
131,0.885439,0.932326
132,0.8617,0.922968
133,0.891084,0.943863
134,0.903962,0.949922
135,0.87504,0.931202
136,0.873727,0.925618
137,0.908302,0.945662
138,0.909475,0.95059
139,0.871052,0.930468
140,0.870988,0.924977
141,0.897929,0.938233
142,0.89516,0.945788
143,0.857316,0.925518
144,0.822901,0.900673
145,0.88514,0.937177
146,0.893321,0.945771
147,0.844035,0.919321
148,0.828932,0.905631
149,0.870044,0.934395
150,0.887066,0.944184
151,0.859162,0.921162
152,0.839205,0.910561
153,0.883579,0.937306
154,0.8911,0.945013
155,0.849047,0.922091
156,0.849652,0.915916
157,0.895284,0.941176
158,0.896451,0.946821
159,0.853878,0.924122
160,0.853505,0.918216
161,0.898209,0.941863
162,0.906366,0.948048
163,0.858359,0.926136
164,0.859384,0.921256
165,0.869798,0.942741
166,0.909206,0.951297
167,0.872524,0.929908
168,0.844806,0.908748
169,0.90032,0.941246
170,0.901223,0.948309
171,0.855681,0.920959
172,0.860203,0.917973
173,0.898559,0.943544
174,0.905203,0.949165
175,0.867569,0.927468
176,0.869843,0.923219
177,0.910602,0.946203
178,0.90706,0.949853
179,0.869871,0.929128
180,0.87328,0.925568
181,0.908572,0.946175
182,0.913318,0.949928
183,0.870301,0.929212
184,0.871093,0.92604
185,0.892797,0.944877
186,0.897537,0.948126
187,0.865633,0.929231
188,0.856092,0.923243
189,0.882153,0.942476
190,0.89599,0.948265
191,0.882747,0.93167
192,0.838008,0.905261
193,0.899215,0.939631
194,0.903537,0.94736
195,0.8572,0.922617
196,0.85821,0.916337
197,0.905174,0.94304
198,0.909558,0.949277
199,0.85928,0.925107
200,0.853124,0.917353
201,0.892144,0.942053
202,0.91083,0.950014
203,0.861921,0.927595
204,0.860493,0.920543
205,0.888492,0.942758
206,0.891235,0.949115
207,0.864643,0.929681
208,0.848624,0.918933
209,0.868831,0.939845
210,0.877897,0.946765
211,0.881079,0.931263
212,0.858208,0.921561
213,0.887372,0.943
214,0.904128,0.950648
215,0.880663,0.932529
216,0.863438,0.918487
217,0.912083,0.946907
218,0.912555,0.951489
219,0.879431,0.930733
220,0.877188,0.925422
221,0.905295,0.944826
222,0.916945,0.95173
223,0.883506,0.933902
224,0.876385,0.926819
225,0.898524,0.944293
226,0.91244,0.951405
227,0.885277,0.934857
228,0.859753,0.92412
229,0.881915,0.942108
230,0.90004,0.949846
231,0.893294,0.935538
