Frame, eSSIM, SSIM
0,0.80409,0.893896
1,0.842525,0.92546
2,0.88212,0.942961
3,0.823777,0.911536
4,0.801191,0.893184
5,0.875094,0.933489
6,0.905842,0.947661
7,0.867783,0.926062
8,0.852878,0.912043
9,0.903,0.942595
10,0.912718,0.951062
11,0.895615,0.93581
12,0.893545,0.929381
13,0.909115,0.944925
14,0.915318,0.95125
15,0.919018,0.94399
16,0.915135,0.937913
17,0.917434,0.948279
18,0.920192,0.953456
19,0.929951,0.948816
20,0.927314,0.944276
21,0.926799,0.953019
22,0.928715,0.956967
23,0.935858,0.951094
24,0.934768,0.947567
25,0.929061,0.954352
26,0.930822,0.958029
27,0.935518,0.951072
28,0.938593,0.950194
29,0.933275,0.956513
30,0.933215,0.959307
31,0.939599,0.953582
32,0.94303,0.952495
33,0.93797,0.959018
34,0.939358,0.962258
35,0.945234,0.95617
36,0.945444,0.953704
37,0.941945,0.960557
38,0.942448,0.962882
39,0.947017,0.956715
40,0.946435,0.954324
41,0.943395,0.961394
42,0.947986,0.964562
43,0.949186,0.958065
44,0.949882,0.956434
45,0.947474,0.962691
46,0.949391,0.965907
47,0.950427,0.958832
48,0.951362,0.957706
49,0.94827,0.963229
50,0.949086,0.965874
51,0.952512,0.960275
52,0.949711,0.956491
53,0.948521,0.963507
54,0.949582,0.965796
55,0.952497,0.960296
56,0.950107,0.956677
57,0.95,0.964364
58,0.951358,0.966632
59,0.952534,0.960132
60,0.950766,0.957378
61,0.95581,0.966828
62,0.956719,0.968167
63,0.952878,0.960331
64,0.953592,0.959141
65,0.954436,0.965478
66,0.955919,0.967494
67,0.952643,0.959868
68,0.951839,0.958018
69,0.954114,0.965494
70,0.95536,0.967545
71,0.952792,0.960217
72,0.947783,0.955754
73,0.949939,0.96419
74,0.952082,0.966963
75,0.951942,0.959898
76,0.9487,0.955903
77,0.95074,0.964386
78,0.952083,0.966839
79,0.948187,0.958072
80,0.947196,0.955363
81,0.949685,0.963777
82,0.951442,0.966402
83,0.948853,0.958584
84,0.949031,0.956688
85,0.949328,0.96346
86,0.949514,0.965971
87,0.94638,0.957825
88,0.948246,0.955826
89,0.948485,0.962948
90,0.951105,0.966173
91,0.950044,0.958894
92,0.945416,0.954239
93,0.947854,0.962523
94,0.950644,0.965846
95,0.951069,0.959563
96,0.948256,0.955818
97,0.950366,0.964087
98,0.952106,0.966666
99,0.95172,0.959943
100,0.949244,0.956613
101,0.952125,0.964885
102,0.954187,0.967462
103,0.951678,0.95988
104,0.951911,0.958277
105,0.952774,0.965059
106,0.954451,0.967974
107,0.951285,0.960254
108,0.951905,0.958546
109,0.952472,0.964996
110,0.953777,0.967303
111,0.952669,0.960649
112,0.949611,0.956798
113,0.952125,0.964687
114,0.954169,0.967531
115,0.952063,0.960357
116,0.949587,0.956922
117,0.953055,0.965011
118,0.954691,0.9674
119,0.951297,0.959925
120,0.948723,0.956616
121,0.952802,0.964893
122,0.954341,0.967392
123,0.952614,0.960356
124,0.951279,0.957744
125,0.952629,0.964959
126,0.953416,0.967063
127,0.952688,0.960213
128,0.951201,0.957819
129,0.950831,0.96461
130,0.952454,0.966988
131,0.952923,0.960419
132,0.948776,0.956749
133,0.949745,0.964562
134,0.953291,0.967483
135,0.952119,0.960061
136,0.948775,0.956158
137,0.951259,0.964679
138,0.952708,0.966909
139,0.951504,0.959985
140,0.948305,0.956543
141,0.953611,0.967074
142,0.953138,0.967983
143,0.951609,0.959989
144,0.952883,0.959617
145,0.950126,0.964571
146,0.95168,0.96693
147,0.951199,0.959835
148,0.948152,0.95603
149,0.948299,0.963274
150,0.950716,0.966388
151,0.950652,0.959492
152,0.946697,0.955408
153,0.947234,0.963157
154,0.951355,0.967087
155,0.951987,0.960483
156,0.949146,0.956693
157,0.951447,0.965287
158,0.952655,0.967499
159,0.950504,0.959525
160,0.948292,0.956454
161,0.951555,0.965047
162,0.954265,0.967688
163,0.952552,0.960571
164,0.951805,0.958775
165,0.951114,0.964787
166,0.954362,0.967989
167,0.951342,0.960668
168,0.95099,0.957966
169,0.951067,0.964551
170,0.953533,0.96764
171,0.953154,0.960921
172,0.948128,0.956031
173,0.950046,0.964236
174,0.952876,0.967274
175,0.952801,0.960855
176,0.950322,0.95746
177,0.953273,0.966274
178,0.954074,0.967928
179,0.952671,0.960674
180,0.950598,0.957702
181,0.952867,0.965848
182,0.954203,0.967907
183,0.952732,0.960429
184,0.952585,0.958782
