Frame, eSSIM, SSIM
0,0.809932,0.88676
1,0.793471,0.908507
2,0.881487,0.955578
3,0.822048,0.919046
4,0.794201,0.878262
5,0.819772,0.913491
6,0.891895,0.958192
7,0.838871,0.922377
8,0.810407,0.886303
9,0.841653,0.922704
10,0.897949,0.959155
11,0.858737,0.929152
12,0.810024,0.89233
13,0.843442,0.924823
14,0.904634,0.961929
15,0.847539,0.929314
16,0.855956,0.909257
17,0.856601,0.930508
18,0.904468,0.962275
19,0.85823,0.93285
20,0.827038,0.898522
21,0.870335,0.932042
22,0.912542,0.962565
23,0.850097,0.929242
24,0.833765,0.903867
25,0.870093,0.933256
26,0.905669,0.962561
27,0.888603,0.940002
28,0.842861,0.905721
29,0.863999,0.93381
30,0.90565,0.962934
31,0.866615,0.934173
32,0.866216,0.912501
33,0.866029,0.934196
34,0.90704,0.961984
35,0.858876,0.931837
36,0.828893,0.900857
37,0.872235,0.934137
38,0.913978,0.962749
39,0.861571,0.929812
40,0.824067,0.895239
41,0.850471,0.926758
42,0.894248,0.958901
43,0.882409,0.935662
44,0.832654,0.900005
45,0.854329,0.927758
46,0.899802,0.958106
47,0.855825,0.927723
48,0.861296,0.908631
49,0.856738,0.929487
50,0.894578,0.957561
51,0.857862,0.928075
52,0.827867,0.896202
53,0.86591,0.928297
54,0.900822,0.956914
55,0.848073,0.92167
56,0.824362,0.890339
57,0.849745,0.921057
58,0.894074,0.954886
59,0.872425,0.928292
60,0.825975,0.891046
61,0.840482,0.918641
62,0.893213,0.952665
63,0.843844,0.917657
64,0.852757,0.902168
65,0.853702,0.924173
66,0.894512,0.953236
67,0.841295,0.922917
68,0.817987,0.890836
69,0.867418,0.927635
70,0.910978,0.957656
71,0.843237,0.922228
72,0.813718,0.887743
73,0.842622,0.919449
74,0.897882,0.952867
75,0.876163,0.929091
76,0.818731,0.890024
77,0.844779,0.919177
78,0.895043,0.952349
79,0.842048,0.919059
80,0.848202,0.898252
81,0.853014,0.920278
82,0.890707,0.950711
83,0.846662,0.919731
84,0.821283,0.886505
85,0.864333,0.921317
86,0.903946,0.952378
87,0.84326,0.916428
88,0.812366,0.884643
89,0.839752,0.913933
90,0.889435,0.94838
91,0.871762,0.925937
92,0.809986,0.88168
93,0.830503,0.908604
94,0.88453,0.946908
95,0.844537,0.916006
96,0.85069,0.89813
97,0.853276,0.919027
98,0.896053,0.950512
99,0.849562,0.923724
100,0.822023,0.890745
101,0.862188,0.919377
102,0.902511,0.951736
103,0.855343,0.922459
104,0.825829,0.893989
105,0.848227,0.918791
106,0.891933,0.951619
107,0.879283,0.932411
108,0.837588,0.899998
109,0.855946,0.922926
110,0.89466,0.952857
111,0.862258,0.929136
112,0.858509,0.906233
113,0.857047,0.923534
114,0.897519,0.952777
115,0.860668,0.927389
116,0.830579,0.898216
117,0.864069,0.923443
118,0.907884,0.953252
119,0.856298,0.925403
120,0.818475,0.890253
121,0.844643,0.916441
122,0.890931,0.949835
123,0.877388,0.929677
124,0.82044,0.891479
125,0.844397,0.915611
126,0.888954,0.948416
127,0.856203,0.923698
128,0.851977,0.901125
129,0.850712,0.917272
130,0.893735,0.948552
131,0.852449,0.923304
132,0.824661,0.890776
133,0.861432,0.919957
134,0.905926,0.951535
135,0.853671,0.923417
136,0.819919,0.88939
137,0.840424,0.91224
138,0.892542,0.947901
139,0.878068,0.929127
140,0.824636,0.891219
141,0.837155,0.910215
142,0.889274,0.945994
143,0.856811,0.923885
144,0.856621,0.904573
145,0.846604,0.91401
146,0.889075,0.947856
147,0.857273,0.926203
148,0.812392,0.887473
149,0.858682,0.918689
150,0.898818,0.949801
151,0.861943,0.92822
152,0.815277,0.886613
153,0.839823,0.909706
154,0.88511,0.944513
155,0.874858,0.927747
156,0.81993,0.889244
157,0.828092,0.906426
158,0.886705,0.944629
159,0.879591,0.92895
160,0.81925,0.888554
161,0.834161,0.909237
162,0.885461,0.943735
163,0.858511,0.923359
164,0.85123,0.900499
165,0.838576,0.910807
166,0.883655,0.943899
167,0.84848,0.918042
168,0.835669,0.893853
169,0.866625,0.920169
170,0.899143,0.947914
171,0.859055,0.92412
172,0.824945,0.890224
173,0.84146,0.910446
174,0.890432,0.944796
175,0.875864,0.926369
176,0.826868,0.888506
177,0.838147,0.909075
178,0.890016,0.945299
179,0.859685,0.924636
180,0.852571,0.89996
181,0.847535,0.912318
182,0.892151,0.94516
183,0.856146,0.922206
184,0.859498,0.904104
185,0.852991,0.917185
