Frame, eSSIM, SSIM
0,0.644841,0.778526
1,0.689505,0.851775
2,0.795933,0.928863
3,0.695818,0.847985
4,0.625644,0.766389
5,0.676953,0.844348
6,0.783622,0.924402
7,0.699789,0.849247
8,0.642611,0.777636
9,0.708341,0.862277
10,0.806959,0.93251
11,0.69416,0.849191
12,0.670353,0.799204
13,0.730045,0.871512
14,0.820321,0.939632
15,0.731367,0.869366
16,0.69212,0.809998
17,0.737252,0.877557
18,0.834957,0.943707
19,0.733879,0.871516
20,0.678156,0.803493
21,0.740912,0.875356
22,0.844384,0.944045
23,0.73273,0.86953
24,0.68404,0.807007
25,0.739224,0.877662
26,0.84346,0.945842
27,0.751392,0.878761
28,0.691871,0.809617
29,0.7429,0.87894
30,0.846126,0.946632
31,0.743722,0.874757
32,0.696673,0.807851
33,0.747868,0.880451
34,0.851299,0.946561
35,0.729626,0.870091
36,0.678165,0.801494
37,0.75376,0.880385
38,0.851252,0.9475
39,0.722066,0.865062
40,0.665269,0.791402
41,0.731285,0.871285
42,0.837374,0.942974
43,0.73713,0.869714
44,0.6752,0.797788
45,0.73623,0.872918
46,0.839677,0.94113
47,0.726381,0.86483
48,0.687729,0.803341
49,0.737905,0.87484
50,0.841855,0.942409
51,0.722883,0.8653
52,0.671668,0.79313
53,0.737421,0.869454
54,0.841394,0.940995
55,0.71092,0.854785
56,0.652834,0.779527
57,0.716596,0.861323
58,0.833086,0.93777
59,0.722021,0.858577
60,0.658366,0.78139
61,0.719136,0.860099
62,0.830584,0.935258
63,0.708032,0.849651
64,0.668621,0.785337
65,0.722685,0.862511
66,0.829741,0.934888
67,0.70708,0.852138
68,0.656478,0.779922
69,0.731084,0.864245
70,0.850951,0.939814
71,0.712309,0.85369
72,0.645537,0.772931
73,0.712094,0.8556
74,0.836619,0.935189
75,0.725786,0.858
76,0.648631,0.775229
77,0.704079,0.853027
78,0.822795,0.932259
79,0.708683,0.849614
80,0.665075,0.778731
81,0.72181,0.856382
82,0.82488,0.931426
83,0.709134,0.848082
84,0.649302,0.766893
85,0.720293,0.852108
86,0.843846,0.93347
87,0.699482,0.841779
88,0.644159,0.764568
89,0.70883,0.84737
90,0.81875,0.927557
91,0.714983,0.849551
92,0.644789,0.762559
93,0.695359,0.838755
94,0.804067,0.924652
95,0.708674,0.84629
96,0.669245,0.777353
97,0.716632,0.851999
98,0.822948,0.930795
99,0.712074,0.852349
100,0.657609,0.775191
101,0.729018,0.85353
102,0.840759,0.93482
103,0.712802,0.852462
104,0.66064,0.779072
105,0.719091,0.852149
106,0.822616,0.932497
107,0.730418,0.862413
108,0.671782,0.785538
109,0.724022,0.855312
110,0.80982,0.929867
111,0.725486,0.861548
112,0.679314,0.786746
113,0.723212,0.85673
114,0.830586,0.934026
