Frame, eSSIM, SSIM
0,0.710436,0.823537
1,0.731272,0.875809
2,0.827425,0.94064
3,0.750879,0.881228
4,0.699431,0.817644
5,0.737038,0.875724
6,0.832115,0.94077
7,0.766444,0.886815
8,0.724224,0.831364
9,0.770602,0.89159
10,0.858539,0.948164
11,0.777672,0.892889
12,0.746323,0.849629
13,0.789194,0.900375
14,0.870359,0.953477
15,0.796281,0.903506
16,0.778953,0.863538
17,0.796824,0.906315
18,0.879493,0.95494
19,0.796507,0.904491
20,0.758352,0.855081
21,0.810074,0.905962
22,0.884671,0.955004
23,0.792582,0.901221
24,0.76456,0.859414
25,0.803083,0.906434
26,0.878279,0.955708
27,0.825285,0.912965
28,0.765923,0.860159
29,0.804316,0.908151
30,0.878183,0.955987
31,0.802493,0.906794
32,0.784679,0.864602
33,0.807675,0.908623
34,0.884259,0.956027
35,0.792523,0.902062
36,0.753965,0.852312
37,0.815002,0.907924
38,0.889503,0.956076
39,0.790404,0.899603
40,0.739108,0.843376
41,0.792454,0.899995
42,0.874837,0.952602
43,0.811228,0.904753
44,0.753117,0.849769
45,0.795026,0.900323
46,0.871417,0.950838
47,0.79046,0.897963
48,0.776824,0.85945
49,0.799999,0.903211
50,0.873402,0.951342
51,0.792031,0.898338
52,0.748431,0.845428
53,0.804197,0.899111
54,0.88295,0.951679
55,0.778309,0.890523
56,0.73242,0.834137
57,0.779818,0.890649
58,0.867456,0.947968
59,0.797841,0.895707
60,0.736362,0.835664
61,0.778962,0.888994
62,0.866545,0.945794
63,0.775713,0.885439
64,0.760436,0.84512
65,0.782992,0.892958
66,0.861223,0.944971
67,0.771604,0.888117
68,0.732835,0.83463
69,0.801665,0.897083
70,0.882383,0.950517
71,0.780067,0.890809
72,0.727109,0.83076
73,0.781225,0.888684
74,0.873135,0.945801
75,0.804978,0.898426
76,0.735325,0.835893
77,0.772373,0.887166
78,0.859927,0.944025
79,0.78114,0.887766
80,0.756235,0.841791
81,0.785485,0.889072
82,0.867656,0.943464
83,0.778397,0.887197
84,0.72866,0.827406
85,0.793576,0.887911
86,0.88116,0.944897
87,0.772872,0.882805
88,0.727036,0.82679
89,0.769773,0.880345
90,0.858234,0.939415
91,0.798671,0.891934
92,0.72857,0.824739
93,0.761659,0.874279
94,0.852066,0.938659
95,0.775949,0.883197
96,0.762806,0.842108
97,0.793002,0.889725
98,0.865219,0.943071
99,0.781012,0.890813
100,0.745203,0.836833
101,0.798136,0.888133
102,0.875602,0.944963
103,0.788933,0.891408
104,0.748137,0.841138
105,0.781153,0.886464
106,0.859366,0.943556
107,0.80956,0.901871
108,0.762561,0.848439
109,0.793793,0.892467
110,0.865529,0.94453
111,0.797862,0.898378
112,0.773533,0.851345
113,0.798519,0.894591
114,0.875574,0.946238
115,0.798325,0.898328
116,0.756538,0.846481
117,0.806681,0.894458
118,0.88673,0.946886
119,0.795586,0.895837
120,0.744345,0.83717
121,0.788865,0.887582
122,0.868669,0.942624
123,0.810789,0.899686
124,0.746497,0.8387
125,0.784322,0.885198
126,0.86412,0.941079
127,0.789075,0.892864
128,0.766819,0.846545
129,0.790045,0.887458
130,0.866153,0.941265
131,0.789575,0.893225
132,0.749237,0.838657
133,0.803295,0.889213
134,0.881392,0.944156
135,0.793546,0.893881
136,0.738402,0.834083
137,0.7771,0.879492
138,0.864293,0.940012
139,0.812452,0.898931
140,0.745294,0.836774
141,0.77684,0.877296
142,0.85326,0.935975
143,0.79817,0.894737
144,0.773395,0.850206
145,0.778633,0.88139
146,0.859433,0.93921
147,0.793643,0.896488
148,0.738752,0.833926
149,0.794142,0.884296
150,0.87691,0.941922
151,0.805462,0.900274
152,0.745235,0.835256
153,0.781156,0.877708
154,0.857288,0.935481
155,0.815735,0.899414
156,0.742742,0.836363
157,0.771359,0.873628
158,0.853438,0.935034
159,0.816397,0.899538
160,0.74459,0.836003
161,0.77573,0.875568
162,0.851736,0.932903
163,0.795574,0.89281
164,0.773155,0.847316
165,0.777921,0.87771
166,0.851629,0.933398
167,0.791343,0.88879
168,0.74704,0.837911
169,0.799289,0.885475
170,0.87521,0.939719
171,0.803238,0.896227
172,0.751393,0.838086
173,0.779537,0.877953
174,0.86438,0.936411
175,0.814355,0.896156
176,0.743989,0.83208
177,0.778138,0.876499
178,0.861812,0.936015
179,0.798022,0.893561
180,0.771386,0.843706
