Frame, eSSIM, SSIM
0,0.503171,0.664014
1,0.686621,0.877193
2,0.897068,0.953442
3,0.548399,0.742042
4,0.525841,0.68026
5,0.700858,0.882275
6,0.897738,0.952824
7,0.56915,0.753517
8,0.527524,0.681783
9,0.809223,0.920807
10,0.912488,0.958059
11,0.659765,0.813678
12,0.642259,0.777032
13,0.810292,0.923118
14,0.911592,0.9579
15,0.660927,0.814377
16,0.644315,0.778228
17,0.812896,0.923282
18,0.912543,0.958082
19,0.662142,0.814957
20,0.662048,0.793528
21,0.82647,0.927824
22,0.913774,0.958458
23,0.676763,0.825494
24,0.661145,0.793516
25,0.851679,0.934463
26,0.914472,0.958693
27,0.686345,0.834613
28,0.677496,0.809357
29,0.85193,0.934654
30,0.913226,0.95859
31,0.744968,0.863824
32,0.731403,0.838072
33,0.851422,0.93453
34,0.914592,0.958957
35,0.747844,0.864986
36,0.734975,0.840129
37,0.851996,0.934871
38,0.914123,0.958927
39,0.746956,0.863985
40,0.733027,0.838942
41,0.866094,0.939138
42,0.916268,0.959339
43,0.753266,0.868628
44,0.743311,0.847635
45,0.866657,0.939425
46,0.916011,0.959431
47,0.777582,0.881064
48,0.768516,0.863715
49,0.87872,0.943438
50,0.917198,0.959754
51,0.777165,0.881533
52,0.776976,0.867567
53,0.879215,0.943654
54,0.917368,0.959565
55,0.785054,0.884059
56,0.776303,0.867039
57,0.888794,0.945805
58,0.918936,0.960303
59,0.805637,0.894566
60,0.812404,0.885132
61,0.889175,0.946104
62,0.91923,0.960293
63,0.818995,0.899215
64,0.811017,0.884766
65,0.893243,0.947021
66,0.920597,0.960621
67,0.830971,0.904504
68,0.822275,0.889868
69,0.893292,0.947379
70,0.920603,0.960588
71,0.838163,0.908008
72,0.827102,0.893229
73,0.894752,0.947405
74,0.922216,0.960896
75,0.834913,0.9073
76,0.833964,0.898571
77,0.904869,0.951228
78,0.923767,0.961739
79,0.835742,0.908852
80,0.828233,0.897704
81,0.904997,0.951416
82,0.923141,0.9617
83,0.846644,0.912525
84,0.839903,0.901127
85,0.904686,0.9512
86,0.923669,0.96171
87,0.850669,0.914889
88,0.843794,0.904451
89,0.9081,0.952433
90,0.924911,0.962158
91,0.845641,0.913687
92,0.855243,0.909493
93,0.910972,0.953345
94,0.925874,0.962431
95,0.859752,0.918833
96,0.855137,0.910488
97,0.911764,0.953423
98,0.926995,0.962515
99,0.859123,0.919007
100,0.853246,0.908811
101,0.910996,0.953298
102,0.927204,0.962513
103,0.859907,0.918998
104,0.854812,0.910418
105,0.917828,0.955957
106,0.928779,0.963039
107,0.861168,0.921332
108,0.857049,0.913387
109,0.918121,0.956213
110,0.929953,0.963324
111,0.870783,0.925417
112,0.867068,0.918537
113,0.918929,0.956372
114,0.930171,0.963459
115,0.873668,0.926202
116,0.868675,0.918124
117,0.919085,0.956439
118,0.930245,0.963392
119,0.877585,0.928006
120,0.872551,0.921073
121,0.923028,0.957849
122,0.931682,0.964036
123,0.875061,0.927977
124,0.871197,0.920952
125,0.923036,0.958034
126,0.932458,0.964145
127,0.88137,0.930446
128,0.877526,0.923786
129,0.924061,0.958187
130,0.933358,0.964418
131,0.880592,0.931157
132,0.881258,0.925541
133,0.925116,0.958578
134,0.933719,0.964451
135,0.88181,0.930711
136,0.878092,0.924613
137,0.92826,0.959114
138,0.934258,0.964667
139,0.880415,0.931577
140,0.878388,0.925372
141,0.928019,0.959411
142,0.933978,0.964777
143,0.884389,0.932595
144,0.880813,0.92621
145,0.927472,0.959134
146,0.933911,0.964783
147,0.883981,0.932484
148,0.882703,0.926904
149,0.928227,0.959501
150,0.93452,0.964894
151,0.882064,0.931891
152,0.878577,0.926114
153,0.928951,0.959605
154,0.934389,0.964896
155,0.880642,0.932103
156,0.878023,0.9257
157,0.929677,0.959767
158,0.935027,0.965015
159,0.891986,0.936306
160,0.888213,0.930477
161,0.931529,0.960355
162,0.93819,0.965602
163,0.890733,0.93757
164,0.889231,0.931499
165,0.931446,0.960438
166,0.938237,0.965566
167,0.886806,0.93524
168,0.883422,0.929393
169,0.93073,0.960106
170,0.937872,0.965514
171,0.888228,0.935924
172,0.884934,0.929309
173,0.930741,0.9602
174,0.937749,0.965506
175,0.891466,0.937084
176,0.886968,0.931379
177,0.93168,0.960396
178,0.938189,0.965638
179,0.88918,0.93715
180,0.894615,0.932626
181,0.931616,0.960576
182,0.938457,0.965579
183,0.893568,0.936897
184,0.892544,0.932355
185,0.931915,0.960517
186,0.93879,0.965789
187,0.895126,0.938227
188,0.891393,0.931949
189,0.93202,0.960845
190,0.93866,0.965887
191,0.896805,0.938353
192,0.892728,0.932824
193,0.932909,0.960747
194,0.939028,0.96586
195,0.893005,0.93721
196,0.893463,0.932878
197,0.934225,0.961982
198,0.939122,0.965997
199,0.895853,0.938452
200,0.892767,0.933997
201,0.935046,0.962128
202,0.939272,0.966179
203,0.894981,0.938995
204,0.900645,0.936087
205,0.934874,0.962136
206,0.93898,0.966212
207,0.899431,0.939566
208,0.89824,0.936115
209,0.934455,0.96199
210,0.939803,0.966298
211,0.902469,0.941128
212,0.903957,0.938201
213,0.936581,0.962657
214,0.939661,0.966395
215,0.900494,0.941149
216,0.899633,0.938493
217,0.936062,0.962505
218,0.939946,0.966465
219,0.89719,0.94097
220,0.895143,0.935841
221,0.935887,0.96242
222,0.940122,0.966426
223,0.900142,0.940836
224,0.896868,0.936674
225,0.935605,0.962336
226,0.940224,0.966428
227,0.898801,0.941163
228,0.900724,0.937322
229,0.936286,0.962601
230,0.940226,0.966426
231,0.899218,0.940853
232,0.89737,0.936906
233,0.935892,0.962468
234,0.94005,0.966466
235,0.901067,0.942124
236,0.898573,0.937193
237,0.936434,0.962744
238,0.940139,0.966405
239,0.903962,0.94258
240,0.900873,0.937961
241,0.936986,0.962552
242,0.9404,0.966448
243,0.902681,0.941872
244,0.902504,0.937791
245,0.936893,0.962586
246,0.940512,0.966408
247,0.901432,0.941279
248,0.899403,0.937693
249,0.936809,0.962387
250,0.939852,0.966461
251,0.905954,0.943936
252,0.906747,0.939457
253,0.936586,0.962672
254,0.939955,0.966388
255,0.907007,0.942962
256,0.905826,0.939538
257,0.937195,0.962606
258,0.939968,0.966461
259,0.907916,0.9441
260,0.904763,0.938935
261,0.937206,0.962743
262,0.939347,0.966353
263,0.910287,0.944442
264,0.906382,0.940006
265,0.936615,0.962491
266,0.939313,0.966346
267,0.907682,0.943902
268,0.907446,0.940125
269,0.937508,0.962886
270,0.940026,0.966425
271,0.90553,0.942932
272,0.904435,0.939865
273,0.937734,0.962791
274,0.940219,0.966499
275,0.906793,0.94367
276,0.90473,0.938842
277,0.937969,0.963024
278,0.939988,0.966443
279,0.907475,0.943752
280,0.904676,0.939619
281,0.938617,0.963111
282,0.940425,0.966602
283,0.903427,0.943132
284,0.903765,0.939047
285,0.938559,0.96314
286,0.940317,0.966579
287,0.901482,0.941566
288,0.900003,0.93811
289,0.938237,0.962994
290,0.939913,0.966551
291,0.895307,0.940636
292,0.893629,0.935888
293,0.938395,0.96315
294,0.939763,0.966566
295,0.892266,0.939464
296,0.889665,0.935118
297,0.936888,0.962681
298,0.940054,0.966619
299,0.888145,0.939151
300,0.888727,0.934702
301,0.937404,0.962944
302,0.93946,0.96675
303,0.886895,0.938385
304,0.887023,0.934785
305,0.936581,0.962858
306,0.939252,0.966529
307,0.885585,0.937961
308,0.884313,0.933136
309,0.936984,0.962949
310,0.938836,0.966584
311,0.887564,0.938172
312,0.885428,0.933906
313,0.93565,0.962744
314,0.938178,0.966537
315,0.886426,0.938236
316,0.886918,0.933719
317,0.934804,0.96286
318,0.937358,0.966436
319,0.888964,0.937788
320,0.887175,0.93434
321,0.935107,0.962649
322,0.937708,0.966499
323,0.889157,0.93883
324,0.887641,0.93401
325,0.935867,0.963045
326,0.937201,0.966442
327,0.886784,0.937537
328,0.88436,0.933985
329,0.934515,0.962712
330,0.936872,0.966389
331,0.885319,0.9377
332,0.911611,0.943856
333,0.932799,0.963545
334,0.936218,0.967903
335,0.90563,0.942344
336,0.89378,0.932091
337,0.927836,0.961527
338,0.935955,0.967744
339,0.894593,0.937595
340,0.890648,0.930614
341,0.927903,0.961664
342,0.93619,0.967811
343,0.890148,0.936419
344,0.884743,0.929281
345,0.927948,0.961425
346,0.936881,0.96796
347,0.886305,0.935505
348,0.882627,0.928247
349,0.928055,0.961657
350,0.935529,0.967661
351,0.882375,0.933707
352,0.876676,0.926727
353,0.927655,0.961404
354,0.935987,0.967813
355,0.880967,0.934245
356,0.87768,0.926722
357,0.928204,0.961525
358,0.935682,0.967867
359,0.876813,0.931765
360,0.87365,0.925974
361,0.928561,0.961616
362,0.936284,0.968093
363,0.874199,0.931662
364,0.871499,0.924865
