Frame, eSSIM, SSIM
0,0.603824,0.747042
1,0.76863,0.909767
2,0.90799,0.957479
3,0.630806,0.795857
4,0.637307,0.771453
5,0.786584,0.914515
6,0.911406,0.957795
7,0.662239,0.816027
8,0.63848,0.772342
9,0.865658,0.94099
10,0.917464,0.960383
11,0.73673,0.860117
12,0.727955,0.840688
13,0.867484,0.942445
14,0.916475,0.960234
15,0.753192,0.869433
16,0.7443,0.851081
17,0.868337,0.942732
18,0.917904,0.960502
19,0.753504,0.869989
20,0.772417,0.87251
21,0.898648,0.950366
22,0.920345,0.961258
23,0.775426,0.883683
24,0.772246,0.873674
25,0.89971,0.95076
26,0.921102,0.961346
27,0.829224,0.904647
28,0.823114,0.893287
29,0.899646,0.950628
30,0.919847,0.961215
31,0.841785,0.908963
32,0.832559,0.897216
33,0.900458,0.950805
34,0.922785,0.961572
35,0.836775,0.90737
36,0.837764,0.903593
37,0.913906,0.956064
38,0.925757,0.962619
39,0.837831,0.909861
40,0.831918,0.902902
41,0.925062,0.95892
42,0.928311,0.963732
43,0.850051,0.918434
44,0.848539,0.912985
45,0.926024,0.959381
46,0.928439,0.963863
47,0.873955,0.927749
48,0.872409,0.92211
49,0.927072,0.959392
50,0.932084,0.964408
51,0.875125,0.928689
52,0.886467,0.927146
53,0.927646,0.959526
54,0.933923,0.964659
55,0.8868,0.931883
56,0.88246,0.9263
57,0.931678,0.960728
58,0.935427,0.965421
59,0.89215,0.937338
60,0.898901,0.93481
61,0.933166,0.961273
62,0.936744,0.965773
63,0.89872,0.938513
64,0.89882,0.934787
65,0.934236,0.961786
66,0.938238,0.966207
67,0.904794,0.941623
68,0.902128,0.936246
69,0.935143,0.962059
70,0.938316,0.96621
71,0.915453,0.946098
72,0.912011,0.940783
73,0.935414,0.962142
74,0.93986,0.966561
75,0.915325,0.946675
76,0.913739,0.941609
77,0.935988,0.962073
78,0.941071,0.966756
79,0.912228,0.944719
80,0.908541,0.939879
81,0.937626,0.963354
82,0.941466,0.967138
83,0.913441,0.946266
84,0.910296,0.941488
85,0.938262,0.963711
86,0.941737,0.96716
87,0.919127,0.948557
88,0.91722,0.945014
89,0.939243,0.964068
90,0.942149,0.96734
91,0.915991,0.948586
92,0.918624,0.945488
93,0.939667,0.964241
94,0.942346,0.967245
95,0.917859,0.947509
96,0.915825,0.944649
97,0.942023,0.964942
98,0.942921,0.967469
99,0.915468,0.947732
100,0.913234,0.943772
101,0.942039,0.965339
102,0.942696,0.96756
103,0.916523,0.948573
104,0.91555,0.947477
105,0.944341,0.966382
106,0.944936,0.968436
107,0.922605,0.95055
108,0.920502,0.947025
109,0.943929,0.966097
110,0.945235,0.968541
111,0.926166,0.952475
112,0.925139,0.950888
113,0.946293,0.966811
114,0.945547,0.968785
115,0.925422,0.952262
116,0.923926,0.94879
117,0.946192,0.966765
118,0.945471,0.968681
119,0.929607,0.954267
120,0.927346,0.952961
121,0.948859,0.967769
122,0.948711,0.969661
123,0.930764,0.954885
124,0.929136,0.951784
125,0.948919,0.967759
126,0.949064,0.969633
127,0.93129,0.954793
128,0.927222,0.952006
