Frame, eSSIM, SSIM
0,0.917024,0.949839
1,0.959208,0.974283
2,0.95795,0.975667
3,0.918162,0.950802
4,0.917003,0.948293
5,0.956773,0.972499
6,0.957445,0.974973
7,0.915301,0.949252
8,0.922044,0.951732
9,0.960028,0.974242
10,0.957886,0.975275
11,0.9251,0.954009
12,0.925511,0.952848
13,0.958428,0.973031
14,0.95814,0.975253
15,0.923305,0.953198
16,0.925907,0.953694
17,0.960851,0.974372
18,0.958705,0.975252
19,0.92681,0.954906
20,0.927143,0.953891
21,0.959897,0.973771
22,0.962516,0.977151
23,0.930925,0.957437
24,0.930041,0.957483
25,0.963724,0.976359
26,0.962168,0.977472
27,0.927523,0.955703
28,0.926833,0.9533
29,0.960638,0.974022
30,0.960271,0.97649
31,0.926922,0.955567
32,0.927918,0.954824
33,0.962426,0.975228
34,0.960998,0.976583
35,0.932158,0.958182
36,0.932806,0.956928
37,0.961983,0.974516
38,0.962117,0.976662
39,0.932635,0.958085
40,0.934172,0.957924
41,0.964159,0.975834
42,0.962673,0.976881
43,0.935914,0.959778
44,0.93634,0.95906
45,0.96414,0.975404
46,0.964554,0.978028
47,0.938535,0.961651
48,0.930013,0.957436
49,0.9641,0.976535
50,0.962308,0.977606
51,0.92901,0.956668
52,0.927846,0.954235
53,0.961454,0.974274
54,0.962072,0.976713
55,0.92852,0.956023
56,0.930932,0.956399
57,0.963976,0.975783
58,0.962408,0.977051
59,0.933703,0.958841
60,0.934529,0.957854
61,0.962724,0.974796
62,0.962779,0.97697
63,0.933375,0.958475
64,0.934543,0.958341
65,0.964739,0.975971
66,0.962894,0.977015
67,0.934202,0.95885
68,0.93443,0.957675
69,0.964133,0.975529
70,0.963838,0.977962
71,0.938554,0.961574
72,0.931007,0.958015
73,0.964448,0.976697
74,0.962493,0.977718
75,0.929615,0.956913
76,0.928964,0.954511
77,0.96097,0.974093
78,0.962143,0.976912
79,0.929104,0.956578
80,0.930726,0.95631
81,0.964027,0.975702
82,0.96236,0.976997
83,0.934315,0.959187
84,0.935058,0.958067
85,0.962587,0.974731
86,0.963026,0.97697
87,0.934039,0.958871
88,0.934841,0.958282
89,0.96447,0.975931
90,0.963316,0.977124
91,0.936045,0.959985
92,0.936654,0.959029
93,0.96442,0.975507
94,0.964133,0.977945
95,0.939197,0.96177
96,0.929639,0.957161
97,0.96407,0.976365
98,0.962021,0.977334
99,0.928406,0.956209
100,0.927613,0.953935
101,0.961526,0.974279
102,0.961569,0.976571
103,0.929004,0.956433
104,0.92973,0.955888
105,0.963446,0.975569
106,0.961707,0.976688
107,0.933908,0.958876
108,0.935067,0.958002
109,0.961888,0.974363
110,0.962164,0.976673
111,0.931684,0.957573
112,0.933855,0.957904
113,0.964142,0.975773
114,0.962574,0.976929
115,0.936822,0.960251
116,0.937593,0.959421
117,0.964517,0.975655
118,0.964314,0.978185
119,0.94094,0.96279
120,0.932879,0.958736
121,0.9648,0.976837
122,0.962444,0.977837
123,0.930981,0.957537
124,0.930849,0.955513
125,0.961696,0.974347
126,0.962282,0.97703
127,0.929839,0.956898
128,0.932394,0.957105
129,0.964006,0.975864
130,0.962373,0.977051
131,0.934514,0.959151
132,0.93479,0.957918
133,0.9628,0.974721
134,0.962432,0.976921
135,0.932816,0.958217
136,0.93532,0.958404
137,0.964421,0.975907
138,0.96316,0.977148
139,0.937012,0.960334
140,0.937668,0.959444
141,0.964376,0.975655
142,0.964461,0.978098
143,0.940035,0.962349
144,0.93117,0.95777
145,0.964382,0.976579
146,0.962376,0.977691
147,0.928831,0.956482
148,0.927978,0.954082
149,0.961664,0.974312
150,0.961844,0.976809
151,0.929725,0.956653
152,0.931472,0.956573
153,0.963886,0.975735
154,0.962257,0.97694
155,0.933978,0.958993
156,0.934381,0.957698
157,0.96209,0.974289
158,0.96244,0.976748
159,0.931821,0.957497
160,0.934407,0.95827
161,0.964512,0.975905
162,0.962786,0.976957
163,0.935065,0.959406
164,0.935544,0.958308
165,0.964281,0.975504
166,0.964217,0.977974
167,0.938917,0.961806
168,0.930351,0.957528
169,0.964203,0.976591
170,0.96233,0.977549
171,0.929705,0.95688
172,0.929021,0.954722
173,0.961367,0.974312
174,0.961516,0.976689
175,0.929087,0.956337
176,0.929847,0.955445
177,0.962833,0.975358
178,0.96128,0.976787
179,0.933121,0.958562
180,0.933514,0.957319
181,0.961681,0.974426
182,0.962404,0.976767
183,0.931273,0.957469
184,0.934427,0.958316
185,0.96451,0.975807
186,0.962815,0.976925
187,0.935692,0.959505
188,0.936221,0.958513
189,0.963883,0.975405
190,0.96435,0.978048
191,0.93858,0.96137
192,0.929439,0.957028
193,0.964099,0.976488
194,0.962147,0.977469
195,0.929061,0.956396
196,0.928482,0.954299
197,0.961249,0.974363
198,0.961162,0.976586
199,0.929321,0.956532
200,0.929731,0.955612
201,0.962851,0.975504
202,0.960661,0.97667
203,0.933377,0.958631
204,0.934485,0.957628
205,0.961638,0.974426
206,0.960622,0.976583
207,0.930757,0.957278
208,0.932483,0.957555
209,0.963705,0.975728
210,0.961917,0.976648
211,0.936329,0.960204
212,0.937284,0.959649
213,0.963716,0.97519
214,0.962193,0.977682
215,0.939084,0.961943
216,0.931899,0.958278
217,0.964251,0.976648
218,0.961616,0.97757
219,0.931031,0.957485
220,0.930297,0.955226
221,0.961169,0.974116
222,0.961068,0.976819
223,0.927958,0.955893
224,0.931985,0.957067
225,0.963315,0.975627
226,0.961861,0.976836
227,0.933856,0.958918
228,0.933949,0.957468
229,0.96249,0.974812
230,0.962221,0.9769
