Frame, eSSIM, SSIM
0,0.489324,0.588243
1,0.624063,0.790323
2,0.828291,0.915476
3,0.538581,0.70089
4,0.509373,0.608682
5,0.643673,0.801906
6,0.831734,0.915986
7,0.655308,0.777699
8,0.640372,0.725989
9,0.729768,0.84828
10,0.84133,0.9184
11,0.634316,0.767985
12,0.621117,0.711005
13,0.728416,0.846375
14,0.841494,0.918734
15,0.682756,0.793431
16,0.624152,0.71034
17,0.734691,0.849705
18,0.843091,0.919186
19,0.654633,0.778364
20,0.642398,0.727886
21,0.730762,0.847989
22,0.843022,0.919102
23,0.709079,0.810503
24,0.648198,0.733096
25,0.738936,0.851232
26,0.844465,0.919223
27,0.694812,0.802862
28,0.661162,0.74095
29,0.741055,0.852791
30,0.845763,0.919078
31,0.708386,0.808515
32,0.654773,0.736102
33,0.740406,0.852233
34,0.846217,0.919069
35,0.69045,0.80029
36,0.664716,0.744068
37,0.738197,0.850784
38,0.846488,0.919012
39,0.718312,0.814461
40,0.654392,0.737832
41,0.741439,0.852954
42,0.846497,0.919316
43,0.713933,0.813596
44,0.673636,0.751863
45,0.739557,0.851785
46,0.845951,0.918881
47,0.719033,0.814843
48,0.665301,0.747537
49,0.743767,0.854227
50,0.84674,0.919271
51,0.702796,0.806862
52,0.669308,0.747941
53,0.743644,0.853922
54,0.847193,0.919281
55,0.71427,0.812889
56,0.657315,0.739208
57,0.74735,0.855487
58,0.847368,0.919392
59,0.708191,0.809425
60,0.67284,0.749911
61,0.741061,0.852939
62,0.847284,0.919204
63,0.716868,0.814154
64,0.652393,0.73676
65,0.748185,0.856376
66,0.847395,0.919104
67,0.71324,0.813276
68,0.676247,0.753438
69,0.746975,0.855001
70,0.846419,0.918632
71,0.712447,0.811191
72,0.665716,0.746167
73,0.753493,0.859051
74,0.847992,0.918971
75,0.699729,0.805374
76,0.671013,0.749864
77,0.750192,0.85751
78,0.848012,0.918911
79,0.719191,0.814294
80,0.663489,0.746015
81,0.75291,0.859219
82,0.848839,0.919314
83,0.69877,0.804985
84,0.677615,0.755283
85,0.750688,0.857073
86,0.849502,0.919759
87,0.726927,0.821045
88,0.663292,0.74413
89,0.752013,0.858725
90,0.850393,0.920383
91,0.714241,0.814714
92,0.677808,0.755836
93,0.749517,0.857204
94,0.848899,0.920079
95,0.711874,0.811709
96,0.661469,0.743953
97,0.7519,0.857974
98,0.848891,0.92004
99,0.707798,0.809339
100,0.677372,0.753482
101,0.747236,0.856046
102,0.848479,0.920127
103,0.717028,0.81537
104,0.657415,0.741187
105,0.752151,0.858509
106,0.850177,0.920127
107,0.711962,0.813763
108,0.679744,0.757293
109,0.751664,0.858206
110,0.84979,0.92026
111,0.71752,0.815515
112,0.667898,0.750334
113,0.75142,0.858291
114,0.849217,0.920059
115,0.707487,0.810566
116,0.677589,0.754887
117,0.749984,0.856755
118,0.849237,0.91976
119,0.721573,0.817865
120,0.66306,0.746295
121,0.753556,0.858889
122,0.849244,0.919983
123,0.7092,0.812634
124,0.676835,0.754798
125,0.7483,0.85676
126,0.850041,0.920309
127,0.718424,0.815792
128,0.674905,0.755418
129,0.756333,0.860938
130,0.850665,0.920449
131,0.704656,0.808342
132,0.678121,0.756113
133,0.753371,0.858879
134,0.851258,0.920584
135,0.721868,0.818858
136,0.659631,0.743539
137,0.75623,0.860101
138,0.85091,0.920348
139,0.716576,0.81748
140,0.683388,0.760709
141,0.754038,0.858904
142,0.852256,0.920766
143,0.715868,0.814457
144,0.663113,0.746092
145,0.757039,0.860269
146,0.852166,0.920472
147,0.700804,0.807419
148,0.673481,0.752043
149,0.753736,0.85896
150,0.851745,0.920881
151,0.714508,0.814428
152,0.664239,0.74573
153,0.754904,0.859738
154,0.851598,0.920363
155,0.702909,0.810511
156,0.676179,0.755099
157,0.753608,0.859017
158,0.8505,0.9201
159,0.723042,0.817897
160,0.667377,0.749788
161,0.754865,0.860198
162,0.851483,0.920475
163,0.709068,0.811289
164,0.680007,0.75782
165,0.751561,0.858467
166,0.851281,0.920001
167,0.718563,0.816387
168,0.660382,0.744419
169,0.755579,0.85996
170,0.851463,0.920315
171,0.709774,0.81428
172,0.677311,0.756877
173,0.75393,0.859394
174,0.852599,0.920389
175,0.717536,0.815662
176,0.667006,0.75016
177,0.754372,0.859866
178,0.852585,0.920746
179,0.697306,0.805707
180,0.674365,0.753964
181,0.751434,0.858113
182,0.853133,0.921048
183,0.721893,0.818726
184,0.667432,0.748642
185,0.752947,0.858949
186,0.852863,0.92082
187,0.703825,0.809255
188,0.672049,0.751586
189,0.751433,0.858254
190,0.851666,0.920515
191,0.709996,0.810942
192,0.660224,0.74321
193,0.752215,0.85843
194,0.852052,0.920862
195,0.696132,0.805174
196,0.671473,0.751621
197,0.749442,0.857181
198,0.851672,0.920443
199,0.718069,0.816271
200,0.661447,0.744666
201,0.749512,0.857013
202,0.851031,0.920209
203,0.704289,0.809584
204,0.672692,0.752413
205,0.749746,0.857239
206,0.851181,0.92034
207,0.713736,0.814414
208,0.65812,0.742816
209,0.749831,0.857463
210,0.850874,0.920618
211,0.696112,0.805392
212,0.667057,0.74745
213,0.745446,0.855093
214,0.851266,0.920226
215,0.712852,0.812132
216,0.655135,0.740476
217,0.747769,0.856342
218,0.85196,0.920686
219,0.697112,0.806074
220,0.66466,0.745803
221,0.748585,0.85714
222,0.85147,0.920688
223,0.702362,0.80688
224,0.651841,0.735868
225,0.75042,0.85699
226,0.850509,0.920189
227,0.694255,0.802078
228,0.663804,0.74356
229,0.7513,0.857007
230,0.849983,0.920133
231,0.711051,0.810437
232,0.657364,0.740407
233,0.751761,0.85788
234,0.851126,0.920576
235,0.702649,0.808029
236,0.67218,0.750445
237,0.750779,0.857567
238,0.852702,0.920791
239,0.718637,0.813863
240,0.658314,0.740316
241,0.750442,0.857022
242,0.853685,0.921128
243,0.706583,0.80926
244,0.670508,0.748678
245,0.745537,0.854786
246,0.851256,0.920743
247,0.701455,0.805203
248,0.649977,0.734756
249,0.750204,0.857199
250,0.850426,0.920186
251,0.687132,0.796937
252,0.657545,0.738139
253,0.745506,0.855022
254,0.851769,0.919729
255,0.69421,0.800007
256,0.647497,0.732172
257,0.751435,0.857708
258,0.851649,0.919756
259,0.685107,0.795772
260,0.656525,0.737512
261,0.748191,0.85625
262,0.849016,0.918625
263,0.694604,0.799669
264,0.646301,0.731947
265,0.749783,0.856534
266,0.848852,0.91847
267,0.678682,0.793025
268,0.653367,0.736448
269,0.750572,0.856851
270,0.847736,0.918289
271,0.690566,0.798485
272,0.645862,0.73237
273,0.751657,0.857191
274,0.847938,0.918045
275,0.681477,0.794013
276,0.659044,0.740644
277,0.748327,0.855992
278,0.85001,0.918947
279,0.705761,0.80706
280,0.656509,0.739376
281,0.74947,0.855927
282,0.850352,0.918673
283,0.684548,0.795545
284,0.651133,0.733544
285,0.739781,0.850918
286,0.849868,0.918911
287,0.687667,0.796386
288,0.642055,0.72762
289,0.744341,0.85323
290,0.851064,0.919309
291,0.68691,0.796994
292,0.651145,0.73285
293,0.738296,0.850482
294,0.850529,0.919582
295,0.696752,0.801573
296,0.643881,0.728305
297,0.74076,0.852333
298,0.850253,0.919514
299,0.688291,0.797667
300,0.650007,0.732756
301,0.735916,0.850527
302,0.849831,0.919759
303,0.694297,0.799601
304,0.647322,0.73053
305,0.738259,0.851638
306,0.850242,0.920122
307,0.69054,0.798895
308,0.652623,0.734247
309,0.740197,0.851998
310,0.849904,0.919393
311,0.695959,0.801308
312,0.638109,0.72482
313,0.739576,0.851277
314,0.850434,0.919708
315,0.684175,0.796809
316,0.649137,0.732078
317,0.740047,0.851854
318,0.850472,0.919469
319,0.693745,0.799787
320,0.639901,0.726751
321,0.741677,0.852724
322,0.849733,0.919446
323,0.689011,0.79699
324,0.652304,0.733411
325,0.737017,0.851463
326,0.848024,0.919334
327,0.697247,0.80174
328,0.645102,0.729554
329,0.73973,0.852208
330,0.848375,0.919346
331,0.684454,0.795026
332,0.688091,0.76735
333,0.797297,0.885116
334,0.853644,0.922277
335,0.746161,0.833752
336,0.675484,0.761599
337,0.782989,0.876987
338,0.851973,0.921688
339,0.69699,0.805576
340,0.677109,0.759212
341,0.764983,0.868151
342,0.850915,0.921082
343,0.699412,0.80475
344,0.657758,0.744527
345,0.767487,0.86744
346,0.85115,0.920911
347,0.682438,0.795934
348,0.659373,0.74417
349,0.75467,0.862115
350,0.852827,0.921118
351,0.68992,0.799062
352,0.646593,0.735857
353,0.754086,0.862152
354,0.851967,0.92086
355,0.691421,0.800822
356,0.662053,0.744951
357,0.753957,0.86141
358,0.85415,0.920955
359,0.700828,0.805378
360,0.651762,0.737059
361,0.756847,0.86093
362,0.854257,0.920772
363,0.67942,0.793778
364,0.656721,0.739258
365,0.75128,0.858167
366,0.850969,0.920513
367,0.69472,0.800176
368,0.641317,0.730641
369,0.75595,0.860702
370,0.852477,0.920702
371,0.683018,0.795801
372,0.655311,0.738962
373,0.753962,0.860611
374,0.853381,0.921393
375,0.688878,0.798355
376,0.642702,0.731338
377,0.755339,0.860756
378,0.853453,0.921311
379,0.680383,0.794659
380,0.653415,0.737518
381,0.751472,0.859453
382,0.854205,0.921496
383,0.695422,0.801463
384,0.648018,0.733609
385,0.755036,0.860557
386,0.854614,0.921476
387,0.686072,0.798081
388,0.657569,0.74063
389,0.750388,0.85926
390,0.854992,0.921478
391,0.692055,0.801125
392,0.650908,0.736737
393,0.756806,0.861796
394,0.854016,0.921486
395,0.686602,0.798701
396,0.659841,0.742662
397,0.752805,0.860139
398,0.855007,0.921805
399,0.697005,0.803604
400,0.648623,0.736371
401,0.75623,0.861024
402,0.854982,0.921691
403,0.695758,0.80219
404,0.664022,0.744648
405,0.751531,0.85924
406,0.85396,0.921379
407,0.698484,0.803778
408,0.65063,0.73682
409,0.756444,0.861073
410,0.854095,0.921073
411,0.688012,0.798835
412,0.660114,0.742169
413,0.754233,0.860416
414,0.855248,0.921436
415,0.695066,0.801693
416,0.650245,0.735072
417,0.754256,0.859829
418,0.857226,0.921934
419,0.682686,0.796139
420,0.65315,0.737313
421,0.748323,0.857571
422,0.854593,0.921125
423,0.692374,0.799912
424,0.650224,0.735929
425,0.754372,0.860238
426,0.855014,0.921615
427,0.679048,0.793268
428,0.650335,0.734868
429,0.751397,0.858744
430,0.853763,0.921385
431,0.691677,0.801385
432,0.647862,0.735884
433,0.755466,0.860243
434,0.853729,0.920964
435,0.688996,0.798602
436,0.657607,0.740212
437,0.75294,0.859709
438,0.853752,0.921174
439,0.68819,0.798451
440,0.645082,0.731656
441,0.752619,0.859667
442,0.853619,0.921365
443,0.677857,0.792449
444,0.649234,0.73343
445,0.748649,0.85848
446,0.8536,0.921284
447,0.686684,0.796225
448,0.648072,0.73446
449,0.753633,0.861199
450,0.853598,0.921371
451,0.687029,0.797988
452,0.6539,0.738182
453,0.747741,0.858711
454,0.854209,0.921466
455,0.687152,0.796575
456,0.641141,0.730025
457,0.755739,0.86191
458,0.854108,0.921726
459,0.673716,0.790786
460,0.649499,0.734972
461,0.751827,0.859638
462,0.853261,0.921498
463,0.686528,0.796432
464,0.642935,0.730358
465,0.754333,0.860693
466,0.8541,0.921912
467,0.677172,0.791305
468,0.648748,0.733779
469,0.747458,0.857513
470,0.852446,0.920679
471,0.68533,0.796844
472,0.642572,0.732892
473,0.753191,0.860218
474,0.852823,0.920985
475,0.677886,0.794237
476,0.649674,0.735654
477,0.749984,0.858904
478,0.85403,0.921315
479,0.682513,0.794681
480,0.6407,0.731318
481,0.751764,0.859954
482,0.854307,0.920826
483,0.679893,0.79539
484,0.648811,0.736173
485,0.746441,0.85735
486,0.854758,0.920895
487,0.687057,0.796785
488,0.644086,0.732311
489,0.751684,0.8597
490,0.854578,0.920986
491,0.680921,0.795004
492,0.648781,0.734578
493,0.746121,0.857076
494,0.855355,0.920976
495,0.686204,0.795946
496,0.643407,0.730553
497,0.748231,0.857871
498,0.854458,0.920695
499,0.68362,0.796189
500,0.6509,0.73623
501,0.742944,0.85534
502,0.854042,0.921197
503,0.689208,0.799171
504,0.643586,0.730199
505,0.749596,0.858014
506,0.854189,0.921051
507,0.685283,0.79581
508,0.651277,0.734859
509,0.746649,0.856261
510,0.853327,0.920566
511,0.686385,0.796479
512,0.641414,0.728838
513,0.750605,0.85796
514,0.85373,0.920317
515,0.67743,0.792622
516,0.650193,0.733883
517,0.74895,0.858183
518,0.853471,0.920323
519,0.685374,0.794772
520,0.642674,0.729346
521,0.751466,0.858346
522,0.854083,0.920552
523,0.684264,0.796019
524,0.654021,0.73611
525,0.745726,0.85602
526,0.853093,0.919999
527,0.69117,0.797867
528,0.641268,0.727125
529,0.752055,0.857696
530,0.852973,0.92013
531,0.680212,0.79288
532,0.650627,0.73311
533,0.741059,0.853608
534,0.852086,0.920226
535,0.690687,0.79754
536,0.642672,0.728537
537,0.745601,0.855119
538,0.852338,0.920008
539,0.677701,0.792034
540,0.647977,0.730641
541,0.740925,0.853084
542,0.85197,0.919442
543,0.686767,0.795798
544,0.643462,0.728606
545,0.746752,0.855781
546,0.852,0.919455
547,0.677858,0.790769
548,0.644976,0.728747
549,0.739244,0.852391
550,0.852439,0.919163
551,0.685615,0.794442
552,0.63739,0.725764
553,0.742728,0.853746
554,0.852189,0.919486
555,0.678815,0.792652
556,0.646301,0.730915
557,0.739957,0.853341
558,0.851803,0.919208
559,0.694022,0.799944
560,0.641465,0.728384
561,0.742738,0.854316
562,0.852579,0.919244
563,0.689371,0.798133
564,0.653118,0.7359
565,0.739231,0.852925
566,0.852581,0.919113
567,0.69304,0.798533
568,0.644961,0.730965
569,0.74536,0.855289
570,0.852204,0.919141
571,0.687352,0.796489
572,0.651938,0.734504
573,0.739347,0.852476
574,0.85181,0.918853
575,0.692513,0.798601
576,0.639396,0.72588
577,0.742272,0.853644
578,0.852066,0.919081
579,0.680914,0.793389
580,0.647392,0.731324
581,0.735144,0.850689
582,0.851176,0.918848
583,0.683398,0.79327
584,0.632272,0.722148
585,0.740254,0.852953
586,0.851692,0.918742
587,0.677292,0.790755
588,0.643117,0.727751
