Frame, eSSIM, SSIM
0,0.43744,0.587778
1,0.624787,0.834606
2,0.880373,0.951629
3,0.49506,0.704657
4,0.458924,0.606862
5,0.635048,0.839331
6,0.883569,0.951988
7,0.514841,0.714885
8,0.466182,0.615296
9,0.750096,0.89032
10,0.907232,0.958874
11,0.617583,0.783241
12,0.584477,0.715443
13,0.754567,0.894408
14,0.907655,0.959111
15,0.628099,0.790714
16,0.600101,0.726502
17,0.752505,0.893303
18,0.90852,0.959032
19,0.631533,0.793378
20,0.61396,0.74492
21,0.784139,0.908708
22,0.913046,0.959836
23,0.622997,0.786657
24,0.605329,0.741068
25,0.806215,0.915733
26,0.915571,0.961228
27,0.669427,0.813971
28,0.652795,0.771316
29,0.808966,0.916378
30,0.914815,0.960218
31,0.704387,0.833954
32,0.683308,0.789892
33,0.811646,0.915947
34,0.913638,0.959014
35,0.713219,0.840595
36,0.723155,0.81505
37,0.824815,0.920361
38,0.915671,0.959552
39,0.742236,0.852209
40,0.726215,0.819188
41,0.827598,0.921762
42,0.916681,0.960592
43,0.756349,0.859421
44,0.729655,0.817775
45,0.826835,0.921173
46,0.916319,0.960284
47,0.775937,0.87063
48,0.741187,0.826302
49,0.826913,0.920411
50,0.91532,0.959332
51,0.759816,0.864311
52,0.759294,0.838335
53,0.837024,0.923457
54,0.91383,0.956658
55,0.780397,0.870662
56,0.761336,0.841414
57,0.844491,0.927184
58,0.91724,0.959324
59,0.783317,0.873638
60,0.759576,0.838869
61,0.844411,0.927192
62,0.919235,0.961045
63,0.790743,0.879178
64,0.760734,0.839506
65,0.843469,0.92668
66,0.918995,0.960282
67,0.775066,0.873663
68,0.765111,0.844424
69,0.843401,0.927057
70,0.920274,0.960637
71,0.773092,0.869118
72,0.752021,0.837716
73,0.848831,0.92957
74,0.921551,0.96173
75,0.7804,0.873222
76,0.757723,0.837465
77,0.85045,0.930076
78,0.921935,0.962062
79,0.795264,0.881634
80,0.764011,0.841791
81,0.846398,0.928108
82,0.921586,0.961667
83,0.781936,0.877211
84,0.770383,0.847781
85,0.846002,0.928207
86,0.921669,0.961581
87,0.773706,0.870341
88,0.749338,0.835866
89,0.848526,0.9298
90,0.92296,0.96235
91,0.770109,0.868961
92,0.747397,0.832307
93,0.849238,0.929965
94,0.923705,0.962891
95,0.785013,0.87869
96,0.755879,0.838491
97,0.848577,0.929034
98,0.92122,0.961259
99,0.768971,0.870603
100,0.76642,0.846074
101,0.848271,0.929016
102,0.921156,0.961239
103,0.769244,0.867573
104,0.753789,0.840056
105,0.85168,0.930624
106,0.921688,0.961762
107,0.778279,0.872562
108,0.756204,0.838016
109,0.849212,0.929432
110,0.922536,0.961765
111,0.788317,0.879842
112,0.761817,0.841656
113,0.846174,0.927848
114,0.921022,0.960996
115,0.778858,0.87537
116,0.767717,0.846949
117,0.847439,0.928576
118,0.921758,0.961109
119,0.773251,0.869775
120,0.754153,0.840237
121,0.85691,0.932368
122,0.924026,0.962207
123,0.773314,0.869228
124,0.754962,0.8375
125,0.855901,0.93156
126,0.924414,0.961554
127,0.782359,0.874283
128,0.756063,0.837171
129,0.852579,0.930118
130,0.922766,0.960727
131,0.771862,0.871015
132,0.760391,0.842363
133,0.851024,0.929783
134,0.922695,0.960676
135,0.76008,0.862339
136,0.739637,0.831368
137,0.855938,0.932054
138,0.923289,0.961968
139,0.762383,0.864181
140,0.741973,0.830141
141,0.85614,0.932023
142,0.923893,0.962086
143,0.773698,0.871184
144,0.744777,0.830283
145,0.852604,0.929959
146,0.921301,0.960647
147,0.765608,0.867144
148,0.761091,0.840962
149,0.851601,0.929968
150,0.922541,0.961102
151,0.766683,0.864646
152,0.74821,0.834707
153,0.854996,0.9313
154,0.923375,0.961973
155,0.772727,0.869847
156,0.746793,0.832109
