Frame, eSSIM, SSIM
0,0.873373,0.923799
1,0.883438,0.941976
2,0.927323,0.964118
3,0.897005,0.943809
4,0.865468,0.92004
5,0.879613,0.941142
6,0.927168,0.963867
7,0.893474,0.942554
8,0.86184,0.919589
9,0.877178,0.940575
10,0.927262,0.963881
11,0.895022,0.942861
12,0.861494,0.918464
13,0.878318,0.940666
14,0.928248,0.964148
15,0.894485,0.942093
16,0.870469,0.922264
17,0.885177,0.942344
18,0.927271,0.964195
19,0.902586,0.945043
20,0.874372,0.923855
21,0.891277,0.944604
22,0.929565,0.965515
23,0.911101,0.949279
24,0.883361,0.928893
25,0.894238,0.946125
26,0.929893,0.965754
27,0.919161,0.95205
28,0.898664,0.935544
29,0.906497,0.950039
30,0.932289,0.966869
31,0.922207,0.953442
32,0.905281,0.93848
33,0.914698,0.953351
34,0.937342,0.968495
35,0.925225,0.955064
36,0.911286,0.941638
37,0.919813,0.955251
38,0.939424,0.969494
39,0.931113,0.957638
40,0.918252,0.945479
41,0.924189,0.957112
42,0.943935,0.970626
43,0.935505,0.959662
44,0.923252,0.948029
45,0.925293,0.957621
46,0.943255,0.97089
47,0.938851,0.961229
48,0.921949,0.947571
49,0.928487,0.958955
50,0.946085,0.97149
51,0.939183,0.961702
52,0.924702,0.949512
53,0.92753,0.959059
54,0.946516,0.972062
55,0.942492,0.963301
56,0.925185,0.949673
57,0.930954,0.960316
58,0.948617,0.972793
59,0.941078,0.962645
60,0.930752,0.952659
61,0.931889,0.960458
62,0.949569,0.973026
63,0.944952,0.964464
64,0.928154,0.951098
65,0.935801,0.962283
66,0.951311,0.973636
67,0.944391,0.964239
68,0.932508,0.953828
69,0.934553,0.96183
70,0.951311,0.973927
71,0.94865,0.966493
72,0.931719,0.953101
73,0.93818,0.963298
74,0.954258,0.974527
75,0.946704,0.96532
76,0.938653,0.956936
77,0.937432,0.963066
78,0.953656,0.974475
79,0.950098,0.966823
80,0.933861,0.95426
81,0.942033,0.965032
82,0.955553,0.97518
83,0.948081,0.966239
84,0.938295,0.957161
85,0.939919,0.963987
86,0.954991,0.975228
87,0.953349,0.968674
88,0.935787,0.955481
89,0.941739,0.965112
90,0.956576,0.975428
91,0.949772,0.967007
92,0.942343,0.959078
