Frame, eSSIM, SSIM
0,0.884559,0.93404
1,0.893174,0.946138
2,0.919254,0.961004
3,0.912957,0.951028
4,0.891418,0.937005
5,0.895863,0.946966
6,0.919041,0.960614
7,0.905525,0.951229
8,0.89498,0.938663
9,0.897936,0.94765
10,0.919553,0.960766
11,0.914808,0.952327
12,0.895755,0.939187
13,0.899881,0.94817
14,0.921692,0.961297
15,0.916668,0.952465
16,0.899155,0.940442
17,0.901815,0.948869
18,0.922212,0.961273
19,0.917962,0.952947
20,0.900012,0.940803
21,0.899736,0.948949
22,0.924561,0.96379
23,0.922889,0.9558
24,0.885876,0.934621
25,0.89199,0.94593
26,0.920623,0.961788
27,0.914198,0.951442
28,0.888904,0.93516
29,0.896187,0.947074
30,0.921965,0.961779
31,0.915655,0.952001
32,0.894801,0.93839
33,0.9005,0.948215
34,0.92337,0.961824
35,0.918187,0.953345
36,0.898857,0.939507
37,0.902215,0.948684
38,0.924696,0.962414
39,0.91889,0.953139
40,0.900948,0.940808
41,0.904967,0.94977
42,0.926659,0.962799
43,0.920206,0.953892
44,0.90183,0.94103
45,0.903068,0.949858
46,0.927339,0.964621
47,0.924783,0.956523
48,0.89044,0.936551
49,0.895914,0.947283
50,0.92195,0.962581
51,0.916339,0.952396
52,0.892825,0.936445
53,0.899237,0.948008
54,0.924218,0.962511
55,0.917934,0.952877
56,0.898662,0.939528
57,0.902352,0.948815
58,0.924203,0.962519
59,0.919268,0.953861
60,0.90067,0.940381
61,0.903772,0.949066
62,0.925121,0.962596
63,0.919438,0.953549
64,0.901623,0.941173
65,0.904735,0.949509
66,0.926159,0.962834
67,0.920935,0.954389
68,0.902806,0.94156
69,0.902583,0.950296
70,0.928877,0.965167
71,0.920432,0.957152
72,0.894931,0.938982
73,0.900115,0.948739
74,0.926068,0.963567
75,0.91843,0.95347
76,0.897192,0.938472
77,0.903717,0.949474
78,0.926268,0.963202
79,0.919919,0.953861
80,0.901042,0.94105
81,0.905061,0.949887
82,0.926056,0.963049
83,0.921011,0.954579
84,0.901569,0.941355
85,0.905127,0.949995
86,0.92625,0.96329
87,0.921315,0.954431
88,0.903481,0.942234
89,0.906831,0.950608
90,0.92759,0.963474
91,0.922382,0.95525
92,0.905401,0.942758
93,0.905616,0.951307
94,0.928767,0.965363
95,0.926976,0.957728
96,0.895686,0.939409
97,0.899896,0.949269
98,0.925551,0.963655
99,0.919371,0.95356
100,0.896352,0.938511
101,0.902166,0.94932
102,0.926006,0.963265
103,0.919585,0.953487
104,0.901377,0.941106
105,0.904915,0.950224
106,0.926405,0.963129
107,0.921574,0.954598
108,0.902444,0.941462
109,0.905806,0.950601
110,0.926682,0.963345
111,0.921093,0.954215
112,0.903476,0.94241
113,0.907403,0.951117
114,0.928611,0.96373
115,0.923005,0.955104
116,0.905503,0.943212
117,0.904567,0.951297
118,0.929383,0.965605
119,0.927069,0.957656
120,0.893501,0.938527
121,0.89888,0.94869
122,0.924862,0.963582
123,0.918768,0.953604
124,0.896045,0.938369
125,0.901999,0.949231
126,0.924972,0.963078
127,0.91863,0.953571
128,0.900597,0.940981
129,0.904189,0.949848
130,0.925428,0.963024
131,0.915511,0.954476
132,0.902177,0.941608
133,0.904848,0.9503
134,0.926184,0.963312
135,0.920137,0.954259
136,0.902619,0.942191
137,0.906211,0.950613
138,0.927556,0.963554
139,0.922734,0.955406
140,0.905354,0.943165
141,0.904802,0.950938
142,0.927902,0.965477
143,0.926784,0.957551
144,0.891343,0.937598
145,0.898048,0.948138
146,0.923841,0.963342
147,0.917332,0.95327
148,0.895342,0.93766
149,0.901752,0.948846
150,0.92375,0.962764
151,0.91912,0.953688
152,0.900089,0.940374
153,0.903916,0.94949
154,0.92473,0.962792
155,0.920455,0.954528
156,0.901147,0.940764
157,0.904081,0.949588
158,0.925027,0.962728
159,0.920525,0.954166
160,0.902659,0.942
161,0.907386,0.950706
162,0.928603,0.963698
163,0.922658,0.955401
164,0.906821,0.943726
165,0.904325,0.950929
166,0.928739,0.965487
167,0.927209,0.957669
168,0.892884,0.938138
169,0.898752,0.948386
170,0.924688,0.963373
171,0.917959,0.953189
172,0.896995,0.938575
173,0.903019,0.949259
174,0.925267,0.963145
175,0.919335,0.953563
176,0.900849,0.940755
177,0.9048,0.949888
178,0.926188,0.963408
179,0.920607,0.954457
180,0.902042,0.941314
181,0.905141,0.950305
182,0.925941,0.963214
183,0.920875,0.954341
184,0.903238,0.942149
185,0.90728,0.950707
186,0.927982,0.963526
187,0.922689,0.955181
188,0.905084,0.942953
189,0.903917,0.950658
190,0.928434,0.965358
191,0.925978,0.957737
192,0.892059,0.93736
193,0.89692,0.94749
194,0.923544,0.962882
195,0.915526,0.952513
196,0.891911,0.936534
197,0.900945,0.948178
198,0.924112,0.962469
199,0.917032,0.952729
200,0.89862,0.94004
201,0.902452,0.949003
202,0.925146,0.962709
203,0.919256,0.953899
204,0.901192,0.94047
205,0.904191,0.949475
206,0.925124,0.962805
207,0.919827,0.953827
208,0.902264,0.941688
209,0.905445,0.949967
210,0.926794,0.963168
211,0.92155,0.95467
212,0.904223,0.942128
213,0.902453,0.950043
214,0.926556,0.964858
215,0.925226,0.957094
216,0.890387,0.936985
217,0.897611,0.947675
218,0.923361,0.962503
219,0.916269,0.952611
220,0.894651,0.937366
221,0.901978,0.948593
222,0.92445,0.96258
223,0.917983,0.952966
224,0.899868,0.940156
225,0.903587,0.949183
226,0.924456,0.962526
227,0.920324,0.954079
228,0.901213,0.940468
229,0.904902,0.949663
230,0.92542,0.962935
231,0.920406,0.953936
232,0.902857,0.941715
233,0.906394,0.950316
234,0.927067,0.963322
235,0.921421,0.954676
236,0.904947,0.942524
237,0.903224,0.950334
238,0.928223,0.965232
239,0.925349,0.957001
240,0.890954,0.936566
241,0.892029,0.946163
242,0.921297,0.962626
243,0.914677,0.952054
244,0.885435,0.933537
245,0.892161,0.945542
246,0.921548,0.961975
247,0.913327,0.951608
248,0.886674,0.935782
249,0.890908,0.945328
250,0.920828,0.961821
251,0.914908,0.952779
252,0.88839,0.936059
253,0.891954,0.946012
254,0.921594,0.962008
255,0.914303,0.952314
256,0.935787,0.961155
257,0.94185,0.970421
258,0.94342,0.97279
259,0.920518,0.961151
260,0.906837,0.953198
261,0.935198,0.968775
262,0.933092,0.969639
263,0.876933,0.948325
264,0.833665,0.93573
265,0.898121,0.9629
266,0.917964,0.966941
267,0.875052,0.946039
268,0.840396,0.935071
269,0.890554,0.960589
270,0.914413,0.967036
271,0.882543,0.947744
272,0.833678,0.930452
273,0.892124,0.959688
274,0.913472,0.965717
275,0.877931,0.943544
276,0.842499,0.92942
277,0.878358,0.952947
278,0.908489,0.964547
279,0.851518,0.937177
280,0.734931,0.881585
281,0.847625,0.942497
282,0.887906,0.960182
283,0.839933,0.931261
284,0.820536,0.911947
285,0.865554,0.947569
286,0.886255,0.960096
287,0.854012,0.93715
288,0.825981,0.918453
289,0.860928,0.948532
290,0.881927,0.959853
291,0.844588,0.934169
292,0.808903,0.915715
293,0.868397,0.949165
294,0.900644,0.961437
295,0.846165,0.933764
296,0.802112,0.912427
297,0.867933,0.9483
298,0.887076,0.95916
299,0.854855,0.934994
300,0.811671,0.912253
301,0.864289,0.945817
302,0.881539,0.95812
303,0.84701,0.936311
304,0.717087,0.874302
305,0.830477,0.937569
306,0.896526,0.961027
307,0.838696,0.92905
308,0.798597,0.902575
309,0.851007,0.942839
310,0.876826,0.957949
311,0.846465,0.932474
312,0.827066,0.916581
313,0.870717,0.949791
314,0.890499,0.96079
315,0.865177,0.938761
316,0.839751,0.923262
317,0.867169,0.950266
318,0.875237,0.958561
319,0.854458,0.935515
320,0.817608,0.917719
321,0.873411,0.950841
322,0.912491,0.965271
323,0.855611,0.933813
324,0.775441,0.897073
325,0.865795,0.946303
326,0.927782,0.968989
327,0.909827,0.952036
328,0.88382,0.935868
329,0.918768,0.960863
330,0.933155,0.968414
331,0.913383,0.954067
332,0.887405,0.939702
333,0.912858,0.961882
334,0.933473,0.969189
335,0.897732,0.952266
336,0.873095,0.938465
337,0.911155,0.961569
338,0.920131,0.967783
339,0.893745,0.949619
340,0.881119,0.939566
341,0.902146,0.959865
342,0.907367,0.965238
343,0.89838,0.952236
344,0.884488,0.943694
345,0.904923,0.96194
346,0.907692,0.966482
347,0.899703,0.952539
348,0.894115,0.945541
349,0.905697,0.960414
350,0.915633,0.966475
351,0.871721,0.944168
352,0.797126,0.907121
353,0.866188,0.947879
354,0.912583,0.96554
355,0.85405,0.934625
356,0.785548,0.902813
357,0.857363,0.943046
358,0.900729,0.962169
359,0.860917,0.939216
360,0.810059,0.91229
361,0.876316,0.948806
362,0.910365,0.96439
363,0.852712,0.936965
364,0.824359,0.917199
365,0.876287,0.950648
366,0.908202,0.964272
367,0.860302,0.940761
368,0.838146,0.924805
369,0.887818,0.954332
370,0.907202,0.965404
371,0.862567,0.942015
372,0.846556,0.927597
373,0.893977,0.957208
374,0.915188,0.967553
375,0.894094,0.950645
376,0.863953,0.9277
377,0.907534,0.959222
378,0.93595,0.969241
379,0.903391,0.951465
380,0.856587,0.932132
381,0.894232,0.957845
382,0.918687,0.966831
383,0.871023,0.944984
384,0.850443,0.930758
385,0.887586,0.956054
386,0.912897,0.965853
387,0.87601,0.945873
388,0.856788,0.9335
389,0.880301,0.956014
390,0.926046,0.968836
391,0.894074,0.951909
392,0.860647,0.935972
393,0.9024,0.959175
394,0.924077,0.967023
395,0.889191,0.948298
396,0.861315,0.934496
397,0.882652,0.954367
398,0.916261,0.966527
399,0.857258,0.941186
400,0.706124,0.872647
401,0.82672,0.937261
402,0.885701,0.961681
403,0.83151,0.932871
404,0.78438,0.901763
405,0.842408,0.940719
406,0.885701,0.961198
407,0.851434,0.937107
408,0.813367,0.912441
409,0.861736,0.944985
410,0.903156,0.963255
411,0.860236,0.940756
412,0.807839,0.911981
413,0.842337,0.941214
414,0.88897,0.95725
415,0.834622,0.928617
416,0.779831,0.901497
417,0.857973,0.945327
418,0.893013,0.959173
419,0.829729,0.922637
420,0.788594,0.901084
421,0.849523,0.941323
422,0.888872,0.959919
423,0.811131,0.91962
424,0.686098,0.861606
425,0.8172,0.934587
426,0.879745,0.958816
427,0.806432,0.916447
428,0.764731,0.88786
429,0.853285,0.942265
430,0.900169,0.960654
431,0.844085,0.93097
432,0.806153,0.907204
433,0.850953,0.939614
434,0.881011,0.958273
435,0.861083,0.942528
436,0.817961,0.918788
437,0.856513,0.94363
438,0.893452,0.960042
439,0.865754,0.941262
440,0.822002,0.919834
441,0.861004,0.942581
442,0.895607,0.957976
443,0.861947,0.937779
444,0.792809,0.911057
445,0.852706,0.944091
446,0.899681,0.962716
447,0.849784,0.935228
448,0.688153,0.86371
449,0.807049,0.933785
450,0.878396,0.960619
451,0.831039,0.928189
452,0.792506,0.900006
453,0.84832,0.943098
454,0.898427,0.963532
455,0.850807,0.933131
456,0.800702,0.905695
457,0.846834,0.943309
458,0.885202,0.961829
459,0.84414,0.932404
460,0.812257,0.911378
461,0.864708,0.948231
462,0.891239,0.963116
463,0.853827,0.937586
464,0.827774,0.918669
465,0.864865,0.948839
466,0.888383,0.960627
467,0.858806,0.940134
468,0.799322,0.918376
469,0.847197,0.945532
470,0.906121,0.964308
471,0.840565,0.93392
472,0.716707,0.879119
473,0.842086,0.942342
474,0.892917,0.962959
