Frame, eSSIM, SSIM
0,0.600286,0.769297
1,0.661693,0.837332
2,0.756146,0.895714
3,0.658791,0.828376
4,0.596995,0.768228
5,0.656857,0.836358
6,0.752932,0.894912
7,0.695084,0.852125
8,0.631661,0.795614
9,0.684187,0.853385
10,0.781198,0.908591
11,0.698037,0.853253
12,0.690161,0.830732
13,0.732958,0.880777
14,0.838608,0.928903
15,0.753755,0.878839
16,0.699455,0.834274
17,0.743485,0.884923
18,0.845111,0.931262
19,0.757425,0.88032
20,0.698269,0.833702
21,0.740694,0.88466
22,0.84232,0.930238
23,0.768576,0.886427
24,0.720979,0.845965
25,0.769574,0.894291
26,0.850754,0.93409
27,0.773015,0.888064
28,0.743915,0.855778
29,0.782827,0.898281
30,0.857766,0.936864
31,0.788046,0.894142
32,0.749109,0.858569
33,0.789716,0.900571
34,0.860549,0.937748
35,0.798721,0.899532
36,0.759083,0.863667
37,0.796332,0.902817
38,0.859998,0.937331
39,0.810005,0.90319
40,0.764145,0.867509
41,0.795156,0.903792
42,0.863013,0.938742
43,0.813079,0.90375
44,0.776583,0.875315
45,0.797875,0.907717
46,0.867125,0.940561
47,0.822518,0.907855
48,0.786016,0.878715
49,0.808855,0.909672
50,0.867128,0.940451
51,0.826064,0.909845
52,0.786644,0.879143
53,0.813419,0.911341
54,0.866908,0.940329
55,0.828854,0.911808
56,0.783959,0.881965
57,0.814848,0.913116
58,0.873225,0.941884
59,0.833562,0.912671
60,0.795575,0.885178
61,0.818387,0.914524
62,0.873909,0.942271
63,0.836606,0.913702
64,0.805015,0.889122
65,0.822157,0.915314
66,0.874223,0.942349
67,0.838967,0.915238
68,0.803361,0.888072
69,0.829814,0.917488
70,0.874419,0.942044
71,0.843066,0.916942
72,0.801043,0.888096
73,0.828857,0.916472
74,0.877066,0.942872
75,0.84142,0.915921
76,0.804373,0.888747
77,0.822684,0.915287
78,0.877731,0.943349
79,0.841761,0.916212
80,0.811846,0.892002
81,0.825196,0.915572
82,0.87869,0.94354
83,0.837423,0.916133
84,0.806472,0.889437
85,0.832292,0.918106
86,0.87882,0.943679
87,0.846107,0.918247
88,0.80379,0.889769
89,0.828821,0.916807
90,0.879352,0.944306
91,0.849085,0.919225
92,0.810461,0.891267
93,0.82491,0.916816
94,0.880659,0.945141
95,0.848167,0.919134
96,0.815884,0.894554
97,0.830229,0.918148
98,0.881061,0.945207
99,0.848155,0.920203
100,0.814318,0.893066
101,0.837768,0.920514
102,0.881902,0.945206
103,0.849609,0.920532
104,0.810357,0.893444
105,0.833918,0.919261
106,0.882627,0.945529
107,0.852915,0.920968
108,0.81045,0.893131
109,0.826444,0.918386
110,0.88167,0.945996
111,0.850285,0.920466
112,0.81843,0.895913
113,0.833,0.919372
114,0.882485,0.945919
115,0.849573,0.920342
116,0.81412,0.893498
117,0.837133,0.920709
118,0.880456,0.944841
119,0.851221,0.920974
120,0.811846,0.894137
121,0.836052,0.920139
122,0.881443,0.945539
123,0.850465,0.921042
124,0.816737,0.895804
125,0.83366,0.920281
126,0.882803,0.946501
127,0.850549,0.922047
128,0.822567,0.898359
129,0.836481,0.92038
130,0.883083,0.946403
131,0.848772,0.922373
132,0.817862,0.895966
133,0.84055,0.921706
134,0.883019,0.946097
135,0.85164,0.922708
136,0.812762,0.89566
