Frame, eSSIM, SSIM
0,0.642764,0.811703
1,0.699921,0.866016
2,0.759562,0.907156
3,0.724129,0.872284
4,0.686068,0.836091
5,0.714579,0.873938
6,0.761184,0.908162
7,0.737703,0.877912
8,0.695843,0.843993
9,0.717756,0.876152
10,0.761481,0.908242
11,0.742194,0.880911
12,0.699905,0.847894
13,0.719258,0.877691
14,0.761784,0.908263
15,0.74522,0.882892
16,0.701685,0.850084
17,0.72027,0.878428
18,0.762912,0.908785
19,0.747207,0.883723
20,0.701183,0.850681
21,0.709046,0.870621
22,0.754994,0.906213
23,0.732738,0.874712
24,0.558535,0.763783
25,0.68103,0.856158
26,0.74491,0.901535
27,0.698121,0.85852
28,0.665835,0.821162
29,0.706302,0.867809
30,0.74631,0.902092
31,0.713287,0.865286
32,0.684063,0.833814
33,0.71168,0.871137
34,0.745565,0.901259
35,0.722935,0.870022
36,0.691746,0.839872
37,0.713695,0.872564
38,0.746074,0.900937
39,0.727278,0.872208
40,0.697183,0.843396
41,0.716578,0.873866
42,0.746486,0.901142
43,0.728652,0.873652
44,0.698255,0.844647
45,0.703341,0.865946
46,0.745685,0.902522
47,0.716471,0.866069
48,0.555461,0.760013
49,0.67965,0.855622
50,0.744151,0.901716
51,0.695185,0.855539
52,0.661771,0.817319
53,0.704564,0.867722
54,0.74612,0.9024
55,0.711468,0.86322
56,0.682687,0.832197
57,0.711961,0.871585
58,0.747775,0.902556
59,0.721883,0.868669
60,0.690346,0.838028
61,0.715902,0.873932
62,0.748719,0.902342
63,0.726155,0.871093
64,0.696432,0.842271
65,0.718126,0.87552
66,0.749437,0.902315
67,0.729721,0.872857
68,0.696135,0.843566
69,0.706125,0.867195
70,0.74862,0.90204
71,0.716422,0.864692
72,0.551876,0.756689
73,0.679221,0.85373
74,0.744887,0.90051
75,0.695265,0.854967
76,0.658739,0.815616
77,0.702999,0.865166
78,0.746875,0.901517
79,0.712817,0.863554
80,0.680178,0.829944
81,0.708888,0.867965
82,0.746861,0.900896
83,0.725179,0.869971
84,0.68585,0.835251
85,0.708992,0.869319
86,0.746727,0.900464
87,0.72883,0.872
88,0.692317,0.839727
89,0.710035,0.870464
90,0.746565,0.90057
91,0.731333,0.873408
92,0.689033,0.839841
93,0.695671,0.862021
94,0.745494,0.900794
95,0.718663,0.865952
96,0.543285,0.752789
97,0.675103,0.850567
98,0.741408,0.89845
99,0.696586,0.855792
100,0.658257,0.815714
101,0.703637,0.864194
102,0.744458,0.89976
103,0.715653,0.864772
104,0.684109,0.832025
105,0.710387,0.868412
106,0.744834,0.900132
107,0.726631,0.870709
108,0.691175,0.838383
109,0.712108,0.870872
110,0.744737,0.900407
111,0.729905,0.872732
112,0.693299,0.841223
113,0.714429,0.871658
114,0.745104,0.900048
115,0.731838,0.87384
116,0.690344,0.841172
117,0.701762,0.863638
118,0.746014,0.901553
119,0.721505,0.867619
120,0.544527,0.753656
121,0.677161,0.851257
122,0.742339,0.898915
123,0.69663,0.856276
124,0.661856,0.817306
125,0.702168,0.863747
126,0.745874,0.900832
127,0.715838,0.86573
128,0.681945,0.831411
129,0.707711,0.867136
130,0.746142,0.900912
131,0.726216,0.871284
132,0.686648,0.836403
133,0.709362,0.869265
134,0.747408,0.901942
135,0.731522,0.873978
136,0.690451,0.839129
137,0.709652,0.8696
138,0.74908,0.901888
139,0.734749,0.875682
140,0.687935,0.839854
141,0.701474,0.864193
142,0.749987,0.903449
143,0.724534,0.869247
144,0.547147,0.75548
145,0.68209,0.855224
146,0.747322,0.902393
147,0.705577,0.86012
148,0.665149,0.8194
149,0.707404,0.867768
150,0.749479,0.903354
151,0.722356,0.867945
152,0.684752,0.833718
153,0.711774,0.871616
154,0.749841,0.903466
155,0.729546,0.8721
156,0.693768,0.84003
157,0.714692,0.873562
158,0.748606,0.902816
159,0.733172,0.873971
160,0.695403,0.842085
161,0.715181,0.873944
162,0.748724,0.902684
163,0.736064,0.875496
164,0.686293,0.839717
165,0.698499,0.86447
166,0.748944,0.903806
167,0.722422,0.867499
168,0.545756,0.75422
169,0.67772,0.854486
170,0.746129,0.902586
171,0.703047,0.859
172,0.664085,0.818657
173,0.704713,0.86647
174,0.747802,0.903546
175,0.72003,0.867109
176,0.683693,0.832469
177,0.709039,0.869725
178,0.748134,0.902966
179,0.728593,0.872022
180,0.691929,0.838661
181,0.714375,0.872665
182,0.747856,0.902433
183,0.731504,0.873412
184,0.695794,0.841821
185,0.717031,0.873648
186,0.748452,0.90209
187,0.732092,0.874156
188,0.69194,0.841659
189,0.705181,0.865942
190,0.747533,0.902154
191,0.722258,0.867623
192,0.541413,0.750884
193,0.67812,0.852896
194,0.742864,0.900149
195,0.699352,0.856569
196,0.659404,0.816018
197,0.703947,0.865397
198,0.744781,0.901022
199,0.715057,0.864145
200,0.680614,0.83035
201,0.709493,0.869212
202,0.745101,0.900519
203,0.724718,0.86867
204,0.687334,0.836453
205,0.711219,0.870815
206,0.743021,0.899085
207,0.727937,0.870482
208,0.688455,0.838738
209,0.711429,0.871052
210,0.743657,0.899449
211,0.728747,0.871318
212,0.678031,0.83515
213,0.701635,0.864061
214,0.744326,0.900266
215,0.717187,0.864448
216,0.540351,0.749976
217,0.67847,0.853049
218,0.740705,0.898461
219,0.695164,0.853688
220,0.656986,0.813659
221,0.704041,0.864799
222,0.742523,0.89949
223,0.713022,0.862377
224,0.679332,0.828803
225,0.708098,0.86773
226,0.741951,0.898854
227,0.722649,0.867872
228,0.683742,0.834163
229,0.712577,0.87076
230,0.743788,0.899327
231,0.723989,0.868295
232,0.681193,0.834332
233,0.711449,0.8706
234,0.742285,0.898121
235,0.723542,0.867376
236,0.679591,0.834088
237,0.699944,0.862875
238,0.740766,0.897351
239,0.713258,0.86036
240,0.538886,0.74895
241,0.678477,0.852227
242,0.737038,0.89477
243,0.691956,0.850334
244,0.653791,0.812472
245,0.703341,0.864326
246,0.738352,0.896333
247,0.707541,0.858144
248,0.674946,0.826694
249,0.708263,0.866668
250,0.738351,0.894884
251,0.718021,0.863816
252,0.679276,0.830446
253,0.710334,0.868091
254,0.740169,0.895335
255,0.721583,0.86457
256,0.68237,0.832893
257,0.709145,0.867854
258,0.740068,0.894904
259,0.722498,0.865683
260,0.67283,0.831238
261,0.696906,0.860059
262,0.741672,0.897065
263,0.71265,0.859487
264,0.539233,0.747439
265,0.671449,0.846474
266,0.734864,0.892439
267,0.696882,0.850534
268,0.65162,0.809075
269,0.696459,0.858489
270,0.737597,0.893059
271,0.710014,0.857373
272,0.67151,0.822754
273,0.700198,0.860778
274,0.740679,0.893041
275,0.719901,0.861832
276,0.673817,0.826192
277,0.705777,0.863114
278,0.740662,0.892249
279,0.722189,0.862974
280,0.680906,0.830062
281,0.707985,0.864803
282,0.740836,0.891925
283,0.72518,0.864294
284,0.675709,0.830465
285,0.696795,0.857971
286,0.737774,0.892056
287,0.714765,0.858231
288,0.537672,0.746059
289,0.675214,0.847063
290,0.735389,0.88996
291,0.69434,0.847835
292,0.65148,0.808496
293,0.697928,0.858398
294,0.738774,0.892046
295,0.710867,0.856235
296,0.66928,0.821824
297,0.700813,0.861415
298,0.739387,0.892702
299,0.718485,0.861213
300,0.676094,0.826811
301,0.703361,0.862667
302,0.739729,0.892708
303,0.724474,0.864206
304,0.679143,0.829939
305,0.704719,0.86342
306,0.739537,0.892212
307,0.727066,0.866455
308,0.672981,0.829731
309,0.692611,0.856331
310,0.740148,0.894867
311,0.715657,0.860482
312,0.535887,0.747164
313,0.67196,0.848462
314,0.735856,0.893498
315,0.695505,0.85211
316,0.651331,0.811605
317,0.698111,0.861172
318,0.739674,0.895868
319,0.712862,0.860805
320,0.672806,0.826342
321,0.704002,0.864876
322,0.739317,0.895489
323,0.723164,0.867128
324,0.680892,0.83312
325,0.703027,0.865273
326,0.74041,0.896157
327,0.726464,0.869241
328,0.682078,0.8335
329,0.705224,0.864902
330,0.740231,0.896244
331,0.728085,0.870085
332,0.680988,0.833815
333,0.699352,0.860713
334,0.739704,0.896395
335,0.715875,0.863166
336,0.55126,0.757399
337,0.680957,0.851933
338,0.736335,0.894032
339,0.696384,0.855
340,0.661804,0.816828
341,0.706949,0.864216
342,0.737526,0.894615
343,0.709339,0.859542
344,0.674979,0.828142
345,0.7124,0.867422
346,0.737119,0.894304
347,0.717465,0.864367
348,0.679475,0.832201
349,0.71278,0.867966
350,0.737863,0.893566
351,0.721388,0.865634
352,0.681879,0.833376
353,0.713241,0.867496
354,0.735265,0.891596
355,0.722016,0.865414
356,0.673347,0.830192
357,0.704499,0.861192
358,0.741927,0.894616
359,0.712342,0.859604
360,0.559318,0.761893
361,0.692244,0.854288
362,0.747328,0.896171
363,0.698865,0.852273
364,0.658876,0.805647
365,0.712841,0.857925
366,0.755898,0.895712
367,0.713905,0.853633
368,0.667611,0.803877
369,0.71816,0.853706
370,0.76011,0.891164
371,0.714811,0.848374
372,0.659328,0.792047
373,0.718341,0.847107
374,0.759096,0.884229
375,0.715951,0.843618
376,0.653454,0.783642
377,0.7097,0.836594
378,0.760453,0.877506
379,0.710515,0.837127
380,0.641633,0.77343
381,0.701179,0.826932
382,0.76438,0.881869
383,0.714315,0.84337
384,0.570491,0.745364
385,0.694873,0.830519
386,0.759764,0.883783
387,0.697371,0.839748
388,0.64707,0.780527
389,0.697928,0.828811
390,0.752603,0.877873
391,0.708007,0.840298
392,0.654051,0.778872
393,0.69418,0.824132
394,0.747041,0.873946
395,0.704481,0.834527
396,0.639916,0.765902
397,0.684644,0.817629
398,0.735513,0.867258
399,0.699194,0.828971
400,0.636396,0.762138
401,0.676573,0.810204
402,0.724902,0.860676
403,0.692364,0.824648
404,0.625394,0.756591
405,0.668962,0.806233
406,0.726032,0.867532
407,0.693859,0.833032
408,0.557772,0.728028
409,0.659556,0.809796
410,0.720001,0.870273
411,0.679568,0.830143
412,0.635132,0.770078
413,0.668732,0.815217
414,0.711969,0.866872
