Frame, eSSIM, SSIM
0,0.688527,0.810882
1,0.713533,0.84726
2,0.840684,0.916181
3,0.770352,0.875971
4,0.68357,0.805711
5,0.713472,0.846703
6,0.840199,0.916376
7,0.793162,0.890689
8,0.722323,0.834278
9,0.750142,0.868587
10,0.855809,0.923566
11,0.793999,0.889934
12,0.797063,0.872163
13,0.812908,0.894196
14,0.873274,0.929545
15,0.843564,0.907393
16,0.804715,0.877508
17,0.815446,0.895288
18,0.874166,0.929956
19,0.844994,0.910004
20,0.801816,0.875561
21,0.815203,0.895985
22,0.873037,0.929634
23,0.857037,0.914931
24,0.814042,0.882816
25,0.82833,0.902826
26,0.882151,0.934207
27,0.861851,0.91774
28,0.825745,0.890182
29,0.834796,0.906267
30,0.885238,0.935862
31,0.870484,0.920476
32,0.830566,0.893996
33,0.84497,0.909951
34,0.895061,0.93909
35,0.87635,0.923085
36,0.836727,0.89486
37,0.848376,0.912953
38,0.894533,0.938799
39,0.879396,0.924213
40,0.841885,0.898404
41,0.851174,0.914274
42,0.896272,0.939736
43,0.881522,0.924998
44,0.851713,0.903129
45,0.863546,0.920168
46,0.90179,0.942151
47,0.880759,0.925315
48,0.855424,0.906185
49,0.86296,0.920318
50,0.901945,0.942236
51,0.88694,0.927332
52,0.854266,0.90505
53,0.861964,0.919826
54,0.901639,0.941516
55,0.888278,0.929002
56,0.858224,0.907642
57,0.868273,0.922592
58,0.905591,0.943271
59,0.891295,0.930118
60,0.860136,0.908917
61,0.867541,0.922662
62,0.906819,0.943565
63,0.891964,0.929925
64,0.861194,0.910306
65,0.870627,0.923786
66,0.908205,0.944561
67,0.894893,0.931459
68,0.863777,0.911103
69,0.874513,0.926579
70,0.908167,0.944626
71,0.89833,0.93314
72,0.868871,0.91296
73,0.876944,0.92701
74,0.911513,0.946096
75,0.903807,0.935794
76,0.871455,0.914999
77,0.877121,0.927449
78,0.91184,0.946418
79,0.900106,0.934357
80,0.873606,0.917212
81,0.877844,0.927327
82,0.913426,0.947029
83,0.898871,0.934121
84,0.870788,0.915082
85,0.876514,0.927241
86,0.912158,0.946292
87,0.900657,0.934561
88,0.869603,0.913975
89,0.87705,0.926825
90,0.911869,0.945878
91,0.899779,0.934321
92,0.869429,0.913671
93,0.87851,0.927582
94,0.911818,0.945983
95,0.894784,0.93149
96,0.870535,0.914739
97,0.877319,0.926766
98,0.911881,0.946057
99,0.895385,0.932527
100,0.866872,0.912281
101,0.876488,0.926596
102,0.911305,0.945509
103,0.897198,0.933175
104,0.866716,0.912456
105,0.874471,0.92566
106,0.911002,0.945753
107,0.89872,0.934243
108,0.867223,0.912617
109,0.87411,0.925915
110,0.911333,0.94591
111,0.895338,0.932073
112,0.868645,0.914517
113,0.874532,0.925719
114,0.910297,0.945616
115,0.893985,0.932435
116,0.865785,0.912532
117,0.874872,0.926162
118,0.909202,0.9446
119,0.896536,0.933094
120,0.863722,0.912893
121,0.87477,0.92593
122,0.909396,0.944823
123,0.901154,0.935594
124,0.867631,0.914986
125,0.871593,0.926276
126,0.910864,0.946018
127,0.897725,0.934271
128,0.872399,0.917109
129,0.87399,0.925921
130,0.910579,0.945722
131,0.900522,0.935256
132,0.866724,0.914734
133,0.876958,0.927346
134,0.910173,0.945542
135,0.899044,0.93497
136,0.867195,0.915134
137,0.874483,0.92734
138,0.910318,0.946253
139,0.900985,0.935955
140,0.869367,0.915543
141,0.873284,0.927346
142,0.911428,0.947146
143,0.897387,0.93474
144,0.872684,0.918309
145,0.873857,0.92678
146,0.910387,0.946667
147,0.894248,0.933925
148,0.866846,0.913967
149,0.875047,0.927332
150,0.909841,0.945642
151,0.895201,0.932718
152,0.862342,0.911738
153,0.873109,0.926564
154,0.911542,0.946136
155,0.897993,0.933641
156,0.864756,0.912434
157,0.871174,0.926269
158,0.91271,0.94691
159,0.891959,0.931448
160,0.866724,0.914392
161,0.873523,0.926537
162,0.913063,0.947214
163,0.896063,0.933317
164,0.86524,0.912429
165,0.874745,0.926709
166,0.911948,0.946267
167,0.899135,0.934173
168,0.86523,0.913029
169,0.873325,0.926148
170,0.912685,0.946656
171,0.899887,0.935014
172,0.865813,0.913732
173,0.8738,0.927255
174,0.91353,0.947392
175,0.896724,0.933486
176,0.870224,0.916549
177,0.876649,0.92813
178,0.914051,0.947585
179,0.896036,0.933429
180,0.866522,0.913717
181,0.876905,0.92869
182,0.914426,0.947147
183,0.898612,0.934467
184,0.865838,0.914295
185,0.875206,0.928097
186,0.914597,0.947744
187,0.905519,0.937289
188,0.86977,0.915968
189,0.877125,0.92919
190,0.915346,0.947916
191,0.896928,0.933767
192,0.873603,0.918644
193,0.87792,0.929007
194,0.915141,0.947832
195,0.897264,0.934309
196,0.86777,0.914102
197,0.878226,0.92912
198,0.914641,0.947409
199,0.899641,0.934798
200,0.870557,0.916318
201,0.876935,0.928497
202,0.914451,0.947608
203,0.903315,0.93638
204,0.866838,0.914342
205,0.876052,0.927921
206,0.914188,0.947397
207,0.899775,0.934341
208,0.872377,0.918724
209,0.876347,0.928218
210,0.913488,0.947581
211,0.898411,0.934322
212,0.86534,0.914005
213,0.878465,0.929449
214,0.914495,0.947559
215,0.899752,0.934677
216,0.864929,0.914708
217,0.875225,0.928431
218,0.913122,0.947403
219,0.904814,0.936963
220,0.867124,0.915501
221,0.874435,0.928894
222,0.911552,0.947274
223,0.899685,0.934462
224,0.873851,0.919855
225,0.876063,0.929259
226,0.913509,0.947855
227,0.886973,0.932847
228,0.863942,0.913293
229,0.877782,0.929766
230,0.914883,0.947701
231,0.895784,0.933372
232,0.864159,0.913147
233,0.873568,0.92766
234,0.912632,0.947336
235,0.902587,0.936252
236,0.863352,0.912633
237,0.867296,0.926757
238,0.908257,0.94649
239,0.894651,0.932196
240,0.869644,0.916753
241,0.871571,0.927618
242,0.90984,0.946728
243,0.895153,0.933607
244,0.862816,0.913194
245,0.875307,0.929334
246,0.912503,0.947053
247,0.894524,0.933011
248,0.856227,0.913083
249,0.870931,0.927735
250,0.911798,0.947004
251,0.900529,0.935114
252,0.86217,0.913443
253,0.864162,0.926854
254,0.910718,0.947219
255,0.893289,0.932651
256,0.864858,0.915734
257,0.865828,0.926745
258,0.909574,0.946836
259,0.894294,0.932587
260,0.85862,0.911735
