Frame, eSSIM, SSIM
0,0.580336,0.73352
1,0.630621,0.791347
2,0.748462,0.87455
3,0.658891,0.815615
4,0.579732,0.731644
5,0.62987,0.790482
6,0.747934,0.873507
7,0.707329,0.845459
8,0.613382,0.762683
9,0.651473,0.811327
10,0.781285,0.891818
11,0.707476,0.845571
12,0.682506,0.799944
13,0.717919,0.84472
14,0.833684,0.910717
15,0.758284,0.866674
16,0.686223,0.802818
17,0.720184,0.846028
18,0.836262,0.912188
19,0.765605,0.87169
20,0.687647,0.804597
21,0.720503,0.846867
22,0.836151,0.912249
23,0.77726,0.877583
24,0.702462,0.815608
25,0.731133,0.853079
26,0.840095,0.914985
27,0.786973,0.882189
28,0.721708,0.829682
29,0.7391,0.857943
30,0.843008,0.916596
31,0.806955,0.889363
32,0.726222,0.832609
33,0.747506,0.861393
34,0.845631,0.917519
35,0.809898,0.891321
36,0.732264,0.834426
37,0.747745,0.861752
38,0.844152,0.916318
39,0.816424,0.893661
40,0.748405,0.843845
41,0.763941,0.869373
42,0.848699,0.918355
43,0.818019,0.894005
44,0.759642,0.849773
45,0.773541,0.874006
46,0.854763,0.920235
47,0.825591,0.897123
48,0.762183,0.852079
49,0.773976,0.874067
50,0.854213,0.920211
51,0.829563,0.898929
52,0.763664,0.852743
53,0.773952,0.874125
54,0.853915,0.919686
55,0.835811,0.901721
56,0.769971,0.856898
57,0.780252,0.877217
58,0.856209,0.920783
59,0.838871,0.902879
60,0.779155,0.862241
61,0.785796,0.879969
62,0.85785,0.921584
63,0.842781,0.904436
64,0.780514,0.863825
65,0.792263,0.8829
66,0.859079,0.922439
67,0.842908,0.905365
68,0.787329,0.866904
69,0.794662,0.884538
70,0.858298,0.922037
71,0.847444,0.907758
72,0.790741,0.869158
73,0.798617,0.886155
74,0.86114,0.923619
75,0.852735,0.909503
76,0.794915,0.871731
77,0.799794,0.887094
78,0.862398,0.924574
79,0.851249,0.909282
80,0.792892,0.871302
81,0.80068,0.88752
82,0.863793,0.925251
83,0.846586,0.908655
84,0.794932,0.872137
85,0.798455,0.886763
86,0.862405,0.924204
87,0.849986,0.909374
88,0.791262,0.870029
89,0.800653,0.888137
90,0.865046,0.924975
91,0.845852,0.907109
92,0.790138,0.868572
93,0.801618,0.888941
94,0.864862,0.924876
95,0.843135,0.904753
96,0.790309,0.868046
97,0.801022,0.887588
98,0.866102,0.925701
99,0.84758,0.907589
100,0.790373,0.86886
101,0.800391,0.887639
102,0.8645,0.924958
103,0.848915,0.90881
104,0.790757,0.869272
105,0.800175,0.887526
106,0.864424,0.925351
107,0.848663,0.908056
108,0.792104,0.869555
109,0.797536,0.887929
110,0.866293,0.925882
111,0.844856,0.906638
112,0.790148,0.869615
113,0.801199,0.887926
114,0.865558,0.925572
115,0.84216,0.906327
116,0.790454,0.868791
117,0.800899,0.887745
118,0.863075,0.923674
119,0.843268,0.907124
120,0.788718,0.869521
121,0.802432,0.888259
122,0.864435,0.924592
123,0.848957,0.909535
124,0.7952,0.873468
125,0.802621,0.889549
126,0.864649,0.92559
127,0.845693,0.90852
128,0.795952,0.873594
129,0.802009,0.88877
130,0.864448,0.92537
131,0.848449,0.910444
132,0.795127,0.873282
133,0.80481,0.890652
134,0.864448,0.925231
135,0.848857,0.910239
136,0.793394,0.873631
137,0.805697,0.891443
138,0.865795,0.926376
139,0.848205,0.909871
140,0.797271,0.875134
141,0.804385,0.89141
142,0.866194,0.927035
143,0.84787,0.909623
144,0.797579,0.875555
145,0.801704,0.890135
146,0.864912,0.926814
147,0.846566,0.909223
148,0.794039,0.87295
149,0.802478,0.890566
150,0.863832,0.925269
151,0.845657,0.907802
152,0.789694,0.870337
153,0.80113,0.889929
154,0.865486,0.926156
155,0.846551,0.907919
156,0.789908,0.870664
157,0.798349,0.889521
158,0.866009,0.926754
159,0.842018,0.906047
160,0.788201,0.869486
161,0.800747,0.889745
162,0.866704,0.927277
163,0.842803,0.907014
164,0.78916,0.869233
165,0.799319,0.888872
166,0.864378,0.925417
167,0.845844,0.907825
168,0.788795,0.869782
169,0.801737,0.889958
170,0.866879,0.926972
171,0.84425,0.907796
172,0.790523,0.870659
173,0.801677,0.890448
174,0.867604,0.927698
175,0.844929,0.908252
176,0.791862,0.871869
177,0.802269,0.890649
178,0.86763,0.927738
179,0.844789,0.908481
180,0.791616,0.871351
181,0.801469,0.890295
182,0.867235,0.926744
183,0.85026,0.910278
184,0.793576,0.872797
185,0.803049,0.891469
186,0.868531,0.928004
187,0.852107,0.911089
188,0.792908,0.873674
189,0.802023,0.891808
190,0.868078,0.927827
191,0.849688,0.910123
192,0.796489,0.876129
193,0.803491,0.891639
194,0.868772,0.928119
195,0.851365,0.911343
196,0.794699,0.873999
197,0.80477,0.892211
198,0.869646,0.927833
199,0.852711,0.911603
200,0.795057,0.8753
201,0.803334,0.891584
202,0.868839,0.927807
203,0.853194,0.911731
204,0.791607,0.873105
205,0.80088,0.891091
206,0.867774,0.927319
207,0.851878,0.910742
208,0.795517,0.875655
209,0.802199,0.891439
210,0.867527,0.927542
211,0.846599,0.90996
212,0.792252,0.872968
213,0.803815,0.892468
214,0.86794,0.927287
215,0.850727,0.910678
216,0.791342,0.873694
217,0.801202,0.891738
218,0.868036,0.927817
219,0.855612,0.91261
220,0.793501,0.875077
221,0.799516,0.892431
222,0.866397,0.92749
223,0.851649,0.910938
224,0.798385,0.878203
225,0.802961,0.893209
226,0.867777,0.928259
227,0.840211,0.908694
228,0.789414,0.873152
229,0.803543,0.893508
230,0.868268,0.927998
231,0.847085,0.909475
232,0.785302,0.870739
233,0.797819,0.891495
234,0.869181,0.928879
235,0.85113,0.911442
236,0.786676,0.871521
237,0.797046,0.891307
238,0.866821,0.927913
239,0.84543,0.907912
240,0.793033,0.875188
241,0.797152,0.891989
242,0.867437,0.928248
243,0.848203,0.910337
244,0.786459,0.872227
245,0.800713,0.893646
246,0.868058,0.928135
247,0.847905,0.909374
248,0.782635,0.872359
249,0.798011,0.892436
250,0.868846,0.92895
251,0.853023,0.911468
252,0.786166,0.872644
253,0.795117,0.891971
254,0.868343,0.929126
255,0.848788,0.909718
256,0.788759,0.873894
257,0.796035,0.891994
258,0.867362,0.928562
259,0.845416,0.908653
260,0.784878,0.87045
261,0.798138,0.892186
262,0.867997,0.92835
263,0.841757,0.907747
264,0.778829,0.867892
265,0.793248,0.890517
266,0.866809,0.928212
267,0.843424,0.90829
268,0.779962,0.868421
269,0.790236,0.889912
270,0.867583,0.9289
271,0.841784,0.907379
272,0.78372,0.871104
273,0.793593,0.892226
274,0.870684,0.930179
275,0.840623,0.907579
276,0.782912,0.870201
277,0.798855,0.894548
278,0.873345,0.931064
279,0.849026,0.910665
280,0.788223,0.875061
281,0.805521,0.898581
282,0.877293,0.933066
283,0.856966,0.914789
284,0.793632,0.878551
285,0.804541,0.89927
286,0.876676,0.93367
287,0.851621,0.913588
288,0.802081,0.883176
289,0.810979,0.900715
290,0.879716,0.934197
291,0.855341,0.91574
292,0.797967,0.880716
293,0.812942,0.901731
294,0.879527,0.933927
295,0.853989,0.916149
296,0.796089,0.882319
297,0.816439,0.903028
298,0.881356,0.934559
299,0.861269,0.917707
300,0.806391,0.885747
301,0.817536,0.903184
302,0.881657,0.93557
303,0.857453,0.917738
304,0.810954,0.887704
305,0.818965,0.904054
306,0.884291,0.93674
307,0.863056,0.919917
308,0.810552,0.887769
309,0.821543,0.905391
310,0.885302,0.936149
311,0.863447,0.921201
312,0.810173,0.88811
313,0.823058,0.905939
314,0.886548,0.936616
315,0.867037,0.921075
316,0.813318,0.888801
317,0.823506,0.90658
318,0.889185,0.938994
319,0.866367,0.921567
320,0.819164,0.891973
321,0.824108,0.906831
322,0.890689,0.940332
323,0.860747,0.921621
