Frame, eSSIM, SSIM
0,0.919608,0.968355
1,0.921036,0.978098
2,0.961507,0.983786
3,0.919045,0.972909
4,0.899125,0.964799
5,0.938804,0.976893
6,0.963442,0.983626
7,0.950429,0.97389
8,0.928839,0.966628
9,0.950608,0.97783
10,0.965459,0.983657
11,0.956766,0.974597
12,0.952322,0.970074
13,0.956343,0.979785
14,0.964553,0.983882
15,0.954497,0.973872
16,0.945077,0.969273
17,0.965279,0.981508
18,0.964743,0.983385
19,0.946002,0.97252
20,0.955184,0.97247
21,0.957757,0.981122
22,0.969328,0.984008
23,0.956374,0.975606
24,0.943295,0.971249
25,0.961489,0.980697
26,0.971261,0.984222
27,0.962331,0.977547
28,0.954878,0.973388
29,0.963556,0.981901
30,0.968304,0.984549
31,0.966059,0.978142
32,0.950903,0.974021
33,0.963107,0.981668
34,0.970187,0.983917
35,0.968888,0.978693
36,0.960942,0.975465
37,0.970928,0.982197
38,0.974617,0.984615
39,0.96838,0.977897
40,0.955405,0.973342
41,0.968377,0.9813
42,0.972159,0.982943
43,0.954182,0.974941
44,0.958244,0.9749
45,0.963752,0.98121
46,0.972358,0.983371
47,0.947899,0.976213
48,0.931384,0.971577
49,0.963574,0.980738
50,0.969126,0.983278
51,0.920505,0.971671
52,0.927548,0.969503
53,0.962547,0.979815
54,0.968911,0.983356
55,0.947808,0.974968
56,0.951247,0.971418
57,0.964388,0.980058
58,0.973055,0.98326
59,0.954359,0.975104
60,0.948716,0.971327
61,0.96072,0.979717
62,0.974544,0.983157
63,0.958698,0.974609
64,0.955377,0.971232
65,0.963791,0.979499
66,0.974829,0.983
67,0.958271,0.974093
68,0.959504,0.970814
69,0.964947,0.979223
70,0.973299,0.983011
71,0.960424,0.974568
72,0.955579,0.970109
73,0.966774,0.97944
74,0.973297,0.982864
75,0.959789,0.974498
76,0.954421,0.97077
77,0.966783,0.979829
78,0.973685,0.983262
79,0.960765,0.975352
80,0.958868,0.971907
81,0.967989,0.98029
82,0.975612,0.983885
83,0.963368,0.975004
84,0.962358,0.972542
85,0.965999,0.979857
86,0.972143,0.983564
87,0.959994,0.974177
88,0.948435,0.967145
89,0.954907,0.976636
90,0.973375,0.983205
91,0.949003,0.970979
92,0.940328,0.963454
93,0.95734,0.976817
94,0.971534,0.98305
95,0.959825,0.974165
96,0.951897,0.968733
97,0.961744,0.978704
98,0.970545,0.983165
99,0.956094,0.973334
100,0.954883,0.969541
101,0.96418,0.979187
102,0.974973,0.98364
103,0.960266,0.974363
104,0.955153,0.970385
105,0.966116,0.980127
106,0.976741,0.984051
107,0.962765,0.975286
108,0.956546,0.971416
109,0.967299,0.980423
110,0.976786,0.984026
111,0.967994,0.976512
112,0.960723,0.972596
113,0.968655,0.980526
114,0.975032,0.984014
115,0.966029,0.97614
116,0.963225,0.973212
117,0.969115,0.980678
118,0.976668,0.984044
119,0.967439,0.976603
120,0.962775,0.973014
121,0.969715,0.980901
122,0.974492,0.98403
123,0.966146,0.976647
124,0.964528,0.97368
125,0.966961,0.980887
126,0.970563,0.983876
127,0.970049,0.977354
128,0.963856,0.973134
129,0.967479,0.980443
130,0.976783,0.983885
131,0.972528,0.979477
132,0.968375,0.973569
133,0.974785,0.982108
134,0.981668,0.988101
135,0.974207,0.980398
136,0.968427,0.973442
137,0.974709,0.982089
138,0.982529,0.98832
139,0.974787,0.980511
140,0.969303,0.973496
141,0.974698,0.98208
142,0.982479,0.988186
143,0.974725,0.980482
144,0.968894,0.973409
145,0.97411,0.981959
146,0.982324,0.98813
147,0.9743,0.980402
148,0.968267,0.973481
149,0.974465,0.982216
150,0.98261,0.988132
151,0.97347,0.980452
152,0.968399,0.974068
153,0.97519,0.982647
154,0.982779,0.988126
155,0.974471,0.980745
156,0.968985,0.974676
157,0.97525,0.982766
158,0.982644,0.987929
159,0.975174,0.980831
160,0.968468,0.974288
161,0.974652,0.982096
162,0.982044,0.987519
163,0.973087,0.980299
164,0.96722,0.973234
165,0.973828,0.981238
166,0.981751,0.98715
167,0.974468,0.979985
168,0.968121,0.972996
169,0.973402,0.980758
170,0.981371,0.986872
171,0.974641,0.980031
172,0.968094,0.972879
173,0.973468,0.980826
174,0.980837,0.986601
175,0.973299,0.979457
176,0.967806,0.97272
177,0.973227,0.980646
178,0.980351,0.986496
179,0.974177,0.979653
180,0.968438,0.972878
181,0.973617,0.980924
182,0.980529,0.986684
183,0.974195,0.979631
184,0.968437,0.972981
185,0.973853,0.980865
186,0.980357,0.986527
187,0.974028,0.979641
188,0.968482,0.973024
189,0.97354,0.980825
190,0.980807,0.98665
191,0.974062,0.979551
192,0.968259,0.973097
193,0.973713,0.980972
194,0.980546,0.986552
195,0.974313,0.97981
196,0.968686,0.973347
197,0.973928,0.981067
198,0.980547,0.986412
199,0.974546,0.979856
200,0.969066,0.973505
201,0.973641,0.980901
202,0.981181,0.986477
203,0.974988,0.980054
204,0.969036,0.973553
205,0.974226,0.981111
206,0.981325,0.986402
207,0.975182,0.980033
208,0.969238,0.973687
209,0.974183,0.980928
210,0.98106,0.986291
211,0.975012,0.980013
212,0.969677,0.974024
213,0.974233,0.981013
214,0.981333,0.98641
215,0.975577,0.980283
216,0.967047,0.973945
217,0.970837,0.980958
218,0.981648,0.9865
219,0.975573,0.98027
220,0.969859,0.974141
221,0.973879,0.98094
222,0.981409,0.986451
223,0.975953,0.980441
224,0.969879,0.97416
225,0.974364,0.981296
226,0.981417,0.986463
227,0.975697,0.98032
228,0.965182,0.974525
229,0.969075,0.981544
230,0.981559,0.98639
231,0.975807,0.980393
232,0.965525,0.974756
233,0.975098,0.981501
234,0.981567,0.986391
235,0.976039,0.980495
236,0.96998,0.97479
237,0.975138,0.981664
238,0.981728,0.9865
239,0.975636,0.98059
240,0.969493,0.974807
241,0.974972,0.981637
242,0.981429,0.986377
243,0.97502,0.980459
