Frame, eSSIM, SSIM
0,0.895271,0.963089
1,0.912869,0.974364
2,0.954932,0.982143
3,0.89862,0.969253
4,0.877247,0.957286
5,0.905929,0.972303
6,0.956565,0.981709
7,0.908246,0.96847
8,0.871858,0.955285
9,0.911731,0.970768
10,0.95635,0.981542
11,0.924119,0.969005
12,0.90929,0.958928
13,0.925547,0.973631
14,0.954178,0.98171
15,0.918248,0.966075
16,0.892489,0.957624
17,0.941303,0.976367
18,0.95056,0.980015
19,0.896712,0.963379
20,0.909637,0.962308
21,0.936152,0.97643
22,0.959466,0.981458
23,0.920506,0.969311
24,0.902427,0.962765
25,0.930501,0.976318
26,0.962185,0.982071
27,0.933919,0.973684
28,0.910884,0.967448
29,0.948468,0.978358
30,0.957895,0.982526
31,0.927463,0.973065
32,0.904157,0.966916
33,0.930663,0.977162
34,0.960384,0.981245
35,0.950239,0.973891
36,0.932513,0.968503
37,0.948072,0.977851
38,0.965048,0.981727
39,0.938581,0.973152
40,0.927487,0.96524
41,0.952494,0.976163
42,0.963867,0.98002
43,0.926227,0.968892
44,0.925262,0.966612
45,0.939047,0.975617
46,0.963735,0.980563
47,0.911908,0.970371
48,0.874918,0.960699
49,0.940425,0.975405
50,0.959736,0.980204
51,0.849079,0.960578
52,0.868569,0.958583
53,0.935733,0.974483
54,0.958239,0.979745
55,0.903689,0.967926
56,0.907629,0.962715
57,0.94416,0.975037
58,0.961877,0.980173
59,0.927758,0.969266
60,0.916966,0.963178
61,0.941938,0.975168
62,0.966614,0.980402
63,0.920472,0.966804
64,0.922737,0.962476
65,0.943904,0.974191
66,0.967205,0.980405
67,0.930659,0.967282
68,0.92777,0.960983
69,0.944092,0.973542
70,0.963664,0.979889
71,0.93334,0.96781
72,0.920202,0.960849
73,0.945296,0.974106
74,0.962447,0.979653
75,0.912683,0.966664
76,0.918325,0.960777
77,0.948125,0.974729
78,0.96337,0.980143
79,0.922869,0.966413
80,0.927902,0.963169
81,0.952191,0.975598
82,0.965206,0.98084
83,0.939245,0.968343
84,0.936766,0.962217
85,0.949203,0.974462
86,0.964805,0.980869
87,0.936562,0.967611
88,0.920322,0.956498
89,0.929703,0.96909
90,0.964227,0.980144
91,0.921602,0.963597
92,0.911267,0.952569
93,0.941382,0.971053
94,0.962905,0.980164
95,0.93608,0.966428
96,0.925919,0.959981
97,0.946773,0.974042
98,0.957913,0.980295
99,0.925381,0.966458
100,0.933178,0.96108
101,0.952023,0.97499
102,0.966197,0.981019
103,0.934838,0.968449
104,0.937413,0.963458
105,0.954935,0.975804
106,0.969367,0.981539
107,0.944165,0.970255
108,0.937294,0.964744
109,0.956312,0.976545
110,0.971115,0.981874
111,0.95239,0.97116
112,0.941611,0.966553
113,0.959366,0.977309
114,0.968654,0.981711
115,0.948401,0.971424
116,0.949425,0.967178
117,0.960286,0.977125
118,0.970385,0.981758
119,0.953408,0.972534
120,0.947171,0.96763
121,0.959899,0.97715
122,0.968058,0.981426
123,0.952099,0.97271
124,0.952767,0.969233
125,0.956873,0.977479
126,0.964574,0.981297
127,0.961179,0.973643
128,0.94956,0.968194
129,0.957063,0.976553
130,0.968017,0.981044
131,0.963154,0.976574
132,0.96054,0.971077
133,0.969938,0.980543
134,0.974294,0.986411
135,0.964487,0.977342
136,0.96281,0.971254
137,0.970595,0.980584
138,0.977526,0.986979
139,0.96757,0.977954
140,0.96526,0.971772
141,0.971981,0.980901
142,0.976802,0.98673
143,0.9687,0.97847
144,0.965614,0.972001
145,0.971897,0.98095
146,0.977348,0.986855
147,0.969285,0.978492
148,0.961912,0.97211
149,0.968659,0.981158
150,0.978157,0.986815
151,0.96824,0.978498
152,0.961947,0.972669
153,0.969721,0.981681
154,0.97848,0.986802
155,0.968055,0.978517
156,0.964521,0.973127
157,0.973469,0.98178
