Frame, eSSIM, SSIM
0,0.559145,0.749694
1,0.648263,0.825186
2,0.701204,0.869526
3,0.679334,0.84128
4,0.651877,0.80511
5,0.688885,0.845567
6,0.71025,0.875435
7,0.694904,0.851888
8,0.669645,0.82089
9,0.697964,0.852522
10,0.711233,0.876945
11,0.701765,0.857218
12,0.678946,0.828212
13,0.702113,0.856583
14,0.71062,0.876088
15,0.697259,0.855236
16,0.678321,0.829184
17,0.705484,0.859202
18,0.714497,0.878803
19,0.702747,0.857048
20,0.688154,0.836215
21,0.701423,0.854321
22,0.712159,0.876573
23,0.698265,0.851055
24,0.555311,0.747008
25,0.640149,0.822142
26,0.694335,0.867036
27,0.683161,0.84131
28,0.649102,0.802132
29,0.682013,0.842893
30,0.705172,0.87209
31,0.694124,0.847179
32,0.668732,0.816938
33,0.691774,0.849794
34,0.706352,0.873874
35,0.700175,0.851793
36,0.682422,0.82734
37,0.693703,0.853214
38,0.704939,0.874803
39,0.698318,0.854481
40,0.685495,0.832888
41,0.696967,0.855746
42,0.707028,0.87624
43,0.702827,0.857457
44,0.683832,0.833129
45,0.689925,0.84821
46,0.702235,0.872921
47,0.675565,0.839196
48,0.544158,0.737481
49,0.639852,0.821012
50,0.693441,0.866652
51,0.670269,0.833055
52,0.645345,0.798967
53,0.683489,0.843479
54,0.702843,0.870808
55,0.684586,0.842527
56,0.663957,0.81409
57,0.692252,0.848795
58,0.706829,0.87176
59,0.689639,0.846549
60,0.670499,0.821247
61,0.697443,0.852107
62,0.707836,0.871587
63,0.690858,0.848353
64,0.675945,0.82614
65,0.698257,0.853179
66,0.70719,0.871477
67,0.69399,0.850198
68,0.682306,0.831137
69,0.690439,0.846141
70,0.707959,0.871953
71,0.684815,0.842361
72,0.53608,0.731319
73,0.633131,0.815727
74,0.679441,0.858516
75,0.66334,0.829416
76,0.638823,0.794377
77,0.668801,0.836063
78,0.686682,0.863394
79,0.676739,0.83813
80,0.661917,0.812525
81,0.682346,0.845018
82,0.695441,0.868325
83,0.684059,0.844198
84,0.667964,0.819015
85,0.689864,0.849649
86,0.700534,0.869956
87,0.692436,0.849107
88,0.680265,0.827936
89,0.698249,0.853359
90,0.708653,0.872542
91,0.697349,0.852698
92,0.685927,0.833865
93,0.693254,0.84909
94,0.709455,0.875018
95,0.6907,0.84693
96,0.547328,0.741758
97,0.641431,0.822623
98,0.693948,0.867403
99,0.681338,0.840204
100,0.652117,0.80416
101,0.685638,0.844274
102,0.703595,0.870781
103,0.690052,0.847258
104,0.673977,0.821453
105,0.693856,0.851353
106,0.708972,0.874654
107,0.703673,0.855803
108,0.68838,0.83203
109,0.703384,0.857621
110,0.707302,0.874541
111,0.701091,0.85491
112,0.693176,0.837609
113,0.706829,0.860205
114,0.709549,0.875266
115,0.708531,0.860593
116,0.701892,0.84423
117,0.699623,0.852474
118,0.711888,0.874987
119,0.705346,0.854719
120,0.563054,0.751804
121,0.644826,0.823568
122,0.700075,0.869135
123,0.694403,0.846566
124,0.664532,0.80959
125,0.687665,0.844996
126,0.7047,0.873767
127,0.70805,0.856247
128,0.688336,0.826677
129,0.698313,0.852826
130,0.706313,0.875227
131,0.703283,0.856581
132,0.694112,0.833707
133,0.703882,0.857342
134,0.71031,0.877299
135,0.713492,0.862801
136,0.697027,0.83757
137,0.703849,0.858332
138,0.714812,0.879683
139,0.715745,0.863996
140,0.693734,0.836258
141,0.695112,0.84897
142,0.721768,0.881773
143,0.689849,0.847795
144,0.555643,0.743093
145,0.647169,0.824637
146,0.702882,0.873928
147,0.685913,0.842891
148,0.652322,0.799347
149,0.681886,0.841527
150,0.707592,0.876984
151,0.692408,0.848712
152,0.668522,0.812646
153,0.688014,0.846872
154,0.713435,0.880038
155,0.693849,0.850696
156,0.674043,0.819498
157,0.698312,0.853197
158,0.714312,0.881502
159,0.700265,0.854869
160,0.687356,0.828437
161,0.697029,0.853819
162,0.716399,0.882976
163,0.714827,0.862485
164,0.677299,0.826916
165,0.696749,0.851002
166,0.716008,0.881546
167,0.697699,0.852215
168,0.55708,0.741917
169,0.635208,0.815791
170,0.700511,0.873407
171,0.68544,0.842963
172,0.643186,0.793189
173,0.678478,0.83869
174,0.709851,0.877828
175,0.693303,0.848912
176,0.6609,0.806992
177,0.689313,0.846159
178,0.713848,0.880459
179,0.695801,0.850611
180,0.659324,0.809193
181,0.690079,0.848064
182,0.71326,0.879941
183,0.693862,0.849184
184,0.664979,0.814047
185,0.693815,0.850781
186,0.716766,0.880582
187,0.699169,0.851965
188,0.66907,0.817218
189,0.687124,0.844887
190,0.71588,0.878901
191,0.686156,0.842353
192,0.528929,0.721437
193,0.636146,0.814771
194,0.701772,0.871206
195,0.67846,0.836564
