Frame, eSSIM, SSIM
0,0.90254,0.929295
1,0.914972,0.943397
2,0.928398,0.953315
3,0.923487,0.944356
4,0.916364,0.937098
5,0.922165,0.947598
6,0.921422,0.951458
7,0.922192,0.943892
8,0.913286,0.93724
9,0.91546,0.945463
10,0.92181,0.949837
11,0.919978,0.943234
12,0.906388,0.936153
13,0.911087,0.944716
14,0.917919,0.950351
15,0.918513,0.942993
16,0.902775,0.935964
17,0.90245,0.942567
18,0.911546,0.946721
19,0.908226,0.939444
20,0.889596,0.932241
21,0.902104,0.940283
22,0.921122,0.952056
23,0.917109,0.942629
24,0.878285,0.915472
25,0.890431,0.929597
26,0.901169,0.938641
27,0.90204,0.932418
28,0.891147,0.923473
29,0.894984,0.933058
30,0.901226,0.939517
31,0.90381,0.933765
32,0.89152,0.926052
33,0.893946,0.933946
34,0.902192,0.939137
35,0.903005,0.933368
36,0.891135,0.927195
37,0.892542,0.934207
38,0.901978,0.940172
39,0.902067,0.933693
40,0.885212,0.926048
41,0.886708,0.933511
42,0.904309,0.941384
43,0.902125,0.933934
44,0.88448,0.926498
45,0.870425,0.92611
46,0.855222,0.915615
47,0.845722,0.907026
48,0.678265,0.818374
49,0.677153,0.833228
50,0.700934,0.840412
51,0.722469,0.844936
52,0.749714,0.856189
53,0.734358,0.861943
54,0.718733,0.850346
55,0.736052,0.853589
56,0.766477,0.867927
57,0.751818,0.871999
58,0.736435,0.863076
59,0.751543,0.866566
60,0.772478,0.876015
61,0.769769,0.883863
62,0.749243,0.877504
63,0.759985,0.87853
64,0.780537,0.884334
65,0.776083,0.890338
66,0.763379,0.890951
67,0.772325,0.892144
68,0.782057,0.892301
69,0.777821,0.892799
70,0.759688,0.894928
71,0.756124,0.890796
72,0.649111,0.835437
73,0.701123,0.864225
74,0.720894,0.883277
75,0.727398,0.880288
76,0.745969,0.875896
77,0.745079,0.886192
78,0.729104,0.888603
79,0.74446,0.887081
80,0.769543,0.885947
81,0.756342,0.895234
82,0.741271,0.8966
83,0.749214,0.88559
84,0.747347,0.877679
85,0.763661,0.901024
86,0.760689,0.911106
87,0.758837,0.899603
88,0.77697,0.90067
89,0.785636,0.921237
90,0.766922,0.922704
91,0.780764,0.919873
92,0.80258,0.933001
93,0.832181,0.949049
94,0.88089,0.966484
95,0.923631,0.967581
96,0.917453,0.961433
97,0.920973,0.970044
98,0.928122,0.977987
99,0.944017,0.969609
100,0.932283,0.961536
101,0.930444,0.972645
102,0.938258,0.979126
103,0.938533,0.966995
104,0.930058,0.962025
105,0.92644,0.972204
106,0.935613,0.978619
107,0.942162,0.967893
108,0.92504,0.963318
109,0.919053,0.973706
110,0.927057,0.979051
111,0.941843,0.971021
112,0.926428,0.967521
113,0.928019,0.977326
114,0.951199,0.983197
115,0.942321,0.974286
116,0.938538,0.969164
117,0.940841,0.977822
118,0.959825,0.984839
119,0.954555,0.976345
120,0.938052,0.971089
121,0.940686,0.979423
122,0.960278,0.986281
123,0.937548,0.975731
124,0.872758,0.961758
125,0.850311,0.962662
126,0.826771,0.96238
127,0.8101,0.949264
128,0.767795,0.929266
129,0.778201,0.934795
130,0.761441,0.928983
131,0.7554,0.916795
132,0.705719,0.887902
133,0.648445,0.852803
134,0.708453,0.88856
135,0.711761,0.863007
136,0.678529,0.825914
137,0.706743,0.864753
138,0.73322,0.895955
139,0.725554,0.871503
140,0.704265,0.843146
141,0.719109,0.872753
142,0.735676,0.896869
143,0.734956,0.8766
144,0.724483,0.855109
145,0.730622,0.878265
146,0.738601,0.89807
147,0.752293,0.883509
148,0.738913,0.862934
149,0.749952,0.886556
150,0.765634,0.906435
151,0.767523,0.889597
152,0.755763,0.870624
153,0.7699,0.89435
154,0.78404,0.912887
155,0.808947,0.906317
156,0.776501,0.879771
157,0.735024,0.881412
158,0.785227,0.917691
159,0.81981,0.908243
160,0.780928,0.87854
161,0.790779,0.901858
162,0.825854,0.928341
163,0.836667,0.916352
164,0.809776,0.894235
165,0.816433,0.913106
166,0.842867,0.933543
167,0.844693,0.920201
168,0.822985,0.901671
169,0.829412,0.918482
170,0.852941,0.93644
171,0.851695,0.923549
172,0.831344,0.906684
173,0.839665,0.923299
174,0.862163,0.939311
175,0.857197,0.926026
176,0.838987,0.910846
177,0.847365,0.926901
178,0.868518,0.94184
179,0.880177,0.936454
180,0.848207,0.917352
181,0.83252,0.919879
182,0.874728,0.945691
183,0.87386,0.932264
184,0.837004,0.909074
185,0.843472,0.924453
186,0.876141,0.945737
187,0.877811,0.934485
188,0.846602,0.914683
189,0.850181,0.928021
190,0.881305,0.946891
191,0.883271,0.936315
192,0.853776,0.918386
193,0.857525,0.930947
194,0.887271,0.94859
195,0.885101,0.937405
196,0.85884,0.920481
197,0.862625,0.933235
198,0.889303,0.949419
199,0.886993,0.93859
200,0.862519,0.922702
201,0.867109,0.935037
202,0.892902,0.950618
203,0.886642,0.939242
204,0.858129,0.920817
205,0.833485,0.92119
206,0.873075,0.945688
207,0.877385,0.933596
208,0.839041,0.910094
209,0.843057,0.924923
210,0.876439,0.946586
211,0.880706,0.936104
212,0.849029,0.916333
213,0.850783,0.929015
214,0.881012,0.947662
215,0.884757,0.937466
216,0.855672,0.919654
217,0.858529,0.931576
218,0.887366,0.94904
219,0.886846,0.938814
220,0.860577,0.92192
221,0.86329,0.933739
222,0.890461,0.950005
223,0.891517,0.94012
224,0.864575,0.923857
225,0.867501,0.93551
226,0.89416,0.951268
227,0.887394,0.93994
228,0.860583,0.921919
229,0.832982,0.921083
230,0.87461,0.94636
231,0.877164,0.933838
232,0.840018,0.910757
233,0.843635,0.925027
234,0.877113,0.946295
235,0.881545,0.936216
236,0.850435,0.91661
237,0.85108,0.928487
238,0.880937,0.947388
239,0.885471,0.937388
240,0.855184,0.919579
241,0.858642,0.931509
242,0.887602,0.949049
243,0.886081,0.938834
244,0.860841,0.922078
245,0.863313,0.933483
246,0.891118,0.950013
247,0.891498,0.940558
248,0.866014,0.924667
249,0.868871,0.935836
250,0.894378,0.951392
251,0.887103,0.939767
252,0.860627,0.921974
253,0.832426,0.920904
254,0.872496,0.945498
255,0.871852,0.93229
256,0.833948,0.907873
257,0.837113,0.922124
258,0.871951,0.944691
259,0.870235,0.932569
260,0.837773,0.910947
261,0.840384,0.924502
262,0.871816,0.944419
263,0.870179,0.932991
264,0.841121,0.913556
265,0.842676,0.925702
266,0.872298,0.945027
267,0.875877,0.934989
268,0.846551,0.916612
269,0.841036,0.922332
270,0.829918,0.925342
271,0.84977,0.919534
272,0.837283,0.909592
273,0.839338,0.921379
274,0.83317,0.925465
275,0.833253,0.913759
276,0.836026,0.909179
277,0.840758,0.923682
278,0.83375,0.925328
279,0.838988,0.917486
280,0.841908,0.914015
281,0.840592,0.924296
282,0.833416,0.924817
283,0.836685,0.916674
284,0.845967,0.916251
285,0.838746,0.924096
286,0.829385,0.923099
287,0.839241,0.917077
288,0.841038,0.915632
289,0.836038,0.923725
290,0.824428,0.921192
291,0.841272,0.917632
292,0.840795,0.912034
293,0.800483,0.908001
294,0.777713,0.909511
295,0.817362,0.904301
296,0.812787,0.895843
297,0.805681,0.909523
298,0.800668,0.914849
299,0.820851,0.906761
300,0.819652,0.902061
301,0.818462,0.915186
302,0.810193,0.917574
303,0.814183,0.905895
304,0.819537,0.902467
305,0.822269,0.917081
306,0.81578,0.918604
307,0.817816,0.906702
308,0.828504,0.906129
309,0.824209,0.9178
310,0.813559,0.917518
311,0.817664,0.907823
312,0.825929,0.90555
313,0.824843,0.917526
314,0.813532,0.917117
315,0.82924,0.911553
316,0.831681,0.905471
317,0.787215,0.901936
318,0.773247,0.906453
319,0.820878,0.902202
320,0.808655,0.890676
321,0.798572,0.904992
322,0.801235,0.912047
323,0.802034,0.898066
324,0.804516,0.892163
325,0.806426,0.908834
326,0.805979,0.914023
327,0.811266,0.902546
328,0.807905,0.895653
329,0.811841,0.911555
330,0.809736,0.915271
331,0.803447,0.899384
332,0.797627,0.891258
333,0.814104,0.912289
334,0.80846,0.915493
335,0.798473,0.897321
336,0.801067,0.893099
337,0.816692,0.91329
338,0.812128,0.916305
339,0.776556,0.881146
340,0.754293,0.861344
341,0.693561,0.854318
342,0.681773,0.862898
343,0.704998,0.843975
344,0.70279,0.825649
345,0.718433,0.860906
346,0.716989,0.876903
347,0.723024,0.853602
348,0.724654,0.841377
349,0.731696,0.870823
350,0.723474,0.880056
351,0.725156,0.858496
352,0.7293,0.848672
353,0.7385,0.87569
354,0.728448,0.881873
355,0.729829,0.861625
356,0.744124,0.856609
357,0.74215,0.879213
358,0.728884,0.883679
359,0.725158,0.861824
360,0.730001,0.854263
361,0.742608,0.881229
362,0.731047,0.885673
363,0.707226,0.850905
364,0.706938,0.834924
365,0.660046,0.833256
366,0.66046,0.855198
367,0.691662,0.839975
368,0.689922,0.819699
369,0.703458,0.85196
370,0.705611,0.87287
371,0.709438,0.851267
372,0.711151,0.835129
373,0.718756,0.863348
374,0.712291,0.877328
375,0.721626,0.860351
376,0.732186,0.850429
377,0.723563,0.869178
378,0.717518,0.880773
379,0.736113,0.870491
380,0.7419,0.858993
381,0.731058,0.874615
382,0.7177,0.88128
383,0.73541,0.871285
384,0.73913,0.860852
385,0.731981,0.87643
386,0.720132,0.882644
387,0.724465,0.86395
388,0.715013,0.844988
389,0.653875,0.832316
390,0.65979,0.855994
391,0.675945,0.837424
392,0.673989,0.817867
393,0.703278,0.853134
394,0.701332,0.871214
395,0.704235,0.852849
396,0.707719,0.839126
397,0.716437,0.864108
398,0.710221,0.875225
399,0.721666,0.86353
400,0.72907,0.85526
401,0.722231,0.870282
402,0.714409,0.877532
403,0.731329,0.870634
404,0.742369,0.863609
405,0.726601,0.872859
406,0.711044,0.876028
407,0.735782,0.872913
408,0.748358,0.869929
409,0.729817,0.876246
410,0.715187,0.87776
411,0.734198,0.870801
412,0.72796,0.855616
413,0.648581,0.832219
414,0.652049,0.850999
415,0.697925,0.850738
416,0.700071,0.83457
417,0.69555,0.851631
