Frame, eSSIM, SSIM
0,0.77631,0.908305
1,0.817904,0.946455
2,0.960031,0.97992
3,0.824124,0.940373
4,0.771917,0.90546
5,0.814295,0.944192
6,0.958275,0.97962
7,0.821073,0.941298
8,0.76818,0.904473
9,0.798977,0.940895
10,0.958701,0.979274
11,0.820002,0.939135
12,0.744274,0.893231
13,0.771653,0.933625
14,0.96137,0.979536
15,0.805861,0.932313
16,0.717067,0.878705
17,0.754635,0.929615
18,0.964551,0.980941
19,0.81758,0.935297
20,0.737816,0.886981
21,0.776163,0.936084
22,0.964709,0.980874
23,0.821574,0.93895
24,0.765604,0.90177
25,0.818618,0.945391
26,0.9643,0.980503
27,0.842732,0.943202
28,0.771221,0.907291
29,0.809627,0.9464
30,0.967263,0.981358
31,0.855397,0.944627
32,0.792352,0.912962
33,0.809729,0.946541
34,0.966376,0.981731
35,0.859505,0.945618
36,0.790606,0.912025
37,0.820965,0.949647
38,0.966876,0.98152
39,0.861309,0.94804
40,0.81418,0.918181
41,0.854837,0.955156
42,0.967378,0.981851
43,0.859973,0.948194
44,0.823548,0.92189
45,0.835803,0.949316
46,0.966613,0.981251
47,0.863548,0.948775
48,0.792989,0.913223
49,0.837799,0.949648
50,0.967713,0.981421
51,0.870563,0.949936
52,0.803626,0.914152
53,0.817266,0.946071
54,0.967259,0.981408
55,0.867413,0.947134
56,0.789458,0.908711
57,0.802615,0.941471
58,0.96585,0.981667
59,0.861985,0.945328
60,0.784915,0.907153
61,0.805368,0.941443
62,0.967065,0.981305
63,0.864949,0.946281
64,0.789025,0.908068
65,0.813788,0.944672
66,0.968702,0.981652
67,0.869506,0.948466
68,0.795153,0.909596
69,0.808061,0.941795
70,0.967458,0.981518
71,0.867318,0.948957
72,0.791996,0.908592
73,0.812245,0.942563
74,0.965719,0.98151
75,0.868418,0.948652
76,0.79177,0.908918
77,0.807596,0.941598
78,0.967676,0.981565
79,0.862985,0.946875
80,0.789721,0.906544
81,0.810839,0.941922
82,0.968968,0.981532
83,0.863151,0.946189
84,0.787951,0.905701
85,0.813078,0.942593
86,0.969907,0.981934
87,0.863215,0.945155
88,0.792033,0.906093
89,0.817191,0.944252
90,0.970339,0.982364
91,0.863558,0.945701
92,0.805397,0.911288
93,0.822298,0.94512
94,0.968159,0.981897
95,0.872613,0.948083
96,0.805829,0.912204
97,0.823414,0.94536
98,0.969217,0.981848
99,0.876415,0.948979
100,0.81136,0.914575
101,0.823725,0.945835
102,0.968413,0.982231
103,0.874715,0.948342
104,0.801333,0.910261
105,0.83268,0.947108
106,0.969122,0.98212
107,0.873927,0.94862
108,0.804284,0.909645
109,0.833227,0.946902
110,0.970346,0.982275
111,0.871769,0.947757
112,0.795298,0.906696
113,0.82072,0.943351
114,0.971274,0.982005
115,0.873274,0.948534
116,0.804877,0.910663
117,0.820451,0.943713
118,0.971364,0.982275
119,0.870905,0.946185
120,0.821777,0.916262
121,0.835772,0.947131
122,0.971286,0.982382
123,0.876214,0.948092
124,0.819155,0.913911
125,0.814237,0.941241
126,0.971189,0.982204
127,0.872881,0.948003
128,0.819226,0.915603
129,0.828037,0.944384
130,0.971508,0.982106
131,0.878386,0.948794
132,0.811476,0.912497
133,0.844503,0.949266
134,0.971435,0.98258
135,0.890046,0.951754
136,0.811234,0.911947
137,0.827123,0.944584
138,0.971293,0.982605
139,0.877995,0.949177
140,0.811333,0.909818
141,0.857541,0.951699
142,0.971298,0.982329
143,0.888909,0.9528
144,0.837658,0.920896
145,0.860564,0.952308
146,0.971948,0.982193
147,0.891824,0.953107
148,0.853362,0.926988
149,0.858851,0.952318
150,0.970964,0.981984
151,0.870573,0.947699
152,0.80188,0.906683
153,0.814149,0.940203
154,0.97226,0.982792
155,0.877648,0.948599
156,0.816681,0.912257
157,0.822474,0.943096
158,0.971306,0.982714
159,0.880398,0.95058
160,0.797851,0.908398
161,0.834421,0.945996
162,0.972135,0.982615
163,0.876815,0.949326
164,0.806834,0.910108
165,0.825691,0.94363
166,0.972271,0.98283
167,0.874938,0.950011
168,0.835378,0.921207
169,0.853554,0.951831
170,0.972262,0.982951
171,0.885184,0.951793
172,0.823603,0.916106
173,0.834024,0.944947
174,0.970755,0.982634
175,0.878419,0.949906
176,0.80123,0.90767
177,0.824053,0.942791
178,0.971917,0.982659
179,0.876976,0.949917
180,0.806954,0.910603
181,0.824969,0.943724
182,0.971986,0.982934
183,0.880402,0.951849
184,0.812814,0.912997
185,0.836115,0.947158
186,0.972211,0.983032
187,0.907454,0.95805
188,0.88175,0.940301
189,0.897962,0.964724
190,0.97348,0.982854
191,0.923852,0.966048
192,0.877001,0.947486
193,0.910721,0.968862
194,0.974498,0.983323
195,0.932487,0.967909
196,0.86905,0.946619
197,0.911367,0.968692
198,0.973853,0.983547
199,0.910598,0.964228
200,0.893689,0.946949
201,0.885525,0.957097
202,0.970999,0.98222
203,0.848464,0.949833
204,0.802376,0.908502
205,0.874902,0.953071
206,0.971857,0.982537
207,0.902685,0.962462
208,0.873124,0.93856
209,0.899669,0.963726
210,0.973885,0.98319
211,0.868255,0.958738
212,0.881283,0.95039
213,0.910777,0.972031
214,0.972486,0.984354
215,0.906097,0.963803
216,0.857997,0.947347
217,0.909426,0.968969
218,0.972631,0.98315
219,0.900189,0.961725
220,0.870196,0.948175
221,0.900806,0.967535
222,0.970858,0.983096
223,0.906231,0.961293
224,0.844828,0.929438
225,0.842962,0.947855
226,0.972074,0.982843
227,0.891352,0.957599
228,0.803395,0.91231
229,0.816135,0.937875
230,0.97259,0.982869
231,0.872207,0.954274
232,0.807759,0.913409
233,0.838617,0.944822
234,0.973189,0.983029
235,0.870773,0.954038
236,0.812334,0.91336
237,0.859544,0.949713
238,0.973491,0.983068
239,0.881915,0.957184
240,0.801639,0.909183
241,0.819501,0.939474
242,0.973067,0.982892
243,0.872014,0.954585
244,0.823314,0.917377
245,0.860783,0.951583
246,0.974223,0.983286
247,0.882781,0.956856
248,0.817036,0.917249
249,0.836746,0.94604
250,0.974611,0.983348
251,0.888804,0.95784
252,0.847682,0.928235
253,0.867593,0.954746
254,0.974654,0.98332
255,0.879303,0.957584
256,0.812903,0.916882
257,0.828911,0.942331
258,0.973969,0.982902
259,0.886578,0.959108
260,0.820571,0.921263
261,0.829149,0.943685
262,0.973983,0.983147
263,0.899005,0.959453
264,0.814832,0.918785
265,0.829886,0.944094
266,0.973967,0.983238
267,0.898752,0.96052
268,0.828146,0.921778
269,0.849205,0.949273
270,0.974006,0.983346
271,0.889522,0.96038
272,0.833047,0.926145
273,0.853288,0.950304
274,0.974948,0.983465
275,0.891684,0.960659
276,0.845304,0.931611
277,0.854853,0.951456
278,0.97461,0.983611
279,0.907198,0.961456
280,0.843307,0.929536
281,0.853208,0.951947
282,0.974362,0.983639
283,0.904839,0.961148
284,0.824478,0.921786
285,0.833683,0.945273
286,0.973983,0.983195
287,0.896741,0.960005
288,0.819311,0.920934
289,0.837715,0.945685
290,0.973773,0.983254
291,0.896864,0.960277
292,0.84267,0.930213
293,0.848746,0.949216
294,0.975176,0.983651
295,0.89861,0.960409
296,0.831799,0.92729
297,0.852832,0.952183
298,0.97492,0.983524
299,0.891504,0.961261
300,0.827604,0.926207
301,0.847755,0.95019
302,0.974592,0.983433
303,0.894335,0.96202
304,0.858123,0.939397
305,0.86789,0.957368
306,0.975113,0.983955
307,0.902287,0.962924
308,0.846752,0.933937
309,0.875283,0.959808
310,0.975552,0.984037
311,0.904985,0.965322
312,0.859099,0.937974
313,0.858157,0.954401
314,0.975353,0.984046
315,0.898637,0.963675
316,0.859164,0.93749
317,0.867995,0.957354
318,0.976234,0.983979
319,0.903823,0.964737
320,0.853528,0.935853
321,0.860776,0.954072
322,0.975705,0.98324
323,0.907662,0.96443
324,0.85481,0.934503
325,0.86025,0.95329
326,0.974751,0.982748
327,0.903977,0.963993
328,0.846349,0.931953
329,0.864436,0.953003
330,0.973738,0.981744
331,0.894256,0.96058
332,0.877371,0.946202
333,0.888402,0.961453
334,0.973142,0.985064
335,0.912093,0.968044
336,0.872991,0.942572
337,0.885347,0.959628
338,0.973826,0.984705
339,0.906529,0.96593
340,0.870224,0.939665
341,0.879955,0.957987
342,0.973296,0.983631
343,0.8973,0.963371
344,0.856309,0.935441
345,0.877648,0.955913
346,0.972008,0.982705
347,0.889125,0.961326
348,0.849344,0.93138
349,0.871043,0.953834
350,0.970206,0.981848
351,0.870469,0.958589
352,0.844602,0.928735
353,0.876988,0.953946
354,0.969696,0.981264
355,0.872961,0.957739
356,0.843584,0.927629
357,0.870321,0.951592
358,0.968018,0.980361
359,0.877717,0.957013
360,0.845699,0.926773
361,0.878315,0.952772
362,0.966964,0.979936
363,0.879228,0.957
364,0.843953,0.924853
365,0.874511,0.950344
366,0.965537,0.979255
367,0.870497,0.955596
368,0.836578,0.924607
369,0.876012,0.949972
370,0.965188,0.978782
371,0.864249,0.954835
372,0.829519,0.922464
373,0.867254,0.947718
374,0.964709,0.978105
375,0.854691,0.954537
376,0.832395,0.925424
377,0.86907,0.947731
378,0.961587,0.976673
379,0.863154,0.955305
380,0.831404,0.927704
381,0.875997,0.951094
382,0.961312,0.976681
383,0.858738,0.954769
384,0.832133,0.929183
385,0.879247,0.952206
386,0.9581,0.976
387,0.863952,0.954531
388,0.837077,0.930085
389,0.878993,0.953171
390,0.958748,0.976144
391,0.875884,0.95626
392,0.850903,0.93447
393,0.885395,0.955815
394,0.959768,0.976613
395,0.881627,0.958013
396,0.854935,0.937691
397,0.884548,0.95713
398,0.961293,0.977294
399,0.885352,0.958813
400,0.852895,0.9378
401,0.883546,0.957414
402,0.959439,0.976819
403,0.885653,0.959833
404,0.848002,0.939231
405,0.884434,0.957394
406,0.954308,0.976682
407,0.878236,0.961515
408,0.846157,0.941073
409,0.892067,0.96043
410,0.953587,0.977226
411,0.880827,0.961587
412,0.851713,0.944349
413,0.891422,0.962
414,0.951629,0.977297
415,0.882227,0.962261
416,0.85478,0.947788
417,0.890585,0.963669
418,0.953022,0.977853
419,0.880608,0.9634
420,0.85363,0.949229
421,0.891967,0.965349
422,0.950561,0.977318
423,0.87959,0.963789
424,0.85238,0.951283
425,0.887664,0.96623
426,0.956847,0.977785
427,0.887398,0.966165
428,0.852734,0.95445
429,0.893796,0.968613
430,0.963251,0.978861
431,0.901638,0.968927
432,0.868212,0.957979
433,0.903333,0.970804
434,0.962981,0.978979
435,0.899651,0.968824
436,0.867865,0.959392
437,0.89931,0.971
438,0.964053,0.978521
439,0.899702,0.969369
440,0.871323,0.959676
441,0.901914,0.970518
442,0.96329,0.978669
443,0.903005,0.970513
444,0.875124,0.96114
445,0.898055,0.970264
446,0.961516,0.978622
447,0.907123,0.971187
448,0.87662,0.961291
449,0.891019,0.968812
450,0.961039,0.978829
451,0.907259,0.971162
452,0.875844,0.961356
453,0.90032,0.970729
454,0.962432,0.979261
455,0.903474,0.970926
456,0.874845,0.961027
457,0.90348,0.97097
458,0.963404,0.979654
459,0.907808,0.971976
460,0.881109,0.963286
461,0.902408,0.971472
462,0.964295,0.979776
463,0.920277,0.974095
464,0.901553,0.964831
465,0.922193,0.973162
466,0.964799,0.980786
467,0.931386,0.974655
468,0.909766,0.965632
469,0.926379,0.973595
470,0.96669,0.981666
471,0.929817,0.974608
472,0.901979,0.965644
473,0.926635,0.972942
474,0.968817,0.98259
475,0.932263,0.974608
476,0.893336,0.96166
477,0.899351,0.970766
478,0.96897,0.982648
479,0.904789,0.972727
480,0.8692,0.962281
481,0.894904,0.97095
482,0.968906,0.982211
483,0.90403,0.9724
484,0.862935,0.957531
485,0.891652,0.968094
486,0.967641,0.981353
487,0.906598,0.971618
488,0.858134,0.953463
489,0.876748,0.963232
490,0.963224,0.980552
491,0.883184,0.967609
492,0.836693,0.946108
493,0.872737,0.961499
494,0.957527,0.979335
495,0.870132,0.963322
496,0.834126,0.942897
497,0.875033,0.960251
498,0.951898,0.978128
499,0.864496,0.960368
500,0.839661,0.939873
501,0.86766,0.953494
502,0.943329,0.9768
503,0.863966,0.959678
504,0.81658,0.933931
505,0.864919,0.956115
506,0.942767,0.976433
507,0.844889,0.952054
508,0.802559,0.926177
509,0.871774,0.957555
510,0.95049,0.977427
511,0.831484,0.948988
512,0.818282,0.934875
513,0.855575,0.954154
514,0.95166,0.976419
515,0.857119,0.956581
516,0.811142,0.928011
517,0.870984,0.955868
518,0.95397,0.975973
519,0.84513,0.952728
520,0.81653,0.928039
521,0.865364,0.953299
522,0.95323,0.975077
523,0.862667,0.954451
524,0.821356,0.928394
525,0.863412,0.95237
526,0.953665,0.974422
527,0.873875,0.952792
528,0.819817,0.926471
529,0.860342,0.950833
530,0.95231,0.974266
531,0.855874,0.953895
532,0.825682,0.931568
533,0.887379,0.957295
534,0.951299,0.974048
535,0.86723,0.955251
536,0.859479,0.939528
537,0.898985,0.959092
538,0.952113,0.9745
539,0.893991,0.95817
