Frame, eSSIM, SSIM
0,0.408193,0.608468
1,0.722768,0.901292
2,0.824172,0.927593
3,0.501824,0.691603
4,0.488783,0.669715
5,0.739233,0.905101
6,0.82848,0.928441
7,0.523112,0.705749
8,0.50857,0.685439
9,0.744825,0.907309
10,0.829263,0.928451
11,0.533546,0.713293
12,0.520525,0.695164
13,0.752429,0.909322
14,0.827552,0.928378
15,0.541156,0.71852
16,0.527087,0.70039
17,0.751767,0.909577
18,0.826543,0.928215
19,0.546157,0.721962
20,0.531076,0.703725
21,0.728067,0.903076
22,0.827028,0.928443
23,0.536709,0.713192
24,0.401399,0.603496
25,0.726138,0.902775
26,0.823196,0.928375
27,0.503328,0.692928
28,0.49266,0.672949
29,0.743066,0.906978
30,0.827258,0.928883
31,0.531304,0.711234
32,0.519317,0.693861
33,0.751516,0.909815
34,0.828725,0.929199
35,0.544115,0.720476
36,0.531325,0.703369
37,0.755101,0.910928
38,0.826564,0.92881
39,0.548047,0.723121
40,0.534424,0.706318
41,0.757782,0.911834
42,0.826932,0.928988
43,0.549509,0.724664
44,0.529292,0.70452
45,0.736901,0.905806
46,0.827288,0.929261
47,0.534901,0.712473
48,0.405798,0.607392
49,0.730244,0.903957
50,0.822607,0.928616
51,0.499462,0.690148
52,0.488595,0.670114
53,0.7412,0.906669
54,0.826603,0.92886
55,0.517454,0.70205
56,0.507261,0.685419
57,0.746747,0.908295
58,0.826838,0.929188
59,0.529804,0.711424
60,0.517937,0.693745
61,0.750836,0.909875
62,0.825354,0.928637
63,0.53462,0.714002
64,0.515715,0.692583
65,0.751427,0.90971
66,0.824725,0.928378
67,0.535031,0.714757
68,0.511448,0.691717
69,0.73267,0.90504
70,0.826019,0.929348
71,0.529813,0.710446
72,0.39794,0.600462
73,0.724428,0.902352
74,0.821795,0.928162
75,0.493189,0.684871
76,0.480591,0.663627
77,0.736574,0.905228
78,0.823947,0.928324
79,0.515533,0.700119
80,0.493845,0.674376
81,0.742092,0.906791
82,0.823912,0.928233
83,0.519204,0.703717
84,0.506375,0.684715
85,0.746559,0.908551
86,0.826229,0.92883
87,0.530978,0.711539
88,0.498993,0.681653
89,0.743314,0.908386
90,0.826123,0.928917
91,0.521769,0.705799
92,0.461439,0.656582
93,0.72879,0.903847
94,0.826026,0.929588
95,0.509533,0.696499
96,0.394755,0.597622
97,0.723575,0.902367
98,0.821837,0.928585
99,0.486875,0.679776
100,0.475896,0.660473
101,0.738868,0.906263
102,0.823702,0.928517
103,0.5112,0.697214
104,0.494723,0.675137
105,0.744462,0.908021
106,0.824567,0.92864
107,0.514309,0.700382
108,0.502147,0.681749
109,0.749562,0.909785
110,0.825905,0.928813
111,0.52477,0.707493
112,0.509653,0.687877
113,0.750634,0.910081
114,0.825378,0.928796
115,0.526796,0.709118
116,0.47217,0.664734
117,0.73299,0.905067
118,0.828883,0.930901
119,0.50993,0.697805
120,0.394077,0.597187
121,0.725409,0.902902
122,0.824709,0.929529
123,0.485455,0.679849
124,0.474634,0.659621
125,0.740855,0.906972
126,0.825645,0.929864
127,0.509059,0.696294
128,0.498454,0.678273
129,0.746846,0.908867
130,0.826339,0.92987
131,0.519523,0.705225
132,0.50721,0.686196
133,0.752252,0.910746
134,0.828145,0.930333
135,0.527689,0.710638
136,0.508976,0.688223
137,0.751774,0.911164
138,0.827355,0.930184
139,0.529372,0.711475
140,0.476411,0.668571
141,0.736697,0.906546
142,0.828195,0.931306
143,0.510676,0.697873
144,0.397475,0.60051
145,0.727387,0.903951
146,0.823334,0.929684
147,0.488236,0.681047
148,0.478184,0.662619
149,0.739734,0.907255
150,0.824894,0.929844
151,0.512322,0.698835
152,0.496232,0.677142
153,0.746691,0.909228
154,0.826502,0.929975
155,0.518371,0.704149
156,0.50671,0.686047
157,0.75238,0.911243
158,0.827524,0.930621
159,0.527201,0.710064
160,0.507126,0.687097
161,0.753577,0.911679
162,0.827725,0.930606
163,0.525664,0.708855
164,0.465926,0.66141
165,0.73939,0.907414
166,0.829726,0.93236
167,0.507089,0.695961
168,0.398671,0.601561
169,0.729436,0.905238
170,0.826047,0.931509
171,0.485452,0.680162
172,0.475463,0.66101
173,0.742872,0.908673
174,0.827357,0.931592
175,0.511195,0.698903
176,0.49959,0.680051
177,0.750432,0.911197
178,0.829247,0.931787
179,0.522187,0.707288
180,0.510159,0.688795
181,0.754824,0.912766
182,0.83154,0.932203
183,0.529519,0.711552
