Frame, eSSIM, SSIM
0,0.697184,0.822941
1,0.81945,0.929597
2,0.863724,0.938163
3,0.743266,0.844764
4,0.76253,0.857231
5,0.857923,0.938541
6,0.871426,0.940472
7,0.773119,0.861619
8,0.783205,0.869243
9,0.86563,0.941247
10,0.874589,0.941355
11,0.785403,0.868446
12,0.798529,0.878506
13,0.8724,0.943109
14,0.874798,0.941875
15,0.79606,0.874328
16,0.807674,0.883423
17,0.874246,0.943882
18,0.877181,0.942605
19,0.805348,0.879434
20,0.813809,0.887103
21,0.83116,0.937301
22,0.871062,0.941793
23,0.805516,0.879862
24,0.726144,0.844583
25,0.826589,0.934615
26,0.872213,0.942025
27,0.770551,0.861735
28,0.779027,0.868189
29,0.868073,0.942626
30,0.879779,0.943842
31,0.795619,0.87551
32,0.808501,0.884751
33,0.878243,0.945467
34,0.882107,0.944551
35,0.810399,0.883619
36,0.810102,0.8854
37,0.879604,0.945998
38,0.882192,0.944768
39,0.806356,0.881393
40,0.820353,0.891483
41,0.884783,0.947523
42,0.884536,0.945684
43,0.815571,0.886606
44,0.816282,0.888513
45,0.848781,0.94032
46,0.873614,0.94279
47,0.801099,0.878657
48,0.707567,0.831178
49,0.816746,0.930434
50,0.864459,0.939848
51,0.749092,0.848504
52,0.75086,0.850252
53,0.846779,0.936393
54,0.872201,0.941265
55,0.762428,0.855334
56,0.767607,0.859966
57,0.857321,0.939171
58,0.874859,0.942172
59,0.775379,0.862945
60,0.788557,0.87176
61,0.866274,0.941898
62,0.875648,0.942615
63,0.78543,0.867763
64,0.792865,0.874354
65,0.871729,0.943273
66,0.877091,0.943172
67,0.79618,0.874342
68,0.798539,0.877163
69,0.841349,0.937178
70,0.867489,0.941883
71,0.790925,0.872005
72,0.696528,0.823667
73,0.811758,0.928632
74,0.86435,0.93902
75,0.748727,0.847432
76,0.745202,0.846003
77,0.850384,0.937042
78,0.871733,0.941113
79,0.763973,0.856185
80,0.763874,0.856979
81,0.857124,0.938858
82,0.87233,0.941304
83,0.774567,0.862322
84,0.771254,0.861205
85,0.864912,0.941378
86,0.877078,0.943114
87,0.783942,0.867502
88,0.782922,0.868142
89,0.866658,0.942025
90,0.873696,0.942239
91,0.778481,0.864674
92,0.732768,0.844747
93,0.842074,0.937584
94,0.87446,0.94361
95,0.742371,0.850761
96,0.71512,0.835786
97,0.819418,0.931709
98,0.870011,0.941317
99,0.757798,0.852799
100,0.746544,0.846642
101,0.854636,0.938947
102,0.874645,0.942577
103,0.764086,0.856596
104,0.769314,0.860535
105,0.863538,0.940914
106,0.87554,0.942859
107,0.774433,0.86318
108,0.774042,0.863284
109,0.870331,0.943157
110,0.877616,0.943797
111,0.781926,0.866688
112,0.788819,0.87192
113,0.873865,0.94427
114,0.877132,0.943893
115,0.787059,0.870356
116,0.762666,0.85984
117,0.857957,0.941856
118,0.877746,0.945531
119,0.767836,0.862864
120,0.724913,0.839179
121,0.834435,0.935504
122,0.872782,0.942565
123,0.755636,0.851531
124,0.750116,0.84823
125,0.863395,0.941355
126,0.876641,0.944013
127,0.76365,0.856203
128,0.772408,0.862118
129,0.870635,0.94347
130,0.876425,0.94411
131,0.778604,0.866064
132,0.780042,0.867177
133,0.877381,0.945825
134,0.879894,0.945445
135,0.786614,0.87004
136,0.792433,0.874806
137,0.88152,0.947176
138,0.879734,0.945322
139,0.790192,0.87266
140,0.768843,0.864268
141,0.859528,0.942927
142,0.879468,0.946221
143,0.774607,0.866866
144,0.719717,0.837585
145,0.82655,0.933878
146,0.872436,0.942569
147,0.760278,0.854807
148,0.749888,0.84846
149,0.857842,0.940178
150,0.877648,0.944272
151,0.767944,0.859618
152,0.7731,0.862645
153,0.866574,0.942235
154,0.878732,0.944266
155,0.780552,0.867118
156,0.779662,0.866356
157,0.872768,0.944237
158,0.880932,0.945677
159,0.785707,0.869356
