Frame, eSSIM, SSIM
0,0.819603,0.907493
1,0.841981,0.942932
2,0.917947,0.967794
3,0.86374,0.932315
4,0.817424,0.906736
5,0.842338,0.942737
6,0.919647,0.968055
7,0.861893,0.932121
8,0.81864,0.906981
9,0.840146,0.942376
10,0.91693,0.967505
11,0.863243,0.932425
12,0.817882,0.906705
13,0.841604,0.942746
14,0.918769,0.96791
15,0.8614,0.932043
16,0.815758,0.906075
17,0.851863,0.944436
18,0.918044,0.967967
19,0.870844,0.934413
20,0.829526,0.910967
21,0.857658,0.946208
22,0.920368,0.96816
23,0.879668,0.937959
24,0.849078,0.918551
25,0.866638,0.948441
26,0.919705,0.968322
27,0.883511,0.93888
28,0.864443,0.924021
29,0.886452,0.953076
30,0.923682,0.969183
31,0.889029,0.940859
32,0.868732,0.925875
33,0.898328,0.956106
34,0.925416,0.969897
35,0.897794,0.944042
36,0.88214,0.931243
37,0.901327,0.956845
38,0.927337,0.97002
39,0.901819,0.945575
40,0.884373,0.931935
41,0.904198,0.957991
42,0.926572,0.97013
43,0.903305,0.946554
44,0.8926,0.935569
45,0.907554,0.958717
46,0.930832,0.971223
47,0.906665,0.947776
48,0.896635,0.936848
49,0.913904,0.960206
50,0.931316,0.971394
51,0.908596,0.948559
52,0.901617,0.93871
53,0.921581,0.961703
54,0.93274,0.971812
55,0.909129,0.949169
56,0.903948,0.939595
57,0.923089,0.962349
58,0.933711,0.97216
59,0.913469,0.950652
60,0.904822,0.940156
61,0.926218,0.963154
62,0.935734,0.972336
63,0.912935,0.950883
64,0.910784,0.942689
65,0.925916,0.963086
66,0.934319,0.972196
67,0.915797,0.951712
68,0.907677,0.941632
69,0.929647,0.964014
70,0.93686,0.972528
71,0.912505,0.950823
72,0.911832,0.943386
73,0.927648,0.963578
74,0.935669,0.972576
75,0.918033,0.952524
76,0.909256,0.942295
77,0.930003,0.964297
78,0.938601,0.972979
79,0.914697,0.951958
80,0.913141,0.944023
81,0.927156,0.963674
82,0.935377,0.972639
83,0.91877,0.952823
84,0.914858,0.944537
85,0.93162,0.964695
86,0.939179,0.973114
87,0.918087,0.953108
88,0.914604,0.944487
89,0.931653,0.964867
90,0.936255,0.973005
91,0.919268,0.953122
92,0.915705,0.945079
93,0.932558,0.964819
94,0.938936,0.973005
95,0.918924,0.953475
96,0.915913,0.945024
97,0.933461,0.965249
98,0.936456,0.972968
99,0.919728,0.953368
100,0.918314,0.946029
101,0.932116,0.96499
102,0.939789,0.973311
103,0.920086,0.954032
104,0.91493,0.944828
105,0.934291,0.965567
106,0.937286,0.973088
107,0.91931,0.953428
108,0.918979,0.946404
109,0.932822,0.964981
110,0.940313,0.973534
111,0.921335,0.954479
