Frame, eSSIM, SSIM
0,0.89947,0.938547
1,0.910752,0.960081
2,0.933392,0.972978
3,0.908499,0.949393
4,0.890187,0.935265
5,0.914302,0.960595
6,0.936191,0.973179
7,0.903602,0.948466
8,0.896453,0.93695
9,0.909297,0.959453
10,0.932358,0.972626
11,0.908444,0.949525
12,0.890259,0.935076
13,0.913726,0.960583
14,0.935487,0.973063
15,0.904345,0.94857
16,0.89452,0.936439
17,0.915278,0.961213
18,0.933256,0.973135
19,0.915012,0.952061
20,0.899258,0.939338
21,0.924679,0.963521
22,0.936251,0.973477
23,0.915603,0.953545
24,0.918065,0.946739
25,0.927637,0.964632
26,0.936128,0.973844
27,0.923269,0.955754
28,0.920236,0.948458
29,0.941746,0.968656
30,0.944064,0.975504
31,0.922791,0.956437
32,0.929502,0.952328
33,0.947865,0.970519
34,0.944259,0.976056
35,0.931079,0.959305
36,0.935629,0.955188
37,0.948383,0.970926
38,0.946588,0.976296
39,0.938546,0.962562
40,0.937169,0.956188
41,0.953735,0.972674
42,0.950108,0.977145
43,0.936707,0.962024
44,0.942432,0.959015
45,0.951397,0.971758
46,0.947752,0.976801
47,0.941952,0.964452
48,0.943269,0.959211
49,0.955176,0.972905
50,0.95197,0.977487
51,0.942319,0.964949
52,0.944156,0.959903
53,0.956655,0.973506
54,0.950966,0.977515
55,0.94196,0.964372
56,0.946177,0.961125
57,0.955971,0.973524
58,0.952282,0.977676
59,0.943428,0.9652
60,0.944682,0.960425
61,0.958365,0.974221
62,0.953459,0.978227
63,0.942869,0.965145
64,0.94749,0.961996
65,0.957045,0.973835
66,0.952767,0.97764
67,0.946091,0.966501
68,0.941839,0.959948
69,0.959317,0.974625
70,0.955561,0.978273
71,0.939302,0.964508
72,0.949904,0.963438
73,0.955357,0.973747
74,0.950951,0.978122
75,0.946461,0.966518
76,0.943309,0.960318
77,0.960017,0.975034
78,0.956341,0.978715
79,0.94137,0.965414
80,0.949449,0.963141
81,0.955255,0.973737
82,0.95193,0.978153
83,0.948336,0.967476
84,0.949431,0.963097
85,0.959996,0.974968
86,0.957139,0.97878
87,0.948457,0.967831
88,0.949291,0.963007
89,0.960204,0.975086
90,0.956407,0.978755
91,0.947242,0.966936
92,0.950734,0.963907
93,0.960389,0.975033
94,0.956534,0.978598
95,0.947328,0.967252
96,0.949745,0.963328
97,0.961379,0.975655
98,0.957208,0.979065
99,0.947146,0.966891
100,0.950843,0.964023
101,0.960161,0.975113
102,0.957572,0.97878
103,0.948907,0.968187
104,0.945813,0.961753
105,0.961375,0.975531
