Frame, eSSIM, SSIM
0,0.814982,0.872748
1,0.826074,0.900138
2,0.866434,0.927153
3,0.848056,0.901084
4,0.808495,0.86938
5,0.834955,0.903259
6,0.867529,0.927641
7,0.838683,0.896279
8,0.810885,0.871023
9,0.81696,0.898317
10,0.864773,0.92673
11,0.839436,0.89677
12,0.799156,0.864402
13,0.825221,0.89923
14,0.866459,0.927105
15,0.830559,0.893219
16,0.796423,0.863074
17,0.820068,0.897455
18,0.866112,0.927337
19,0.837785,0.897373
20,0.79902,0.865206
21,0.832295,0.901458
22,0.865876,0.927183
23,0.842698,0.899372
24,0.821693,0.876193
25,0.830583,0.902516
26,0.869377,0.929377
27,0.850192,0.902494
28,0.823128,0.876865
29,0.839695,0.90742
30,0.871815,0.930426
31,0.849766,0.902792
32,0.830944,0.881962
33,0.843861,0.908207
34,0.871777,0.930442
35,0.854535,0.906951
36,0.828635,0.882487
37,0.848242,0.911718
38,0.872594,0.930795
39,0.857428,0.907309
40,0.844201,0.892145
41,0.849551,0.912447
42,0.87265,0.93117
43,0.86002,0.909351
44,0.843643,0.891334
45,0.860276,0.917944
46,0.87577,0.93235
47,0.859953,0.909709
48,0.849465,0.89678
49,0.858001,0.917139
50,0.877127,0.932886
51,0.866739,0.914639
52,0.841539,0.89579
53,0.86257,0.92113
54,0.877675,0.933485
55,0.867465,0.914205
56,0.853426,0.904081
57,0.857544,0.919945
58,0.878595,0.933915
59,0.870996,0.916749
60,0.854116,0.901371
61,0.864072,0.923964
62,0.882058,0.936225
63,0.870679,0.917063
64,0.859642,0.9066
65,0.865565,0.92436
66,0.881427,0.935922
67,0.877726,0.921059
68,0.864672,0.908751
69,0.869095,0.926436
70,0.882386,0.936645
71,0.873637,0.920908
72,0.865039,0.909289
73,0.872509,0.927658
74,0.883016,0.936263
75,0.876575,0.921338
76,0.866513,0.913586
77,0.871303,0.926918
78,0.88542,0.937744
79,0.878515,0.922717
80,0.861748,0.910525
81,0.874722,0.930356
82,0.886313,0.9383
83,0.878824,0.922276
84,0.869908,0.914711
85,0.876583,0.928913
86,0.888609,0.939181
87,0.883961,0.925578
88,0.865367,0.912773
89,0.879598,0.932781
90,0.88861,0.939116
91,0.878379,0.923875
92,0.875696,0.91848
93,0.878782,0.930553
94,0.888903,0.939307
95,0.884204,0.927055
96,0.875021,0.915337
97,0.884336,0.933828
98,0.889872,0.939613
99,0.881142,0.925384
100,0.882055,0.922298
101,0.885985,0.932037
102,0.89002,0.940262
103,0.887933,0.927848
104,0.875334,0.917709
105,0.887619,0.93617
106,0.890577,0.940489
107,0.884616,0.926539
108,0.883174,0.923163
109,0.884165,0.932843
110,0.890704,0.940719
111,0.887308,0.930014
112,0.87757,0.918762
113,0.8861,0.936099
114,0.89141,0.940898
115,0.885277,0.927814
116,0.882567,0.925797
117,0.879039,0.933523
118,0.890841,0.94102
119,0.888101,0.930124
120,0.873563,0.920168
121,0.882412,0.937467
122,0.892558,0.942013
123,0.88581,0.928667
124,0.878176,0.924935
125,0.874836,0.934373
126,0.891758,0.941822
127,0.887342,0.931907
128,0.875448,0.921378
129,0.882393,0.937101
130,0.893193,0.942067
131,0.886385,0.929823
132,0.879586,0.927684
133,0.881974,0.934978
134,0.892336,0.941583
135,0.89335,0.932286
136,0.876762,0.922854
137,0.882015,0.938198
138,0.894254,0.942614
139,0.890941,0.930985
140,0.879434,0.927915
141,0.87564,0.935351
142,0.894166,0.942801
143,0.894639,0.934616
144,0.878958,0.923752
145,0.883141,0.938565
146,0.895465,0.943026
147,0.893528,0.932781
148,0.881306,0.930463
149,0.88174,0.93625
150,0.895826,0.943495
151,0.896112,0.935047
152,0.878445,0.925602
153,0.887107,0.940589
154,0.897728,0.944357
155,0.895168,0.933642
156,0.886746,0.930989
157,0.886433,0.937822
158,0.897935,0.943885
159,0.896795,0.93717
160,0.8877,0.927175
161,0.892296,0.940663
162,0.898937,0.944116
163,0.893789,0.934542
164,0.889031,0.933852
165,0.890866,0.938717
166,0.899559,0.944682
167,0.899037,0.937293
168,0.886087,0.928194
169,0.894578,0.942436
170,0.901814,0.945722
171,0.898187,0.935082
172,0.894383,0.932976
173,0.885405,0.938884
174,0.900195,0.945202
175,0.900679,0.938168
176,0.886723,0.928341
177,0.89145,0.94189
178,0.9012,0.945493
179,0.896917,0.935434
180,0.891723,0.934866
181,0.886454,0.939192
182,0.899414,0.945072
183,0.897724,0.937945
184,0.882152,0.928881
185,0.892374,0.942911
186,0.901574,0.946233
187,0.896541,0.93588
188,0.883626,0.933479
