Frame, eSSIM, SSIM
0,0.862108,0.904073
1,0.865626,0.921517
2,0.862259,0.927344
3,0.867017,0.91562
4,0.871475,0.910328
5,0.870084,0.924093
6,0.86481,0.92792
7,0.869953,0.918096
8,0.881767,0.917086
9,0.874902,0.927022
10,0.866493,0.92876
11,0.875329,0.921629
12,0.886921,0.920687
13,0.875804,0.927674
14,0.869422,0.92993
15,0.877454,0.922934
16,0.889153,0.922302
17,0.877579,0.928822
18,0.873554,0.932099
19,0.880844,0.924399
20,0.888305,0.92214
21,0.878985,0.929642
22,0.873886,0.933166
23,0.885893,0.928201
24,0.881293,0.916133
25,0.877292,0.928197
26,0.873217,0.932429
27,0.879409,0.922575
28,0.884564,0.918761
29,0.880722,0.929667
30,0.875015,0.932368
31,0.881115,0.924352
32,0.893795,0.924821
33,0.883823,0.931974
34,0.87679,0.933312
35,0.88626,0.927567
36,0.896423,0.927132
37,0.88546,0.932712
38,0.878687,0.933938
39,0.887065,0.928319
40,0.899014,0.928514
41,0.886261,0.933355
42,0.880617,0.935045
43,0.8893,0.929158
44,0.89676,0.927852
45,0.881545,0.931214
46,0.874757,0.933698
47,0.8911,0.930758
48,0.880051,0.915619
49,0.877125,0.928083
50,0.871805,0.931933
51,0.877576,0.922009
52,0.883852,0.918215
53,0.880311,0.929579
54,0.873408,0.931989
55,0.87953,0.923674
56,0.892972,0.924016
57,0.884252,0.932133
58,0.875309,0.932942
59,0.883782,0.926667
60,0.896513,0.926964
61,0.884475,0.932315
62,0.877316,0.933877
63,0.885121,0.927474
64,0.897432,0.927753
65,0.88657,0.933375
66,0.880606,0.935194
67,0.887737,0.928684
68,0.896522,0.927402
69,0.881251,0.930845
70,0.874486,0.933648
71,0.890663,0.930573
72,0.880163,0.915291
73,0.87816,0.928232
74,0.872635,0.9321
75,0.877633,0.921692
76,0.884413,0.918099
77,0.880898,0.929556
78,0.874139,0.932158
79,0.878999,0.923432
80,0.892518,0.923798
81,0.884109,0.931873
82,0.876102,0.933105
83,0.884124,0.926482
84,0.896665,0.926759
85,0.885867,0.932363
86,0.878516,0.933956
87,0.884884,0.92727
88,0.896918,0.927043
89,0.886987,0.933271
90,0.880503,0.934821
91,0.887638,0.928428
92,0.896583,0.927229
93,0.883545,0.931811
94,0.874956,0.933851
95,0.889197,0.929956
96,0.880393,0.915731
97,0.878263,0.928673
98,0.873413,0.932341
99,0.877479,0.921795
100,0.88447,0.918384
101,0.881607,0.930015
102,0.874369,0.932283
103,0.879301,0.923648
104,0.893593,0.924547
105,0.885482,0.932832
106,0.875962,0.932778
107,0.884293,0.926806
108,0.89728,0.927334
109,0.885477,0.932531
110,0.87763,0.933886
111,0.884777,0.927261
112,0.89799,0.92798
113,0.887319,0.933706
114,0.881001,0.935263
115,0.887604,0.928622
116,0.896989,0.927823
117,0.881765,0.931123
118,0.875046,0.933895
119,0.890432,0.930442
120,0.880468,0.915815
121,0.878328,0.928794
122,0.873498,0.932622
123,0.878397,0.922278
124,0.884939,0.918674
125,0.880093,0.929691
126,0.875098,0.932712
127,0.880415,0.924115
128,0.892574,0.924281
129,0.884664,0.932634
130,0.876592,0.933473
131,0.884851,0.927021
132,0.895972,0.927043
133,0.88498,0.932516
134,0.878797,0.934509
135,0.885858,0.927774
136,0.89776,0.927961
137,0.88773,0.933816
138,0.881118,0.935311
139,0.888054,0.929014
140,0.89603,0.927673
141,0.881944,0.93108
142,0.875628,0.934009
143,0.891171,0.93103
144,0.882122,0.916962
145,0.879766,0.929358
146,0.874596,0.933052
147,0.879141,0.922844
148,0.884689,0.919292
149,0.881426,0.930104
150,0.875886,0.933253
151,0.880679,0.924388
152,0.893764,0.925032
153,0.8854,0.933046
154,0.877439,0.933724
155,0.885149,0.927525
156,0.897042,0.927567
157,0.88583,0.932717
158,0.879158,0.934261
159,0.886309,0.928096
160,0.898708,0.928782
161,0.887886,0.934087
162,0.882006,0.935275
163,0.888795,0.929644
164,0.897321,0.928782
165,0.883227,0.931806
166,0.877065,0.934642
167,0.891735,0.931189
168,0.882169,0.91704
169,0.879557,0.9293
170,0.875018,0.93329
171,0.879297,0.923134
172,0.88528,0.919634
173,0.881919,0.930559
174,0.87548,0.933034
175,0.880235,0.924463
176,0.893434,0.925195
177,0.886041,0.933233
178,0.876754,0.933515
179,0.885111,0.927427
180,0.897815,0.927974
181,0.886422,0.933201
182,0.878885,0.934564
183,0.886866,0.928482
184,0.899876,0.92949
185,0.888013,0.934506
186,0.882656,0.935996
187,0.888605,0.929661
188,0.898605,0.929188
189,0.88554,0.933224
190,0.878138,0.935153
191,0.892923,0.931966
192,0.882999,0.918271
193,0.88091,0.930138
194,0.875571,0.933636
195,0.880214,0.924184
196,0.887713,0.921517
197,0.884337,0.931422
198,0.876007,0.933074
199,0.87989,0.924477
200,0.89512,0.926277
201,0.887143,0.933637
202,0.877263,0.933742
203,0.885032,0.927801
204,0.898191,0.928507
205,0.887853,0.933782
206,0.879296,0.93441
207,0.885777,0.928092
208,0.901376,0.93051
209,0.890389,0.935183
210,0.882351,0.935891
211,0.890519,0.93034
212,0.900986,0.930366
213,0.88113,0.931099
214,0.874817,0.933645
215,0.891881,0.931671
216,0.879067,0.915714
217,0.878938,0.928572
218,0.873001,0.932219
219,0.877057,0.922136
220,0.884699,0.919088
221,0.880886,0.929472
222,0.873971,0.932438
223,0.878671,0.923787
224,0.891763,0.924193
225,0.885071,0.93231
226,0.876233,0.933203
227,0.88391,0.927051
228,0.896562,0.927401
229,0.885902,0.932566
230,0.878298,0.933934
231,0.884908,0.927647
232,0.897818,0.928374
233,0.887855,0.933654
234,0.881351,0.935183
235,0.887567,0.929124
236,0.896858,0.928013
237,0.884566,0.9326
238,0.876196,0.934603
239,0.890162,0.930879
240,0.883698,0.918268
241,0.881052,0.930271
242,0.874032,0.933088
243,0.878139,0.92325
244,0.887055,0.921072
245,0.883021,0.931117
246,0.87512,0.933183
247,0.879397,0.924733
248,0.895157,0.926289
249,0.886904,0.933659
250,0.876773,0.93366
251,0.885061,0.927954
252,0.898048,0.928393
253,0.888046,0.933671
254,0.878446,0.934479
255,0.886276,0.928735
256,0.900454,0.930003
257,0.888335,0.934704
258,0.882193,0.935676
259,0.889576,0.930487
260,0.898939,0.93015
261,0.886392,0.933113
262,0.876052,0.934701
263,0.892756,0.93219
264,0.884302,0.918934
265,0.881368,0.930668
