Frame, eSSIM, SSIM
0,0.566266,0.813729
1,0.822095,0.964473
2,0.842704,0.959115
3,0.569684,0.808904
4,0.56567,0.813713
5,0.828581,0.965688
6,0.851294,0.96011
7,0.569268,0.810355
8,0.62158,0.845655
9,0.860759,0.971482
10,0.867005,0.965007
11,0.625218,0.838863
12,0.623342,0.844686
13,0.871867,0.972394
14,0.878684,0.965283
15,0.636869,0.843938
16,0.644528,0.84766
17,0.883609,0.973221
18,0.880918,0.965769
19,0.654566,0.849597
20,0.658833,0.859152
21,0.889928,0.974204
22,0.889775,0.96712
23,0.664293,0.854932
24,0.670067,0.867522
25,0.902283,0.975916
26,0.895738,0.968216
27,0.686497,0.867762
28,0.680494,0.871655
29,0.906601,0.976997
30,0.899642,0.969785
31,0.7204,0.883759
32,0.722814,0.889086
33,0.907337,0.976608
34,0.905563,0.970719
35,0.716711,0.883493
36,0.715549,0.88812
37,0.907967,0.97717
38,0.906071,0.971618
39,0.733309,0.887484
40,0.741002,0.896702
41,0.906492,0.97759
42,0.908424,0.972668
43,0.735908,0.889246
44,0.737272,0.894286
45,0.911012,0.978043
46,0.913003,0.973731
47,0.734285,0.890237
48,0.736459,0.894013
49,0.912113,0.978238
50,0.910789,0.973498
51,0.729759,0.889931
52,0.729465,0.893849
53,0.912946,0.978649
54,0.910906,0.973635
55,0.737848,0.891359
56,0.7255,0.887824
57,0.911671,0.978877
58,0.908058,0.974065
59,0.735334,0.889142
60,0.740986,0.89539
61,0.917483,0.979259
62,0.909832,0.973532
63,0.762586,0.899688
64,0.759639,0.902502
65,0.917672,0.978236
66,0.910653,0.973339
67,0.755939,0.898796
68,0.756052,0.903948
69,0.917271,0.978873
70,0.908807,0.97328
71,0.762567,0.900231
72,0.747682,0.90181
73,0.913994,0.978953
74,0.910152,0.973736
75,0.758107,0.899607
76,0.757218,0.903798
77,0.91361,0.978682
78,0.905612,0.973568
79,0.743648,0.895989
80,0.756054,0.903611
81,0.91295,0.977576
82,0.905876,0.972882
83,0.756495,0.900306
84,0.758894,0.906233
85,0.910064,0.977455
86,0.903048,0.972017
87,0.758023,0.899035
88,0.755688,0.904285
89,0.91209,0.978066
90,0.903257,0.972384
91,0.743316,0.894498
92,0.746307,0.900658
93,0.909375,0.978373
94,0.897102,0.971812
95,0.753407,0.898866
96,0.736561,0.890923
97,0.901973,0.977116
98,0.891738,0.970915
99,0.743764,0.891875
100,0.745025,0.89795
101,0.902701,0.977038
102,0.889131,0.97011
103,0.748177,0.892451
104,0.751576,0.901541
105,0.908191,0.977554
106,0.900058,0.971248
107,0.739093,0.889557
108,0.742186,0.896743
109,0.902351,0.977397
110,0.901446,0.97204
111,0.739883,0.892631
112,0.744774,0.897825
113,0.903262,0.977193
114,0.899124,0.971375
115,0.737182,0.889846
116,0.740501,0.89633
117,0.899663,0.976935
118,0.893441,0.970832
119,0.735199,0.886478
120,0.731861,0.892657
121,0.901157,0.977333
122,0.89316,0.97127
123,0.728621,0.884587
124,0.732411,0.890749
125,0.892213,0.976496
126,0.890864,0.970792
127,0.72823,0.884939
128,0.723116,0.886252
129,0.886052,0.9754
130,0.887293,0.970462
131,0.726585,0.884149
132,0.727916,0.889487
133,0.880165,0.974896
134,0.881938,0.969531
135,0.728762,0.883806
136,0.719727,0.88004
137,0.883503,0.974758
138,0.878292,0.9689
139,0.720382,0.87715
140,0.725011,0.884108
141,0.871991,0.973641
142,0.87161,0.968422
143,0.721011,0.87867
144,0.710386,0.877599
145,0.871255,0.972788
146,0.871679,0.96838
147,0.718444,0.877707
148,0.717701,0.881859
149,0.866337,0.971616
150,0.880582,0.967988
151,0.722584,0.877845
152,0.71709,0.880295
153,0.866571,0.97153
154,0.892554,0.969174
155,0.714982,0.873724
156,0.7116,0.877062
157,0.857785,0.970016
158,0.890518,0.968279
159,0.705917,0.871292
160,0.689782,0.865585
161,0.851104,0.968197
162,0.883424,0.966942
163,0.702193,0.868598
164,0.696384,0.870288
165,0.845865,0.967254
166,0.889178,0.968104
167,0.700232,0.869794
168,0.692219,0.87021
169,0.840123,0.967149
170,0.895052,0.969193
171,0.705824,0.872926
172,0.697429,0.871378
173,0.836411,0.966841
174,0.907752,0.971248
175,0.720825,0.881332
176,0.685085,0.862285
177,0.833674,0.967295
178,0.906935,0.971507
179,0.716731,0.876186
180,0.709882,0.876469
181,0.87728,0.973167
182,0.907748,0.972003
183,0.714319,0.875136
184,0.706879,0.878966
185,0.898861,0.976647
186,0.90847,0.973034
187,0.718133,0.87908
188,0.719209,0.884
189,0.901217,0.977997
190,0.914853,0.974252
191,0.707267,0.878516
192,0.708458,0.880842
193,0.903064,0.977602
194,0.91362,0.973495
195,0.70807,0.877203
196,0.707651,0.881513
197,0.891478,0.976676
198,0.912403,0.973554
199,0.703953,0.874733
