Frame, eSSIM, SSIM
0,0.852068,0.942325
1,0.939895,0.984461
2,0.946992,0.982004
3,0.85309,0.940033
4,0.834661,0.93615
5,0.932469,0.984238
6,0.948902,0.982305
7,0.797453,0.923701
8,0.772156,0.917529
9,0.944119,0.985035
10,0.949718,0.982153
11,0.760936,0.908092
12,0.765854,0.913286
13,0.941672,0.984047
14,0.944355,0.980618
15,0.771579,0.91151
16,0.772239,0.909157
17,0.944229,0.98306
18,0.938526,0.979078
19,0.806791,0.920113
20,0.815886,0.927579
21,0.95131,0.983902
22,0.945501,0.980753
23,0.833742,0.931496
24,0.83156,0.935544
25,0.953898,0.984763
26,0.948184,0.981536
27,0.845619,0.936484
28,0.857503,0.943661
29,0.956124,0.985116
30,0.95423,0.982818
31,0.864093,0.94444
32,0.861111,0.944186
33,0.958271,0.985194
34,0.95203,0.982763
35,0.862349,0.944572
36,0.873047,0.950693
37,0.960593,0.985327
38,0.95456,0.983428
39,0.875502,0.947733
40,0.865588,0.947002
41,0.958598,0.985741
42,0.956095,0.984004
43,0.863773,0.943943
44,0.873413,0.948589
45,0.959483,0.985733
46,0.955556,0.984324
47,0.880682,0.95128
48,0.869565,0.947915
49,0.959915,0.985795
50,0.956902,0.984625
51,0.873406,0.949594
52,0.883104,0.954352
53,0.963183,0.986181
54,0.958656,0.984926
55,0.881396,0.952047
56,0.882986,0.951945
57,0.958449,0.986214
58,0.953339,0.98454
59,0.887869,0.95262
60,0.87958,0.95079
61,0.9609,0.986444
62,0.955088,0.984638
63,0.882307,0.952107
64,0.895453,0.956387
65,0.959694,0.985576
66,0.952733,0.983979
67,0.900773,0.957691
68,0.891823,0.956075
69,0.959549,0.985692
70,0.952134,0.98407
71,0.890736,0.953576
72,0.90097,0.959178
73,0.959267,0.986092
74,0.952934,0.984367
75,0.902245,0.957319
76,0.895281,0.955521
77,0.958882,0.985736
78,0.953326,0.984295
79,0.896296,0.955458
80,0.906727,0.959097
81,0.9606,0.985198
82,0.951483,0.983827
83,0.905797,0.958795
84,0.901251,0.957664
85,0.960863,0.985204
86,0.951883,0.98368
87,0.894531,0.953744
88,0.908731,0.960386
89,0.961924,0.985684
90,0.951377,0.983882
91,0.905047,0.957134
92,0.901051,0.955955
93,0.957931,0.985696
