Frame, eSSIM, SSIM
0,0.599988,0.704695
1,0.727333,0.875835
2,0.888655,0.940283
3,0.643946,0.770108
4,0.59888,0.703722
5,0.726506,0.875282
6,0.888245,0.940138
7,0.644148,0.770415
8,0.598951,0.703704
9,0.726764,0.875441
10,0.888271,0.940034
11,0.644033,0.770189
12,0.599121,0.703547
13,0.726341,0.875458
14,0.88839,0.9401
15,0.644157,0.77028
16,0.599034,0.703771
17,0.730407,0.877129
18,0.89017,0.940961
19,0.659171,0.779205
20,0.621482,0.721798
21,0.735722,0.880114
22,0.891199,0.941263
23,0.684119,0.797034
24,0.637087,0.735186
25,0.749896,0.886895
26,0.898238,0.944245
27,0.692085,0.802157
28,0.661242,0.754661
29,0.76527,0.893254
30,0.898552,0.94449
31,0.711068,0.815358
32,0.673596,0.765488
33,0.781331,0.900119
34,0.903899,0.946639
35,0.718711,0.820482
36,0.695343,0.781535
37,0.789437,0.903235
38,0.90441,0.946889
39,0.738641,0.831885
40,0.705164,0.788914
41,0.799672,0.907179
42,0.908447,0.948655
43,0.749697,0.838219
44,0.724427,0.802033
45,0.807194,0.910295
46,0.909025,0.948983
47,0.76226,0.84575
48,0.731446,0.807916
49,0.81557,0.91344
50,0.909668,0.949458
51,0.771158,0.850966
52,0.746069,0.818257
53,0.822765,0.916019
54,0.910114,0.949522
55,0.784201,0.858256
56,0.757046,0.826107
57,0.827829,0.917813
58,0.912181,0.950801
59,0.789148,0.862183
60,0.762709,0.830054
61,0.832401,0.92017
62,0.91529,0.951631
63,0.795204,0.865566
64,0.769513,0.835381
65,0.837948,0.922122
66,0.91572,0.952139
67,0.803136,0.870012
68,0.775867,0.839293
69,0.841748,0.923677
70,0.916331,0.952211
71,0.802864,0.870199
72,0.778734,0.841897
73,0.844011,0.924299
74,0.916299,0.952354
75,0.807821,0.872923
76,0.782975,0.844706
77,0.846256,0.925639
78,0.91801,0.953153
79,0.811011,0.875068
80,0.786686,0.847705
81,0.847202,0.92576
82,0.917879,0.953219
83,0.81397,0.876778
84,0.788205,0.848552
85,0.849154,0.926832
86,0.918047,0.953124
87,0.815556,0.877734
88,0.792251,0.851727
89,0.84865,0.926543
90,0.918235,0.953412
91,0.817657,0.879205
92,0.791413,0.850859
93,0.851084,0.92743
94,0.918483,0.953493
95,0.817808,0.879208
96,0.795098,0.853866
97,0.851785,0.927591
98,0.91827,0.953496
99,0.820662,0.880839
100,0.795684,0.853821
101,0.854886,0.92896
102,0.918509,0.953506
103,0.821561,0.881223
104,0.800767,0.85774
105,0.858481,0.930068
106,0.920363,0.954514
107,0.825879,0.884405
108,0.805051,0.860225
109,0.862959,0.932038
110,0.920591,0.95448
111,0.828907,0.886223
112,0.809474,0.864137
113,0.864148,0.932459
114,0.921991,0.955284
115,0.835464,0.890143
116,0.81285,0.866322
117,0.866438,0.933483
118,0.922878,0.955543
119,0.837079,0.891116
120,0.818516,0.870419
121,0.86899,0.934304
122,0.923546,0.956069
123,0.83997,0.893078
124,0.81957,0.87094
125,0.872112,0.93596
126,0.923984,0.956299
127,0.84114,0.893669
128,0.82444,0.874808
129,0.87368,0.936394
130,0.92589,0.957105
131,0.845625,0.896685
132,0.825574,0.875416
133,0.876444,0.937707
134,0.926133,0.95708
135,0.846978,0.897297
136,0.830487,0.878937
137,0.876207,0.937375
138,0.926267,0.957254
139,0.850983,0.899514
140,0.830069,0.878206
141,0.878066,0.938403
142,0.926654,0.957377
143,0.850489,0.899195
144,0.832703,0.880751
145,0.877331,0.937991
146,0.927013,0.957467
147,0.85331,0.90124
148,0.832532,0.880282
149,0.879946,0.939148
150,0.927188,0.957652
151,0.852472,0.900432
152,0.835957,0.88281
153,0.879443,0.938797
154,0.927079,0.957591
155,0.855315,0.9023
156,0.835145,0.881944
157,0.882595,0.940091
158,0.927402,0.957736
159,0.854776,0.901699
160,0.837716,0.884082
161,0.880201,0.939068
162,0.927128,0.957738
163,0.856865,0.902999
164,0.836463,0.882707
165,0.882812,0.940296
166,0.927437,0.957802
167,0.854297,0.90159
168,0.838341,0.884444
169,0.88119,0.939458
170,0.927459,0.957833
171,0.856795,0.903172
172,0.837235,0.883433
173,0.88262,0.940054
174,0.927462,0.957859
175,0.854934,0.902098
176,0.839008,0.88498
177,0.881779,0.939773
178,0.927346,0.957875
179,0.856763,0.903177
180,0.837582,0.883857
181,0.883701,0.940431
182,0.927599,0.957892
183,0.856885,0.90293
184,0.839639,0.885398
185,0.882035,0.939975
186,0.927692,0.957996
187,0.857864,0.903549
188,0.839174,0.885028
189,0.883116,0.940432
190,0.927747,0.95792
191,0.857792,0.903519
192,0.84043,0.885751
193,0.882772,0.940132
194,0.927478,0.957806
195,0.859005,0.904221
196,0.84023,0.885775
197,0.884046,0.940742
198,0.928187,0.958063
199,0.85813,0.904008
200,0.841442,0.886779
201,0.883845,0.940733
202,0.927908,0.95799
203,0.85926,0.904585
204,0.840762,0.886218
205,0.884108,0.940837
206,0.927827,0.957977
207,0.859278,0.904547
208,0.842122,0.887175
209,0.884215,0.940852
210,0.927956,0.957934
211,0.860446,0.905218
212,0.841513,0.886844
213,0.884676,0.940909
214,0.927929,0.958103
215,0.859271,0.904656
216,0.84226,0.887302
217,0.883895,0.940745
218,0.927871,0.957967
219,0.859775,0.904944
220,0.841598,0.887049
221,0.884504,0.940969
222,0.92809,0.958048
223,0.859911,0.905016
224,0.842803,0.8878
225,0.884249,0.941007
226,0.928077,0.957964
227,0.860779,0.905373
228,0.841909,0.887128
229,0.885152,0.941187
230,0.928313,0.958142
231,0.860626,0.905581
232,0.84383,0.888444
233,0.885665,0.94145
234,0.928326,0.958126
235,0.861286,0.905628
236,0.842678,0.887675
237,0.885391,0.941221
238,0.928249,0.95804
239,0.860699,0.905406
240,0.843605,0.888262
241,0.884584,0.941012
242,0.928303,0.958009
243,0.861694,0.906095
244,0.84331,0.888305
245,0.885689,0.941316
246,0.928506,0.958122
247,0.861294,0.905861
248,0.844136,0.888668
249,0.885074,0.941315
250,0.928285,0.958077
251,0.862065,0.906206
252,0.843851,0.888664
253,0.88565,0.941465
254,0.928718,0.958322
255,0.861624,0.906131
256,0.843884,0.888529
257,0.884481,0.941087
258,0.928575,0.958268
259,0.861905,0.906002
260,0.843423,0.88823
261,0.884781,0.941201
262,0.928474,0.958211
263,0.860856,0.905619
264,0.843813,0.888255
265,0.885196,0.941202
266,0.928622,0.958252
267,0.862033,0.906062
268,0.843402,0.888142
269,0.885409,0.94135
270,0.929042,0.958432
271,0.86224,0.906274
272,0.84389,0.888379
273,0.884958,0.941266
274,0.928293,0.958107
275,0.861758,0.905865
276,0.843113,0.887928
277,0.884905,0.941261
278,0.928556,0.958122
279,0.861373,0.905791
280,0.84364,0.88805
281,0.885168,0.941246
282,0.928378,0.958173
283,0.861606,0.905677
284,0.843085,0.887883
285,0.885388,0.941262
286,0.928701,0.958307
287,0.861464,0.905721
288,0.843873,0.888113
289,0.884908,0.941144
290,0.928532,0.958194
291,0.861642,0.905679
292,0.843109,0.887758
293,0.885546,0.941325
294,0.928744,0.958219
295,0.861101,0.905532
296,0.843434,0.887962
297,0.884977,0.941248
298,0.928103,0.958134
299,0.861548,0.905572
300,0.843123,0.887571
301,0.885121,0.941265
302,0.928639,0.958326
303,0.860796,0.905187
304,0.843662,0.88781
305,0.884962,0.941137
306,0.928449,0.958275
307,0.861214,0.905359
308,0.842659,0.887399
309,0.885256,0.941315
310,0.928564,0.958169
311,0.860937,0.905313
312,0.843584,0.887831
313,0.884761,0.941103
314,0.928151,0.958062
315,0.861427,0.905451
316,0.842891,0.887375
317,0.884957,0.941131
318,0.928232,0.958077
319,0.860796,0.905183
320,0.842891,0.887522
321,0.884661,0.941077
322,0.928256,0.958185
323,0.861209,0.905316
324,0.842683,0.88718
325,0.885089,0.94115
326,0.928342,0.958175
327,0.860449,0.904949
328,0.843017,0.887299
329,0.88449,0.940948
330,0.928125,0.958018
331,0.861317,0.905355
332,0.842626,0.887175
333,0.896165,0.94551
334,0.935229,0.96186
335,0.86387,0.907217
336,0.842034,0.88642
337,0.888467,0.944006
338,0.934048,0.961262
339,0.858267,0.903668
340,0.840252,0.884549
341,0.890143,0.944649
342,0.934177,0.961279
343,0.855764,0.902308
344,0.841731,0.886144
345,0.888518,0.943922
346,0.934026,0.961286
347,0.857426,0.903383
348,0.839393,0.883988
349,0.889628,0.944481
350,0.934288,0.961381
351,0.855694,0.902315
352,0.841857,0.88612
353,0.88851,0.943938
354,0.934113,0.961309
355,0.857618,0.903535
356,0.840009,0.884397
357,0.889788,0.944685
358,0.934488,0.96152
359,0.856224,0.90262
360,0.842656,0.88645
361,0.889258,0.944066
362,0.934127,0.96131
363,0.85839,0.903769
364,0.840473,0.884762
365,0.890005,0.944862
366,0.934607,0.961429
367,0.85744,0.903269
368,0.843832,0.887549
369,0.889955,0.944498
370,0.934694,0.961505
371,0.859813,0.904895
372,0.842196,0.885982
373,0.890832,0.945292
374,0.93626,0.962132
375,0.85813,0.904098
376,0.844655,0.888442
377,0.890812,0.945028
378,0.935937,0.962019
379,0.859677,0.90533
380,0.841838,0.886127
381,0.892515,0.945745
382,0.936548,0.962317
383,0.858823,0.904965
384,0.846511,0.889775
385,0.891899,0.945703
386,0.9376,0.962694
387,0.863606,0.907758
388,0.845871,0.88901
389,0.893881,0.946618
390,0.93821,0.962858
391,0.862857,0.907359
392,0.849682,0.892046
393,0.892974,0.946065
394,0.938322,0.963013
395,0.865847,0.909173
396,0.847858,0.890184
397,0.894166,0.946766
398,0.938086,0.962867
399,0.865127,0.908327
400,0.851282,0.893252
401,0.893867,0.946239
402,0.938351,0.963019
403,0.867623,0.910334
404,0.849252,0.891376
405,0.895756,0.947331
406,0.938582,0.96313
407,0.866818,0.909361
408,0.852252,0.893841
409,0.8948,0.946627
410,0.938285,0.963041
411,0.86871,0.910743
412,0.850964,0.892417
413,0.896226,0.947431
414,0.938552,0.963214
415,0.868333,0.910178
416,0.854239,0.895034
417,0.895136,0.94683
418,0.938347,0.963162
419,0.870471,0.911528
420,0.852426,0.893271
421,0.896168,0.947493
422,0.938252,0.963107
423,0.867857,0.910063
424,0.853661,0.89485
425,0.895029,0.946902
426,0.93841,0.963166
427,0.870162,0.911646
428,0.852316,0.893414
429,0.896783,0.947609
430,0.93839,0.963171
431,0.868785,0.910568
432,0.855352,0.895972
433,0.8956,0.946953
434,0.938308,0.96309
435,0.871187,0.912089
436,0.853245,0.894054
437,0.897111,0.947904
438,0.938575,0.963223
439,0.869103,0.910903
440,0.856004,0.896519
441,0.896067,0.947233
442,0.938594,0.963186
443,0.871601,0.912593
444,0.854257,0.894692
445,0.897588,0.948043
446,0.938625,0.963257
447,0.870188,0.911419
448,0.856673,0.897038
449,0.896343,0.947391
450,0.9385,0.963269
451,0.872793,0.913005
452,0.854599,0.895034
453,0.897855,0.948144
454,0.938359,0.963228
455,0.870967,0.911818
456,0.857391,0.897532
457,0.896284,0.947453
458,0.938684,0.963321
459,0.872932,0.913164
460,0.855193,0.895296
461,0.898134,0.948253
462,0.938706,0.963351
463,0.870673,0.911802
464,0.857001,0.897177
465,0.896434,0.947478
466,0.938672,0.963426
467,0.873003,0.913162
