Frame, eSSIM, SSIM
0,0.762239,0.830226
1,0.83685,0.923093
2,0.916628,0.953148
3,0.781921,0.857866
4,0.756029,0.825421
5,0.834512,0.921808
6,0.916126,0.952837
7,0.781008,0.857301
8,0.756754,0.825829
9,0.834149,0.921712
10,0.915988,0.952761
11,0.781776,0.857646
12,0.755951,0.824848
13,0.834507,0.921961
14,0.916162,0.952809
15,0.780904,0.8572
16,0.756531,0.825645
17,0.836374,0.922761
18,0.917963,0.953733
19,0.790605,0.863356
20,0.771744,0.836687
21,0.841498,0.925056
22,0.918292,0.953836
23,0.807973,0.874304
24,0.78528,0.846946
25,0.852271,0.9298
26,0.924057,0.956626
27,0.82156,0.882273
28,0.805468,0.861512
29,0.865715,0.935167
30,0.924546,0.956844
31,0.835089,0.891266
32,0.818383,0.872093
33,0.876913,0.939504
34,0.931132,0.959878
35,0.846784,0.898714
36,0.834208,0.882041
37,0.887162,0.94364
38,0.932434,0.960554
39,0.857613,0.904971
40,0.84529,0.890527
41,0.89243,0.945608
42,0.93549,0.962117
43,0.867616,0.91076
44,0.854997,0.896182
45,0.89853,0.948057
46,0.936001,0.962527
47,0.875908,0.915325
48,0.865989,0.903984
49,0.903612,0.949486
50,0.936181,0.962635
51,0.884088,0.920056
52,0.871071,0.907028
53,0.909156,0.951875
54,0.937042,0.96296
55,0.887886,0.922215
56,0.879184,0.913352
57,0.910978,0.952541
58,0.938781,0.964
59,0.895281,0.926841
60,0.88319,0.914985
61,0.916847,0.954873
62,0.938994,0.963988
63,0.896794,0.927176
64,0.890766,0.920919
65,0.917393,0.955111
66,0.939673,0.964351
67,0.903617,0.931453
68,0.891814,0.920732
69,0.922447,0.957026
70,0.9402,0.96446
71,0.903811,0.931393
72,0.899084,0.92636
73,0.921851,0.956571
74,0.940743,0.964714
75,0.909541,0.934913
76,0.89812,0.925138
77,0.926223,0.958583
78,0.942297,0.965466
79,0.909167,0.93485
80,0.904799,0.930302
81,0.925767,0.958146
82,0.943678,0.966238
83,0.914473,0.938574
84,0.903194,0.928397
85,0.929919,0.960166
86,0.94405,0.966429
87,0.91325,0.937552
88,0.908974,0.933143
89,0.927993,0.959262
90,0.944778,0.966781
91,0.916691,0.939976
92,0.905669,0.930091
93,0.931375,0.960792
94,0.945208,0.967073
95,0.915447,0.939055
96,0.911558,0.93494
97,0.929599,0.959813
98,0.945297,0.967116
99,0.919397,0.941626
100,0.907537,0.931458
101,0.932095,0.961098
102,0.945927,0.967315
103,0.916395,0.939591
104,0.912976,0.935776
105,0.930408,0.960257
106,0.945944,0.967333
107,0.920416,0.942233
108,0.909025,0.932448
109,0.933458,0.961696
110,0.946632,0.967492
111,0.91785,0.940389
112,0.914049,0.93671
113,0.931334,0.960618
114,0.946322,0.967484
115,0.922368,0.943567
116,0.911177,0.933962
117,0.934177,0.961962
118,0.947013,0.967677
119,0.919894,0.941676
120,0.916988,0.938565
121,0.932869,0.961231
122,0.947343,0.967796
123,0.92485,0.945046
124,0.914579,0.936219
125,0.937014,0.963163
126,0.947756,0.968041
127,0.921481,0.942762
128,0.919712,0.940525
129,0.93493,0.962065
130,0.948063,0.968054
131,0.926751,0.946253
132,0.916395,0.937578
133,0.938179,0.96367
134,0.949346,0.968688
135,0.92453,0.944756
136,0.923339,0.942791
137,0.936705,0.962736
138,0.94907,0.968688
139,0.929183,0.947864
140,0.919,0.939319
141,0.940536,0.964575
142,0.949751,0.968885
143,0.927022,0.946185
144,0.926425,0.945004
145,0.938312,0.963543
146,0.950144,0.969056
147,0.931346,0.949292
148,0.921259,0.940831
149,0.941598,0.965156
150,0.951039,0.969632
151,0.928112,0.947131
152,0.927085,0.945454
153,0.939498,0.964104
154,0.950987,0.969565
155,0.933214,0.950491
156,0.92302,0.941938
157,0.943677,0.966017
158,0.952155,0.970132
159,0.929929,0.948111
160,0.928401,0.946406
161,0.94064,0.964537
162,0.952136,0.970023
163,0.933607,0.9508
164,0.924643,0.943352
165,0.943986,0.966298
166,0.952787,0.97033
167,0.931227,0.949382
168,0.927885,0.945742
169,0.943242,0.965747
170,0.952817,0.970394
171,0.932846,0.950289
172,0.927175,0.945329
173,0.943853,0.966013
174,0.953117,0.970486
175,0.932512,0.950201
176,0.927896,0.945483
177,0.944181,0.966326
178,0.953328,0.970676
179,0.933111,0.95044
180,0.928309,0.946231
181,0.944306,0.966042
182,0.95332,0.97069
183,0.934201,0.951405
184,0.928414,0.945725
185,0.945459,0.966844
186,0.954486,0.971185
187,0.9334,0.950518
188,0.929423,0.947064
189,0.944134,0.96612
190,0.953876,0.970857
191,0.935043,0.95197
192,0.928431,0.945701
193,0.945463,0.966842
194,0.953868,0.970909
195,0.933249,0.950502
196,0.929765,0.947313
197,0.944668,0.966268
198,0.954319,0.971082
199,0.935315,0.95222
200,0.928672,0.94581
201,0.945941,0.96711
202,0.954379,0.971147
203,0.933521,0.950836
204,0.930838,0.948087
205,0.945041,0.966476
206,0.954736,0.971285
207,0.935721,0.952485
208,0.928888,0.946016
209,0.947205,0.967627
210,0.954769,0.97129
211,0.934348,0.951388
212,0.931481,0.94861
213,0.945931,0.966795
214,0.955026,0.971553
215,0.936278,0.952906
216,0.929143,0.946143
217,0.946921,0.967572
218,0.955154,0.971523
219,0.933519,0.95088
220,0.931321,0.948457
221,0.946046,0.966813
222,0.955417,0.97158
223,0.93651,0.953006
224,0.929441,0.946355
225,0.947952,0.967937
226,0.955412,0.97161
227,0.934186,0.951284
228,0.932148,0.948915
229,0.946044,0.966906
230,0.955471,0.971665
231,0.936566,0.953136
232,0.929607,0.946447
233,0.947962,0.967994
234,0.955706,0.971731
235,0.934678,0.951505
236,0.933003,0.949485
237,0.946381,0.967065
238,0.955522,0.971651
239,0.937295,0.953513
240,0.930308,0.946889
241,0.948236,0.968037
242,0.955865,0.971821
243,0.935087,0.951835
244,0.933596,0.949882
245,0.946402,0.966999
246,0.955898,0.971779
247,0.937647,0.953729
248,0.930286,0.946861
249,0.948904,0.968396
250,0.956016,0.971942
251,0.935093,0.951817
252,0.93343,0.949804
253,0.946236,0.96709
254,0.956154,0.971986
255,0.937874,0.953896
256,0.929229,0.94609
257,0.947427,0.967774
258,0.955982,0.971947
259,0.93403,0.950943
260,0.931618,0.948346
261,0.945767,0.966819
262,0.955616,0.97177
263,0.935971,0.952592
264,0.928351,0.945243
265,0.947468,0.967708
266,0.955905,0.971862
267,0.93336,0.950639
268,0.931051,0.947823
269,0.946082,0.966935
270,0.956196,0.972004
271,0.936254,0.952713
272,0.929006,0.945904
273,0.947596,0.967686
274,0.955858,0.971788
275,0.933808,0.950946
276,0.930859,0.947722
277,0.945751,0.966847
278,0.955685,0.971737
279,0.935393,0.952118
280,0.928297,0.945498
281,0.947317,0.967612
282,0.955744,0.971824
283,0.933224,0.950631
284,0.930584,0.947313
285,0.945814,0.966784
286,0.95583,0.971827
287,0.935091,0.951879
288,0.928167,0.94545
289,0.947118,0.967487
290,0.955611,0.971701
291,0.933176,0.950648
292,0.930095,0.947021
293,0.945791,0.96682
294,0.955632,0.971745
295,0.93472,0.95168
296,0.927993,0.945402
297,0.94703,0.967424
298,0.955337,0.97167
299,0.93332,0.950668
300,0.929987,0.946837
301,0.94585,0.966872
302,0.95595,0.971878
303,0.934359,0.951485
304,0.928116,0.945547
305,0.947093,0.967467
306,0.955619,0.971776
307,0.932988,0.9505
308,0.929776,0.946649
309,0.945605,0.966786
310,0.95548,0.971636
311,0.933782,0.951134
312,0.928007,0.945413
313,0.946902,0.967344
314,0.955267,0.971567
315,0.93284,0.950505
316,0.929041,0.946306
317,0.945692,0.966784
318,0.95527,0.971528
319,0.933844,0.951096
320,0.927646,0.945249
321,0.94709,0.967386
322,0.955422,0.971652
323,0.9328,0.950441
324,0.929273,0.946337
325,0.945684,0.966827
326,0.955186,0.971599
327,0.933312,0.950852
328,0.927543,0.945202
329,0.946715,0.967232
330,0.955085,0.971471
331,0.932679,0.950402
332,0.92901,0.946167
333,0.948958,0.968695
334,0.960739,0.974778
335,0.929776,0.949417
336,0.911463,0.934142
337,0.9333,0.962847
338,0.958502,0.973437
339,0.920345,0.943794
340,0.906785,0.930178
341,0.936175,0.964072
342,0.958843,0.973616
343,0.916455,0.941405
344,0.911458,0.934045
345,0.934014,0.962938
346,0.958633,0.973562
347,0.921499,0.944514
348,0.908749,0.93153
349,0.937797,0.96459
350,0.958904,0.973724
351,0.919316,0.943028
352,0.914891,0.936639
353,0.935104,0.963461
354,0.958627,0.973528
355,0.924873,0.946556
356,0.911878,0.93396
357,0.938928,0.965203
358,0.95921,0.973908
359,0.922473,0.945043
360,0.91756,0.938721
361,0.937021,0.964243
362,0.959235,0.973916
363,0.926384,0.947719
364,0.913612,0.935351
365,0.940927,0.966052
366,0.959706,0.974124
367,0.923759,0.945825
368,0.919862,0.940337
369,0.938783,0.964976
370,0.959292,0.97391
371,0.929495,0.949546
372,0.917211,0.937746
373,0.942261,0.96664
374,0.959544,0.974118
375,0.92642,0.947396
376,0.924149,0.943343
377,0.940438,0.965573
378,0.959766,0.974233
379,0.93218,0.951348
380,0.919913,0.939665
381,0.94428,0.967448
382,0.960372,0.974576
383,0.929366,0.949276
384,0.926426,0.944955
385,0.941748,0.966276
386,0.96109,0.974955
387,0.934626,0.95309
388,0.921953,0.941165
389,0.945725,0.968034
390,0.961289,0.975011
391,0.930521,0.950161
392,0.927863,0.945965
393,0.94286,0.966729
394,0.961181,0.975051
395,0.935763,0.953477
396,0.923319,0.941907
397,0.946707,0.968468
398,0.96119,0.975005
399,0.931355,0.950497
400,0.928798,0.946613
401,0.94388,0.966979
402,0.961101,0.974985
403,0.9362,0.953884
404,0.924317,0.942749
405,0.947912,0.968933
406,0.961474,0.975132
407,0.932663,0.951276
408,0.931197,0.948254
409,0.945424,0.967524
410,0.961071,0.974969
411,0.938365,0.955139
412,0.926548,0.94442
413,0.949255,0.969448
414,0.961764,0.975271
415,0.935006,0.952621
416,0.932754,0.94935
417,0.946265,0.967917
418,0.961348,0.975078
419,0.93906,0.955499
420,0.928005,0.945225
421,0.949625,0.969603
422,0.96195,0.975416
423,0.93531,0.952974
424,0.933516,0.949905
425,0.946374,0.968068
426,0.961753,0.975344
427,0.939727,0.956163
428,0.928462,0.945639
429,0.950255,0.969796
430,0.9623,0.975535
431,0.935884,0.953313
432,0.93449,0.950521
433,0.947259,0.96832
434,0.961941,0.975348
435,0.94013,0.956204
436,0.928839,0.945834
437,0.95085,0.970067
438,0.962413,0.975557
439,0.935795,0.953398
440,0.934793,0.950706
