Frame, eSSIM, SSIM
0,0.863677,0.901549
1,0.910708,0.952587
2,0.925516,0.957218
3,0.877171,0.912084
4,0.86717,0.904575
5,0.911285,0.952005
6,0.925231,0.956767
7,0.881463,0.915002
8,0.878407,0.912735
9,0.918177,0.955389
10,0.92627,0.957243
11,0.889723,0.920324
12,0.8846,0.917178
13,0.917825,0.954747
14,0.927247,0.957629
15,0.891345,0.92131
16,0.88968,0.920754
17,0.923139,0.957413
18,0.928783,0.95828
19,0.89736,0.924983
20,0.894775,0.923844
21,0.92437,0.957098
22,0.933019,0.960766
23,0.901388,0.928292
24,0.879573,0.913142
25,0.921539,0.95708
26,0.932097,0.960319
27,0.8881,0.919456
28,0.879518,0.913061
29,0.919606,0.955455
30,0.931154,0.959437
31,0.891222,0.921296
32,0.889737,0.920195
33,0.925179,0.958265
34,0.931531,0.959667
35,0.898642,0.926152
36,0.894446,0.923756
37,0.924503,0.957409
38,0.932304,0.960005
39,0.899525,0.926742
40,0.899097,0.926826
41,0.929664,0.960022
42,0.933327,0.960428
43,0.904762,0.929951
44,0.90217,0.928859
45,0.926199,0.958052
46,0.934113,0.961361
47,0.905206,0.930837
48,0.879388,0.912986
49,0.921766,0.957124
50,0.932038,0.960254
51,0.887867,0.919242
52,0.879181,0.912607
53,0.919346,0.955379
54,0.930961,0.959398
55,0.890491,0.920871
56,0.888635,0.919603
57,0.924652,0.958131
58,0.931686,0.959729
59,0.898894,0.926157
60,0.895193,0.9241
61,0.924928,0.957437
62,0.931964,0.959656
63,0.89944,0.926529
64,0.898981,0.926703
65,0.92942,0.959835
66,0.933253,0.960407
67,0.905006,0.930173
68,0.902924,0.929286
69,0.927375,0.95834
70,0.934619,0.961232
71,0.905039,0.930643
72,0.879676,0.913098
73,0.921464,0.956957
74,0.932007,0.960228
75,0.888128,0.919484
76,0.879154,0.912846
77,0.919345,0.95545
78,0.931221,0.95951
79,0.891287,0.921372
80,0.888918,0.919698
81,0.925713,0.958399
82,0.932014,0.959915
83,0.89889,0.92618
84,0.894425,0.923727
85,0.92495,0.957515
86,0.932484,0.959957
87,0.89954,0.926687
88,0.898792,0.926802
89,0.929591,0.959973
90,0.933501,0.960425
91,0.904985,0.930117
92,0.902287,0.929005
93,0.927293,0.958432
94,0.934086,0.961171
95,0.905376,0.93068
96,0.880026,0.913183
97,0.921339,0.957033
98,0.931676,0.9602
99,0.888511,0.91949
100,0.879251,0.912605
101,0.919478,0.955362
102,0.930976,0.95947
103,0.890906,0.921153
104,0.889074,0.919709
105,0.925009,0.958204
106,0.931585,0.959704
107,0.89858,0.92594
108,0.894315,0.923677
109,0.924705,0.957427
110,0.932191,0.959761
111,0.899406,0.926461
112,0.898463,0.926423
113,0.929745,0.959934
114,0.932895,0.960208
115,0.904285,0.929668
116,0.902219,0.92892
117,0.926958,0.958281
118,0.933719,0.961026
119,0.904692,0.930377
120,0.879348,0.912983
121,0.921041,0.956962
122,0.931818,0.960235
123,0.887973,0.919401
124,0.879757,0.913047
125,0.919378,0.955321
126,0.930687,0.959433
127,0.890012,0.92083
128,0.889167,0.919738
129,0.92536,0.95818
130,0.931467,0.959679
131,0.898028,0.925682
132,0.894399,0.923649
133,0.924451,0.957274
134,0.931944,0.959836
135,0.898906,0.926404
136,0.898352,0.926395
137,0.929102,0.959632
138,0.933263,0.96028
139,0.90409,0.929538
140,0.901836,0.928811
141,0.926579,0.958132
142,0.934078,0.961091
143,0.905181,0.930622
144,0.879135,0.912906
145,0.921412,0.957003
146,0.931658,0.960133
147,0.888325,0.919563
148,0.879618,0.912947
149,0.919619,0.9554
150,0.931071,0.95943
151,0.89072,0.921093
152,0.889177,0.919817
153,0.925187,0.958238
154,0.931783,0.959683
155,0.89881,0.926142
156,0.894706,0.923855
157,0.924843,0.957436
158,0.931741,0.959647
159,0.899523,0.926475
160,0.898855,0.926673
161,0.928946,0.959626
162,0.933001,0.960226
163,0.904701,0.929773
164,0.902527,0.928985
165,0.927205,0.958501
166,0.934081,0.961169
167,0.904642,0.930217
168,0.879304,0.91294
169,0.92094,0.956993
170,0.931846,0.960199
171,0.887431,0.918967
172,0.87899,0.91267
173,0.919651,0.955406
174,0.93061,0.959114
175,0.889896,0.920515
176,0.888593,0.91948
177,0.924941,0.958125
178,0.93134,0.95954
179,0.897959,0.92564
180,0.893875,0.923441
181,0.924494,0.95725
182,0.931935,0.959734
183,0.898949,0.926259
184,0.898122,0.926297
185,0.929417,0.959783
186,0.933382,0.96031
187,0.903942,0.929507
188,0.901894,0.92869
189,0.926987,0.958348
190,0.934154,0.96114
191,0.904906,0.930455
192,0.879433,0.913098
193,0.920866,0.956851
194,0.931243,0.959961
195,0.887524,0.919121
196,0.878876,0.912528
197,0.919057,0.955085
198,0.931087,0.95931
199,0.890702,0.921187
200,0.888553,0.919608
201,0.924954,0.957955
202,0.931538,0.959479
203,0.898185,0.925878
204,0.894463,0.9237
205,0.924122,0.957158
206,0.932253,0.959754
207,0.89928,0.926336
208,0.898611,0.926388
209,0.929394,0.959745
210,0.933124,0.960125
211,0.904056,0.92964
212,0.901871,0.928864
213,0.927275,0.958302
214,0.934103,0.961242
215,0.904941,0.930585
216,0.879055,0.912859
217,0.920549,0.956894
218,0.931668,0.960201
219,0.88784,0.919201
220,0.878859,0.912432
221,0.919146,0.955239
222,0.930917,0.959319
223,0.890705,0.920961
224,0.888738,0.919654
225,0.924797,0.958159
226,0.931827,0.959699
227,0.898779,0.926049
228,0.894286,0.923501
229,0.924116,0.957231
230,0.9321,0.959755
231,0.899074,0.926293
232,0.898778,0.926738
233,0.929325,0.959909
234,0.933142,0.960219
235,0.904495,0.929665
236,0.902197,0.928828
237,0.92653,0.958127
238,0.933974,0.961063
239,0.904826,0.930297
240,0.879153,0.912979
241,0.921896,0.957158
242,0.931601,0.960071
243,0.887814,0.91943
244,0.878534,0.912398
245,0.919609,0.955367
246,0.930889,0.959301
247,0.890217,0.920738
248,0.888299,0.919386
249,0.925624,0.958343
250,0.931451,0.959649
251,0.898028,0.925774
252,0.894173,0.923511
253,0.92462,0.957376
254,0.932126,0.959889
255,0.898648,0.926223
256,0.89832,0.926376
257,0.929709,0.959852
258,0.932853,0.960178
259,0.904016,0.929528
260,0.902166,0.9288
261,0.926609,0.958258
262,0.933444,0.961054
263,0.904297,0.930209
264,0.879734,0.913267
265,0.921536,0.957184
266,0.931649,0.960232
267,0.888192,0.919457
268,0.879777,0.913044
269,0.920484,0.955853
270,0.930967,0.959563
271,0.890851,0.921243
272,0.889204,0.919905
273,0.925361,0.958294
274,0.931173,0.959561
275,0.89819,0.925693
276,0.894541,0.923676
277,0.924498,0.957371
278,0.931551,0.959604
279,0.899053,0.926228
280,0.898644,0.926553
281,0.929475,0.959889
282,0.932618,0.960203
283,0.904009,0.92946
284,0.902579,0.929008
285,0.926567,0.958255
286,0.933586,0.961088
287,0.904597,0.930416
288,0.879176,0.912806
289,0.921045,0.956878
290,0.931378,0.959943
291,0.887496,0.918916
292,0.878768,0.912351
293,0.919529,0.955358
294,0.930817,0.959291
295,0.890349,0.920764
296,0.888703,0.919559
297,0.925153,0.958213
298,0.931416,0.959638
299,0.898093,0.925594
300,0.894166,0.923397
301,0.924325,0.957246
302,0.932238,0.959858
303,0.898829,0.926258
304,0.898681,0.926462
305,0.929631,0.959941
306,0.933182,0.96033
307,0.903982,0.929498
308,0.902009,0.928804
309,0.926013,0.958069
310,0.933896,0.961082
311,0.904949,0.930471
312,0.879557,0.913027
313,0.920948,0.956952
314,0.931529,0.960073
315,0.887476,0.91912
316,0.878426,0.912205
317,0.919164,0.955305
318,0.930455,0.959191
319,0.890407,0.920823
320,0.888854,0.919573
321,0.924836,0.958048
322,0.931194,0.959515
323,0.898153,0.925749
324,0.894151,0.923337
325,0.924454,0.957347
326,0.931934,0.959713
327,0.898856,0.926086
328,0.89836,0.926355
329,0.929162,0.959722
330,0.932895,0.960116
331,0.904176,0.929553
332,0.901818,0.928663
333,0.926215,0.958121
334,0.933419,0.960999
335,0.904326,0.930183
336,0.878603,0.912507
337,0.920767,0.956916
338,0.931794,0.960148
339,0.887532,0.91905
340,0.878585,0.912301
341,0.919092,0.955332
342,0.930708,0.959339
343,0.890009,0.920744
344,0.888555,0.91952
345,0.925179,0.958174
346,0.931354,0.959671
347,0.898187,0.925766
348,0.893799,0.923242
349,0.923903,0.957164
350,0.931865,0.959806
351,0.898432,0.926032
352,0.898711,0.926474
353,0.929088,0.959655
354,0.933018,0.960301
355,0.904471,0.929862
356,0.902122,0.928997
357,0.926789,0.958279
358,0.934013,0.961301
359,0.90531,0.930742
360,0.87941,0.913002
361,0.921147,0.956993
362,0.93106,0.960035
363,0.887344,0.919137
364,0.879036,0.91278
365,0.919617,0.955579
366,0.930389,0.95931
367,0.89025,0.920886
368,0.889125,0.919894
369,0.925954,0.95849
370,0.930935,0.959507
371,0.898056,0.925829
372,0.894664,0.923946
373,0.924368,0.957432
374,0.931818,0.959838
375,0.898367,0.926134
376,0.898898,0.926861
377,0.929526,0.959914
378,0.932853,0.960185
379,0.903694,0.929633
380,0.90187,0.928914
381,0.927408,0.958447
382,0.93392,0.961128
383,0.904162,0.930202
384,0.879141,0.912948
385,0.921516,0.957166
386,0.931837,0.960276
387,0.887396,0.919086
388,0.879027,0.912618
389,0.919983,0.955462
390,0.930851,0.959352
391,0.889915,0.92071
392,0.888829,0.919704
393,0.925713,0.958427
394,0.931218,0.959705
395,0.897592,0.92558
396,0.894039,0.923389
397,0.924751,0.95749
398,0.931578,0.959688
399,0.899023,0.926283
400,0.898508,0.926468
401,0.929626,0.959797
402,0.93285,0.9603
