Frame, eSSIM, SSIM
0,0.849639,0.959451
1,0.848679,0.963265
2,0.963914,0.983137
3,0.882711,0.973709
4,0.83753,0.956637
5,0.847781,0.964055
6,0.962566,0.98317
7,0.894323,0.974716
8,0.808231,0.948933
9,0.84061,0.962421
10,0.962198,0.982121
11,0.879565,0.972528
12,0.823204,0.952197
13,0.833418,0.961885
14,0.960004,0.98314
15,0.873963,0.971486
16,0.836633,0.954405
17,0.856146,0.964896
18,0.963503,0.983642
19,0.896208,0.974588
20,0.837157,0.954647
21,0.866242,0.965795
22,0.961754,0.983579
23,0.905474,0.975478
24,0.853896,0.958653
25,0.865978,0.966151
26,0.96498,0.983919
27,0.917979,0.976969
28,0.869854,0.960982
29,0.882974,0.968729
30,0.96498,0.984157
31,0.919892,0.977156
32,0.875247,0.962448
33,0.885854,0.970386
34,0.967357,0.984435
35,0.922049,0.977748
36,0.874281,0.962512
37,0.892494,0.970035
38,0.965471,0.983973
39,0.924091,0.977764
40,0.876754,0.963085
41,0.882991,0.969865
42,0.966439,0.984289
43,0.925334,0.97722
44,0.889503,0.965136
45,0.897117,0.971497
46,0.965555,0.984367
47,0.920115,0.976937
48,0.888448,0.963132
49,0.89839,0.970733
50,0.966027,0.983514
51,0.927539,0.97714
52,0.88913,0.964335
53,0.897685,0.971431
54,0.964388,0.984296
55,0.925421,0.977336
56,0.895065,0.96461
57,0.905772,0.971891
58,0.96615,0.984466
59,0.928629,0.977498
60,0.891949,0.964264
61,0.907405,0.971827
62,0.963908,0.984027
63,0.928016,0.977918
64,0.891216,0.964291
65,0.899857,0.970902
66,0.964932,0.984255
67,0.929081,0.977443
68,0.893185,0.964971
69,0.898437,0.971686
70,0.964119,0.98428
71,0.922225,0.977107
72,0.897019,0.964868
73,0.905583,0.972007
74,0.964275,0.984491
75,0.924147,0.977218
76,0.88661,0.963871
77,0.911368,0.972138
78,0.962558,0.984183
79,0.922607,0.977617
80,0.899349,0.96507
81,0.912204,0.972651
82,0.963234,0.984452
83,0.925629,0.976826
84,0.896854,0.964162
85,0.913591,0.972209
86,0.962342,0.984114
87,0.930572,0.977288
88,0.895803,0.963407
89,0.906595,0.970245
90,0.963117,0.982924
91,0.92604,0.976621
92,0.899893,0.964997
93,0.909689,0.971643
94,0.963278,0.983999
95,0.924361,0.976577
96,0.902501,0.964308
97,0.917217,0.971872
98,0.964937,0.984172
99,0.926472,0.976799
100,0.897517,0.963626
101,0.915622,0.971509
102,0.964978,0.983889
103,0.930892,0.977514
104,0.895654,0.963577
105,0.905992,0.970591
106,0.963764,0.983879
107,0.92831,0.97716
108,0.904808,0.964723
109,0.915792,0.971223
110,0.965099,0.983849
111,0.931002,0.977534
112,0.899893,0.96315
113,0.911497,0.970154
114,0.964754,0.983485
115,0.935485,0.976899
116,0.907652,0.964593
117,0.910233,0.970147
118,0.962923,0.98325
119,0.92834,0.976297
120,0.900837,0.962212
121,0.913629,0.969659
122,0.962396,0.982969
123,0.925044,0.9756
124,0.893533,0.960672
125,0.913769,0.96864
126,0.960571,0.982336
127,0.928129,0.976078
128,0.88812,0.959695
129,0.899959,0.966061
130,0.960798,0.981281
131,0.927756,0.975074
132,0.90046,0.961606
133,0.898585,0.967138
134,0.959188,0.981895
135,0.922677,0.974147
136,0.900143,0.959754
137,0.91008,0.967379
138,0.960032,0.981809
139,0.92556,0.973863
140,0.888047,0.957804
141,0.903767,0.966334
142,0.95782,0.981212
143,0.926557,0.974151
144,0.887215,0.957785
145,0.900229,0.965552
146,0.957301,0.98098
147,0.92408,0.972751
148,0.893352,0.958583
149,0.893827,0.964925
150,0.957975,0.980294
151,0.920767,0.972075
152,0.892617,0.958055
153,0.904148,0.966574
154,0.959296,0.981015
155,0.92311,0.972549
156,0.889257,0.95723
157,0.906669,0.966163
158,0.95803,0.980306
159,0.926087,0.973176
160,0.88582,0.956121
161,0.894706,0.964306
162,0.956934,0.979948
163,0.926979,0.972213
164,0.896303,0.958028
165,0.915675,0.967758
166,0.959129,0.984365
167,0.935317,0.976097
168,0.891066,0.959163
169,0.901569,0.968712
170,0.959005,0.983029
171,0.931584,0.973718
172,0.901842,0.961304
173,0.899524,0.969528
174,0.958771,0.983361
175,0.93133,0.973302
176,0.903356,0.960669
177,0.913056,0.970502
178,0.958946,0.983512
179,0.936239,0.974161
180,0.899237,0.960153
181,0.911046,0.969632
182,0.957946,0.982769
183,0.937668,0.974858
184,0.890912,0.958964
185,0.896517,0.968111
186,0.958553,0.982642
187,0.931163,0.972954
188,0.899459,0.959881
189,0.893136,0.967085
190,0.956865,0.982229
191,0.930462,0.971981
192,0.879041,0.955349
193,0.886682,0.966245
194,0.957958,0.982212
195,0.924143,0.97077
196,0.874081,0.953779
197,0.90165,0.96651
198,0.958785,0.981436
199,0.92811,0.971315
200,0.87086,0.952555
201,0.879707,0.963893
202,0.957267,0.981144
203,0.927785,0.971012
204,0.885758,0.955907
205,0.89312,0.96549
206,0.957501,0.981017
207,0.92715,0.971203
208,0.896352,0.955639
209,0.90621,0.965283
210,0.957643,0.979772
211,0.924861,0.970278
212,0.886369,0.954275
213,0.906602,0.965519
214,0.95706,0.980269
215,0.924516,0.970156
216,0.881823,0.952781
217,0.894338,0.964869
218,0.95602,0.98064
219,0.918733,0.967633
220,0.889682,0.953017
221,0.893288,0.964435
222,0.953616,0.98004
223,0.91726,0.966668
224,0.886169,0.951067
225,0.900894,0.965032
226,0.954896,0.980039
227,0.912322,0.965886
228,0.87629,0.949696
229,0.903975,0.964673
230,0.953234,0.979154
231,0.917441,0.967573
232,0.881883,0.950414
233,0.896309,0.963413
234,0.952818,0.978762
235,0.911597,0.965171
236,0.888137,0.951766
237,0.89729,0.962924
238,0.953552,0.978175
239,0.909946,0.963467
240,0.887341,0.948569
241,0.905685,0.963253
242,0.955064,0.978111
243,0.909666,0.963413
244,0.879611,0.946986
245,0.904123,0.963559
246,0.957416,0.983088
247,0.913908,0.966606
248,0.882677,0.949479
249,0.899509,0.966826
250,0.957905,0.9821
251,0.911545,0.965078
252,0.886692,0.952072
253,0.894718,0.968006
254,0.955947,0.982656
255,0.905611,0.963253
256,0.86744,0.944836
257,0.887711,0.966538
258,0.955977,0.982712
259,0.895028,0.959909
260,0.855187,0.941608
261,0.879031,0.964936
262,0.9518,0.981942
263,0.892292,0.958404
264,0.865291,0.942666
265,0.890449,0.966891
266,0.952417,0.982007
267,0.890515,0.957834
268,0.85813,0.941162
269,0.893886,0.966863
270,0.951671,0.981479
271,0.894915,0.959269
272,0.865383,0.943034
273,0.888318,0.966094
274,0.95286,0.981387
275,0.898006,0.959711
276,0.870246,0.94568
277,0.884505,0.965949
278,0.953023,0.981184
279,0.893317,0.958814
280,0.860805,0.943488
281,0.88727,0.967233
282,0.954998,0.981604
283,0.88394,0.956936
284,0.849781,0.940542
285,0.888631,0.966323
286,0.953765,0.98118
287,0.882328,0.956556
288,0.839227,0.937453
289,0.874068,0.963769
290,0.955574,0.980358
291,0.86779,0.95287
292,0.842013,0.937725
293,0.872999,0.964897
294,0.951798,0.980849
295,0.868562,0.952505
296,0.853056,0.93957
297,0.885912,0.966251
298,0.956105,0.981239
299,0.865766,0.95168
300,0.836672,0.934264
301,0.884177,0.965284
302,0.95571,0.980954
303,0.875987,0.954245
304,0.833116,0.934338
305,0.869091,0.963603
306,0.95653,0.980602
307,0.871745,0.951866
308,0.84596,0.936632
309,0.86924,0.963445
310,0.958304,0.980475
311,0.850128,0.947468
312,0.824482,0.929819
313,0.868492,0.963131
314,0.962105,0.980857
315,0.850622,0.946915
316,0.816264,0.92682
317,0.866803,0.962546
318,0.960658,0.980761
319,0.860326,0.949345
320,0.81344,0.925823
321,0.857909,0.960574
322,0.959754,0.980622
323,0.895992,0.962811
324,0.877265,0.951019
325,0.866779,0.966022
326,0.959667,0.982188
327,0.863919,0.953926
328,0.822853,0.93305
329,0.856611,0.962033
330,0.960027,0.981175
331,0.850001,0.949494
332,0.808836,0.928014
333,0.855281,0.962267
