Frame, eSSIM, SSIM
0,0.864368,0.947762
1,0.865798,0.954334
2,0.91714,0.969659
3,0.863778,0.951333
4,0.826127,0.938593
5,0.848889,0.954654
6,0.908972,0.966987
7,0.852958,0.948885
8,0.807602,0.930501
9,0.841149,0.951737
10,0.920717,0.970311
11,0.857791,0.951136
12,0.797797,0.926183
13,0.840251,0.952713
14,0.907837,0.967914
15,0.852878,0.950196
16,0.836603,0.941536
17,0.854424,0.954598
18,0.927688,0.972836
19,0.903115,0.96302
20,0.870593,0.950917
21,0.892796,0.964203
22,0.921009,0.97305
23,0.909446,0.965015
24,0.892212,0.956423
25,0.897831,0.964329
26,0.935162,0.975702
27,0.912045,0.964692
28,0.88436,0.954072
29,0.901567,0.965222
30,0.911944,0.971172
31,0.914177,0.965217
32,0.89129,0.956707
33,0.8885,0.963192
34,0.930737,0.974937
35,0.917777,0.966027
36,0.901854,0.959314
37,0.908967,0.96802
38,0.913816,0.971987
39,0.91908,0.966996
40,0.909371,0.961013
41,0.905208,0.966084
42,0.932805,0.975784
43,0.925827,0.968825
44,0.908744,0.961199
45,0.915606,0.968841
46,0.917797,0.972515
47,0.929402,0.969559
48,0.908583,0.962726
49,0.902866,0.966465
50,0.931685,0.975811
51,0.928624,0.969593
52,0.914874,0.963877
53,0.913282,0.970287
54,0.92065,0.973769
55,0.929644,0.970223
56,0.920714,0.965432
57,0.914154,0.969209
58,0.937601,0.977307
59,0.934102,0.971854
60,0.921072,0.966209
61,0.92541,0.972096
62,0.924895,0.975221
63,0.941875,0.973649
64,0.925599,0.96801
65,0.915517,0.970709
66,0.940515,0.978414
67,0.937041,0.973102
68,0.931628,0.968992
69,0.92954,0.973367
70,0.924195,0.974911
71,0.93628,0.973415
72,0.931358,0.968625
73,0.923059,0.970772
74,0.94196,0.978327
75,0.938411,0.973694
76,0.93092,0.969195
77,0.931533,0.97308
78,0.927633,0.975533
79,0.938642,0.974381
80,0.932077,0.968799
81,0.921922,0.971088
82,0.938679,0.978292
83,0.936686,0.972987
84,0.929254,0.968305
85,0.934415,0.974285
86,0.930151,0.976365
87,0.939531,0.973915
88,0.93013,0.969534
89,0.92382,0.972257
90,0.942816,0.978998
91,0.940487,0.974618
92,0.934212,0.970477
93,0.936762,0.974633
94,0.928249,0.97642
95,0.941002,0.975035
96,0.930923,0.969742
97,0.923777,0.972358
98,0.940951,0.979105
99,0.937005,0.973408
100,0.932828,0.969799
101,0.937538,0.975458
102,0.93147,0.977249
103,0.935775,0.97352
104,0.929654,0.969782
105,0.929282,0.973805
106,0.94469,0.9797
107,0.937326,0.974373
108,0.93471,0.971178
109,0.938153,0.975954
110,0.931129,0.977336
111,0.940743,0.9749
112,0.940122,0.971921
113,0.932433,0.974985
114,0.945451,0.980494
115,0.941831,0.975664
116,0.936889,0.971733
117,0.940149,0.976679
118,0.936764,0.978822
119,0.947899,0.976727
120,0.941261,0.972749
121,0.933986,0.975308
122,0.946873,0.981105
123,0.943942,0.976611
124,0.942522,0.973226
125,0.937602,0.977224
126,0.934597,0.979012
127,0.943115,0.976008
128,0.938882,0.972194
129,0.934425,0.975902
130,0.944413,0.980928
131,0.941523,0.975168
132,0.938449,0.971683
133,0.942546,0.977536
134,0.936766,0.978985
135,0.944951,0.976147
136,0.941574,0.972982
137,0.933359,0.975554
138,0.948672,0.981199
139,0.948575,0.977226
140,0.942179,0.973562
141,0.939451,0.977408
142,0.938689,0.98025
143,0.948491,0.977757
144,0.94531,0.974338
145,0.938185,0.977493
146,0.946277,0.982111
147,0.949491,0.977828
148,0.946099,0.974151
149,0.945401,0.978496
150,0.937218,0.979558
151,0.945181,0.976627
152,0.940008,0.972207
153,0.934515,0.976572
154,0.946921,0.981662
155,0.944478,0.976094
156,0.941694,0.97323
157,0.946401,0.979038
158,0.94235,0.981005
159,0.944263,0.976616
160,0.94347,0.973553
161,0.940918,0.977949
162,0.952066,0.982497
163,0.94583,0.976719
164,0.942886,0.97335
165,0.946371,0.9787
166,0.937942,0.980005
167,0.948166,0.977394
168,0.940151,0.973642
169,0.932654,0.976716
170,0.949774,0.982321
171,0.943877,0.97587
172,0.941257,0.973132
173,0.944947,0.979321
174,0.94224,0.980426
175,0.942063,0.975912
176,0.938581,0.973068
177,0.938353,0.977885
178,0.952549,0.982542
179,0.943989,0.97653
180,0.942182,0.974085
181,0.949817,0.980047
182,0.945025,0.981209
183,0.946535,0.977355
184,0.946217,0.974955
185,0.944134,0.978625
186,0.95266,0.983045
187,0.94601,0.977405
188,0.942544,0.974356
189,0.949198,0.9799
190,0.937527,0.980623
191,0.948616,0.978321
192,0.944977,0.975165
193,0.933516,0.977497
194,0.949829,0.98299
195,0.951227,0.9786
196,0.949319,0.976171
197,0.948563,0.980395
198,0.939653,0.98094
199,0.949972,0.978585
200,0.941078,0.974866
201,0.933999,0.977813
202,0.953712,0.983234
203,0.947611,0.977746
204,0.945346,0.975286
205,0.949736,0.980504
206,0.93995,0.980939
207,0.947055,0.977819
208,0.947758,0.975608
209,0.941707,0.979016
210,0.953505,0.98352
211,0.947614,0.977693
212,0.945798,0.974964
213,0.949882,0.980679
214,0.934527,0.980889
215,0.950205,0.978531
216,0.945014,0.975022
217,0.93426,0.979007
218,0.951834,0.983462
219,0.944716,0.9771
220,0.942703,0.974377
221,0.949396,0.980928
222,0.939509,0.98139
223,0.946093,0.977618
224,0.945841,0.975252
225,0.94064,0.979193
226,0.954064,0.983933
227,0.950583,0.978398
228,0.949068,0.976004
229,0.950378,0.981315
230,0.935013,0.981399
231,0.951287,0.978542
232,0.952125,0.976535
