Frame, eSSIM, SSIM
0,0.936711,0.971597
1,0.939192,0.978859
2,0.955169,0.987732
3,0.944637,0.979124
4,0.932401,0.970574
5,0.951199,0.981597
6,0.958722,0.98758
7,0.958293,0.981975
8,0.952987,0.975846
9,0.949667,0.980866
10,0.962488,0.988121
11,0.971702,0.985027
12,0.968775,0.980303
13,0.972071,0.985762
14,0.965999,0.988659
15,0.973522,0.985617
16,0.973804,0.982547
17,0.968904,0.985821
18,0.975849,0.990074
19,0.975331,0.986577
20,0.975568,0.983527
21,0.975726,0.987525
22,0.974388,0.99002
23,0.980471,0.987808
24,0.981032,0.985471
25,0.975666,0.987745
26,0.981926,0.991046
27,0.981979,0.988085
28,0.980712,0.985365
29,0.98199,0.988514
30,0.976876,0.990424
31,0.983076,0.98873
32,0.981042,0.985945
33,0.969756,0.987815
34,0.983338,0.991323
35,0.983358,0.98888
36,0.982818,0.986735
37,0.981959,0.988707
38,0.977111,0.99057
39,0.983914,0.988805
40,0.982828,0.986351
41,0.976934,0.988521
42,0.984295,0.991449
43,0.982916,0.988564
44,0.981478,0.985997
45,0.982451,0.988844
46,0.975877,0.99022
47,0.983645,0.988777
48,0.981045,0.985665
49,0.975835,0.987682
50,0.98399,0.991249
51,0.981808,0.988209
52,0.981681,0.985976
53,0.979878,0.987987
54,0.974337,0.989919
55,0.982042,0.987969
56,0.979879,0.984917
57,0.972357,0.987192
58,0.982974,0.990937
59,0.981638,0.988129
60,0.979403,0.985147
61,0.980723,0.988046
62,0.971595,0.989734
63,0.983161,0.988891
64,0.979914,0.985203
65,0.972247,0.987067
66,0.983087,0.991
67,0.980348,0.98738
68,0.980422,0.985274
69,0.980002,0.987852
70,0.970466,0.989516
71,0.9815,0.987796
72,0.978752,0.984676
73,0.970545,0.986848
74,0.982464,0.990869
75,0.980815,0.987666
76,0.979453,0.984685
77,0.980479,0.987949
78,0.969102,0.989458
79,0.981458,0.988009
80,0.977309,0.984584
81,0.96791,0.986477
82,0.981904,0.990745
83,0.97896,0.987417
84,0.979148,0.984946
85,0.979084,0.98758
86,0.966083,0.989143
87,0.981089,0.987769
88,0.978603,0.98504
89,0.963946,0.986637
90,0.981773,0.990703
91,0.98112,0.987813
92,0.97994,0.985053
93,0.981091,0.988143
94,0.968452,0.989351
95,0.982393,0.988096
96,0.97987,0.985048
97,0.966769,0.986602
98,0.982239,0.990676
99,0.98003,0.987607
100,0.980143,0.98534
101,0.978951,0.987607
102,0.965035,0.988966
103,0.981475,0.987803
104,0.979743,0.984883
105,0.960633,0.986641
106,0.98215,0.990639
107,0.981124,0.987811
108,0.980504,0.985129
109,0.979489,0.987833
110,0.963209,0.989148
111,0.983265,0.988578
112,0.981261,0.985714
113,0.965474,0.986839
114,0.980377,0.990627
115,0.981729,0.988249
116,0.982729,0.986483
117,0.979959,0.988159
118,0.959857,0.989174
119,0.980859,0.988478
120,0.981716,0.986023
121,0.960917,0.987371
122,0.98248,0.990974
123,0.982209,0.988444
124,0.979869,0.986056
125,0.978703,0.98859
126,0.966763,0.98975
127,0.984274,0.989024
128,0.981535,0.985966
129,0.968221,0.987478
130,0.98308,0.991113
131,0.982222,0.988519
132,0.981991,0.986482
133,0.981548,0.98853
134,0.967649,0.989611
135,0.983091,0.988567
136,0.981348,0.986053
137,0.969366,0.987828
138,0.984385,0.991286
139,0.98215,0.988537
140,0.981484,0.986115
141,0.981569,0.989126
142,0.970521,0.989972
143,0.984035,0.988939
144,0.982208,0.986394
145,0.972632,0.988054
146,0.983304,0.991386
147,0.983036,0.98863
148,0.9833,0.986869
149,0.98248,0.989122
150,0.973022,0.990195
151,0.984204,0.98894
152,0.982614,0.986735
153,0.971015,0.98839
154,0.984421,0.991705
155,0.983133,0.988712
156,0.982518,0.986517
157,0.982925,0.989405
158,0.970796,0.990332
159,0.98453,0.989155
160,0.982077,0.986449
161,0.967446,0.988047
162,0.985258,0.991713
163,0.98279,0.988834
164,0.982595,0.98704
165,0.983615,0.989443
166,0.97242,0.99051
167,0.983767,0.988857
168,0.981773,0.986443
169,0.968224,0.988705
170,0.985917,0.991968
171,0.983087,0.98875
172,0.982292,0.986424
173,0.983631,0.98957
174,0.96977,0.990574
175,0.984219,0.989123
176,0.982193,0.986347
177,0.971054,0.988454
178,0.985173,0.992093
179,0.982841,0.988862
180,0.982742,0.986943
181,0.983283,0.989636
182,0.97111,0.99085
183,0.984439,0.989202
184,0.982935,0.986911
185,0.971675,0.989005
186,0.986232,0.992221
187,0.982904,0.988851
188,0.982647,0.986606
189,0.984132,0.989823
190,0.972344,0.990945
191,0.984797,0.989473
192,0.982723,0.986496
193,0.975308,0.988737
194,0.986073,0.99217
195,0.983197,0.988854
196,0.983357,0.987093
197,0.983942,0.989771
198,0.974069,0.991087
199,0.984891,0.989234
200,0.98301,0.986791
201,0.974051,0.989153
202,0.987026,0.992392
203,0.984376,0.989254
204,0.983527,0.986903
205,0.984746,0.98992
206,0.973095,0.991051
207,0.985914,0.989955
208,0.982858,0.986677
209,0.973508,0.988778
210,0.987,0.992329
211,0.983639,0.98897
212,0.983184,0.987117
213,0.982016,0.989847
214,0.97333,0.991033
215,0.984508,0.989163
216,0.982522,0.986634
217,0.973398,0.988953
218,0.986362,0.992254
219,0.982446,0.988851
220,0.982593,0.986576
221,0.983888,0.989906
222,0.972208,0.990932
223,0.985168,0.989462
224,0.982636,0.986979
225,0.972782,0.98891
226,0.985768,0.992289
227,0.984379,0.989125
228,0.984521,0.987601
229,0.984575,0.990119
230,0.9718,0.991067
231,0.985411,0.989507
232,0.983572,0.987211
233,0.972747,0.989388
234,0.986649,0.992339
235,0.984066,0.989147
236,0.982008,0.986937
237,0.984001,0.989988
238,0.973054,0.991014
239,0.985057,0.989416
240,0.982839,0.986697
241,0.974794,0.989015
242,0.98645,0.992303
