Frame, eSSIM, SSIM
0,0.885882,0.958384
1,0.899877,0.972541
2,0.942889,0.98629
3,0.907958,0.971071
4,0.883713,0.957382
5,0.922691,0.975895
6,0.943698,0.985944
7,0.919231,0.97341
8,0.90408,0.961952
9,0.918156,0.974664
10,0.945894,0.986153
11,0.948479,0.979478
12,0.938103,0.971258
13,0.947224,0.980314
14,0.949188,0.986412
15,0.948833,0.97979
16,0.949933,0.974468
17,0.951797,0.980976
18,0.96013,0.987753
19,0.955376,0.981213
20,0.952411,0.975109
21,0.959384,0.982999
22,0.959975,0.98764
23,0.964187,0.98338
24,0.964189,0.978631
25,0.961145,0.983
26,0.965225,0.988362
27,0.966929,0.984043
28,0.966416,0.979586
29,0.966939,0.983985
30,0.962621,0.987744
31,0.966936,0.984356
32,0.96543,0.980175
33,0.961432,0.983793
34,0.969039,0.988686
35,0.969258,0.984371
36,0.968142,0.980306
37,0.966418,0.984421
38,0.96688,0.988071
39,0.971169,0.984725
40,0.968642,0.980395
41,0.96453,0.983815
42,0.971365,0.988805
43,0.971922,0.985069
44,0.969168,0.980878
45,0.970443,0.98471
46,0.967089,0.987913
47,0.972239,0.985135
48,0.965446,0.979836
49,0.964334,0.98358
50,0.97295,0.988809
51,0.967886,0.983558
52,0.965182,0.978758
53,0.966569,0.983439
54,0.965115,0.987502
55,0.968039,0.983459
56,0.964573,0.978304
57,0.961391,0.982556
58,0.971008,0.988416
59,0.968638,0.983716
60,0.965558,0.978937
61,0.96912,0.983787
62,0.962613,0.9873
63,0.969295,0.983979
64,0.965096,0.979147
65,0.960797,0.98276
66,0.971896,0.988529
67,0.967318,0.983212
68,0.964863,0.978595
69,0.966032,0.983487
70,0.958727,0.986975
71,0.970914,0.984213
72,0.967039,0.979232
73,0.95831,0.982276
74,0.970248,0.988272
75,0.970667,0.984142
76,0.967393,0.979389
77,0.968497,0.983751
78,0.960694,0.987105
79,0.971056,0.984345
80,0.966247,0.979136
81,0.957481,0.982209
82,0.97311,0.988444
83,0.969133,0.983855
84,0.965747,0.978904
85,0.968195,0.983524
86,0.958808,0.986957
87,0.971756,0.984502
88,0.968722,0.980092
89,0.956679,0.982675
90,0.973319,0.988492
91,0.972567,0.98462
92,0.969738,0.980201
93,0.970221,0.983856
94,0.960509,0.986978
95,0.973349,0.984902
