Frame, eSSIM, SSIM
0,0.786965,0.900761
1,0.822943,0.933528
2,0.895284,0.948404
3,0.81885,0.913527
4,0.772457,0.894792
5,0.862517,0.942754
6,0.899447,0.95024
7,0.83613,0.921146
8,0.841912,0.925661
9,0.872031,0.946116
10,0.900436,0.950872
11,0.868544,0.933998
12,0.855612,0.930762
13,0.878775,0.947891
14,0.901689,0.951055
15,0.864112,0.932426
16,0.881864,0.94259
17,0.908025,0.957049
18,0.911183,0.954489
19,0.889672,0.943877
20,0.892003,0.947405
21,0.900568,0.955163
22,0.910488,0.953763
23,0.890661,0.944822
24,0.893007,0.948502
25,0.90878,0.957238
26,0.912186,0.954538
27,0.89983,0.947194
28,0.894338,0.948804
29,0.906825,0.956908
30,0.91289,0.954481
31,0.903162,0.948399
32,0.897416,0.949634
33,0.90613,0.956546
34,0.91351,0.954979
35,0.901706,0.948855
36,0.901101,0.951461
37,0.908104,0.957069
38,0.914391,0.955266
39,0.906368,0.950121
40,0.901273,0.95123
41,0.908555,0.956592
42,0.913697,0.954988
43,0.905622,0.949825
44,0.897622,0.950813
45,0.896838,0.954584
46,0.912653,0.954348
47,0.90514,0.949644
48,0.899117,0.951128
49,0.905155,0.956192
50,0.914129,0.954832
51,0.904283,0.950097
52,0.890867,0.949812
53,0.899259,0.955239
54,0.914034,0.955448
55,0.90584,0.950833
56,0.895286,0.950477
57,0.901372,0.955238
58,0.912519,0.955063
59,0.904209,0.950532
60,0.895501,0.950392
61,0.898746,0.955047
62,0.913646,0.955278
63,0.903149,0.95055
64,0.881286,0.947007
65,0.887431,0.952257
66,0.910051,0.954518
67,0.904366,0.950104
68,0.88645,0.947912
69,0.901252,0.955092
70,0.911856,0.955062
71,0.905158,0.950738
72,0.894772,0.95057
73,0.900964,0.955645
74,0.915109,0.956255
75,0.90967,0.952232
76,0.896048,0.950109
77,0.886904,0.952715
78,0.917443,0.957173
79,0.90775,0.95179
80,0.888182,0.948279
81,0.896433,0.954417
82,0.918656,0.957603
83,0.907016,0.951126
84,0.885246,0.94723
85,0.908827,0.956298
86,0.917892,0.956943
87,0.906287,0.950811
88,0.88829,0.94707
89,0.897002,0.953935
90,0.91753,0.956847
91,0.91049,0.95229
92,0.895084,0.950187
93,0.901411,0.955936
94,0.919688,0.957365
95,0.90963,0.951941
96,0.88405,0.947344
97,0.89176,0.95404
98,0.919341,0.957677
99,0.905967,0.951322
100,0.899517,0.950995
101,0.899833,0.955453
102,0.918777,0.957765
103,0.907877,0.951563
104,0.891537,0.949151
105,0.899567,0.955621
106,0.919899,0.957937
107,0.909311,0.952203
108,0.896437,0.950914
109,0.91418,0.958598
110,0.92046,0.958584
111,0.911835,0.953283
112,0.901144,0.95219
113,0.908261,0.958379
114,0.921451,0.9596
115,0.913109,0.954104
116,0.902903,0.953376
117,0.919383,0.961101
118,0.923909,0.96016
119,0.91424,0.954972
120,0.90398,0.954468
121,0.912431,0.960297
122,0.924156,0.960604
123,0.915144,0.955111
124,0.905352,0.955162
125,0.91218,0.96094
126,0.92479,0.960536
127,0.916327,0.955571
128,0.910386,0.956387
129,0.920033,0.962047
130,0.925321,0.961145
131,0.915654,0.955918
132,0.913676,0.957694
133,0.923986,0.963449
134,0.926989,0.962062
135,0.918118,0.957038
136,0.912731,0.957676
137,0.924155,0.964078
138,0.927122,0.962562
139,0.915095,0.956255
140,0.913088,0.95779
141,0.924418,0.964358
142,0.927434,0.962383
143,0.916218,0.956546
144,0.90778,0.956619
145,0.919,0.96373
146,0.927234,0.963098
147,0.91503,0.956384
148,0.916826,0.959003
149,0.921754,0.964982
150,0.928705,0.96392
151,0.918314,0.957987
152,0.911049,0.957687
153,0.923018,0.965028
154,0.928601,0.963992
155,0.916105,0.957989
156,0.913968,0.9602
157,0.92452,0.966087
158,0.929015,0.964422
159,0.916327,0.958348
160,0.91586,0.959558
161,0.930205,0.967093
162,0.92973,0.964876
163,0.920408,0.958792
164,0.921209,0.961275
165,0.927363,0.966867
166,0.929735,0.964354
167,0.919047,0.958285
168,0.913202,0.958954
169,0.922968,0.965719
170,0.928836,0.964268
171,0.920101,0.959007
172,0.921098,0.961221
173,0.926214,0.966264
174,0.929711,0.964529
175,0.915056,0.957914
176,0.911889,0.959137
177,0.925224,0.966027
178,0.929388,0.964247
179,0.919494,0.958691
180,0.916393,0.960223
181,0.926447,0.966445
182,0.929261,0.964422
183,0.919496,0.95862
184,0.909008,0.957838
185,0.920821,0.965027
186,0.929041,0.964447
187,0.91638,0.957073
188,0.909257,0.957598
189,0.91602,0.963836
190,0.926124,0.963202
191,0.912117,0.956206
192,0.905967,0.955993
193,0.916833,0.963424
194,0.926447,0.963235
195,0.913096,0.955523
196,0.900856,0.954803
197,0.919396,0.963497
198,0.9274,0.963097
