Frame, eSSIM, SSIM
0,0.655663,0.823138
1,0.749252,0.904425
2,0.861595,0.934996
3,0.692207,0.852049
4,0.642555,0.816469
5,0.762518,0.909274
6,0.868604,0.937723
7,0.711039,0.862493
8,0.712732,0.858727
9,0.779158,0.917178
10,0.875804,0.940233
11,0.76247,0.885763
12,0.725612,0.864918
13,0.789767,0.919613
14,0.879575,0.94098
15,0.758667,0.884019
16,0.76153,0.882162
17,0.846788,0.93512
18,0.885539,0.943532
19,0.794573,0.899958
20,0.783043,0.893112
21,0.834148,0.932436
22,0.885494,0.943177
23,0.805317,0.904545
24,0.784221,0.894753
25,0.841098,0.933813
26,0.886959,0.943946
27,0.809766,0.906188
28,0.789485,0.896103
29,0.838959,0.933728
30,0.88701,0.943919
31,0.817006,0.908966
32,0.791614,0.89709
33,0.837682,0.932624
34,0.888816,0.944634
35,0.816447,0.909655
36,0.79837,0.900334
37,0.837707,0.932846
38,0.890617,0.945016
39,0.828863,0.913749
40,0.79733,0.899627
41,0.839035,0.932698
42,0.890711,0.944809
43,0.825635,0.912808
44,0.799231,0.900948
45,0.820209,0.928496
46,0.890067,0.944254
47,0.825391,0.912543
48,0.797956,0.901603
49,0.839868,0.933661
50,0.892946,0.94543
51,0.832378,0.916741
52,0.79278,0.901484
53,0.820158,0.929533
54,0.890827,0.945261
55,0.834132,0.917292
56,0.787383,0.899555
57,0.820051,0.929429
58,0.891182,0.945645
59,0.833783,0.917678
60,0.79867,0.903582
61,0.829835,0.931299
62,0.891113,0.945581
63,0.835369,0.918126
64,0.781593,0.897575
65,0.809709,0.927024
66,0.891294,0.945516
67,0.832913,0.917101
68,0.78051,0.897812
69,0.83316,0.932248
70,0.891641,0.946079
71,0.838013,0.919143
72,0.801116,0.905161
73,0.829132,0.932697
74,0.893362,0.947297
75,0.839875,0.92025
76,0.795644,0.902916
77,0.818674,0.930176
78,0.896254,0.948046
79,0.838594,0.919957
80,0.790781,0.899859
81,0.822146,0.930393
82,0.896025,0.948124
83,0.835574,0.91884
84,0.796538,0.90181
85,0.831317,0.933028
86,0.899165,0.948704
87,0.838005,0.92011
88,0.792093,0.900491
89,0.823452,0.930842
90,0.897455,0.948451
91,0.840893,0.920956
92,0.807572,0.907027
93,0.839475,0.934241
94,0.898601,0.948717
95,0.843568,0.922005
96,0.797086,0.903508
97,0.826719,0.931805
98,0.898554,0.94877
99,0.841607,0.920984
100,0.811474,0.907333
101,0.837091,0.934122
102,0.89868,0.949169
103,0.838992,0.920227
104,0.804302,0.905106
105,0.837367,0.934657
106,0.899495,0.94943
107,0.843333,0.922159
108,0.814356,0.908692
109,0.85822,0.939298
110,0.901582,0.950369
111,0.842613,0.922901
112,0.816415,0.91149
113,0.848648,0.938879
114,0.902109,0.951283
115,0.846402,0.923869
116,0.81964,0.912702
117,0.861098,0.941706
118,0.903414,0.951855
119,0.849586,0.92597
120,0.821758,0.913071
121,0.857668,0.940836
122,0.902756,0.951946
123,0.846124,0.924966
124,0.820443,0.914092
125,0.854907,0.941332
126,0.902901,0.951954
127,0.846023,0.924919
128,0.830147,0.917053
129,0.866026,0.943625
130,0.904119,0.952268
131,0.850648,0.926368
132,0.834226,0.919178
133,0.870507,0.94637
134,0.90679,0.953639
135,0.852758,0.927614
136,0.835045,0.919657
137,0.87552,0.9472
138,0.907134,0.954207
139,0.850367,0.927636
140,0.835296,0.9204
141,0.871634,0.947556
142,0.907397,0.954613
143,0.849866,0.92702
144,0.833947,0.919793
145,0.877684,0.948764
146,0.907521,0.955371
147,0.853854,0.928578
148,0.841756,0.9236
149,0.880956,0.950436
150,0.905992,0.955435
151,0.851817,0.928213
152,0.840172,0.923882
153,0.883064,0.951415
154,0.905938,0.955607
155,0.851688,0.928269
156,0.840579,0.924611
157,0.884717,0.952868
158,0.906755,0.956315
159,0.851802,0.92946
160,0.835849,0.923939
161,0.876711,0.951918
162,0.907872,0.956801
163,0.852526,0.929222
164,0.843987,0.926598
165,0.879963,0.953155
166,0.906295,0.955848
167,0.8493,0.928086
168,0.835765,0.922931
169,0.87829,0.951413
170,0.906327,0.955783
171,0.849904,0.928634
172,0.841768,0.926332
173,0.881428,0.952958
174,0.906002,0.955574
175,0.848257,0.927458
176,0.832551,0.922338
177,0.872357,0.950649
178,0.906035,0.955557
179,0.849357,0.927772
180,0.840264,0.924889
181,0.880159,0.952179
182,0.906835,0.955739
183,0.851133,0.928787
184,0.82856,0.920159
185,0.867426,0.948991
186,0.907226,0.955743
187,0.844648,0.925835
188,0.826104,0.919375
189,0.860592,0.946985
190,0.905031,0.954499
191,0.844717,0.926037
192,0.818703,0.916275
193,0.85382,0.945545
194,0.904743,0.954436
195,0.84679,0.925542
196,0.819315,0.91616
197,0.863048,0.945847
198,0.903045,0.953942
199,0.845435,0.925988
200,0.822352,0.915641
201,0.859859,0.945072
202,0.907118,0.955088
203,0.845369,0.925583
204,0.816081,0.913814
205,0.846308,0.942392
206,0.904872,0.954368
207,0.843401,0.925246
208,0.816316,0.912944
209,0.851866,0.942671
210,0.905242,0.954414
211,0.846931,0.926654
212,0.811487,0.913345
213,0.824204,0.937878
214,0.903689,0.95374
215,0.842234,0.924863
216,0.80955,0.911464
217,0.843903,0.940828
218,0.904122,0.953771
219,0.845257,0.92449
220,0.808243,0.9095
221,0.804783,0.933019
222,0.901831,0.952882
223,0.838291,0.921831
224,0.803346,0.907572
225,0.83704,0.938205
226,0.901415,0.952358
227,0.836282,0.921126
228,0.801209,0.905721
229,0.822687,0.934867
230,0.902842,0.952604
231,0.83885,0.922018
232,0.794954,0.904962
233,0.824008,0.935402
234,0.903876,0.952735
235,0.842935,0.922683
236,0.795038,0.9052
237,0.821858,0.93541
238,0.901897,0.952004
239,0.838342,0.92169
240,0.771571,0.898756
241,0.796928,0.930638
242,0.90136,0.952301
243,0.838583,0.921385
244,0.790467,0.903498
245,0.822087,0.935834
246,0.901435,0.952501
247,0.837274,0.920522
248,0.784627,0.901528
249,0.813869,0.933603
250,0.901697,0.952751
251,0.839621,0.922571
252,0.788315,0.90358
253,0.816142,0.934305
254,0.89849,0.952279
255,0.840787,0.922735
256,0.785876,0.902704
257,0.811909,0.933176
258,0.899514,0.952346
259,0.829636,0.918771
260,0.761052,0.895694
261,0.811836,0.932479
262,0.899217,0.951793
263,0.839222,0.921852
264,0.7631,0.894349
265,0.787327,0.92704
266,0.899377,0.952151
267,0.838812,0.921357
268,0.779235,0.898659
269,0.783284,0.926077
270,0.897765,0.951074
271,0.833916,0.918998
272,0.779316,0.898061
273,0.803947,0.930037
274,0.899915,0.952031
275,0.834331,0.919365
276,0.778693,0.896901
277,0.794969,0.928593
278,0.896969,0.951666
279,0.82901,0.917858
280,0.769083,0.894789
281,0.796368,0.929444
282,0.897282,0.951799
283,0.822489,0.91527
284,0.764712,0.892733
285,0.807386,0.931217
286,0.893875,0.950835
287,0.826171,0.915588
288,0.774582,0.895226
289,0.805303,0.93132
290,0.894546,0.951063
291,0.831841,0.917587
292,0.798553,0.903111
293,0.819145,0.93476
294,0.897087,0.951018
295,0.821149,0.911895
296,0.763211,0.88752
297,0.79935,0.929883
298,0.894738,0.950012
299,0.812134,0.907075
300,0.773157,0.890478
301,0.813536,0.934204
302,0.893358,0.949256
303,0.813752,0.90687
304,0.77146,0.891267
305,0.810296,0.933548
306,0.892966,0.948797
307,0.816859,0.907867
308,0.767632,0.890975
309,0.820862,0.936033
310,0.894586,0.949699
311,0.821028,0.910194
312,0.776964,0.89512
313,0.814826,0.935425
314,0.894816,0.949872
315,0.816672,0.909187
316,0.773981,0.894086
317,0.818709,0.936189
318,0.895226,0.949484
319,0.814094,0.907992
320,0.780168,0.896051
321,0.82041,0.936256
