Frame, eSSIM, SSIM
0,0.452535,0.663206
1,0.700412,0.895348
2,0.84759,0.939024
3,0.626739,0.799059
4,0.520732,0.717727
5,0.683843,0.890954
6,0.868698,0.945492
7,0.625244,0.803338
8,0.529889,0.727719
9,0.712599,0.902194
10,0.864881,0.944628
11,0.650935,0.816986
12,0.54036,0.738324
13,0.687931,0.893684
14,0.874519,0.947448
15,0.629026,0.808821
16,0.525081,0.724857
17,0.705243,0.897719
18,0.865027,0.945013
19,0.652614,0.819408
20,0.516428,0.720792
21,0.661001,0.879974
22,0.869756,0.946613
23,0.616537,0.799897
24,0.439684,0.646187
25,0.681625,0.88515
26,0.851666,0.940563
27,0.623771,0.798456
28,0.504258,0.699886
29,0.65926,0.876599
30,0.875495,0.946732
31,0.616708,0.800492
32,0.507885,0.706183
33,0.68858,0.88693
34,0.867918,0.944019
35,0.651692,0.81737
36,0.521111,0.718455
37,0.661519,0.877376
38,0.879137,0.947517
39,0.624002,0.808686
40,0.51003,0.713214
41,0.688109,0.88745
42,0.871761,0.945832
43,0.654262,0.822506
44,0.494843,0.70347
45,0.655531,0.876798
46,0.879075,0.948488
47,0.610552,0.800032
48,0.439574,0.647602
49,0.673902,0.884588
50,0.860065,0.943868
51,0.633344,0.806797
52,0.494566,0.697196
53,0.652821,0.877586
54,0.886312,0.9516
55,0.612248,0.802799
56,0.495975,0.700153
57,0.683866,0.889122
58,0.871504,0.948426
59,0.653901,0.823134
60,0.508569,0.711986
61,0.642002,0.871524
62,0.884098,0.952236
63,0.634754,0.81887
64,0.501228,0.706338
65,0.674232,0.883178
66,0.875409,0.949393
67,0.659679,0.829099
68,0.495958,0.702692
69,0.62941,0.861883
70,0.883053,0.95154
71,0.62826,0.813669
72,0.445624,0.652456
73,0.662408,0.875301
74,0.866899,0.947914
75,0.643876,0.818239
76,0.498355,0.699858
77,0.631785,0.865442
78,0.87421,0.949849
79,0.635496,0.819075
80,0.494591,0.701017
81,0.672358,0.880628
82,0.87056,0.947619
83,0.655345,0.825846
84,0.500992,0.709083
85,0.643717,0.871515
86,0.875136,0.949681
87,0.632507,0.818369
88,0.498326,0.707727
89,0.684433,0.887453
90,0.86961,0.947397
91,0.652582,0.825855
92,0.481417,0.697138
93,0.64685,0.871686
94,0.880248,0.950874
95,0.624175,0.81506
96,0.450947,0.66659
97,0.677564,0.884452
98,0.866592,0.948459
99,0.644578,0.823869
100,0.503481,0.711339
101,0.645782,0.872849
102,0.881701,0.952253
103,0.640935,0.826919
104,0.508677,0.719822
105,0.676096,0.883263
106,0.877497,0.950465
107,0.672136,0.843126
108,0.527327,0.735983
109,0.641544,0.870016
110,0.878119,0.95262
111,0.662544,0.843329
112,0.523111,0.736269
113,0.676061,0.883396
114,0.875046,0.95114
115,0.677742,0.849585
116,0.508686,0.727901
117,0.643855,0.87023
118,0.878016,0.951541
119,0.651977,0.837349
120,0.467347,0.688032
121,0.673328,0.880768
122,0.867735,0.949013
123,0.656108,0.837028
124,0.529913,0.735402
125,0.64776,0.871583
126,0.883558,0.952505
127,0.661306,0.84174
128,0.533391,0.740309
129,0.680723,0.883213
130,0.877958,0.949754
131,0.676455,0.847342
132,0.545837,0.752264
133,0.661763,0.878862
134,0.887177,0.953157
135,0.669355,0.848462
136,0.546024,0.754769
137,0.6909,0.890245
