Frame, eSSIM, SSIM
0,0.878036,0.943478
1,0.92159,0.964704
2,0.922238,0.964491
3,0.903495,0.95268
4,0.904748,0.953391
5,0.909847,0.965271
6,0.932911,0.967027
7,0.870859,0.950317
8,0.888681,0.947635
9,0.920258,0.965269
10,0.928808,0.966163
11,0.84931,0.940507
12,0.845243,0.938297
13,0.894233,0.961163
14,0.910103,0.964117
15,0.826257,0.933349
16,0.775098,0.91264
17,0.889316,0.95915
18,0.888375,0.961056
19,0.801679,0.919151
20,0.798473,0.917165
21,0.872306,0.955453
22,0.887137,0.958743
23,0.770731,0.906214
24,0.673289,0.85855
25,0.816134,0.942451
26,0.863366,0.953869
27,0.73449,0.886622
28,0.730505,0.880279
29,0.864222,0.950982
30,0.875263,0.955101
31,0.754299,0.89667
32,0.731457,0.881031
33,0.866336,0.951494
34,0.881827,0.955207
35,0.768447,0.900359
36,0.766546,0.897271
37,0.87341,0.953692
38,0.881163,0.955689
39,0.765247,0.900582
40,0.738235,0.884403
41,0.873752,0.953446
42,0.882076,0.9556
43,0.762222,0.895008
44,0.760125,0.89357
45,0.855812,0.949819
46,0.889282,0.956368
47,0.740711,0.888044
48,0.622316,0.828141
49,0.795656,0.938492
50,0.860828,0.951575
51,0.70699,0.87053
52,0.698386,0.863074
53,0.847565,0.946846
54,0.868233,0.950961
55,0.716576,0.87489
56,0.696112,0.863377
57,0.847441,0.946727
58,0.861345,0.94877
59,0.723851,0.877279
60,0.721531,0.875682
61,0.852076,0.947433
62,0.856594,0.946758
63,0.725856,0.877878
64,0.700725,0.86831
65,0.85421,0.946148
66,0.853754,0.944833
67,0.723535,0.87808
68,0.72247,0.879076
69,0.825402,0.939642
70,0.85701,0.945763
71,0.703814,0.86617
72,0.569996,0.791772
73,0.779932,0.926633
74,0.834509,0.937991
75,0.672091,0.84631
76,0.662833,0.839601
77,0.817471,0.935407
78,0.852527,0.941808
79,0.694097,0.856829
80,0.667829,0.844169
81,0.825235,0.937053
82,0.844114,0.938143
83,0.709214,0.862556
84,0.703056,0.862072
85,0.81638,0.934974
86,0.844948,0.937339
87,0.711,0.86338
88,0.680689,0.851222
89,0.823632,0.935418
90,0.84048,0.934335
91,0.711486,0.862519
92,0.708617,0.865935
93,0.812656,0.932433
94,0.854439,0.938038
95,0.697241,0.855976
96,0.562793,0.786065
97,0.784023,0.926653
98,0.842204,0.933381
99,0.68111,0.846836
100,0.674459,0.844721
101,0.827912,0.935531
102,0.86524,0.939484
103,0.705636,0.860555
104,0.688033,0.853523
105,0.832055,0.935382
106,0.861439,0.936443
107,0.731694,0.872205
108,0.724091,0.871728
109,0.833558,0.937124
110,0.860147,0.939489
111,0.74038,0.878995
112,0.727917,0.874348
113,0.838134,0.936997
114,0.862205,0.937261
115,0.75742,0.884715
116,0.750639,0.88545
117,0.822751,0.933733
118,0.868042,0.939307
119,0.710352,0.862898
120,0.550569,0.776551
121,0.781606,0.923027
122,0.830335,0.928962
123,0.667458,0.838596
124,0.65749,0.834949
125,0.819129,0.932589
126,0.86297,0.938099
127,0.693625,0.854264
128,0.671321,0.84408
129,0.818757,0.932153
130,0.850275,0.934496
131,0.724849,0.869343
132,0.716234,0.867459
133,0.830707,0.936524
134,0.869352,0.94126
135,0.720434,0.868878
136,0.702287,0.861522
137,0.832804,0.936451
138,0.85974,0.937362
139,0.733445,0.874537
140,0.728281,0.875454
141,0.826355,0.935925
142,0.871917,0.941724
143,0.704481,0.858929
144,0.564025,0.785441
145,0.791973,0.925893
146,0.835355,0.930274
147,0.680963,0.845888
148,0.675675,0.844439
149,0.827907,0.934895
150,0.866002,0.939607
151,0.710102,0.862752
152,0.710331,0.863252
153,0.838314,0.936427
154,0.861168,0.937388
155,0.745027,0.879147
156,0.739933,0.878693
157,0.827016,0.935971
158,0.863826,0.939869
159,0.745196,0.881491
160,0.734226,0.876294
161,0.839521,0.93682
162,0.857453,0.936682
163,0.753825,0.883347
164,0.750352,0.884548
165,0.825317,0.935217
166,0.86118,0.939964
167,0.709338,0.862634
168,0.554367,0.777715
169,0.78812,0.925467
170,0.829853,0.93017
171,0.669521,0.837916
