Frame, eSSIM, SSIM
0,0.809017,0.916499
1,0.83123,0.948287
2,0.916642,0.9622
3,0.796289,0.916487
4,0.733397,0.886444
5,0.848309,0.949216
6,0.925087,0.964244
7,0.759719,0.904738
8,0.76095,0.898502
9,0.81561,0.94416
10,0.924984,0.964535
11,0.759019,0.902728
12,0.749807,0.891827
13,0.841147,0.94811
14,0.925553,0.964816
15,0.771727,0.907612
16,0.756619,0.894026
17,0.853231,0.950826
18,0.928113,0.966242
19,0.78657,0.914101
20,0.769519,0.899154
21,0.867954,0.952724
22,0.930062,0.966255
23,0.79728,0.917804
24,0.785997,0.904944
25,0.871662,0.953984
26,0.930375,0.966855
27,0.801976,0.918455
28,0.784097,0.903664
29,0.863454,0.952525
30,0.930723,0.96637
31,0.806414,0.918971
32,0.798341,0.90968
33,0.872885,0.955347
34,0.931352,0.966992
35,0.815838,0.924204
36,0.802895,0.914015
37,0.871509,0.95521
38,0.929564,0.966925
39,0.807193,0.920455
40,0.797181,0.909947
41,0.879214,0.956855
42,0.929462,0.966254
43,0.802175,0.916228
44,0.789607,0.905554
45,0.88021,0.955447
46,0.930773,0.96569
47,0.806517,0.917644
48,0.794597,0.907872
49,0.881353,0.956234
50,0.929535,0.965631
51,0.81255,0.919596
52,0.800705,0.911555
53,0.876163,0.955711
54,0.924798,0.964335
55,0.809304,0.916693
56,0.786676,0.903627
57,0.870213,0.953599
58,0.92438,0.963499
59,0.796728,0.912352
60,0.781885,0.901289
61,0.870115,0.953051
62,0.92303,0.963268
63,0.804086,0.916112
64,0.791115,0.905883
65,0.873041,0.953432
66,0.923977,0.963265
67,0.810672,0.917897
68,0.788859,0.90463
69,0.867689,0.952213
70,0.925804,0.962691
71,0.814011,0.91898
72,0.798109,0.907119
73,0.871515,0.952066
74,0.924553,0.962073
75,0.811632,0.916703
76,0.793442,0.904744
77,0.871968,0.951723
78,0.922567,0.960889
79,0.81202,0.917812
80,0.794627,0.906523
81,0.865184,0.950751
82,0.922474,0.960798
83,0.814915,0.918173
84,0.800629,0.909814
85,0.86946,0.952535
86,0.922835,0.960003
87,0.817373,0.917627
88,0.802478,0.907934
89,0.872023,0.95174
90,0.921742,0.959864
91,0.816855,0.917083
92,0.802339,0.90983
93,0.876804,0.951933
94,0.921088,0.959084
95,0.814626,0.916948
96,0.796949,0.907821
97,0.874408,0.951213
98,0.920791,0.958874
99,0.817072,0.91761
100,0.804307,0.910752
101,0.870605,0.951363
102,0.92108,0.958299
103,0.81022,0.914916
104,0.796833,0.907583
105,0.874065,0.951398
106,0.921476,0.958531
107,0.807726,0.914107
108,0.793708,0.90563
109,0.867752,0.950032
110,0.920363,0.958358
111,0.805124,0.913655
112,0.796572,0.9068
113,0.871987,0.950783
114,0.920583,0.958798
115,0.806808,0.914061
116,0.794527,0.906642
117,0.86748,0.949206
118,0.918039,0.957304
119,0.804941,0.912985
120,0.788097,0.903447
121,0.861862,0.947588
122,0.91633,0.957028
123,0.807948,0.913262
124,0.794882,0.905715
125,0.869899,0.949471
126,0.919132,0.957779
127,0.809761,0.914369
128,0.7937,0.905932
129,0.86423,0.948257
130,0.916849,0.95768
131,0.819198,0.919091
132,0.803926,0.910569
133,0.873863,0.95098
134,0.920889,0.959767
135,0.818943,0.918166
136,0.793186,0.905486
137,0.862514,0.949342
138,0.920826,0.959588
139,0.815937,0.916362
140,0.797479,0.90625
141,0.864582,0.949675
142,0.919759,0.959134
143,0.820763,0.918296
144,0.805323,0.908961
145,0.865141,0.948965
146,0.920684,0.959293
147,0.820528,0.917738
148,0.798794,0.906476
149,0.863941,0.949236
150,0.91968,0.959182
151,0.829988,0.921848
152,0.80884,0.910927
153,0.86745,0.950312
154,0.921637,0.960183
155,0.824186,0.920786
156,0.805185,0.910749
157,0.868801,0.949488
158,0.922441,0.959685
159,0.820116,0.919608
160,0.800425,0.906396
161,0.864293,0.949258
162,0.920632,0.959905
163,0.812642,0.914917
164,0.791135,0.902492
165,0.866156,0.950222
166,0.921485,0.959944
167,0.815771,0.916026
168,0.797442,0.905814
169,0.861581,0.950063
170,0.922664,0.960362
171,0.827128,0.919918
172,0.810774,0.9113
173,0.855958,0.949639
174,0.9203,0.959656
175,0.818031,0.916356
176,0.80696,0.906479
177,0.861994,0.949298
178,0.9181,0.959191
179,0.822141,0.914623
180,0.799928,0.903756
181,0.855423,0.946297
182,0.919333,0.958072
183,0.819885,0.912808
184,0.800849,0.901543
185,0.862178,0.947427
186,0.919735,0.958658
187,0.812218,0.910624
188,0.785362,0.89645
189,0.841625,0.94518
190,0.92,0.958481
191,0.808672,0.908549
192,0.788621,0.897573
193,0.856624,0.948388
194,0.920608,0.959316
195,0.806729,0.908392
196,0.782227,0.894764
197,0.847187,0.946478
198,0.91902,0.958451
199,0.805547,0.907301
200,0.778201,0.893657
201,0.844004,0.945586
202,0.918728,0.958346
203,0.814463,0.909805
204,0.793136,0.899571
205,0.842577,0.947113
206,0.918921,0.958551
207,0.80965,0.907507
208,0.783065,0.894476
209,0.848305,0.946654
210,0.918049,0.958421
211,0.822171,0.912334
212,0.800839,0.903157
213,0.858156,0.948308
214,0.919928,0.958902
215,0.823576,0.912664
216,0.787155,0.896765
217,0.840875,0.945479
218,0.918409,0.958385
219,0.819449,0.908864
220,0.798084,0.899161
221,0.853476,0.947291
222,0.918402,0.957641
223,0.818568,0.90867
224,0.797311,0.898858
225,0.852409,0.946848
226,0.917023,0.957808
227,0.817949,0.908311
228,0.791399,0.896066
229,0.857457,0.946708
230,0.918341,0.956947
231,0.818545,0.908539
232,0.783078,0.892786
233,0.839942,0.944371
234,0.917056,0.957035
235,0.816725,0.908869
236,0.79376,0.898
237,0.83594,0.943139
238,0.917246,0.956577
239,0.81825,0.909199
240,0.794254,0.897354
241,0.846136,0.94436
242,0.918183,0.957562
243,0.824421,0.911701
244,0.797648,0.899481
245,0.844209,0.943492
246,0.916464,0.955699
247,0.828421,0.912745
248,0.790783,0.897972
249,0.830146,0.940362
250,0.914361,0.955783
251,0.834571,0.917175
252,0.802535,0.903459
253,0.832984,0.940941
254,0.916962,0.956276
255,0.823633,0.912069
256,0.795741,0.897618
257,0.843097,0.941509
258,0.91728,0.95612
259,0.819241,0.910178
260,0.780809,0.891365
261,0.842806,0.939765
262,0.918219,0.955467
263,0.824581,0.912499
264,0.792795,0.896045
265,0.83922,0.939403
266,0.917859,0.955397
267,0.828232,0.913079
268,0.796737,0.897011
269,0.83824,0.937672
270,0.917072,0.954736
271,0.820453,0.909773
272,0.792551,0.893681
273,0.840203,0.938413
274,0.915566,0.953989
275,0.822582,0.908651
276,0.777988,0.888191
277,0.83103,0.93599
278,0.915905,0.954282
279,0.822811,0.909086
280,0.772802,0.886118
281,0.813805,0.933281
282,0.91478,0.95408
283,0.818833,0.906235
284,0.781335,0.888043
285,0.837499,0.937853
286,0.914685,0.95439
287,0.82067,0.906699
288,0.779705,0.8895
289,0.823848,0.937099
