Frame, eSSIM, SSIM
0,0.959431,0.976655
1,0.970156,0.979921
2,0.964664,0.978308
3,0.963404,0.977553
4,0.965738,0.978573
5,0.950607,0.976965
6,0.955277,0.977106
7,0.890964,0.97087
8,0.963477,0.977447
9,0.969746,0.979385
10,0.967477,0.978717
11,0.958199,0.974584
12,0.952744,0.972715
13,0.941493,0.974161
14,0.94808,0.975665
15,0.880242,0.966033
16,0.961847,0.976825
17,0.96899,0.979149
18,0.967185,0.978723
19,0.957894,0.97449
20,0.954492,0.973044
21,0.948846,0.975756
22,0.935856,0.975079
23,0.890034,0.966152
24,0.962678,0.97864
25,0.973171,0.981456
26,0.969559,0.98073
27,0.957049,0.975144
28,0.951711,0.972722
29,0.949984,0.9763
30,0.950279,0.976082
31,0.89216,0.968848
32,0.964449,0.978059
33,0.970687,0.980023
34,0.968384,0.979391
35,0.957372,0.97466
36,0.951446,0.972785
37,0.951438,0.976148
38,0.938383,0.973425
39,0.86498,0.960919
40,0.962484,0.977285
41,0.969944,0.979764
42,0.967699,0.978843
43,0.957951,0.973856
44,0.953537,0.972695
45,0.943256,0.974988
46,0.937261,0.973773
47,0.868038,0.960869
48,0.950349,0.973508
49,0.967753,0.979366
50,0.963134,0.977671
51,0.950702,0.971518
52,0.946618,0.970459
53,0.944097,0.974052
54,0.923473,0.970801
55,0.850342,0.952837
56,0.955226,0.974318
57,0.965108,0.978072
58,0.961049,0.976068
59,0.948553,0.970735
60,0.946708,0.9706
61,0.938657,0.97383
62,0.920274,0.969355
63,0.851517,0.950776
64,0.95121,0.973147
65,0.961821,0.977292
66,0.956044,0.974796
67,0.951365,0.97178
68,0.951049,0.972208
69,0.931523,0.971568
70,0.919863,0.969753
71,0.856889,0.955657
72,0.945336,0.971117
73,0.961102,0.97672
74,0.953104,0.973516
75,0.943648,0.968918
76,0.943144,0.969689
77,0.93461,0.970891
78,0.924877,0.967978
79,0.855048,0.955045
80,0.952834,0.973516
81,0.957835,0.975881
82,0.951037,0.971601
83,0.944896,0.96859
84,0.946484,0.971006
85,0.934682,0.970275
86,0.921725,0.965969
87,0.862202,0.956415
88,0.951826,0.973068
89,0.955376,0.974635
90,0.948431,0.969624
91,0.946215,0.968363
92,0.948477,0.971757
93,0.932127,0.969369
94,0.933797,0.967759
95,0.874424,0.959421
96,0.949373,0.972939
97,0.959793,0.976334
98,0.949913,0.970696
99,0.945855,0.968775
100,0.944967,0.970924
101,0.944503,0.971837
102,0.942773,0.968755
103,0.876405,0.960704
104,0.953011,0.974059
105,0.957638,0.975019
106,0.950281,0.969989
107,0.944793,0.968002
108,0.944606,0.970595
109,0.941424,0.970518
110,0.943915,0.968331
111,0.884052,0.961341
112,0.952883,0.974072
113,0.956808,0.974688
114,0.949501,0.969518
115,0.945793,0.968203
116,0.949481,0.971784
117,0.933622,0.96948
118,0.93481,0.967247
119,0.871448,0.958714
120,0.94414,0.970548
121,0.954903,0.974416
122,0.944027,0.968163
123,0.940214,0.96613
124,0.938508,0.968706
125,0.931498,0.968974
126,0.938265,0.967372
127,0.877025,0.958649
128,0.950095,0.972762
129,0.955145,0.973894
130,0.947549,0.969043
131,0.946302,0.968583
132,0.942872,0.970508
133,0.931883,0.969508
134,0.938642,0.96841
135,0.866028,0.958299
136,0.950741,0.972746
137,0.954788,0.974106
138,0.948666,0.969233
139,0.947583,0.968602
140,0.94882,0.971444
141,0.923767,0.969836
142,0.94666,0.970683
143,0.90163,0.963928
144,0.947798,0.972036
145,0.957742,0.975861
146,0.947812,0.970102
147,0.943998,0.9678
148,0.942102,0.969182
149,0.931903,0.969843
150,0.945981,0.96963
151,0.884839,0.961705
152,0.952116,0.973481
153,0.956182,0.97455
154,0.948911,0.969838
155,0.945353,0.968488
156,0.943119,0.969868
157,0.930825,0.968807
158,0.940784,0.968036
159,0.887398,0.960957
160,0.948687,0.972523
161,0.954485,0.973997
162,0.947921,0.96926
163,0.945099,0.968017
164,0.946773,0.970451
165,0.920966,0.969016
166,0.93473,0.968838
167,0.892688,0.961928
168,0.941631,0.96924
169,0.955519,0.975146
170,0.945108,0.96906
171,0.942906,0.966863
172,0.942354,0.968794
173,0.9252,0.968843
174,0.94311,0.969073
175,0.895049,0.962415
176,0.949292,0.97171
177,0.955345,0.974201
178,0.948481,0.969644
179,0.94215,0.966179
180,0.941983,0.968471
181,0.930921,0.968599
182,0.937018,0.966441
183,0.892649,0.960633
184,0.948095,0.971214
185,0.953914,0.973706
186,0.948239,0.969294
187,0.942404,0.966185
188,0.944891,0.968965
189,0.905826,0.967452
190,0.935829,0.967855
191,0.900416,0.961002
192,0.935458,0.965183
193,0.952344,0.973863
194,0.941468,0.967066
195,0.935412,0.9621
196,0.935107,0.964699
197,0.916132,0.967446
198,0.931996,0.966216
199,0.899783,0.958074
200,0.94226,0.968707
201,0.952074,0.973721
202,0.943681,0.967695
203,0.938523,0.96344
204,0.93716,0.966278
205,0.920036,0.96802
206,0.93262,0.966209
207,0.891221,0.957758
208,0.94575,0.969333
209,0.952169,0.973507
210,0.944313,0.967673
211,0.943495,0.965556
212,0.946455,0.969209
213,0.90526,0.965974
214,0.93067,0.965869
215,0.90235,0.958325
216,0.930886,0.961799
217,0.948406,0.971877
218,0.937511,0.965034
219,0.934393,0.960164
220,0.933702,0.963931
221,0.914978,0.965903
222,0.93231,0.965175
223,0.886388,0.954908
224,0.941318,0.966664
225,0.948737,0.972309
226,0.940965,0.966411
227,0.936773,0.961587
228,0.937527,0.965362
229,0.899633,0.963668
230,0.930978,0.964277
231,0.890451,0.955364
232,0.941838,0.966637
233,0.948351,0.971627
234,0.939979,0.965178
235,0.938982,0.962218
236,0.942761,0.96695
237,0.889314,0.962451
238,0.930976,0.964997
239,0.89036,0.955275
240,0.928543,0.959321
241,0.945031,0.96962
242,0.935245,0.96325
243,0.933501,0.959266
244,0.929587,0.962455
245,0.891644,0.960716
246,0.924298,0.962192
247,0.884714,0.953757
248,0.938575,0.965409
249,0.943925,0.969162
250,0.938434,0.96348
251,0.938556,0.962466
252,0.935744,0.965254
253,0.903615,0.962829
254,0.933409,0.963446
255,0.886054,0.955925
256,0.939179,0.965677
257,0.943438,0.968306
258,0.939424,0.963396
259,0.9403,0.962742
260,0.939981,0.966208
261,0.889617,0.960757
262,0.932198,0.962815
263,0.888924,0.95509
264,0.929904,0.960341
265,0.944486,0.967777
266,0.935625,0.961457
267,0.934593,0.959728
268,0.931954,0.962852
269,0.897347,0.960108
270,0.927001,0.961811
271,0.886094,0.953162
272,0.938238,0.965104
273,0.943347,0.967774
274,0.938099,0.962355
275,0.935927,0.960898
276,0.934636,0.96419
277,0.898032,0.960169
278,0.932322,0.962186
279,0.901122,0.956888
280,0.941423,0.966721
281,0.944253,0.968262
282,0.939578,0.962785
283,0.940107,0.962614
284,0.938524,0.965793
285,0.892526,0.959681
286,0.934422,0.96374
287,0.896001,0.95601
288,0.925753,0.957879
289,0.943489,0.968146
290,0.932636,0.960826
291,0.933616,0.958599
292,0.930561,0.961974
293,0.903223,0.961184
294,0.933105,0.96328
295,0.888103,0.953962
296,0.942963,0.966717
297,0.946429,0.969884
298,0.939836,0.963526
299,0.940544,0.962407
300,0.935113,0.96529
301,0.897941,0.96176
302,0.935408,0.963966
303,0.89256,0.956167
304,0.941794,0.966444
305,0.94642,0.970095
306,0.939299,0.964029
307,0.940004,0.962497
308,0.937775,0.9658
309,0.878555,0.958516
310,0.932028,0.964453
311,0.901156,0.956196
312,0.9229,0.957229
313,0.93878,0.967632
314,0.932549,0.962242
315,0.933089,0.959143
316,0.926009,0.961075
317,0.888479,0.959445
318,0.93325,0.964353
319,0.903907,0.956087
320,0.937972,0.964889
321,0.942972,0.969385
