Frame, eSSIM, SSIM
0,0.631896,0.815266
1,0.74775,0.923245
2,0.881246,0.946438
3,0.648648,0.830348
4,0.601725,0.79887
5,0.731844,0.91831
6,0.877809,0.94537
7,0.639284,0.826628
8,0.579652,0.788043
9,0.729396,0.916434
10,0.880494,0.945748
11,0.633982,0.825588
12,0.584389,0.789973
13,0.719722,0.913036
14,0.871875,0.943135
15,0.625934,0.821723
16,0.58757,0.791274
17,0.723447,0.910139
18,0.878526,0.944474
19,0.631695,0.825621
20,0.590231,0.792102
21,0.729217,0.912765
22,0.882225,0.945321
23,0.648015,0.834716
24,0.602978,0.800843
25,0.738165,0.915169
26,0.882647,0.945357
27,0.649854,0.836965
28,0.616869,0.810234
29,0.736816,0.916845
30,0.88806,0.947257
31,0.669886,0.846981
32,0.62365,0.814582
33,0.735791,0.917212
34,0.891407,0.948278
35,0.675908,0.850297
36,0.639215,0.823625
37,0.74523,0.920476
38,0.894234,0.949264
39,0.676943,0.850862
40,0.640542,0.823649
41,0.750945,0.921908
42,0.896807,0.950891
43,0.685779,0.853787
44,0.647093,0.829411
45,0.746773,0.924508
46,0.890729,0.949679
47,0.682064,0.852623
48,0.639616,0.825944
49,0.751682,0.925087
50,0.895472,0.950971
51,0.688566,0.855601
52,0.643503,0.827343
53,0.755661,0.924588
54,0.893579,0.949678
55,0.698724,0.859573
56,0.654494,0.83345
57,0.754158,0.924612
58,0.891611,0.949713
59,0.701225,0.861579
60,0.664726,0.839097
61,0.759155,0.927301
62,0.896136,0.951282
63,0.698614,0.861134
64,0.662784,0.838723
65,0.766271,0.928928
66,0.899503,0.952186
67,0.700664,0.861343
68,0.662046,0.837909
69,0.769274,0.930539
70,0.897303,0.951338
71,0.711821,0.866089
72,0.673102,0.844456
73,0.777048,0.933064
74,0.900281,0.952387
75,0.712962,0.866395
76,0.682703,0.850184
77,0.781793,0.936167
78,0.902319,0.953544
79,0.708705,0.864521
80,0.673565,0.846768
81,0.787264,0.938457
82,0.903495,0.954263
83,0.707944,0.863546
84,0.684936,0.851482
85,0.796939,0.940297
86,0.897894,0.952351
87,0.713323,0.866154
88,0.677459,0.849123
89,0.790445,0.938716
90,0.899665,0.952805
91,0.714856,0.866949
92,0.692318,0.856245
93,0.796556,0.940653
94,0.898901,0.95314
95,0.71905,0.869777
96,0.686414,0.854908
97,0.79488,0.940934
98,0.900728,0.953739
99,0.716547,0.868337
100,0.690038,0.857475
101,0.793054,0.941177
102,0.897005,0.953283
103,0.711441,0.86652
104,0.683671,0.854312
105,0.796905,0.942323
106,0.902423,0.95499
107,0.71517,0.869257
108,0.685134,0.855347
109,0.799998,0.94254
110,0.90351,0.955533
111,0.726178,0.875053
112,0.697785,0.861673
113,0.807972,0.944675
114,0.906314,0.9567
115,0.722504,0.874271
116,0.695503,0.861869
117,0.806925,0.945325
118,0.902846,0.956525
119,0.733295,0.879656
120,0.70385,0.867049
121,0.814459,0.947439
122,0.907858,0.957847
123,0.729249,0.87848
124,0.707325,0.869796
125,0.815457,0.948215
126,0.909394,0.958494
127,0.731562,0.880164
128,0.701444,0.868032
129,0.813713,0.948022
130,0.908236,0.958035
131,0.722447,0.876074
132,0.703917,0.869282
133,0.818157,0.950154
134,0.90555,0.958145
135,0.722168,0.876136
136,0.70751,0.869471
137,0.823296,0.950095
138,0.907802,0.958527
139,0.724397,0.877474
140,0.711713,0.871271
141,0.821965,0.949875
142,0.908583,0.958855
143,0.720529,0.875709
144,0.706361,0.869466
145,0.824294,0.950641
146,0.911181,0.959518
147,0.720004,0.877116
148,0.702901,0.868565
149,0.827944,0.95092
150,0.907398,0.958801
151,0.720046,0.876944
152,0.713104,0.872019
153,0.835923,0.952068
154,0.911687,0.960299
155,0.730226,0.880305
156,0.717489,0.873749
157,0.827169,0.950858
158,0.903204,0.958628
159,0.72876,0.879116
160,0.709657,0.869783
161,0.825518,0.950304
162,0.908148,0.959653
163,0.731352,0.880288
164,0.714481,0.87221
165,0.811048,0.947048
166,0.905658,0.958301
167,0.72648,0.8783
168,0.698954,0.865703
169,0.804208,0.946201
170,0.911299,0.959289
171,0.722612,0.878324
172,0.692613,0.863198
173,0.805197,0.944852
174,0.904494,0.957454
175,0.73063,0.881582
176,0.692558,0.86423
177,0.791014,0.94216
178,0.903537,0.957012
179,0.728816,0.878859
180,0.700839,0.865192
181,0.787918,0.940725
182,0.901418,0.955631
183,0.724063,0.87642
184,0.695693,0.860334
185,0.796957,0.940843
186,0.905969,0.95628
187,0.727067,0.876089
188,0.697713,0.860588
189,0.778039,0.938037
190,0.906902,0.956053
191,0.725239,0.875297
192,0.686727,0.856481
193,0.782941,0.937679
194,0.908056,0.95608
195,0.723918,0.874861
196,0.681043,0.85397
197,0.776243,0.936379
198,0.907189,0.954883
199,0.731837,0.877262
200,0.693882,0.861197
201,0.772421,0.936053
202,0.91023,0.956155
203,0.731561,0.876446
204,0.690216,0.856908
205,0.764812,0.933786
206,0.908889,0.954938
207,0.733613,0.878156
208,0.684939,0.852319
209,0.769557,0.932036
210,0.906273,0.954375
211,0.733206,0.876195
212,0.686556,0.854404
213,0.763978,0.929958
214,0.90573,0.953237
215,0.734434,0.876439
216,0.673934,0.846983
217,0.749295,0.925055
218,0.905827,0.952866
219,0.7288,0.873739
220,0.674206,0.847599
221,0.753052,0.925332
222,0.906539,0.95301
223,0.738967,0.877454
224,0.680895,0.847366
225,0.753939,0.924736
226,0.906342,0.953238
227,0.737667,0.876079
228,0.672008,0.843712
229,0.735855,0.92187
230,0.904205,0.952259
231,0.737313,0.874872
232,0.669831,0.843823
233,0.734187,0.919358
234,0.903,0.951878
235,0.73619,0.874676
236,0.66719,0.840554
237,0.746327,0.920315
238,0.904096,0.951749
239,0.735718,0.875482
240,0.673843,0.843861
241,0.740798,0.919175
242,0.904666,0.952062
243,0.737312,0.876312
244,0.681465,0.849011
245,0.746388,0.920403
246,0.904853,0.952428
247,0.741533,0.878961
248,0.678638,0.844665
249,0.751698,0.921876
250,0.906753,0.953143
251,0.739187,0.878256
252,0.687256,0.851184
253,0.745052,0.920839
254,0.905896,0.952727
255,0.744986,0.881447
256,0.682452,0.849953
257,0.751204,0.923028
258,0.906993,0.953944
259,0.74345,0.880636
260,0.672331,0.845453
261,0.749322,0.921121
262,0.903503,0.952967
263,0.749327,0.884149
264,0.678906,0.848801
265,0.735673,0.918562
266,0.900203,0.952323
267,0.743168,0.881163
268,0.684274,0.851294
269,0.74194,0.92062
270,0.902728,0.95303
271,0.738402,0.878943
272,0.680737,0.847202
273,0.748747,0.92206
274,0.906769,0.954077
275,0.744059,0.880516
276,0.683909,0.849992
277,0.745415,0.922065
278,0.905026,0.953087
279,0.738201,0.877794
280,0.679168,0.845381
281,0.753362,0.922557
282,0.905929,0.953637
283,0.733198,0.874461
284,0.673137,0.841829
285,0.746322,0.920673
286,0.903112,0.951912
287,0.735177,0.874856
288,0.677435,0.841295
289,0.751067,0.922207
290,0.904011,0.952514
