Frame, eSSIM, SSIM
0,0.93608,0.952737
1,0.958252,0.973109
2,0.955161,0.973368
3,0.936096,0.953452
4,0.942679,0.956473
5,0.955335,0.972908
6,0.957044,0.974103
7,0.936403,0.955015
8,0.948056,0.960009
9,0.963857,0.974828
10,0.959294,0.974973
11,0.943952,0.959137
12,0.951112,0.962265
13,0.956173,0.973957
14,0.959911,0.97526
15,0.937629,0.958843
16,0.950947,0.961723
17,0.963623,0.974794
18,0.961226,0.975724
19,0.943395,0.958652
20,0.949179,0.960636
21,0.954794,0.972859
22,0.958211,0.974547
23,0.936715,0.956432
24,0.933209,0.950972
25,0.955586,0.971698
26,0.951232,0.971313
27,0.931939,0.950676
28,0.937827,0.953998
29,0.955442,0.97195
30,0.954781,0.97266
31,0.935029,0.953408
32,0.942448,0.956197
33,0.958218,0.972344
34,0.956136,0.973162
35,0.938687,0.95529
36,0.943321,0.956887
37,0.953718,0.970813
38,0.957464,0.973894
39,0.938863,0.955916
40,0.942808,0.956157
41,0.956102,0.971344
42,0.959303,0.974393
43,0.941174,0.956766
44,0.943283,0.956452
45,0.951157,0.969987
46,0.955061,0.972732
47,0.931997,0.951952
48,0.919205,0.941594
49,0.945133,0.967162
50,0.946223,0.96817
51,0.923797,0.94472
52,0.927977,0.946526
53,0.94857,0.968036
54,0.949086,0.969625
55,0.926874,0.947346
56,0.937659,0.952911
57,0.953326,0.969853
58,0.953299,0.971072
59,0.934502,0.951987
60,0.937757,0.953274
61,0.948887,0.968525
62,0.95223,0.970583
63,0.930235,0.9496
64,0.935812,0.951739
65,0.95257,0.969324
66,0.953558,0.971064
67,0.935382,0.952789
68,0.939612,0.954471
69,0.950306,0.968922
70,0.952865,0.971437
71,0.929909,0.950246
72,0.918737,0.94112
73,0.944062,0.96648
74,0.945324,0.967211
75,0.923811,0.944691
76,0.927205,0.946397
77,0.947221,0.967707
78,0.950037,0.969368
79,0.927627,0.947583
80,0.935812,0.951974
81,0.952404,0.969627
82,0.951807,0.970043
83,0.936432,0.953642
84,0.941838,0.956525
85,0.953224,0.970181
86,0.953957,0.971283
87,0.937802,0.954674
88,0.944759,0.958189
89,0.956474,0.971313
90,0.955525,0.971839
91,0.938433,0.955674
92,0.944001,0.958302
93,0.952686,0.970172
94,0.95332,0.971628
95,0.934355,0.95367
96,0.920804,0.942692
97,0.943972,0.96637
98,0.944819,0.967062
99,0.92713,0.947041
100,0.930926,0.949082
101,0.948641,0.967749
102,0.948761,0.968618
103,0.929166,0.948427
104,0.936157,0.952392
105,0.952102,0.969093
106,0.950937,0.96954
107,0.935836,0.953379
108,0.941033,0.956131
109,0.951313,0.969193
110,0.952564,0.970351
111,0.935267,0.953083
112,0.942879,0.957145
113,0.95558,0.970465
114,0.954748,0.971132
115,0.938563,0.955412
116,0.942921,0.957642
117,0.9492,0.968511
118,0.950015,0.969576
119,0.931039,0.950535
120,0.914334,0.938121
121,0.940671,0.964125
122,0.94065,0.964567
123,0.920908,0.942399
124,0.92382,0.944203
125,0.945624,0.965628
126,0.945167,0.966735
127,0.925559,0.946136
128,0.937048,0.953029
129,0.951051,0.968292
130,0.94949,0.96867
131,0.935605,0.952861
132,0.940142,0.955143
133,0.948871,0.967855
134,0.95143,0.96968
135,0.936125,0.953169
136,0.941731,0.956133
137,0.952368,0.968803
138,0.953796,0.97018
139,0.939571,0.955515
140,0.9426,0.956738
141,0.946454,0.967347
142,0.949564,0.969581
143,0.930166,0.950766
144,0.911348,0.935691
145,0.933415,0.961124
146,0.939868,0.963616
147,0.92024,0.942227
148,0.920402,0.942376
149,0.938053,0.963391
150,0.942512,0.965453
151,0.922443,0.943946
152,0.924986,0.945383
153,0.942715,0.964666
154,0.944602,0.965555
155,0.925654,0.946373
156,0.928391,0.948204
157,0.938156,0.963313
158,0.943527,0.965477
159,0.923439,0.944896
160,0.926371,0.946312
161,0.9428,0.964414
162,0.945301,0.965329
163,0.92208,0.944163
164,0.923699,0.94538
165,0.933088,0.961369
166,0.939041,0.963317
167,0.911702,0.938979
168,0.884671,0.918566
169,0.916284,0.952758
170,0.925043,0.954946
171,0.901583,0.92926
172,0.900943,0.930472
173,0.925683,0.957016
174,0.931709,0.9582
175,0.905705,0.932308
176,0.905691,0.93361
177,0.930018,0.958906
178,0.932549,0.958309
179,0.905924,0.932432
180,0.908118,0.936162
181,0.929483,0.958946
182,0.933772,0.95922
183,0.909188,0.934849
184,0.91854,0.942925
185,0.93665,0.961699
186,0.937125,0.960295
187,0.916633,0.940189
188,0.920122,0.944448
189,0.923792,0.957392
190,0.928018,0.957029
191,0.897984,0.930291
192,0.882585,0.9188
193,0.917604,0.953344
194,0.920079,0.952545
195,0.899902,0.928103
196,0.904522,0.933901
197,0.931415,0.959074
198,0.927094,0.956404
199,0.907974,0.93414
200,0.920649,0.945143
201,0.940947,0.963501
202,0.93248,0.957888
203,0.915254,0.939393
204,0.925554,0.949351
205,0.942099,0.964401
206,0.934449,0.95923
207,0.916775,0.940666
208,0.927906,0.949927
209,0.943924,0.965036
210,0.935447,0.959533
211,0.918823,0.941973
212,0.926553,0.950307
213,0.932416,0.962268
214,0.932953,0.959308
215,0.90968,0.937227
216,0.886196,0.921912
217,0.92052,0.954238
218,0.920321,0.951873
219,0.896916,0.926639
220,0.90304,0.9335
221,0.928867,0.957909
222,0.927517,0.955741
223,0.905089,0.932541
224,0.917886,0.943453
225,0.936102,0.961433
226,0.930687,0.956873
227,0.914041,0.938863
