Frame, eSSIM, SSIM
0,0.880656,0.945978
1,0.88379,0.967519
2,0.896865,0.974499
3,0.919544,0.957865
4,0.902682,0.960445
5,0.892641,0.965168
6,0.925853,0.973793
7,0.9264,0.966979
8,0.898107,0.948669
9,0.913678,0.970301
10,0.927934,0.976088
11,0.920412,0.957544
12,0.91482,0.961995
13,0.908296,0.965863
14,0.927146,0.97346
15,0.929568,0.966737
16,0.905267,0.949916
17,0.921492,0.971434
18,0.93462,0.976874
19,0.921816,0.958679
20,0.915754,0.963226
21,0.915125,0.966435
22,0.935558,0.97454
23,0.932973,0.965972
24,0.866928,0.928652
25,0.910291,0.96527
26,0.928767,0.974593
27,0.89472,0.946098
28,0.898455,0.948415
29,0.910135,0.962809
30,0.926805,0.971979
31,0.91124,0.957103
32,0.886561,0.937386
33,0.924022,0.968501
34,0.932325,0.975047
35,0.900531,0.948563
36,0.905657,0.952992
37,0.911748,0.96373
38,0.929006,0.972861
39,0.913331,0.958995
40,0.888609,0.939004
41,0.924934,0.969669
42,0.93209,0.975411
43,0.899991,0.949315
44,0.903774,0.954682
45,0.905388,0.963296
46,0.929141,0.972734
47,0.915572,0.959728
48,0.859071,0.925706
49,0.903539,0.964341
50,0.92783,0.974407
51,0.892309,0.944743
52,0.895387,0.947083
53,0.901882,0.961051
54,0.924873,0.971478
55,0.908289,0.955934
56,0.878646,0.934063
57,0.91627,0.966911
58,0.929954,0.974463
59,0.895813,0.947073
60,0.903107,0.951218
61,0.908549,0.963158
62,0.92553,0.971919
63,0.911126,0.958549
64,0.885349,0.938235
65,0.923577,0.969056
66,0.933814,0.975208
67,0.899489,0.94852
68,0.903701,0.953655
69,0.91017,0.964101
70,0.932715,0.973333
71,0.915793,0.959441
72,0.857703,0.924474
73,0.906211,0.965145
74,0.930083,0.974779
75,0.887863,0.943038
76,0.893336,0.946118
77,0.907315,0.962764
78,0.929233,0.972592
79,0.906903,0.955658
80,0.880955,0.935058
81,0.923575,0.968791
82,0.933326,0.975122
83,0.89573,0.946996
84,0.904173,0.952115
85,0.912903,0.964652
86,0.929231,0.972731
87,0.912345,0.958527
88,0.888969,0.939376
89,0.928203,0.970217
90,0.935272,0.975566
91,0.898655,0.948239
92,0.905556,0.95425
93,0.907049,0.96388
94,0.931411,0.973212
95,0.912776,0.958743
96,0.854196,0.923714
97,0.905344,0.964711
98,0.932128,0.975251
99,0.889659,0.944181
100,0.888029,0.945653
101,0.902484,0.961619
102,0.931434,0.973127
103,0.908921,0.956232
104,0.875134,0.933213
105,0.918966,0.967714
106,0.935993,0.975782
107,0.89245,0.94693
108,0.892911,0.950343
109,0.904882,0.962736
110,0.931131,0.973092
111,0.910869,0.958239
112,0.878702,0.935487
113,0.919574,0.968306
114,0.932859,0.975597
115,0.89448,0.94742
116,0.895685,0.951357
117,0.896335,0.96104
118,0.928739,0.973224
119,0.90716,0.957851
120,0.844588,0.919899
121,0.897436,0.962765
122,0.928861,0.974421
123,0.884229,0.941959
124,0.885408,0.943529
125,0.897625,0.960606
126,0.927106,0.97219
127,0.905004,0.954742
128,0.869774,0.930647
129,0.915177,0.966989
130,0.931665,0.974834
131,0.887254,0.944422
132,0.896102,0.948606
133,0.900668,0.961601
134,0.925874,0.972073
135,0.908017,0.956261
136,0.875797,0.933892
137,0.916923,0.967701
138,0.932371,0.975353
139,0.888471,0.946116
140,0.890504,0.950152
141,0.852362,0.953852
142,0.872074,0.967145
143,0.88905,0.952698
144,0.734454,0.89146
145,0.816462,0.94879
146,0.860409,0.966513
147,0.823375,0.927513
148,0.803548,0.922739
149,0.823153,0.946958
150,0.869169,0.965053
151,0.847797,0.942527
152,0.801464,0.912341
153,0.842618,0.95467
154,0.875832,0.968284
155,0.840567,0.932992
156,0.828482,0.932472
157,0.834625,0.94987
158,0.871606,0.965182
159,0.856552,0.945329
160,0.813648,0.917756
161,0.849254,0.956863
162,0.876833,0.968365
163,0.847605,0.935632
164,0.834855,0.936185
165,0.826643,0.947726
166,0.886385,0.967844
167,0.861581,0.946282
168,0.7345,0.891846
169,0.818323,0.94876
170,0.865055,0.967199
171,0.822061,0.928319
172,0.801788,0.922953
173,0.822515,0.94651
174,0.865738,0.964785
